name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-61 - 2018 - CUCEI,61,2018,CUCEI,Emérito,0,0,,0
311 Investigadores-62 - 2019 - CUCEI,62,2019,CUCEI,Emérito,0,0,,0
311 Investigadores-63 - 2020 - CUCEI,63,2020,CUCEI,Emérito,1,0,,1
311 Investigadores-64 - 2021 - CUCEI,64,2021,CUCEI,Emérito,1,0,,1
311 Investigadores-65 - 2022 - CUCEI,65,2022,CUCEI,Emérito,1,0,,1
311 Investigadores-66 - 2023 - CUCEI,66,2023,CUCEI,Emérito,0,0,,0
311 Investigadores-67 - 2018 - CUCEI,67,2018,CUCEI,SNCA,0,0,,0
311 Investigadores-68 - 2019 - CUCEI,68,2019,CUCEI,SNCA,0,0,,0
311 Investigadores-69 - 2020 - CUCEI,69,2020,CUCEI,SNCA,0,0,,0
311 Investigadores-70 - 2021 - CUCEI,70,2021,CUCEI,SNCA,0,0,,0
311 Investigadores-71 - 2022 - CUCEI,71,2022,CUCEI,SNCA,0,0,,0
311 Investigadores-72 - 2023 - CUCEI,72,2023,CUCEI,SNCA,0,0,,0
311 Investigadores-73 - 2018 - CUCSH,73,2018,CUCSH,Candidato,18,16,,34
311 Investigadores-74 - 2019 - CUCSH,74,2019,CUCSH,Candidato,17,15,,32
311 Investigadores-75 - 2020 - CUCSH,75,2020,CUCSH,Candidato,22,18,,40
311 Investigadores-76 - 2021 - CUCSH,76,2021,CUCSH,Candidato,24,18,,42
311 Investigadores-77 - 2022 - CUCSH,77,2022,CUCSH,Candidato,18,12,,30
311 Investigadores-78 - 2023 - CUCSH,78,2023,CUCSH,Candidato,26,18,,44
311 Investigadores-79 - 2018 - CUCSH,79,2018,CUCSH,Nivel I,57,51,,108
311 Investigadores-80 - 2019 - CUCSH,80,2019,CUCSH,Nivel I,57,57,,114
311 Investigadores-81 - 2020 - CUCSH,81,2020,CUCSH,Nivel I,54,57,,111
311 Investigadores-82 - 2021 - CUCSH,82,2021,CUCSH,Nivel I,54,58,,112
311 Investigadores-83 - 2022 - CUCSH,83,2022,CUCSH,Nivel I,64,66,,130
311 Investigadores-84 - 2023 - CUCSH,84,2023,CUCSH,Nivel I,67,58,,125
311 Investigadores-85 - 2018 - CUCSH,85,2018,CUCSH,Nivel II,17,15,,32
311 Investigadores-86 - 2019 - CUCSH,86,2019,CUCSH,Nivel II,18,14,,32
311 Investigadores-87 - 2020 - CUCSH,87,2020,CUCSH,Nivel II,18,14,,32
311 Investigadores-88 - 2021 - CUCSH,88,2021,CUCSH,Nivel II,17,14,,31
311 Investigadores-89 - 2022 - CUCSH,89,2022,CUCSH,Nivel II,17,14,,31
311 Investigadores-90 - 2023 - CUCSH,90,2023,CUCSH,Nivel II,21,21,,42
311 Investigadores-91 - 2018 - CUCSH,91,2018,CUCSH,Nivel III,9,4,,13
