name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,hombres,mujeres,personas_nb,total
712-2024-50 PA DTC Asistente C de CUCIÉNEGA,50,2024,CUCIÉNEGA,DTC,Asistente,C,0,0,,0
712-2024-51 PA DTC Asistente C de CUSUR,51,2024,CUSUR,DTC,Asistente,C,0,0,,0
712-2024-52 PA DTC Asistente C de CUCOSTA,52,2024,CUCOSTA,DTC,Asistente,C,1,1,,2
712-2024-53 PA DTC Asistente C de CUCOSTASUR,53,2024,CUCOSTASUR,DTC,Asistente,C,1,0,,1
712-2024-54 PA DTC Asistente C de CUVALLES,54,2024,CUVALLES,DTC,Asistente,C,1,0,,1
712-2024-55 PA DTC Asistente C de CUNORTE,55,2024,CUNORTE,DTC,Asistente,C,0,0,,0
712-2024-56 PA DTC Asistente C de CULAGOS,56,2024,CULAGOS,DTC,Asistente,C,0,0,,0
712-2024-57 PA DTC Asistente C de CUTONALÁ,57,2024,CUTONALÁ,DTC,Asistente,C,2,0,,2
712-2024-58 PA DTC Asistente C de CUTLAJOMULCO,58,2024,CUTLAJOMULCO,DTC,Asistente,C,1,1,,2
712-2024-59 PA DTC Asistente C de CUGUADALAJARA,59,2024,CUGUADALAJARA,DTC,Asistente,C,0,0,,0
712-2024-60 PA DTC Asistente C de CUCHAPALA,60,2024,CUCHAPALA,DTC,Asistente,C,0,0,,0
712-2024-61 PA DTC Asistente C de CUTLAQUEPAQUE,61,2024,CUTLAQUEPAQUE,DTC,Asistente,C,0,0,,0
712-2024-62 PA DTC Asistente C de SEMS,62,2024,SEMS,DTC,Asistente,C,32,38,,70
712-2024-63 PA DTC Asistente C de AG,63,2024,AG,DTC,Asistente,C,0,0,,0
712-2024-64 PA DTC Asociado A de CUCEA,64,2024,CUCEA,DTC,Asociado,A,11,8,,19
712-2024-65 PA DTC Asociado A de CUCEI,65,2024,CUCEI,DTC,Asociado,A,11,3,,14
712-2024-66 PA DTC Asociado A de CUCSH,66,2024,CUCSH,DTC,Asociado,A,13,16,,29
712-2024-67 PA DTC Asociado A de CUCS,67,2024,CUCS,DTC,Asociado,A,19,14,,33
712-2024-68 PA DTC Asociado A de CUAAD,68,2024,CUAAD,DTC,Asociado,A,9,4,,13
712-2024-69 PA DTC Asociado A de CUCBA,69,2024,CUCBA,DTC,Asociado,A,8,5,,13
712-2024-70 PA DTC Asociado A de CUALTOS,70,2024,CUALTOS,DTC,Asociado,A,4,6,,10
712-2024-71 PA DTC Asociado A de CUCIÉNEGA,71,2024,CUCIÉNEGA,DTC,Asociado,A,5,3,,8
712-2024-72 PA DTC Asociado A de CUSUR,72,2024,CUSUR,DTC,Asociado,A,5,0,,5
712-2024-73 PA DTC Asociado A de CUCOSTA,73,2024,CUCOSTA,DTC,Asociado,A,5,1,,6
712-2024-74 PA DTC Asociado A de CUCOSTASUR,74,2024,CUCOSTASUR,DTC,Asociado,A,5,4,,9
712-2024-75 PA DTC Asociado A de CUVALLES,75,2024,CUVALLES,DTC,Asociado,A,3,6,,9
712-2024-76 PA DTC Asociado A de CUNORTE,76,2024,CUNORTE,DTC,Asociado,A,6,3,,9
712-2024-77 PA DTC Asociado A de CULAGOS,77,2024,CULAGOS,DTC,Asociado,A,3,1,,4
712-2024-78 PA DTC Asociado A de CUTONALÁ,78,2024,CUTONALÁ,DTC,Asociado,A,12,7,,19
712-2024-79 PA DTC Asociado A de CUTLAJOMULCO,79,2024,CUTLAJOMULCO,DTC,Asociado,A,1,5,,6
712-2024-80 PA DTC Asociado A de CUGUADALAJARA,80,2024,CUGUADALAJARA,DTC,Asociado,A,3,1,,4
712-2024-81 PA DTC Asociado A de CUCHAPALA,81,2024,CUCHAPALA,DTC,Asociado,A,0,0,,0
712-2024-82 PA DTC Asociado A de CUTLAQUEPAQUE,82,2024,CUTLAQUEPAQUE,DTC,Asociado,A,2,1,,3
712-2024-83 PA DTC Asociado A de SEMS,83,2024,SEMS,DTC,Asociado,A,115,107,,222
712-2024-84 PA DTC Asociado A de AG,84,2024,AG,DTC,Asociado,A,0,0,,0
712-2024-85 PA DTC Asociado B de CUCEA,85,2024,CUCEA,DTC,Asociado,B,17,11,,28
712-2024-86 PA DTC Asociado B de CUCEI,86,2024,CUCEI,DTC,Asociado,B,12,13,,25
712-2024-87 PA DTC Asociado B de CUCSH,87,2024,CUCSH,DTC,Asociado,B,18,17,,35
712-2024-88 PA DTC Asociado B de CUCS,88,2024,CUCS,DTC,Asociado,B,17,14,,31
712-2024-89 PA DTC Asociado B de CUAAD,89,2024,CUAAD,DTC,Asociado,B,8,4,,12
712-2024-90 PA DTC Asociado B de CUCBA,90,2024,CUCBA,DTC,Asociado,B,8,6,,14
712-2024-91 PA DTC Asociado B de CUALTOS,91,2024,CUALTOS,DTC,Asociado,B,10,6,,16
712-2024-92 PA DTC Asociado B de CUCIÉNEGA,92,2024,CUCIÉNEGA,DTC,Asociado,B,6,9,,15
712-2024-93 PA DTC Asociado B de CUSUR,93,2024,CUSUR,DTC,Asociado,B,4,6,,10
712-2024-94 PA DTC Asociado B de CUCOSTA,94,2024,CUCOSTA,DTC,Asociado,B,6,1,,7
712-2024-95 PA DTC Asociado B de CUCOSTASUR,95,2024,CUCOSTASUR,DTC,Asociado,B,2,3,,5
712-2024-96 PA DTC Asociado B de CUVALLES,96,2024,CUVALLES,DTC,Asociado,B,4,9,,13
712-2024-97 PA DTC Asociado B de CUNORTE,97,2024,CUNORTE,DTC,Asociado,B,5,3,,8
712-2024-98 PA DTC Asociado B de CULAGOS,98,2024,CULAGOS,DTC,Asociado,B,3,1,,4
712-2024-99 PA DTC Asociado B de CUTONALÁ,99,2024,CUTONALÁ,DTC,Asociado,B,5,11,,16
712-2024-100 PA DTC Asociado B de CUTLAJOMULCO,100,2024,CUTLAJOMULCO,DTC,Asociado,B,6,2,,8
712-2024-101 PA DTC Asociado B de CUGUADALAJARA,101,2024,CUGUADALAJARA,DTC,Asociado,B,2,1,,3
712-2024-102 PA DTC Asociado B de CUCHAPALA,102,2024,CUCHAPALA,DTC,Asociado,B,0,0,,0
712-2024-103 PA DTC Asociado B de CUTLAQUEPAQUE,103,2024,CUTLAQUEPAQUE,DTC,Asociado,B,0,0,,0
712-2024-104 PA DTC Asociado B de SEMS,104,2024,SEMS,DTC,Asociado,B,141,155,,296
712-2024-105 PA DTC Asociado B de AG,105,2024,AG,DTC,Asociado,B,0,0,,0
712-2024-106 PA DTC Asociado C de CUCEA,106,2024,CUCEA,DTC,Asociado,C,11,11,,22
712-2024-107 PA DTC Asociado C de CUCEI,107,2024,CUCEI,DTC,Asociado,C,9,7,,16
712-2024-108 PA DTC Asociado C de CUCSH,108,2024,CUCSH,DTC,Asociado,C,16,8,,24
712-2024-109 PA DTC Asociado C de CUCS,109,2024,CUCS,DTC,Asociado,C,11,10,,21
712-2024-110 PA DTC Asociado C de CUAAD,110,2024,CUAAD,DTC,Asociado,C,1,3,,4
712-2024-111 PA DTC Asociado C de CUCBA,111,2024,CUCBA,DTC,Asociado,C,13,2,,15
712-2024-112 PA DTC Asociado C de CUALTOS,112,2024,CUALTOS,DTC,Asociado,C,5,3,,8
712-2024-113 PA DTC Asociado C de CUCIÉNEGA,113,2024,CUCIÉNEGA,DTC,Asociado,C,3,0,,3
712-2024-114 PA DTC Asociado C de CUSUR,114,2024,CUSUR,DTC,Asociado,C,4,0,,4
712-2024-115 PA DTC Asociado C de CUCOSTA,115,2024,CUCOSTA,DTC,Asociado,C,2,0,,2
712-2024-116 PA DTC Asociado C de CUCOSTASUR,116,2024,CUCOSTASUR,DTC,Asociado,C,1,0,,1
712-2024-117 PA DTC Asociado C de CUVALLES,117,2024,CUVALLES,DTC,Asociado,C,2,2,,4
712-2024-118 PA DTC Asociado C de CUNORTE,118,2024,CUNORTE,DTC,Asociado,C,2,0,,2
712-2024-119 PA DTC Asociado C de CULAGOS,119,2024,CULAGOS,DTC,Asociado,C,2,4,,6
712-2024-120 PA DTC Asociado C de CUTONALÁ,120,2024,CUTONALÁ,DTC,Asociado,C,4,6,,10
712-2024-121 PA DTC Asociado C de CUTLAJOMULCO,121,2024,CUTLAJOMULCO,DTC,Asociado,C,1,3,,4
712-2024-122 PA DTC Asociado C de CUGUADALAJARA,122,2024,CUGUADALAJARA,DTC,Asociado,C,3,7,,10
712-2024-123 PA DTC Asociado C de CUCHAPALA,123,2024,CUCHAPALA,DTC,Asociado,C,0,0,,0
712-2024-124 PA DTC Asociado C de CUTLAQUEPAQUE,124,2024,CUTLAQUEPAQUE,DTC,Asociado,C,0,0,,0
