name,row,ciclo,entidad_universitaria,cve_programa,total
212 PE con matrícula por entidad -1 - 2019-2020 - CUCEA - 5031400003,1,2019-2020,CUCEA,5031400003,1
212 PE con matrícula por entidad -2 - 2019-2020 - CUCEA - 5032100065,2,2019-2020,CUCEA,5032100065,1
212 PE con matrícula por entidad -3 - 2019-2020 - CUCEA - 5041100009,3,2019-2020,CUCEA,5041100009,1
212 PE con matrícula por entidad -4 - 2019-2020 - CUCEA - 5041100056,4,2019-2020,CUCEA,5041100056,1
212 PE con matrícula por entidad -5 - 2019-2020 - CUCEA - 5041100127,5,2019-2020,CUCEA,5041100127,1
212 PE con matrícula por entidad -6 - 2019-2020 - CUCEA - 5041200028,6,2019-2020,CUCEA,5041200028,1
212 PE con matrícula por entidad -7 - 2019-2020 - CUCEA - 5041300007,7,2019-2020,CUCEA,5041300007,1
212 PE con matrícula por entidad -8 - 2019-2020 - CUCEA - 5041400032,8,2019-2020,CUCEA,5041400032,1
212 PE con matrícula por entidad -9 - 2019-2020 - CUCEA - 5042000002,9,2019-2020,CUCEA,5042000002,1
212 PE con matrícula por entidad -10 - 2019-2020 - CUCEA - 5042100117,10,2019-2020,CUCEA,5042100117,1
212 PE con matrícula por entidad -11 - 2019-2020 - CUCEA - 5042300027,11,2019-2020,CUCEA,5042300027,1
212 PE con matrícula por entidad -12 - 2019-2020 - CUCEA - 5051300020,12,2019-2020,CUCEA,5051300020,1
212 PE con matrícula por entidad -13 - 2019-2020 - CUCEA - 5062200082,13,2019-2020,CUCEA,5062200082,1
212 PE con matrícula por entidad -14 - 2019-2020 - CUCEA - 5101600013,14,2019-2020,CUCEA,5101600013,1
212 PE con matrícula por entidad -15 - 2019-2020 - CUCEA - 7011000042,15,2019-2020,CUCEA,7011000042,1
212 PE con matrícula por entidad -16 - 2019-2020 - CUCEA - 7011200077,16,2019-2020,CUCEA,7011200077,1
212 PE con matrícula por entidad -17 - 2019-2020 - CUCEA - 7011400011,17,2019-2020,CUCEA,7011400011,1
212 PE con matrícula por entidad -18 - 2019-2020 - CUCEA - 7012000087,18,2019-2020,CUCEA,7012000087,1
212 PE con matrícula por entidad -19 - 2019-2020 - CUCEA - 7012500034,19,2019-2020,CUCEA,7012500034,1
212 PE con matrícula por entidad -20 - 2019-2020 - CUCEA - 7031300023,20,2019-2020,CUCEA,7031300023,1
212 PE con matrícula por entidad -21 - 2019-2020 - CUCEA - 7031400008,21,2019-2020,CUCEA,7031400008,1
212 PE con matrícula por entidad -22 - 2019-2020 - CUCEA - 7031400038,22,2019-2020,CUCEA,7031400038,1
212 PE con matrícula por entidad -23 - 2019-2020 - CUCEA - 7031500062,23,2019-2020,CUCEA,7031500062,1
212 PE con matrícula por entidad -24 - 2019-2020 - CUCEA - 7041100024,24,2019-2020,CUCEA,7041100024,1
212 PE con matrícula por entidad -25 - 2019-2020 - CUCEA - 7041100026,25,2019-2020,CUCEA,7041100026,1
212 PE con matrícula por entidad -26 - 2019-2020 - CUCEA - 7041200034,26,2019-2020,CUCEA,7041200034,1
212 PE con matrícula por entidad -27 - 2019-2020 - CUCEA - 7041300021,27,2019-2020,CUCEA,7041300021,1
212 PE con matrícula por entidad -28 - 2019-2020 - CUCEA - 7041300024,28,2019-2020,CUCEA,7041300024,1
212 PE con matrícula por entidad -29 - 2019-2020 - CUCEA - 7041400008,29,2019-2020,CUCEA,7041400008,1
212 PE con matrícula por entidad -30 - 2019-2020 - CUCEA - 7041400048,30,2019-2020,CUCEA,7041400048,1
212 PE con matrícula por entidad -31 - 2019-2020 - CUCEA - 7042100033,31,2019-2020,CUCEA,7042100033,1
212 PE con matrícula por entidad -32 - 2019-2020 - CUCEA - 7061000012,32,2019-2020,CUCEA,7061000012,1
212 PE con matrícula por entidad -33 - 2019-2020 - CUCEA - 7062200049,33,2019-2020,CUCEA,7062200049,1
212 PE con matrícula por entidad -34 - 2019-2020 - CUCEA - 7103100010,34,2019-2020,CUCEA,7103100010,1
212 PE con matrícula por entidad -35 - 2019-2020 - CUCEA - 8031300020,35,2019-2020,CUCEA,8031300020,1
212 PE con matrícula por entidad -36 - 2019-2020 - CUCEA - 8031400014,36,2019-2020,CUCEA,8031400014,1
212 PE con matrícula por entidad -37 - 2019-2020 - CUCEA - 8041400003,37,2019-2020,CUCEA,8041400003,1
212 PE con matrícula por entidad -38 - 2019-2020 - CUCEA - 8042000005,38,2019-2020,CUCEA,8042000005,1
212 PE con matrícula por entidad -39 - 2019-2020 - CUCEA - 8042500005,39,2019-2020,CUCEA,8042500005,1
212 PE con matrícula por entidad -40 - 2019-2020 - CUCEA - 8062200005,40,2019-2020,CUCEA,8062200005,1
212 PE con matrícula por entidad -41 - 2019-2020 - CUCEI - 5052100005,41,2019-2020,CUCEI,5052100005,1
212 PE con matrícula por entidad -42 - 2019-2020 - CUCEI - 5052200007,42,2019-2020,CUCEI,5052200007,1
212 PE con matrícula por entidad -43 - 2019-2020 - CUCEI - 5052200017,43,2019-2020,CUCEI,5052200017,1
212 PE con matrícula por entidad -44 - 2019-2020 - CUCEI - 5053100004,44,2019-2020,CUCEI,5053100004,1
212 PE con matrícula por entidad -45 - 2019-2020 - CUCEI - 5061000002,45,2019-2020,CUCEI,5061000002,1
212 PE con matrícula por entidad -46 - 2019-2020 - CUCEI - 5062100009,46,2019-2020,CUCEI,5062100009,1
212 PE con matrícula por entidad -47 - 2019-2020 - CUCEI - 5062200055,47,2019-2020,CUCEI,5062200055,1
212 PE con matrícula por entidad -48 - 2019-2020 - CUCEI - 5071000020,48,2019-2020,CUCEI,5071000020,1
212 PE con matrícula por entidad -49 - 2019-2020 - CUCEI - 5071200034,49,2019-2020,CUCEI,5071200034,1
212 PE con matrícula por entidad -50 - 2019-2020 - CUCEI - 5071300009,50,2019-2020,CUCEI,5071300009,1
212 PE con matrícula por entidad -51 - 2019-2020 - CUCEI - 5071300082,51,2019-2020,CUCEI,5071300082,1
212 PE con matrícula por entidad -52 - 2019-2020 - CUCEI - 5071400015,52,2019-2020,CUCEI,5071400015,1
212 PE con matrícula por entidad -53 - 2019-2020 - CUCEI - 5071700019,53,2019-2020,CUCEI,5071700019,1
212 PE con matrícula por entidad -54 - 2019-2020 - CUCEI - 5072100033,54,2019-2020,CUCEI,5072100033,1
212 PE con matrícula por entidad -55 - 2019-2020 - CUCEI - 5073200005,55,2019-2020,CUCEI,5073200005,1
212 PE con matrícula por entidad -56 - 2019-2020 - CUCEI - 5073200035,56,2019-2020,CUCEI,5073200035,1
212 PE con matrícula por entidad -57 - 2019-2020 - CUCEI - 5095400006,57,2019-2020,CUCEI,5095400006,1
212 PE con matrícula por entidad -58 - 2019-2020 - CUCEI - 5102100004,58,2019-2020,CUCEI,5102100004,1
212 PE con matrícula por entidad -59 - 2019-2020 - CUCEI - 7012604029,59,2019-2020,CUCEI,7012604029,1
212 PE con matrícula por entidad -60 - 2019-2020 - CUCEI - 7052100009,60,2019-2020,CUCEI,7052100009,1
212 PE con matrícula por entidad -61 - 2019-2020 - CUCEI - 7052200003,61,2019-2020,CUCEI,7052200003,1
212 PE con matrícula por entidad -62 - 2019-2020 - CUCEI - 7052200006,62,2019-2020,CUCEI,7052200006,1
212 PE con matrícula por entidad -63 - 2019-2020 - CUCEI - 7052200018,63,2019-2020,CUCEI,7052200018,1
212 PE con matrícula por entidad -64 - 2019-2020 - CUCEI - 7052300025,64,2019-2020,CUCEI,7052300025,1
212 PE con matrícula por entidad -65 - 2019-2020 - CUCEI - 7053100007,65,2019-2020,CUCEI,7053100007,1
212 PE con matrícula por entidad -66 - 2019-2020 - CUCEI - 7062000007,66,2019-2020,CUCEI,7062000007,1
212 PE con matrícula por entidad -67 - 2019-2020 - CUCEI - 7062200074,67,2019-2020,CUCEI,7062200074,1
212 PE con matrícula por entidad -68 - 2019-2020 - CUCEI - 7071200009,68,2019-2020,CUCEI,7071200009,1
212 PE con matrícula por entidad -69 - 2019-2020 - CUCEI - 7071300026,69,2019-2020,CUCEI,7071300026,1
212 PE con matrícula por entidad -70 - 2019-2020 - CUCEI - 7071400012,70,2019-2020,CUCEI,7071400012,1
212 PE con matrícula por entidad -71 - 2019-2020 - CUCEI - 7071500006,71,2019-2020,CUCEI,7071500006,1
212 PE con matrícula por entidad -72 - 2019-2020 - CUCEI - 7071600020,72,2019-2020,CUCEI,7071600020,1
212 PE con matrícula por entidad -73 - 2019-2020 - CUCEI - 8052100009,73,2019-2020,CUCEI,8052100009,1
212 PE con matrícula por entidad -74 - 2019-2020 - CUCEI - 8052200001,74,2019-2020,CUCEI,8052200001,1
212 PE con matrícula por entidad -75 - 2019-2020 - CUCEI - 8052200009,75,2019-2020,CUCEI,8052200009,1
212 PE con matrícula por entidad -76 - 2019-2020 - CUCEI - 8052200018,76,2019-2020,CUCEI,8052200018,1
212 PE con matrícula por entidad -77 - 2019-2020 - CUCEI - 8071300016,77,2019-2020,CUCEI,8071300016,1
212 PE con matrícula por entidad -78 - 2019-2020 - CUCEI - 8071400003,78,2019-2020,CUCEI,8071400003,1
212 PE con matrícula por entidad -79 - 2019-2020 - CUCSH - 5012603011,79,2019-2020,CUCSH,5012603011,1
212 PE con matrícula por entidad -80 - 2019-2020 - CUCSH - 5012603027,80,2019-2020,CUCSH,5012603027,1
212 PE con matrícula por entidad -81 - 2019-2020 - CUCSH - 5021500119,81,2019-2020,CUCSH,5021500119,1
212 PE con matrícula por entidad -82 - 2019-2020 - CUCSH - 5022300022,82,2019-2020,CUCSH,5022300022,1
212 PE con matrícula por entidad -83 - 2019-2020 - CUCSH - 5022500008,83,2019-2020,CUCSH,5022500008,1
212 PE con matrícula por entidad -84 - 2019-2020 - CUCSH - 5022600002,84,2019-2020,CUCSH,5022600002,1
212 PE con matrícula por entidad -85 - 2019-2020 - CUCSH - 5031200004,85,2019-2020,CUCSH,5031200004,1
212 PE con matrícula por entidad -86 - 2019-2020 - CUCSH - 5031200031,86,2019-2020,CUCSH,5031200031,1
212 PE con matrícula por entidad -87 - 2019-2020 - CUCSH - 5031300010,87,2019-2020,CUCSH,5031300010,1
212 PE con matrícula por entidad -88 - 2019-2020 - CUCSH - 5031300014,88,2019-2020,CUCSH,5031300014,1
212 PE con matrícula por entidad -89 - 2019-2020 - CUCSH - 5031500010,89,2019-2020,CUCSH,5031500010,1
212 PE con matrícula por entidad -90 - 2019-2020 - CUCSH - 5032100027,90,2019-2020,CUCSH,5032100027,1
212 PE con matrícula por entidad -91 - 2019-2020 - CUCSH - 5033100003,91,2019-2020,CUCSH,5033100003,1
212 PE con matrícula por entidad -92 - 2019-2020 - CUCSH - 5033200006,92,2019-2020,CUCSH,5033200006,1
212 PE con matrícula por entidad -93 - 2019-2020 - CUCSH - 5052300015,93,2019-2020,CUCSH,5052300015,1
212 PE con matrícula por entidad -94 - 2019-2020 - CUCSH - 7011200033,94,2019-2020,CUCSH,7011200033,1
212 PE con matrícula por entidad -95 - 2019-2020 - CUCSH - 7012603017,95,2019-2020,CUCSH,7012603017,1
212 PE con matrícula por entidad -96 - 2019-2020 - CUCSH - 7022200011,96,2019-2020,CUCSH,7022200011,1
212 PE con matrícula por entidad -97 - 2019-2020 - CUCSH - 7022200019,97,2019-2020,CUCSH,7022200019,1
212 PE con matrícula por entidad -98 - 2019-2020 - CUCSH - 7022300005,98,2019-2020,CUCSH,7022300005,1
212 PE con matrícula por entidad -99 - 2019-2020 - CUCSH - 7022400002,99,2019-2020,CUCSH,7022400002,1
212 PE con matrícula por entidad -100 - 2019-2020 - CUCSH - 7022500015,100,2019-2020,CUCSH,7022500015,1
212 PE con matrícula por entidad -101 - 2019-2020 - CUCSH - 7022600008,101,2019-2020,CUCSH,7022600008,1
