name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2025A Bachillerato General SEMS,1,2025,A,Bachillerato General,SEMS,29844,15103,14741,,23468,11638,11830,,6376,3465,2911,,78.63557164
13 Admisión - 2 2025A Bachillerato Tecnológico SEMS,2,2025,A,Bachillerato Tecnológico,SEMS,2401,1325,1076,,1816,999,817,,585,326,259,,75.63515202
13 Admisión - 3 2025A Bachillerato Tecnológico CUAAD,3,2025,A,Bachillerato Tecnológico,CUAAD,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 4 2025A Bachillerato Tecnológico CUCS,4,2025,A,Bachillerato Tecnológico,CUCS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 5 2025A Bachillerato Tecnológico CUSUR,5,2025,A,Bachillerato Tecnológico,CUSUR,21,6,15,,6,2,4,,15,4,11,,28.57142857
13 Admisión - 6 2025A Técnico Superior Universitario CUCEA,6,2025,A,Técnico Superior Universitario,CUCEA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 7 2025A Técnico Superior Universitario CUCEI,7,2025,A,Técnico Superior Universitario,CUCEI,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 8 2025A Técnico Superior Universitario CUCS,8,2025,A,Técnico Superior Universitario,CUCS,500,208,292,,233,88,145,,267,120,147,,46.6
13 Admisión - 9 2025A Técnico Superior Universitario CUALTOS,9,2025,A,Técnico Superior Universitario,CUALTOS,9,4,5,,0,0,0,,9,4,5,,0
13 Admisión - 10 2025A Técnico Superior Universitario CUCOSTASUR,10,2025,A,Técnico Superior Universitario,CUCOSTASUR,60,59,1,,47,47,0,,13,12,1,,78.33333333
13 Admisión - 11 2025A Licenciatura CUCEA,11,2025,A,Licenciatura,CUCEA,6313,3012,3301,,3186,1489,1697,,3127,1523,1604,,50.46728972
13 Admisión - 12 2025A Licenciatura CUCEI,12,2025,A,Licenciatura,CUCEI,5874,4200,1674,,2625,1865,760,,3249,2335,914,,44.68845761
13 Admisión - 13 2025A Licenciatura CUCSH,13,2025,A,Licenciatura,CUCSH,2790,1181,1609,,1271,507,764,,1519,674,845,,45.55555556
13 Admisión - 14 2025A Licenciatura CUCS,14,2025,A,Licenciatura,CUCS,9673,2983,6690,,1650,534,1116,,8023,2449,5574,,17.05778972
13 Admisión - 15 2025A Licenciatura CUAAD,15,2025,A,Licenciatura,CUAAD,4499,1860,2639,,850,324,526,,3649,1536,2113,,18.89308735
13 Admisión - 16 2025A Licenciatura CUCBA,16,2025,A,Licenciatura,CUCBA,2229,960,1269,,802,376,426,,1427,584,843,,35.98026021
13 Admisión - 17 2025A Licenciatura CUALTOS,17,2025,A,Licenciatura,CUALTOS,1567,565,1002,,548,195,353,,1019,370,649,,34.97128271
13 Admisión - 18 2025A Licenciatura CUCIÉNEGA,18,2025,A,Licenciatura,CUCIÉNEGA,1402,595,807,,782,352,430,,620,243,377,,55.77746077
13 Admisión - 19 2025A Licenciatura CUSUR,19,2025,A,Licenciatura,CUSUR,2130,779,1351,,839,327,512,,1291,452,839,,39.38967136
13 Admisión - 20 2025A Licenciatura CUCOSTA,20,2025,A,Licenciatura,CUCOSTA,1696,748,948,,889,415,474,,807,333,474,,52.41745283
13 Admisión - 21 2025A Licenciatura CUCOSTASUR,21,2025,A,Licenciatura,CUCOSTASUR,602,289,313,,390,192,198,,212,97,115,,64.78405316
13 Admisión - 22 2025A Licenciatura CUVALLES,22,2025,A,Licenciatura,CUVALLES,1486,528,958,,833,332,501,,653,196,457,,56.05652759
13 Admisión - 23 2025A Licenciatura CUNORTE,23,2025,A,Licenciatura,CUNORTE,646,232,414,,503,181,322,,143,51,92,,77.86377709
13 Admisión - 24 2025A Licenciatura CULAGOS,24,2025,A,Licenciatura,CULAGOS,352,146,206,,203,80,123,,149,66,83,,57.67045455
13 Admisión - 25 2025A Licenciatura CUTONALÁ,25,2025,A,Licenciatura,CUTONALÁ,3169,1240,1929,,1101,475,626,,2068,765,1303,,34.74282108
13 Admisión - 26 2025A Licenciatura CUTLAJOMULCO,26,2025,A,Licenciatura,CUTLAJOMULCO,2326,908,1418,,788,326,462,,1538,582,956,,33.87790198
13 Admisión - 27 2025A Licenciatura CUGUADALAJARA,27,2025,A,Licenciatura,CUGUADALAJARA,1796,1012,784,,764,450,314,,1032,562,470,,42.5389755
13 Admisión - 28 2025A Licenciatura CUCHAPALA,28,2025,A,Licenciatura,CUCHAPALA,75,18,57,,33,8,25,,42,10,32,,44
13 Admisión - 29 2025A Licenciatura CUTLAQUEPAQUE,29,2025,A,Licenciatura,CUTLAQUEPAQUE,467,259,208,,277,159,118,,190,100,90,,59.31477516
