name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -1 - 2022-2023 - 2021300033,1,2022-2023,2021300033,1
211 PE únicos con matrícula -2 - 2022-2023 - 2051200001,2,2022-2023,2051200001,1
211 PE únicos con matrícula -3 - 2022-2023 - 2062100003,3,2022-2023,2062100003,1
211 PE únicos con matrícula -4 - 2022-2023 - 2062200007,4,2022-2023,2062200007,1
211 PE únicos con matrícula -5 - 2022-2023 - 2062200013,5,2022-2023,2062200013,1
211 PE únicos con matrícula -6 - 2022-2023 - 2071100002,6,2022-2023,2071100002,1
211 PE únicos con matrícula -7 - 2022-2023 - 2071200002,7,2022-2023,2071200002,1
211 PE únicos con matrícula -8 - 2022-2023 - 2071200011,8,2022-2023,2071200011,1
211 PE únicos con matrícula -9 - 2022-2023 - 2071400001,9,2022-2023,2071400001,1
211 PE únicos con matrícula -10 - 2022-2023 - 2071400003,10,2022-2023,2071400003,1
211 PE únicos con matrícula -11 - 2022-2023 - 2072000001,11,2022-2023,2072000001,1
211 PE únicos con matrícula -12 - 2022-2023 - 2072100002,12,2022-2023,2072100002,1
211 PE únicos con matrícula -13 - 2022-2023 - 2072300001,13,2022-2023,2072300001,1
211 PE únicos con matrícula -14 - 2022-2023 - 2072400003,14,2022-2023,2072400003,1
211 PE únicos con matrícula -15 - 2022-2023 - 2092100004,15,2022-2023,2092100004,1
211 PE únicos con matrícula -16 - 2022-2023 - 3021600010,16,2022-2023,3021600010,1
211 PE únicos con matrícula -17 - 2022-2023 - 3021700001,17,2022-2023,3021700001,1
211 PE únicos con matrícula -18 - 2022-2023 - 3041100005,18,2022-2023,3041100005,1
211 PE únicos con matrícula -19 - 2022-2023 - 3042000001,19,2022-2023,3042000001,1
211 PE únicos con matrícula -20 - 2022-2023 - 3042100001,20,2022-2023,3042100001,1
211 PE únicos con matrícula -21 - 2022-2023 - 3042100026,21,2022-2023,3042100026,1
211 PE únicos con matrícula -22 - 2022-2023 - 3061300004,22,2022-2023,3061300004,1
211 PE únicos con matrícula -23 - 2022-2023 - 3071700002,23,2022-2023,3071700002,1
211 PE únicos con matrícula -24 - 2022-2023 - 3073200001,24,2022-2023,3073200001,1
211 PE únicos con matrícula -25 - 2022-2023 - 3081100003,25,2022-2023,3081100003,1
211 PE únicos con matrícula -26 - 2022-2023 - 3081100024,26,2022-2023,3081100024,1
211 PE únicos con matrícula -27 - 2022-2023 - 3093100005,27,2022-2023,3093100005,1
211 PE únicos con matrícula -28 - 2022-2023 - 3095300007,28,2022-2023,3095300007,1
211 PE únicos con matrícula -29 - 2022-2023 - 3101600003,29,2022-2023,3101600003,1
211 PE únicos con matrícula -30 - 2022-2023 - 4071500002,30,2022-2023,4071500002,1
211 PE únicos con matrícula -31 - 2022-2023 - 4093100005,31,2022-2023,4093100005,1
211 PE únicos con matrícula -32 - 2022-2023 - 4094100005,32,2022-2023,4094100005,1
211 PE únicos con matrícula -33 - 2022-2023 - 4094100010,33,2022-2023,4094100010,1
211 PE únicos con matrícula -34 - 2022-2023 - 4095300010,34,2022-2023,4095300010,1
211 PE únicos con matrícula -35 - 2022-2023 - 4103100001,35,2022-2023,4103100001,1
211 PE únicos con matrícula -36 - 2022-2023 - 5011100022,36,2022-2023,5011100022,1
211 PE únicos con matrícula -37 - 2022-2023 - 5011200004,37,2022-2023,5011200004,1
211 PE únicos con matrícula -38 - 2022-2023 - 5011500002,38,2022-2023,5011500002,1
211 PE únicos con matrícula -39 - 2022-2023 - 5012603011,39,2022-2023,5012603011,1
211 PE únicos con matrícula -40 - 2022-2023 - 5012603027,40,2022-2023,5012603027,1
211 PE únicos con matrícula -41 - 2022-2023 - 5021000002,41,2022-2023,5021000002,1
