name,orden,ciclo,anio,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
2022 14MMS0623O Prepa Tonalá Norte,31,2022 - 2023,2022,SEMS,,14MMS0623O,Escuela Preparatoria de Tonalá Norte,Prepa Tonalá Norte,Escuela,Metropolitano,Región Centro,Tonalá,Tonalá,Avenida Juan Gil Preciado,S/N,N/A,45409,http://prepatonalanorte.sems.udg.mx,prepatonalanorte.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Tonal%C3%A1+Norte/@20.652552,-103.2495082,20.96z/data=!4m6!3m5!1s0x8428b6ad2fffffff:0x43f78d41d925fa30!8m2!3d20.6538906!4d-103.2477569!16s%2Fg%2F1tgwb6qm?entry=ttu",,
2022 14MMS0643B EPR de Ahualulco de Mercado,32,2022 - 2023,2022,SEMS,,14MMS0643B,Escuela Preparatoria Regional de Ahualulco de Mercado,EPR de Ahualulco de Mercado,Escuela,Regional,Región Valles,Ahualulco de Mercado,Ahualulco de Mercado,Calle 20 de Noviembre,110,N/A,46730,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Ahualulco+de+Mercado/@20.6970012,-103.9740941,19.5z/data=!4m14!1m7!3m6!1s0x8426726fd8dd2fef:0xd61449b5df01cc60!2sEscuela+Preparatoria+Regional+de+Ahualulco+de+Mercado!8m2!3d20.6970626!4d-103.9740967!16s%2Fg%2F1tgnmd2y!3m5!1s0x8426726fd8dd2fef:0xd61449b5df01cc60!8m2!3d20.6970626!4d-103.9740967!16s%2Fg%2F1tgnmd2y?entry=ttu",,
2022 14MMS0727J Módulo Teuchitlán,33,2022 - 2023,2022,SEMS,14MMS0643B,14MMS0727J,Módulo Teuchitlán,Módulo Teuchitlán,Módulo,Regional,Región Valles,Teuchitlán,Teuchitlán,Calle 16 de Septiembre,16 de Septiembre,N/A,46760,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,"https://www.google.com.mx/maps/place/Prepa+Teuchitl%C3%A1n/@20.6840726,-103.8579719,17.39z/data=!4m6!3m5!1s0x84260dbab0fd742d:0x836e626de0c82e2!8m2!3d20.6843792!4d-103.8558606!16s%2Fg%2F11gb3t3dtc?entry=ttu",,
2022 14MMS0717C EPR de Amatitán,34,2022 - 2023,2022,SEMS,,14MMS0717C,Escuela Preparatoria Regional de Amatitán,EPR de Amatitán,Escuela,Regional,Región Valles,Amatitán,Amatitán,Calle López Mateos,165,N/A,45380,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Amatit%C3%A1n/@20.8301899,-103.7366613,19.5z/data=!4m6!3m5!1s0x84261750e75fc30b:0x8b13e2b28599f67!8m2!3d20.830128!4d-103.7361644!16s%2Fg%2F11c5hk8drp?entry=ttu",,
2022 14MMS0718B Módulo Arenal,35,2022 - 2023,2022,SEMS,14MMS0717C,14MMS0718B,Módulo Arenal,Módulo Arenal,Módulo,Regional,Región Valles,El Arenal,El Arenal,Calle Retinto,12,N/A,45350,http://prepaelarenal.sems.udg.mx,prepaelarenal.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Regional+de+Amatitan+Modulo+de+Arenal/@20.7655223,-103.6920235,19.22z/data=!4m14!1m7!3m6!1s0x84261b186b9400b9:0xc2786db49f9673ec!2sPreparatoria+Regional+de+Amatitan+Modulo+de+Arenal!8m2!3d20.7654575!4d-103.6913307!16s%2Fg%2F11h_17bzj7!3m5!1s0x84261b186b9400b9:0xc2786db49f9673ec!8m2!3d20.7654575!4d-103.6913307!16s%2Fg%2F11h_17bzj7?entry=ttu",,
2022 14MMS0741C Extensión El Salvador,36,2022 - 2023,2022,SEMS,14MMS0717C,14MMS0741C,Módulo El Salvador,Extensión El Salvador,Módulo,Regional,Región Valles,Tequila,Tequila,Calle Iturbide,S/N,N/A,46408,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Regional+de+Amatit%C3%A1n,+M%C3%B3dulo+El+Salvador/@21.0197153,-103.7213872,16.04z/data=!4m9!1m2!2m1!1sIturbide+S%2FN,+El+Salvador,+Jalisco!3m5!1s0x842624b00556045d:0x2468f97617382cf4!8m2!3d21.0221362!4d-103.7180319!16s%2Fg%2F11f54j5cwd?entry=ttu",,
2022 14MMS0617D EPR de Ameca,37,2022 - 2023,2022,SEMS,,14MMS0617D,Escuela Preparatoria Regional de Ameca,EPR de Ameca,Escuela,Regional,Región Valles,Ameca,Ameca,Calle Lic. Enrique Díaz de León,205,N/A,46600,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Ameca/@20.5482953,-104.0416979,17.56z/data=!4m6!3m5!1s0x842676440db7b549:0x3b22c3cc615ea3cb!8m2!3d20.5484621!4d-104.0402683!16s%2Fg%2F1tf5f1fc?entry=ttu",,
2022 14MMS0662Q Módulo Atenguillo,38,2022 - 2023,2022,SEMS,14MMS0617D,14MMS0662Q,Módulo Atenguillo,Módulo Atenguillo,Módulo,Regional,Región Costa-Sierra Occidental,Atenguillo,Atenguillo,Avenida Ameca,1000,N/A,48100,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+de+Atenguillo/@20.4257087,-104.5005218,17.11z/data=!4m6!3m5!1s0x84242648db57e46d:0xbf8978e45ddf50b6!8m2!3d20.4227195!4d-104.4990783!16s%2Fg%2F11cltvdpt6?entry=ttu",,
2022 14MMS0663P Módulo Mascota,39,2022 - 2023,2022,SEMS,14MMS0617D,14MMS0663P,Módulo Mascota,Módulo Mascota,Módulo,Regional,Región Costa-Sierra Occidental,Mascota,Mascota,Calle Salvador Chávez Magaña,68,N/A,46900,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+UdeG+Mascota/@20.535765,-104.7981007,18.47z/data=!4m6!3m5!1s0x8426a687d99f1dff:0xd55a3c059808979!8m2!3d20.534553!4d-104.7967624!16s%2Fg%2F1hhxmzwss?entry=ttu",,
2022 14MMS0664O Módulo San Antonio Matute,40,2022 - 2023,2022,SEMS,14MMS0617D,14MMS0664O,Módulo San Antonio Matute,Módulo San Antonio Matute,Módulo,Regional,Región Valles,Ameca,Ameca,Avenida Ameca,S/N,N/A,46700,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,"https://www.google.com.mx/maps/search/modulo+san+antonio+matute/@20.5564194,-103.954841,18.28z?entry=ttu",,
2022 14MMS0665N Módulo Talpa de Allende,41,2022 - 2023,2022,SEMS,14MMS0617D,14MMS0665N,Módulo Talpa de Allende,Módulo Talpa de Allende,Módulo,Regional,Región Costa-Sierra Occidental,Talpa de Allende,Talpa de Allende,Calle Manuela Navarro Alatorre,1,N/A,48200,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+de+Talpa/@20.3809352,-104.8262474,19.29z/data=!4m6!3m5!1s0x84241cbffda33ed7:0x37b1520591b3f3c9!8m2!3d20.3810405!4d-104.8259658!16s%2Fg%2F1tdjxb27?entry=ttu",,
2022 14MMS0619B EPR de Arandas,42,2022 - 2023,2022,SEMS,,14MMS0619B,Escuela Preparatoria Regional de Arandas,EPR de Arandas,Escuela,Regional,Región Altos Sur,Arandas,Arandas,Calle General Arteaga,345,N/A,47180,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Regional+de+Arandas/@20.6996004,-102.3522345,18.67z/data=!4m6!3m5!1s0x84294b81569b0469:0x590c563ce8797d25!8m2!3d20.6996312!4d-102.3515778!16s%2Fg%2F1thd23l1?entry=ttu",,
2022 14MMS0666M Módulo Jesús María,43,2022 - 2023,2022,SEMS,14MMS0619B,14MMS0666M,Módulo Jesús María,Módulo Jesús María,Módulo,Regional,Región Altos Sur,Jesús María,Jesús María,Avenida Prolongación Jalisco,4,N/A,47950,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatorio+Regional+De+Arandas+M%C3%B3dulo+Jes%C3%BAs+Mar%C3%ADa/@20.6037238,-102.2291783,18.94z/data=!4m6!3m5!1s0x842ead1aa0a631c3:0xa3f4a1353020788d!8m2!3d20.604209!4d-102.2289795!16s%2Fg%2F11h03pq7xq?entry=ttu",,
2022 14MMS0667L Módulo San Ignacio Cerro Gordo,44,2022 - 2023,2022,SEMS,14MMS0619B,14MMS0667L,Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,Módulo,Regional,Región Altos Sur,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,Calle Niños Héroes,120,N/A,47190,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,"https://www.google.com.mx/maps/place/M%C3%B3dulo+San+Ignacio+Cerro+Gordo/@20.747608,-102.5296413,19z/data=!4m6!3m5!1s0x842936b4c8c40c61:0x7b6a66959933293d!8m2!3d20.7471406!4d-102.5292149!16s%2Fg%2F11hcfr8msj?entry=ttu",,
2022 14MMS0728I Módulo Santa María del Valle,45,2022 - 2023,2022,SEMS,14MMS0619B,14MMS0728I,Módulo Santa María del Valle,Módulo Santa María del Valle,Módulo,Regional,Región Altos Sur,Arandas,Arandas,Calle Jesús Campos,S/N,N/A,47196,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,"https://www.google.com.mx/maps/place/M%C3%B3dulo+Santa+Mar%C3%ADa+del+Valle+UDG/@20.8716277,-102.3772943,17.56z/data=!4m6!3m5!1s0x842947f14f171d5d:0x897c58dd6407fe6f!8m2!3d20.8712093!4d-102.3757359!16s%2Fg%2F11j0cw_387?entry=ttu",,
2022 14MMS0618C EPR de Atotonilco,46,2022 - 2023,2022,SEMS,,14MMS0618C,Escuela Preparatoria Regional de Atotonilco,EPR de Atotonilco,Escuela,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Carretera Guadalajara - México,Km 84,N/A,47750,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Atotonilco/@20.5438118,-102.5197397,19.01z/data=!4m6!3m5!1s0x842ecbdbda524e4b:0x34358e045ccaa1e5!8m2!3d20.5435364!4d-102.5197355!16s%2Fg%2F1td0nbtb?entry=ttu",,
2022 14MMS0668K Módulo Ayotlán,47,2022 - 2023,2022,SEMS,14MMS0618C,14MMS0668K,Módulo Ayotlán,Módulo Ayotlán,Módulo,Regional,Región Ciénega,Ayotlán,Ayotlan,Carretera Ayotlan - La Piedad,Km 0.5,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Regional+De+Ayotlan+UDG/@20.5228541,-102.3297606,16.86z/data=!4m6!3m5!1s0x842eb13c22349445:0x262018da1c32b623!8m2!3d20.5257731!4d-102.3271836!16s%2Fg%2F11c53c53j1?entry=ttu",,
2022 14MMS0747X Módulo La Ribera,48,2022 - 2023,2022,SEMS,14MMS0618C,14MMS0747X,Módulo La Ribera,Módulo La Ribera,Módulo,Regional,Región Ciénega,Ayotlán,Ayotlan,Calle Benito Juárez,S/N,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+UdeG+M%C3%B3dulo+La+Ribera/@20.3468509,-102.2805744,16.42z/data=!4m6!3m5!1s0x842ebd430ae7e191:0x730862bace222c23!8m2!3d20.350663!4d-102.2761289!16s%2Fg%2F11h03g1mp9?entry=ttu",,
2022 14MMS0750K Módulo San Francisco de Asís,49,2022 - 2023,2022,SEMS,14MMS0618C,14MMS0750K,Módulo San Francisco de Asís,Módulo San Francisco de Asís,Módulo,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Calle Orozco ,S/N,N/A,47755,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,"https://www.google.com.mx/maps/place/MODULO+SAN+FRANCISCO+DE+ASIS,+PREPARATORIA+REGIONAL+DE+ATOTONILCO/@20.6048102,-102.5663554,18.08z/data=!4m6!3m5!1s0x842ecce642ed5a05:0xa54802fca20c0845!8m2!3d20.6037314!4d-102.5662585!16s%2Fg%2F11fxb9__v9?entry=ttu",,
2022 14MMS0621Q EPR de Autlán de Navarro,50,2022 - 2023,2022,SEMS,,14MMS0621Q,Escuela Preparatoria Regional de Autlán de Navarro,EPR de Autlán de Navarro,Escuela,Regional,Región Sierra de Amula,Autlán de Navarro,Autlán de Navarro,Avenida Universidad ,407,N/A,48900,http://prepaautlan.sems.udg.mx,prepaautlan.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Autl%C3%A1n/@19.7609004,-104.357913,17z/data=!4m14!1m7!3m6!1s0x842455ecda08be9d:0xbaf695cc66c4f3da!2sEscuela+Preparatoria+Regional+de+Autl%C3%A1n!8m2!3d19.7609004!4d-104.3566846!16s%2Fg%2F1hhxssq8m!3m5!1s0x842455ecda08be9d:0xbaf695cc66c4f3da!8m2!3d19.7609004!4d-104.3566846!16s%2Fg%2F1hhxssq8m?entry=ttu",,
2022 14MMS0622P EPR de Casimiro Castillo,51,2022 - 2023,2022,SEMS,,14MMS0622P,Escuela Preparatoria Regional de Casimiro Castillo,EPR de Casimiro Castillo,Escuela,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Carretera Guadalajara - Barra de Navidad,Km 1.5,N/A,48930,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+de+Casimiro+Castillo/@19.6105878,-104.4566595,16.28z/data=!4m6!3m5!1s0x8424fa589aaaaaab:0x8ac828e4fa30e9!8m2!3d19.6097121!4d-104.4523148!16s%2Fg%2F1wk7r53j?entry=ttu",,
2022 14MMS0732V Módulo Ayotitlán,52,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0732V,Módulo Ayotitlán,Módulo Ayotitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Carretera El Rincón de Ayotitlán,Km 1,N/A,48962,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria,+Modulo+Ayotitlan/@19.4776558,-104.184986,19.28z/data=!4m6!3m5!1s0x842519564986aaad:0xfb627e30b7d83680!8m2!3d19.4783704!4d-104.1849318!16s%2Fg%2F11g8v5cpqr?entry=ttu",,
2022 14MMS0733U Módulo Chacala,53,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0733U,Módulo Chacala,Módulo Chacala,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Calle Independencia,S/N,N/A,48967,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Modulo+Chacala/@19.3264855,-104.2838093,19.89z/data=!4m6!3m5!1s0x8425218dcc3c6a0d:0x6ca6c71134218817!8m2!3d19.3264343!4d-104.2836176!16s%2Fg%2F11h4k72vcz?entry=ttu",,
2022 14MMS0674V Módulo Cuautitlán,54,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0674V,Módulo Cuautitlán,Módulo Cuautitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Avenida Prolongación Hidalgo,150,N/A,48950,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+M%C3%B3dulo+Cuautitlan/@19.4514568,-104.3697846,17z/data=!4m6!3m5!1s0x8424e126505f6c5b:0x4f333059a0d157d2!8m2!3d19.4514397!4d-104.3686473!16s%2Fg%2F11h3bj1rh6?entry=ttu",,
2022 14MMS0734T Módulo Cuzalapa,55,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0734T,Módulo Cuzalapa,Módulo Cuzalapa,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Camino Al Basurero,S/N,N/A,48954,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/@19.499169,-104.3183443,16.67z/data=!5m1!1e1?entry=ttu",,
2022 14MMS0675U Módulo Hermenegildo Galeana,56,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0675U,Módulo Hermenegildo Galeana,Módulo Hermenegildo Galeana,Módulo,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Calle Juan De Dios Peza,1,N/A,48940,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Modulo+Hermenegildo+Galeana/@19.6273884,-104.5321648,19z/data=!4m15!1m8!3m7!1s0x8424f1300ef4701d:0x6bdfc180f913d76!2sC.+J.+D.+Dios+Peza+29,+48940+Lo+Arado,+Jal.!3b1!8m2!3d19.627348!4d-104.5315264!16s%2Fg%2F11c65k1jf1!3m5!1s0x8424f13011d477f9:0x5598b755a16a276d!8m2!3d19.6276589!4d-104.5314845!16s%2Fg%2F11g8p1sg47!5m1!1e1?entry=ttu",,
2022 14MMS0676T Módulo La Huerta,57,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0676T,Módulo La Huerta,Módulo La Huerta,Módulo,Regional,Región Costa Sur,La Huerta,La Huerta,Calle Lic. Luis Echeverría Álvarez,S/N,N/A,48850,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Regional+de+Casimiro+Castillo+M%C3%B3dulo+la+Huerta/@19.4873712,-104.6504214,18.71z/data=!4m14!1m7!3m6!1s0x85f831594b7f8849:0xa0eb4b22f444f888!2sPreparatoria+Regional+de+Casimiro+Castillo+M%C3%B3dulo+la+Huerta!8m2!3d19.486866!4d-104.6490979!16s%2Fg%2F1tg5cgdb!3m5!1s0x85f831594b7f8849:0xa0eb4b22f444f888!8m2!3d19.486866!4d-104.6490979!16s%2Fg%2F1tg5cgdb!5m1!1e1?entry=ttu",,
2022 14MMS0735S Módulo Tecomates,58,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0735S,Módulo Tecomates,Módulo Tecomates,Módulo,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Avenida Independencia,S/N,N/A,48946,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Modulo+Tecomates/@19.5557984,-104.4919447,16.78z/data=!4m6!3m5!1s0x8424f01bfa4ea8b7:0xa5b94c7d02084d99!8m2!3d19.5552502!4d-104.4892301!16s%2Fg%2F11gf403pxw!5m1!1e1?entry=ttu",,
2022 14MMS0736R Módulo Telcruz,59,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0736R,Módulo Telcruz,Módulo Telcruz,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Camino Al campo de fútbol,S/N,N/A,48963,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+M%C3%B3dulo+Telcruz/@19.4707341,-104.1262,19.33z/data=!4m6!3m5!1s0x84251944958b8837:0xa5b316b043aac04c!8m2!3d19.4704966!4d-104.1259523!16s%2Fg%2F11r9lds6zq?entry=ttu",,
2022 14MMS0737Q Extensión Tequesquitlán,60,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0737Q,Módulo Tequesquitlán,Extensión Tequesquitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Calle Zaragoza ,S/N,N/A,48965,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com/maps/place/Escuela+Preparatoria+M%C3%B3dulo+Tequesquitl%C3%A1n/@19.3883684,-104.5267909,16.72z/data=!4m6!3m5!1s0x8424e9b42f0a68a7:0x6b69c615f5365f7f!8m2!3d19.3871931!4d-104.5242865!16s%2Fg%2F1hhjslwd6?entry=ttu",,
2022 14MMS0677S Módulo Villa Purificación,61,2022 - 2023,2022,SEMS,14MMS0622P,14MMS0677S,Módulo Villa Purificación,Módulo Villa Purificación,Módulo,Regional,Región Costa Sur,Villa Purificación,Villa Purificación,Calle Marcelino García Barragán ,51,N/A,48800,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,"https://www.google.com/maps/place/Escuela+Preparatoria+Regional+de+Casimiro+Castillo,+M%C3%B3dulo+Villa+de+Purificaci%C3%B3n/@19.7111827,-104.6062342,18.52z/data=!4m6!3m5!1s0x8424f59b9da2f433:0x2cc18074a70627d3!8m2!3d19.7107429!4d-104.6054077!16s%2Fg%2F1hc897brr?entry=ttu",,
2022 14MMS0651K EPR de Chapala,62,2022 - 2023,2022,SEMS,,14MMS0651K,Escuela Preparatoria Regional de Chapala,EPR de Chapala,Escuela,Regional,Región Sureste,Chapala,Chapala,Avenida Teófilo Silva,1,N/A,45900,http://prepachapala.sems.udg.mx,prepachapala.sems.udg.mx,"https://www.google.com/maps/place/Escuela+Preparatoria+Regional+de+Chapala/@20.2990532,-103.1853105,18z/data=!4m14!1m7!3m6!1s0x842f40b1d0d25d5f:0x4f6429187fba63a6!2sEscuela+Preparatoria+Regional+de+Chapala!8m2!3d20.298311!4d-103.1848361!16s%2Fg%2F1tjdx6v5!3m5!1s0x842f40b1d0d25d5f:0x4f6429187fba63a6!8m2!3d20.298311!4d-103.1848361!16s%2Fg%2F1tjdx6v5?entry=ttu",,
2022 14MMS0798D Módulo Ixtlahuacán de los Membrillos,63,2022 - 2023,2022,SEMS,14MMS0651K,14MMS0798D,Módulo Ixtlahuacán de los Membrillos,Módulo Ixtlahuacán de los Membrillos,Módulo,Metropolitano,Región Centro,Ixtlahuacán de los Membrillos,Ixtlahuacán de los Membrillos,Circuito Real del Lago Sur,475,N/A,45877,http://prepaixtlahuacan.sems.udg.mx,prepaixtlahuacan.sems.udg.mx,"https://www.google.com/maps/place/M%C3%B3dulo+Ixtlahuac%C3%A1n+de+los+Membrillos+Prepa.+Chapala+UdeG/@20.4376158,-103.2189428,17z/data=!4m6!3m5!1s0x842f4855b60c4c79:0xebca8a2b89b552d0!8m2!3d20.4376185!4d-103.2174658!16s%2Fg%2F11gfj_342w?entry=ttu",,
2022 14MMS0698E Módulo Mezcala de la Asunción,64,2022 - 2023,2022,SEMS,14MMS0651K,14MMS0698E,Módulo Mezcala de la Asunción,Módulo Mezcala de la Asunción,Módulo,Regional,Región Ciénega,Poncitlán,Poncitlán,Calle Encarnación Rosas ,206,N/A,45970,http://prepachapala.sems.udg.mx,prepachapala.sems.udg.mx,"https://www.google.com/maps/place/Universidad+de+Guadalajara+Eremso+M%C3%B3dulo+Mezcala/@20.3390717,-103.018666,18.18z/data=!4m6!3m5!1s0x842f25b6d51087d5:0x6da72efc62a07271!8m2!3d20.339146!4d-103.0181879!16s%2Fg%2F1tkb5fg9?entry=ttu",,
2022 14MMS0624N EPR de Cihuatlán,65,2022 - 2023,2022,SEMS,,14MMS0624N,Escuela Preparatoria Regional de Cihuatlán,EPR de Cihuatlán,Escuela,Regional,Región Costa Sur,Cihuatlán,Cihuatlán,Calle Bachilleres ,S/N,N/A,48970,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,"https://www.google.com/maps/place/Escuela+Preparatoria+Regional+de+Cihuatlan+UdeG/@19.2342656,-104.5673215,19.22z/data=!4m6!3m5!1s0x8424c69de70e6c5d:0xd50bb34b4e4e9a28!8m2!3d19.2344757!4d-104.5668553!16s%2Fg%2F11dxcj8dcm?entry=ttu",,
2022 14MMS0682D Módulo Miguel Hidalgo,66,2022 - 2023,2022,SEMS,14MMS0624N,14MMS0682D,Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,Módulo,Regional,Región Costa Sur,La Huerta,La Huerta,Avenida Preparatoria ,S/N,N/A,48893,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,"https://www.google.com/maps/place/M%C3%B3dulo+Miguel+Hidalgo+(EPRC)/@19.3613659,-104.8965583,20z/data=!4m6!3m5!1s0x842499b06433d2cf:0x8e27cb3bd97fc622!8m2!3d19.3613659!4d-104.8962951!16s%2Fg%2F11s1n_x5jj?entry=ttu",,
2022 14MMS0683C Módulo San Patricio Melaque,67,2022 - 2023,2022,SEMS,14MMS0624N,14MMS0683C,Módulo San Patricio Melaque,Módulo San Patricio Melaque,Módulo,Regional,Región Costa Sur,Cihuatlán,Cihuatlán,Prolongación Hidalgo  ,1080,N/A,48980,http://prepacihuatlan.sems.udg.mx,prepacihuatlan.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Regional+De+Cihuatl%C3%A1n+M%C3%B3dulo+San+Patricio,+Melaque./@19.2314698,-104.7023485,18.39z/data=!4m14!1m7!3m6!1s0x8424b8de586285a9:0x4e330be10ae5bf22!2sEscuela+Preparatoria+Regional+De+Cihuatl%C3%A1n+M%C3%B3dulo+San+Patricio,+Melaque.!8m2!3d19.232589!4d-104.701606!16s%2Fg%2F11f105b1m4!3m5!1s0x8424b8de586285a9:0x4e330be10ae5bf22!8m2!3d19.232589!4d-104.701606!16s%2Fg%2F11f105b1m4!5m1!1e4?entry=ttu",,
2022 14MMS0626L EPR de Ciudad Guzmán,68,2022 - 2023,2022,SEMS,,14MMS0626L,Escuela Preparatoria Regional de Ciudad Guzmán,EPR de Ciudad Guzmán,Escuela,Regional,Región Sur,Zapotlán el Grande,Zapotlán el Grande,Avenida Juan José Arreola,850,N/A,49026,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,"https://www.google.com.mx/maps/place/Preparatoria+Cd+Guzm%C3%A1n/@19.729005,-103.4569106,18.94z/data=!4m14!1m7!3m6!1s0x842f81540221e865:0x5118b05c1aa6334!2sPreparatoria+Cd+Guzm%C3%A1n!8m2!3d19.7291547!4d-103.4565783!16s%2Fg%2F1tf_t5qh!3m5!1s0x842f81540221e865:0x5118b05c1aa6334!8m2!3d19.7291547!4d-103.4565783!16s%2Fg%2F1tf_t5qh!5m1!1e4?entry=ttu",,
2022 14MMS0758C Módulo Copala,69,2022 - 2023,2022,SEMS,14MMS0626L,14MMS0758C,Módulo Copala,Módulo Copala,Módulo,Regional,Región Sur,Tolimán,Tolimán,Calle Libertad ,S/N,N/A,49760,http://prepaciudadguzman.sems.udg.mx,prepaciudadguzman.sems.udg.mx,"https://www.google.com.mx/maps/place/Escuela+Preparatoria+Copala/@19.6111965,-103.777506,17.28z/data=!4m6!3m5!1s0x8425712ce071e4bd:0xfea39e29863c7f7d!8m2!3d19.6112047!4d-103.775382!16s%2Fg%2F11g0htv_bt!5m1!1e4?entry=ttu",,
