name,row,anio,entidad_universitaria,tipo_patrimonio,total
611 Patrimonio cultural en el SICI-115 - 2022 - CUCEA - Pinturas,115,2022,CUCEA,Pinturas,93
611 Patrimonio cultural en el SICI-116 - 2022 - CUCEI - Pinturas,116,2022,CUCEI,Pinturas,0
611 Patrimonio cultural en el SICI-117 - 2022 - CUCSH - Pinturas,117,2022,CUCSH,Pinturas,92
611 Patrimonio cultural en el SICI-118 - 2022 - CUCS - Pinturas,118,2022,CUCS,Pinturas,28
611 Patrimonio cultural en el SICI-119 - 2022 - CUAAD - Pinturas,119,2022,CUAAD,Pinturas,914
611 Patrimonio cultural en el SICI-120 - 2022 - CUCBA - Pinturas,120,2022,CUCBA,Pinturas,0
611 Patrimonio cultural en el SICI-121 - 2022 - CUALTOS - Pinturas,121,2022,CUALTOS,Pinturas,0
611 Patrimonio cultural en el SICI-122 - 2022 - CUCIÉNEGA - Pinturas,122,2022,CUCIÉNEGA,Pinturas,0
611 Patrimonio cultural en el SICI-123 - 2022 - CUSUR - Pinturas,123,2022,CUSUR,Pinturas,62
611 Patrimonio cultural en el SICI-124 - 2022 - CUCOSTA - Pinturas,124,2022,CUCOSTA,Pinturas,603
611 Patrimonio cultural en el SICI-125 - 2022 - CUCOSTASUR - Pinturas,125,2022,CUCOSTASUR,Pinturas,95
611 Patrimonio cultural en el SICI-126 - 2022 - CUVALLES - Pinturas,126,2022,CUVALLES,Pinturas,0
611 Patrimonio cultural en el SICI-127 - 2022 - CUNORTE - Pinturas,127,2022,CUNORTE,Pinturas,10
611 Patrimonio cultural en el SICI-128 - 2022 - CULAGOS - Pinturas,128,2022,CULAGOS,Pinturas,4
611 Patrimonio cultural en el SICI-129 - 2022 - CUTONALÁ - Pinturas,129,2022,CUTONALÁ,Pinturas,0
611 Patrimonio cultural en el SICI-130 - 2022 - CUTLAJOMULCO - Pinturas,130,2022,CUTLAJOMULCO,Pinturas,0
611 Patrimonio cultural en el SICI-131 - 2022 - SUV - Pinturas,131,2022,SUV,Pinturas,0
611 Patrimonio cultural en el SICI-132 - 2022 - SEMS - Pinturas,132,2022,SEMS,Pinturas,40
611 Patrimonio cultural en el SICI-133 - 2022 - AG - Pinturas,133,2022,AG,Pinturas,271
611 Patrimonio cultural en el SICI-134 - 2022 - CUCEA - Murales,134,2022,CUCEA,Murales,2
611 Patrimonio cultural en el SICI-135 - 2022 - CUCEI - Murales,135,2022,CUCEI,Murales,8
611 Patrimonio cultural en el SICI-136 - 2022 - CUCSH - Murales,136,2022,CUCSH,Murales,2
611 Patrimonio cultural en el SICI-137 - 2022 - CUCS - Murales,137,2022,CUCS,Murales,13
611 Patrimonio cultural en el SICI-138 - 2022 - CUAAD - Murales,138,2022,CUAAD,Murales,0
611 Patrimonio cultural en el SICI-139 - 2022 - CUCBA - Murales,139,2022,CUCBA,Murales,14
611 Patrimonio cultural en el SICI-140 - 2022 - CUALTOS - Murales,140,2022,CUALTOS,Murales,0
611 Patrimonio cultural en el SICI-141 - 2022 - CUCIÉNEGA - Murales,141,2022,CUCIÉNEGA,Murales,2
611 Patrimonio cultural en el SICI-142 - 2022 - CUSUR - Murales,142,2022,CUSUR,Murales,8
611 Patrimonio cultural en el SICI-143 - 2022 - CUCOSTA - Murales,143,2022,CUCOSTA,Murales,4
611 Patrimonio cultural en el SICI-144 - 2022 - CUCOSTASUR - Murales,144,2022,CUCOSTASUR,Murales,0
611 Patrimonio cultural en el SICI-145 - 2022 - CUVALLES - Murales,145,2022,CUVALLES,Murales,0
611 Patrimonio cultural en el SICI-146 - 2022 - CUNORTE - Murales,146,2022,CUNORTE,Murales,3
611 Patrimonio cultural en el SICI-147 - 2022 - CULAGOS - Murales,147,2022,CULAGOS,Murales,0
611 Patrimonio cultural en el SICI-148 - 2022 - CUTONALÁ - Murales,148,2022,CUTONALÁ,Murales,6
611 Patrimonio cultural en el SICI-149 - 2022 - CUTLAJOMULCO - Murales,149,2022,CUTLAJOMULCO,Murales,0
611 Patrimonio cultural en el SICI-150 - 2022 - SUV - Murales,150,2022,SUV,Murales,0
611 Patrimonio cultural en el SICI-151 - 2022 - SEMS - Murales,151,2022,SEMS,Murales,16
611 Patrimonio cultural en el SICI-152 - 2022 - AG - Murales,152,2022,AG,Murales,8
611 Patrimonio cultural en el SICI-153 - 2022 - CUCEA - Esculturas,153,2022,CUCEA,Esculturas,9
611 Patrimonio cultural en el SICI-154 - 2022 - CUCEI - Esculturas,154,2022,CUCEI,Esculturas,11
611 Patrimonio cultural en el SICI-155 - 2022 - CUCSH - Esculturas,155,2022,CUCSH,Esculturas,17
611 Patrimonio cultural en el SICI-156 - 2022 - CUCS - Esculturas,156,2022,CUCS,Esculturas,6
611 Patrimonio cultural en el SICI-157 - 2022 - CUAAD - Esculturas,157,2022,CUAAD,Esculturas,13
611 Patrimonio cultural en el SICI-158 - 2022 - CUCBA - Esculturas,158,2022,CUCBA,Esculturas,9
611 Patrimonio cultural en el SICI-159 - 2022 - CUALTOS - Esculturas,159,2022,CUALTOS,Esculturas,2
611 Patrimonio cultural en el SICI-160 - 2022 - CUCIÉNEGA - Esculturas,160,2022,CUCIÉNEGA,Esculturas,1
611 Patrimonio cultural en el SICI-161 - 2022 - CUSUR - Esculturas,161,2022,CUSUR,Esculturas,22
611 Patrimonio cultural en el SICI-162 - 2022 - CUCOSTA - Esculturas,162,2022,CUCOSTA,Esculturas,16
611 Patrimonio cultural en el SICI-163 - 2022 - CUCOSTASUR - Esculturas,163,2022,CUCOSTASUR,Esculturas,1
611 Patrimonio cultural en el SICI-164 - 2022 - CUVALLES - Esculturas,164,2022,CUVALLES,Esculturas,0
611 Patrimonio cultural en el SICI-165 - 2022 - CUNORTE - Esculturas,165,2022,CUNORTE,Esculturas,0
611 Patrimonio cultural en el SICI-166 - 2022 - CULAGOS - Esculturas,166,2022,CULAGOS,Esculturas,2
611 Patrimonio cultural en el SICI-167 - 2022 - CUTONALÁ - Esculturas,167,2022,CUTONALÁ,Esculturas,1
611 Patrimonio cultural en el SICI-168 - 2022 - CUTLAJOMULCO - Esculturas,168,2022,CUTLAJOMULCO,Esculturas,0
611 Patrimonio cultural en el SICI-169 - 2022 - SUV - Esculturas,169,2022,SUV,Esculturas,0
611 Patrimonio cultural en el SICI-170 - 2022 - SEMS - Esculturas,170,2022,SEMS,Esculturas,6
611 Patrimonio cultural en el SICI-171 - 2022 - AG - Esculturas,171,2022,AG,Esculturas,66
611 Patrimonio cultural en el SICI-172 - 2022 - CUCEA - Grabados,172,2022,CUCEA,Grabados,38
611 Patrimonio cultural en el SICI-173 - 2022 - CUCEI - Grabados,173,2022,CUCEI,Grabados,0
611 Patrimonio cultural en el SICI-174 - 2022 - CUCSH - Grabados,174,2022,CUCSH,Grabados,19
611 Patrimonio cultural en el SICI-175 - 2022 - CUCS - Grabados,175,2022,CUCS,Grabados,1
611 Patrimonio cultural en el SICI-176 - 2022 - CUAAD - Grabados,176,2022,CUAAD,Grabados,643
611 Patrimonio cultural en el SICI-177 - 2022 - CUCBA - Grabados,177,2022,CUCBA,Grabados,0
611 Patrimonio cultural en el SICI-178 - 2022 - CUALTOS - Grabados,178,2022,CUALTOS,Grabados,0
