row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
70,5021000110,"Licenciatura en Diseño, Arte y Tecnologías Interactivas",Licenciatura,021000,020000,021000,021000,
71,5021000110,"Licenciatura en Diseño, Arte y Tecnologías Interactivas",Licenciatura,021000,020000,021000,021000,
72,5021000114,Licenciatura en Artes Visuales para la Expresión Fotográfica,Licenciatura,021000,020000,021000,021000,
73,5021000114,Licenciatura en Artes Visuales para la Expresión Fotográfica,Licenciatura,021000,020000,021000,021000,
74,5021100004,Licenciatura en Artes Visuales,Licenciatura,021100,020000,021000,021100,
75,5021200006,Licenciatura en Artes Escénicas,Licenciatura,021200,020000,021000,021200,
76,5021200054,Licenciatura en Artes Escénicas para la Expresión Dancística,Licenciatura,021200,020000,021000,021200,
77,5021200054,Licenciatura en Artes Escénicas para la Expresión Dancística,Licenciatura,021200,020000,021000,021200,
78,5021200055,Licenciatura en Artes Escénicas para la Expresión Teatral,Licenciatura,021200,020000,021000,021200,
79,5021200055,Licenciatura en Artes Escénicas para la Expresión Teatral,Licenciatura,021200,020000,021000,021200,
80,5021300063,Licenciatura en Música,Licenciatura,021300,020000,021000,021300,
81,5021300063,Licenciatura en Música,Licenciatura,021300,020000,021000,021300,
82,5021400012,Licenciatura en Artes Audiovisuales,Licenciatura,021400,020000,021000,021400,
83,5021400012,Licenciatura en Artes Audiovisuales,Licenciatura,021400,020000,021000,021400,
84,5021500002,Ing. en Comunicación Multimedia,Licenciatura,021500,020000,021000,021500,
85,5021500002,Ingeniería en Comunicación Multimedia,Licenciatura,021500,020000,021000,021500,
86,5021500044,Licenciatura en Diseño para la Comunicación Gráfica,Licenciatura,021500,020000,021000,021500,
87,5021500044,Licenciatura en Diseño para la Comunicación Gráfica,Licenciatura,021500,020000,021000,021500,
88,5021500119,Licenciatura en Escritura Creativa,Licenciatura,021500,020000,021000,021500,
89,5021500119,Licenciatura en Escritura Creativa,Licenciatura,021500,020000,021000,021500,
90,5021600017,Licenciatura en Diseño de Interiores y Ambientación,Licenciatura,021600,020000,021000,021600,
91,5021600017,Licenciatura en Diseño de Interiores y Ambientación,Licenciatura,021600,020000,021000,021600,
92,5021600024,Licenciatura en Diseño de Modas,Licenciatura,021600,020000,021000,021600,
93,5021600024,Licenciatura en Diseño de Modas,Licenciatura,021600,020000,021000,021600,
94,5021600062,Licenciatura en Diseño de Artesanía,Licenciatura,021600,020000,021000,021600,
95,5021600062,Licenciatura en Diseño de Artesanía,Licenciatura,021600,020000,021000,021600,
96,5021700002,Licenciatura en Artes Visuales para la Expresión Plástica,Licenciatura,021700,020000,021000,021700,
97,5021700002,Licenciatura en Artes Visuales para la Expresión Plástica,Licenciatura,021700,020000,021000,021700,
98,5022000001,Licenciatura en Humanidades,Licenciatura,022000,020000,022000,022000,
99,5022000001,Licenciatura en Humanidades,Licenciatura,022000,020000,022000,022000,
100,5022200040,Licenciatura en Lenguas y Culturas Extranjeras,Licenciatura,022200,020000,022000,022200,
101,5022200040,Licenciatura en Lenguas y Culturas Extranjeras,Licenciatura,022200,020000,022000,022200,
102,5022300022,Licenciatura en Letras Hispánicas,Licenciatura,022300,020000,022000,022300,
103,5022300022,Licenciatura en Letras Hispánicas,Licenciatura,022300,020000,022000,022300,
104,5022500001,Licenciatura en Estudios Liberales,Licenciatura,022500,020000,022000,022500,
105,5022500001,Licenciatura en Estudios Liberales,Licenciatura,022500,020000,022000,022500,
106,5022500008,Licenciatura en Historia,Licenciatura,022500,020000,022000,022500,
107,5022500008,Licenciatura en Historia,Licenciatura,022500,020000,022000,022500,
108,5022600002,Licenciatura en Filosofía,Licenciatura,022600,020000,022000,022600,
109,5022600002,Licenciatura en Filosofía,Licenciatura,022600,020000,022000,022600,
110,5031100007,Licenciatura en Psicología,Licenciatura,031100,030000,031000,031100,
111,5031100007,Licenciatura en Psicología,Licenciatura,031100,030000,031000,031100,
