name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2024-2025 14USU0011G 5051200024 Dual,1,2024-2025,14USU0011G,5051200024,Dual,26,39,,65,0,0,,0,0,0,,0
2 2024-2025 14USU0011G 5071100005 Dual,2,2024-2025,14USU0011G,5071100005,Dual,23,41,,64,0,1,,1,0,0,,0
3 2024-2025 14USU0011G 5071300147 Dual,3,2024-2025,14USU0011G,5071300147,Dual,62,8,,70,1,0,,1,0,0,,0
4 2024-2025 14MMS0607X BGAI En línea,4,2024-2025,14MMS0607X,BGAI,En línea,127,157,,284,6,7,,13,1,3,,4
5 2024-2025 14USU0012F 5011200004 En línea,5,2024-2025,14USU0012F,5011200004,En línea,83,453,,536,2,17,,19,5,3,,8
6 2024-2025 14USU0012F 5011500002 En línea,6,2024-2025,14USU0012F,5011500002,En línea,0,0,,0,0,0,,0,0,0,,0
7 2024-2025 14USU0012F 5021000007 En línea,7,2024-2025,14USU0012F,5021000007,En línea,83,187,,270,1,5,,6,1,3,,4
8 2024-2025 14USU0012F 5032100001 En línea,8,2024-2025,14USU0012F,5032100001,En línea,42,49,,91,0,2,,2,1,0,,1
9 2024-2025 14USU0012F 5032200003 En línea,9,2024-2025,14USU0012F,5032200003,En línea,0,0,,0,0,0,,0,0,0,,0
10 2024-2025 14USU0012F 5032200012 En línea,10,2024-2025,14USU0012F,5032200012,En línea,33,62,,95,1,2,,3,0,0,,0
11 2024-2025 14USU0012F 5042100065 En línea,11,2024-2025,14USU0012F,5042100065,En línea,490,878,,1368,7,15,,22,6,6,,12
12 2024-2025 14USU0012F 5104100015 En línea,12,2024-2025,14USU0012F,5104100015,En línea,67,68,,135,2,4,,6,0,0,,0
13 2024-2025 14USU0012F 7011400029 En línea,13,2024-2025,14USU0012F,7011400029,En línea,15,29,,44,1,2,,3,0,0,,0
14 2024-2025 14USU0012F 7012400001 En línea,14,2024-2025,14USU0012F,7012400001,En línea,22,37,,59,0,1,,1,0,0,,0
15 2024-2025 14USU0012F 7021000014 En línea,15,2024-2025,14USU0012F,7021000014,En línea,2,10,,12,0,1,,1,0,0,,0
16 2024-2025 14USU0012F 7031300041 En línea,16,2024-2025,14USU0012F,7031300041,En línea,17,25,,42,0,0,,0,1,1,,2
17 2024-2025 14USU0012F 7032100037 En línea,17,2024-2025,14USU0012F,7032100037,En línea,3,9,,12,0,0,,0,0,1,,1
18 2024-2025 14USU0012F 7041100029 En línea,18,2024-2025,14USU0012F,7041100029,En línea,64,35,,99,3,0,,3,3,0,,3
19 2024-2025 14USU0012F 7042100177 En línea,19,2024-2025,14USU0012F,7042100177,En línea,0,0,,0,0,0,,0,0,0,,0
20 2024-2025 14USU0012F 7042100311 En línea,20,2024-2025,14USU0012F,7042100311,En línea,22,21,,43,0,0,,0,0,0,,0
21 2024-2025 14USU0012F 8011400005 En línea,21,2024-2025,14USU0012F,8011400005,En línea,10,16,,26,0,0,,0,0,0,,0
22 2024-2025 14USU0012F 8021000011 En línea,22,2024-2025,14USU0012F,8021000011,En línea,5,8,,13,1,0,,1,0,0,,0
23 2024-2025 14USU0110G 5061000015 En línea,23,2024-2025,14USU0110G,5061000015,En línea,465,224,,689,7,7,,14,6,2,,8
24 2024-2025 14USU0110G 5062200105 En línea,24,2024-2025,14USU0110G,5062200105,En línea,432,122,,554,14,1,,15,5,0,,5
25 2024-2025 14USU0120N 5041200075 En línea,25,2024-2025,14USU0120N,5041200075,En línea,382,766,,1148,17,17,,34,1,16,,17
26 2024-2025 14USU0120N 7042300030 En línea,26,2024-2025,14USU0120N,7042300030,En línea,0,0,,0,0,0,,0,0,0,,0
27 2024-2025 14USU0120N 7042300040 En línea,27,2024-2025,14USU0120N,7042300040,En línea,32,22,,54,0,0,,0,0,1,,1
28 2024-2025 14USU0140A 7022400011 En línea,28,2024-2025,14USU0140A,7022400011,En línea,3,2,,5,0,1,,1,0,0,,0
29 2024-2025 14USU0221L 5092100006 En línea,29,2024-2025,14USU0221L,5092100006,En línea,3,6,,9,0,0,,0,0,0,,0
30 2024-2025 14MMS0607X BGAI Escolarizada,30,2024-2025,14MMS0607X,BGAI,Escolarizada,84,64,,148,1,1,,2,0,1,,1
31 2024-2025 14MMS0607X BGC Escolarizada,31,2024-2025,14MMS0607X,BGC,Escolarizada,1168,1392,,2560,29,21,,50,7,13,,20
32 2024-2025 14MMS0608W BGAI Escolarizada,32,2024-2025,14MMS0608W,BGAI,Escolarizada,136,115,,251,3,3,,6,1,1,,2
33 2024-2025 14MMS0608W BGC Escolarizada,33,2024-2025,14MMS0608W,BGC,Escolarizada,1760,1946,,3706,29,25,,54,13,13,,26
34 2024-2025 14MMS0609V BGAI Escolarizada,34,2024-2025,14MMS0609V,BGAI,Escolarizada,33,23,,56,0,0,,0,0,0,,0
35 2024-2025 14MMS0609V BGC Escolarizada,35,2024-2025,14MMS0609V,BGC,Escolarizada,1147,1489,,2636,21,19,,40,8,9,,17
36 2024-2025 14MMS0610K BGAI Escolarizada,36,2024-2025,14MMS0610K,BGAI,Escolarizada,72,66,,138,0,0,,0,0,0,,0
37 2024-2025 14MMS0610K BGC Escolarizada,37,2024-2025,14MMS0610K,BGC,Escolarizada,1025,1216,,2241,17,18,,35,3,13,,16
38 2024-2025 14MMS0611J BGAI Escolarizada,38,2024-2025,14MMS0611J,BGAI,Escolarizada,7,7,,14,0,0,,0,0,0,,0
39 2024-2025 14MMS0611J BGC Escolarizada,39,2024-2025,14MMS0611J,BGC,Escolarizada,1067,1534,,2601,13,21,,34,3,11,,14
40 2024-2025 14MMS0612I BGAI Escolarizada,40,2024-2025,14MMS0612I,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
41 2024-2025 14MMS0612I BGC Escolarizada,41,2024-2025,14MMS0612I,BGC,Escolarizada,2786,3153,,5939,48,41,,89,25,33,,58
42 2024-2025 14MMS0613H BGC Escolarizada,42,2024-2025,14MMS0613H,BGC,Escolarizada,2561,2915,,5476,62,40,,102,27,44,,71
43 2024-2025 14MMS0614G 3101600003 Escolarizada,43,2024-2025,14MMS0614G,3101600003,Escolarizada,223,519,,742,7,9,,16,1,3,,4
44 2024-2025 14MMS0614G BGC Escolarizada,44,2024-2025,14MMS0614G,BGC,Escolarizada,2481,2883,,5364,33,47,,80,16,20,,36
45 2024-2025 14MMS0615F BGAI Escolarizada,45,2024-2025,14MMS0615F,BGAI,Escolarizada,91,89,,180,0,4,,4,1,0,,1
46 2024-2025 14MMS0615F BGC Escolarizada,46,2024-2025,14MMS0615F,BGC,Escolarizada,1225,1521,,2746,17,22,,39,6,8,,14
47 2024-2025 14MMS0616E 2071100002 Escolarizada,47,2024-2025,14MMS0616E,2071100002,Escolarizada,239,12,,251,0,0,,0,2,0,,2
48 2024-2025 14MMS0616E 2071400001 Escolarizada,48,2024-2025,14MMS0616E,2071400001,Escolarizada,166,247,,413,5,2,,7,1,1,,2
49 2024-2025 14MMS0616E 2092100004 Escolarizada,49,2024-2025,14MMS0616E,2092100004,Escolarizada,291,611,,902,2,8,,10,1,4,,5
50 2024-2025 14MMS0616E 3081100003 Escolarizada,50,2024-2025,14MMS0616E,3081100003,Escolarizada,280,288,,568,4,4,,8,4,2,,6
51 2024-2025 14MMS0616E BGC Escolarizada,51,2024-2025,14MMS0616E,BGC,Escolarizada,333,512,,845,4,6,,10,2,1,,3
52 2024-2025 14MMS0617D BGC Escolarizada,52,2024-2025,14MMS0617D,BGC,Escolarizada,562,693,,1255,6,8,,14,1,1,,2
53 2024-2025 14MMS0618C BGAI Escolarizada,53,2024-2025,14MMS0618C,BGAI,Escolarizada,37,62,,99,0,1,,1,0,0,,0
54 2024-2025 14MMS0618C BGC Escolarizada,54,2024-2025,14MMS0618C,BGC,Escolarizada,799,948,,1747,4,5,,9,0,0,,0
55 2024-2025 14MMS0619B BGAI Escolarizada,55,2024-2025,14MMS0619B,BGAI,Escolarizada,8,11,,19,0,0,,0,0,0,,0
