name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
34 2021-2022 14MMS0646Z BGC,34,2021-2022,14MMS0646Z,BGC,Escolarizada,422,463,,885,,,,6,,,,0,,,,,,,,,,,,
35 2021-2022 14MMS0646Z BGC,35,2021-2022,14MMS0646Z,BGC,Escolarizada,409,471,,880,,,,5,,,,1,,,,,,,,,,,,
36 2021-2022 14MMS0640E BGC,36,2021-2022,14MMS0640E,BGC,Escolarizada,75,116,,191,,,,5,,,,0,,,,,,,,,,,,
37 2021-2022 14MMS0640E BGC,37,2021-2022,14MMS0640E,BGC,Escolarizada,79,111,,190,,,,2,,,,0,,,,,,,,,,,,
38 2021-2022 14MMS0615F BGAI,38,2021-2022,14MMS0615F,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
39 2021-2022 14MMS0615F BGC,39,2021-2022,14MMS0615F,BGC,Escolarizada,213,340,,553,,,,13,,,,1,,,,,,,,,,,,
40 2021-2022 14MMS0615F BGC,40,2021-2022,14MMS0615F,BGC,Escolarizada,222,328,,550,,,,11,,,,0,,,,,,,,,,,,
41 2021-2022 14MMS0630Y BGAI,41,2021-2022,14MMS0630Y,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
42 2021-2022 14MMS0630Y BGC,42,2021-2022,14MMS0630Y,BGC,Escolarizada,198,255,,453,,,,9,,,,0,,,,,,,,,,,,
43 2021-2022 14MMS0630Y BGC,43,2021-2022,14MMS0630Y,BGC,Escolarizada,189,259,,448,,,,14,,,,0,,,,,,,,,,,,
44 2021-2022 14MMS0631X BGC,44,2021-2022,14MMS0631X,BGC,Escolarizada,319,412,,731,,,,10,,,,2,,,,,,,,,,,,
45 2021-2022 14MMS0631X BGC,45,2021-2022,14MMS0631X,BGC,Escolarizada,314,415,,729,,,,6,,,,1,,,,,,,,,,,,
46 2021-2022 14MMS0636S BGC,46,2021-2022,14MMS0636S,BGC,Escolarizada,234,302,,536,,,,8,,,,0,,,,,,,,,,,,
47 2021-2022 14MMS0636S BGC,47,2021-2022,14MMS0636S,BGC,Escolarizada,230,305,,535,,,,8,,,,1,,,,,,,,,,,,
48 2021-2022 14MMS0752I BGAI,48,2021-2022,14MMS0752I,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
49 2021-2022 14MMS0752I BGC,49,2021-2022,14MMS0752I,BGC,Escolarizada,141,235,,376,,,,5,,,,1,,,,,,,,,,,,
50 2021-2022 14MMS0752I BGC,50,2021-2022,14MMS0752I,BGC,Escolarizada,125,251,,376,,,,4,,,,0,,,,,,,,,,,,
