name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
41 2022-2023 14MMS0629I BGC Escolarizada,41,2022-2023,14MMS0629I,BGC,Escolarizada,852,1063,,1915,19,28,,47,0,1,,1
42 2022-2023 14MMS0630Y BGAI Escolarizada,42,2022-2023,14MMS0630Y,BGAI,Escolarizada,53,18,,71,5,0,,5,0,0,,0
43 2022-2023 14MMS0630Y BGC Escolarizada,43,2022-2023,14MMS0630Y,BGC,Escolarizada,1070,1225,,2295,18,15,,33,0,0,,0
44 2022-2023 14MMS0631X BGC Escolarizada,44,2022-2023,14MMS0631X,BGC,Escolarizada,1551,1850,,3401,22,33,,55,4,10,,14
45 2022-2023 14MMS0632W 3042100026 Escolarizada,45,2022-2023,14MMS0632W,3042100026,Escolarizada,74,73,,147,1,0,,1,0,0,,0
46 2022-2023 14MMS0632W BGC Escolarizada,46,2022-2023,14MMS0632W,BGC,Escolarizada,1025,1311,,2336,19,33,,52,1,1,,2
47 2022-2023 14MMS0633V BGC Escolarizada,47,2022-2023,14MMS0633V,BGC,Escolarizada,294,333,,627,13,9,,22,2,2,,4
48 2022-2023 14MMS0634U BGC Escolarizada,48,2022-2023,14MMS0634U,BGC,Escolarizada,1107,1440,,2547,29,26,,55,1,2,,3
49 2022-2023 14MMS0635T BGC Escolarizada,49,2022-2023,14MMS0635T,BGC,Escolarizada,615,737,,1352,10,20,,30,0,0,,0
50 2022-2023 14MMS0636S BGC Escolarizada,50,2022-2023,14MMS0636S,BGC,Escolarizada,1469,1549,,3018,26,30,,56,2,3,,5
51 2022-2023 14MMS0637R BGC Escolarizada,51,2022-2023,14MMS0637R,BGC,Escolarizada,427,477,,904,7,3,,10,0,0,,0
52 2022-2023 14MMS0638Q BGC Escolarizada,52,2022-2023,14MMS0638Q,BGC,Escolarizada,348,477,,825,3,2,,5,0,0,,0
53 2022-2023 14MMS0639P BGC Escolarizada,53,2022-2023,14MMS0639P,BGC,Escolarizada,298,295,,593,5,3,,8,0,0,,0
54 2022-2023 14MMS0640E BGC Escolarizada,54,2022-2023,14MMS0640E,BGC,Escolarizada,594,635,,1229,11,17,,28,3,0,,3
55 2022-2023 14MMS0641D BGC Escolarizada,55,2022-2023,14MMS0641D,BGC,Escolarizada,297,330,,627,5,9,,14,0,1,,1
56 2022-2023 14MMS0642C BGC Escolarizada,56,2022-2023,14MMS0642C,BGC,Escolarizada,268,323,,591,8,10,,18,0,0,,0
57 2022-2023 14MMS0643B BGAI Escolarizada,57,2022-2023,14MMS0643B,BGAI,Escolarizada,11,16,,27,0,0,,0,0,0,,0
58 2022-2023 14MMS0643B BGC Escolarizada,58,2022-2023,14MMS0643B,BGC,Escolarizada,457,498,,955,8,1,,9,0,1,,1
59 2022-2023 14MMS0644A BGC Escolarizada,59,2022-2023,14MMS0644A,BGC,Escolarizada,384,420,,804,5,8,,13,0,0,,0
60 2022-2023 14MMS0645Z 3021700001 Escolarizada,60,2022-2023,14MMS0645Z,3021700001,Escolarizada,145,162,,307,1,1,,2,0,0,,0
61 2022-2023 14MMS0645Z 3042100001 Escolarizada,61,2022-2023,14MMS0645Z,3042100001,Escolarizada,220,305,,525,7,5,,12,0,0,,0
62 2022-2023 14MMS0645Z BGAI Escolarizada,62,2022-2023,14MMS0645Z,BGAI,Escolarizada,103,80,,183,4,3,,7,2,0,,2
63 2022-2023 14MMS0645Z BGC Escolarizada,63,2022-2023,14MMS0645Z,BGC,Escolarizada,1318,1988,,3306,29,36,,65,1,0,,1
64 2022-2023 14MMS0646Z BGC Escolarizada,64,2022-2023,14MMS0646Z,BGC,Escolarizada,3609,2835,,6444,49,46,,95,4,3,,7
65 2022-2023 14MMS0647Y BGAI Escolarizada,65,2022-2023,14MMS0647Y,BGAI,Escolarizada,53,46,,99,0,0,,0,0,0,,0
66 2022-2023 14MMS0647Y BGC Escolarizada,66,2022-2023,14MMS0647Y,BGC,Escolarizada,1437,1773,,3210,33,24,,57,3,0,,3
67 2022-2023 14MMS0648X BGC Escolarizada,67,2022-2023,14MMS0648X,BGC,Escolarizada,1593,2029,,3622,25,32,,57,2,5,,7
68 2022-2023 14MMS0649W BGAI Escolarizada,68,2022-2023,14MMS0649W,BGAI,Escolarizada,110,62,,172,1,1,,2,0,0,,0
69 2022-2023 14MMS0649W BGC Escolarizada,69,2022-2023,14MMS0649W,BGC,Escolarizada,1940,2584,,4524,34,46,,80,4,5,,9
70 2022-2023 14MMS0650L 3093100005 Escolarizada,70,2022-2023,14MMS0650L,3093100005,Escolarizada,186,321,,507,2,4,,6,0,0,,0
71 2022-2023 14MMS0650L 3095300007 Escolarizada,71,2022-2023,14MMS0650L,3095300007,Escolarizada,187,360,,547,2,10,,12,0,1,,1
72 2022-2023 14MMS0650L BGAI Escolarizada,72,2022-2023,14MMS0650L,BGAI,Escolarizada,61,30,,91,2,0,,2,0,0,,0
73 2022-2023 14MMS0650L BGC Escolarizada,73,2022-2023,14MMS0650L,BGC,Escolarizada,1675,1843,,3518,26,33,,59,0,1,,1
74 2022-2023 14MMS0651K 3101600003 Escolarizada,74,2022-2023,14MMS0651K,3101600003,Escolarizada,113,123,,236,3,3,,6,0,0,,0
75 2022-2023 14MMS0651K BGC Escolarizada,75,2022-2023,14MMS0651K,BGC,Escolarizada,505,647,,1152,9,18,,27,1,2,,3
76 2022-2023 14MMS0652J BGC Escolarizada,76,2022-2023,14MMS0652J,BGC,Escolarizada,326,353,,679,11,11,,22,0,0,,0
77 2022-2023 14MMS0653I BGC Escolarizada,77,2022-2023,14MMS0653I,BGC,Escolarizada,567,667,,1234,9,8,,17,0,0,,0
78 2022-2023 14MMS0654H BGAI Escolarizada,78,2022-2023,14MMS0654H,BGAI,Escolarizada,124,110,,234,1,0,,1,0,0,,0
79 2022-2023 14MMS0654H BGC Escolarizada,79,2022-2023,14MMS0654H,BGC,Escolarizada,622,1028,,1650,11,13,,24,0,0,,0
80 2022-2023 14MMS0655G BGC Escolarizada,80,2022-2023,14MMS0655G,BGC,Escolarizada,676,822,,1498,12,26,,38,0,2,,2
81 2022-2023 14MMS0656F BGC Escolarizada,81,2022-2023,14MMS0656F,BGC,Escolarizada,200,229,,429,2,2,,4,0,0,,0
82 2022-2023 14MMS0657E BGAI Escolarizada,82,2022-2023,14MMS0657E,BGAI,Escolarizada,277,276,,553,4,2,,6,1,0,,1
83 2022-2023 14MMS0657E BGC Escolarizada,83,2022-2023,14MMS0657E,BGC,Escolarizada,1506,1795,,3301,17,24,,41,1,1,,2
84 2022-2023 14MMS0658D BGC Escolarizada,84,2022-2023,14MMS0658D,BGC,Escolarizada,675,839,,1514,11,19,,30,0,0,,0
85 2022-2023 14MMS0659C 3042100026 Escolarizada,85,2022-2023,14MMS0659C,3042100026,Escolarizada,61,56,,117,1,2,,3,0,0,,0
86 2022-2023 14MMS0659C BGC Escolarizada,86,2022-2023,14MMS0659C,BGC,Escolarizada,302,354,,656,6,14,,20,0,0,,0
87 2022-2023 14MMS0660S 3042000001 Escolarizada,87,2022-2023,14MMS0660S,3042000001,Escolarizada,85,89,,174,1,0,,1,0,0,,0
88 2022-2023 14MMS0660S 3101600003 Escolarizada,88,2022-2023,14MMS0660S,3101600003,Escolarizada,49,102,,151,0,0,,0,0,0,,0
89 2022-2023 14MMS0660S BGC Escolarizada,89,2022-2023,14MMS0660S,BGC,Escolarizada,373,350,,723,1,0,,1,0,0,,0
90 2022-2023 14MMS0661R BGC Escolarizada,90,2022-2023,14MMS0661R,BGC,Escolarizada,90,81,,171,1,2,,3,0,0,,0
91 2022-2023 14MMS0662Q BGC Escolarizada,91,2022-2023,14MMS0662Q,BGC,Escolarizada,104,137,,241,0,0,,0,0,0,,0
92 2022-2023 14MMS0663P BGC Escolarizada,92,2022-2023,14MMS0663P,BGC,Escolarizada,74,71,,145,2,2,,4,0,0,,0
93 2022-2023 14MMS0664O BGC Escolarizada,93,2022-2023,14MMS0664O,BGC,Escolarizada,70,86,,156,0,1,,1,0,0,,0
94 2022-2023 14MMS0665N BGC Escolarizada,94,2022-2023,14MMS0665N,BGC,Escolarizada,108,152,,260,2,1,,3,0,0,,0
95 2022-2023 14MMS0666M BGC Escolarizada,95,2022-2023,14MMS0666M,BGC,Escolarizada,83,147,,230,4,3,,7,0,0,,0
96 2022-2023 14MMS0667L BGC Escolarizada,96,2022-2023,14MMS0667L,BGC,Escolarizada,114,162,,276,0,0,,0,0,0,,0
97 2022-2023 14MMS0668K BGC Escolarizada,97,2022-2023,14MMS0668K,BGC,Escolarizada,292,344,,636,3,3,,6,0,1,,1
98 2022-2023 14MMS0669J BGC Escolarizada,98,2022-2023,14MMS0669J,BGC,Escolarizada,122,137,,259,5,2,,7,0,0,,0
99 2022-2023 14MMS0670Z BGC Escolarizada,99,2022-2023,14MMS0670Z,BGC,Escolarizada,67,106,,173,1,2,,3,0,0,,0
100 2022-2023 14MMS0671Y BGC Escolarizada,100,2022-2023,14MMS0671Y,BGC,Escolarizada,70,80,,150,0,0,,0,0,0,,0
101 2022-2023 14MMS0672X BGC Escolarizada,101,2022-2023,14MMS0672X,BGC,Escolarizada,30,33,,63,0,0,,0,0,0,,0
102 2022-2023 14MMS0673W BGC Escolarizada,102,2022-2023,14MMS0673W,BGC,Escolarizada,149,131,,280,0,1,,1,0,0,,0
103 2022-2023 14MMS0674V BGC Escolarizada,103,2022-2023,14MMS0674V,BGC,Escolarizada,79,86,,165,0,0,,0,0,0,,0
104 2022-2023 14MMS0675U BGC Escolarizada,104,2022-2023,14MMS0675U,BGC,Escolarizada,61,67,,128,0,4,,4,0,0,,0
105 2022-2023 14MMS0676T BGC Escolarizada,105,2022-2023,14MMS0676T,BGC,Escolarizada,110,130,,240,1,0,,1,0,0,,0
106 2022-2023 14MMS0677S BGC Escolarizada,106,2022-2023,14MMS0677S,BGC,Escolarizada,98,119,,217,0,0,,0,0,0,,0
107 2022-2023 14MMS0678R BGC Escolarizada,107,2022-2023,14MMS0678R,BGC,Escolarizada,110,109,,219,0,0,,0,0,0,,0
108 2022-2023 14MMS0679Q BGC Escolarizada,108,2022-2023,14MMS0679Q,BGC,Escolarizada,147,186,,333,0,3,,3,0,0,,0
109 2022-2023 14MMS0680F BGC Escolarizada,109,2022-2023,14MMS0680F,BGC,Escolarizada,107,105,,212,0,1,,1,0,0,,0
110 2022-2023 14MMS0681E BGC Escolarizada,110,2022-2023,14MMS0681E,BGC,Escolarizada,88,120,,208,3,2,,5,0,0,,0
111 2022-2023 14MMS0682D BGC Escolarizada,111,2022-2023,14MMS0682D,BGC,Escolarizada,140,167,,307,2,1,,3,0,0,,0
112 2022-2023 14MMS0683C BGC Escolarizada,112,2022-2023,14MMS0683C,BGC,Escolarizada,173,207,,380,3,6,,9,0,3,,3
113 2022-2023 14MMS0684B BGC Escolarizada,113,2022-2023,14MMS0684B,BGC,Escolarizada,59,73,,132,0,0,,0,0,0,,0
114 2022-2023 14MMS0685A BGC Escolarizada,114,2022-2023,14MMS0685A,BGC,Escolarizada,153,185,,338,3,2,,5,4,10,,14
115 2022-2023 14MMS0686Z BGC Escolarizada,115,2022-2023,14MMS0686Z,BGC,Escolarizada,100,109,,209,1,0,,1,34,27,,61
116 2022-2023 14MMS0687Z BGC Escolarizada,116,2022-2023,14MMS0687Z,BGC,Escolarizada,54,49,,103,0,1,,1,2,0,,2
117 2022-2023 14MMS0688Y BGC Escolarizada,117,2022-2023,14MMS0688Y,BGC,Escolarizada,73,91,,164,0,4,,4,8,4,,12
118 2022-2023 14MMS0689X BGC Escolarizada,118,2022-2023,14MMS0689X,BGC,Escolarizada,38,55,,93,0,0,,0,0,0,,0
119 2022-2023 14MMS0690M BGC Escolarizada,119,2022-2023,14MMS0690M,BGC,Escolarizada,36,34,,70,0,0,,0,0,0,,0
120 2022-2023 14MMS0691L BGC Escolarizada,120,2022-2023,14MMS0691L,BGC,Escolarizada,83,100,,183,1,0,,1,0,0,,0
121 2022-2023 14MMS0692K BGC Escolarizada,121,2022-2023,14MMS0692K,BGC,Escolarizada,126,142,,268,4,4,,8,0,0,,0
122 2022-2023 14MMS0693J BGC Escolarizada,122,2022-2023,14MMS0693J,BGC,Escolarizada,356,410,,766,0,1,,1,0,0,,0
123 2022-2023 14MMS0694I BGC Escolarizada,123,2022-2023,14MMS0694I,BGC,Escolarizada,61,93,,154,4,3,,7,0,0,,0
124 2022-2023 14MMS0695H BGC Escolarizada,124,2022-2023,14MMS0695H,BGC,Escolarizada,181,230,,411,3,3,,6,0,0,,0
125 2022-2023 14MMS0696G BGC Escolarizada,125,2022-2023,14MMS0696G,BGC,Escolarizada,201,266,,467,1,2,,3,0,0,,0
126 2022-2023 14MMS0697F BGC Escolarizada,126,2022-2023,14MMS0697F,BGC,Escolarizada,70,120,,190,1,2,,3,0,0,,0
127 2022-2023 14MMS0698E BGC Escolarizada,127,2022-2023,14MMS0698E,BGC,Escolarizada,205,180,,385,2,2,,4,0,0,,0
128 2022-2023 14MMS0699D 3081100003 Escolarizada,128,2022-2023,14MMS0699D,3081100003,Escolarizada,62,47,,109,2,0,,2,0,0,,0
129 2022-2023 14MMS0699D BGC Escolarizada,129,2022-2023,14MMS0699D,BGC,Escolarizada,140,180,,320,4,1,,5,0,0,,0
130 2022-2023 14MMS0700C BGC Escolarizada,130,2022-2023,14MMS0700C,BGC,Escolarizada,110,130,,240,1,0,,1,0,0,,0
131 2022-2023 14MMS0701B BGC Escolarizada,131,2022-2023,14MMS0701B,BGC,Escolarizada,475,582,,1057,6,10,,16,1,0,,1
132 2022-2023 14MMS0702A BGC Escolarizada,132,2022-2023,14MMS0702A,BGC,Escolarizada,79,94,,173,2,0,,2,0,0,,0
133 2022-2023 14MMS0703Z BGC Escolarizada,133,2022-2023,14MMS0703Z,BGC,Escolarizada,112,144,,256,0,1,,1,36,54,,90
134 2022-2023 14MMS0704Z BGC Escolarizada,134,2022-2023,14MMS0704Z,BGC,Escolarizada,85,105,,190,0,0,,0,0,0,,0
135 2022-2023 14MMS0705Y BGAI Escolarizada,135,2022-2023,14MMS0705Y,BGAI,Escolarizada,9,28,,37,0,0,,0,0,0,,0
136 2022-2023 14MMS0705Y BGC Escolarizada,136,2022-2023,14MMS0705Y,BGC,Escolarizada,340,458,,798,3,7,,10,0,1,,1
137 2022-2023 14MMS0706X BGC Escolarizada,137,2022-2023,14MMS0706X,BGC,Escolarizada,466,562,,1028,14,17,,31,0,0,,0
138 2022-2023 14MMS0707W BGC Escolarizada,138,2022-2023,14MMS0707W,BGC,Escolarizada,326,433,,759,0,3,,3,0,1,,1
139 2022-2023 14MMS0708V BGC Escolarizada,139,2022-2023,14MMS0708V,BGC,Escolarizada,293,358,,651,8,3,,11,0,0,,0
