name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2020-2021 14MMS0607X BGAI Escolarizada,1,2020-2021,14MMS0607X,BGAI,Escolarizada,19,21,,40,1,0,,1,0,0,,0
2 2020-2021 14MMS0607X BGC Escolarizada,2,2020-2021,14MMS0607X,BGC,Escolarizada,1090,1465,,2555,18,29,,47,0,0,,0
3 2020-2021 14MMS0608W BGAI Escolarizada,3,2020-2021,14MMS0608W,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
4 2020-2021 14MMS0608W BGC Escolarizada,4,2020-2021,14MMS0608W,BGC,Escolarizada,1622,2063,,3685,24,24,,48,0,1,,1
5 2020-2021 14MMS0609V BGAI Escolarizada,5,2020-2021,14MMS0609V,BGAI,Escolarizada,50,51,,101,0,0,,0,0,0,,0
6 2020-2021 14MMS0609V BGC Escolarizada,6,2020-2021,14MMS0609V,BGC,Escolarizada,829,1351,,2180,16,13,,29,0,0,,0
7 2020-2021 14MMS0610K BGAI Escolarizada,7,2020-2021,14MMS0610K,BGAI,Escolarizada,80,63,,143,1,0,,1,0,0,,0
8 2020-2021 14MMS0610K BGC Escolarizada,8,2020-2021,14MMS0610K,BGC,Escolarizada,860,1359,,2219,13,23,,36,0,0,,0
9 2020-2021 14MMS0611J BGC Escolarizada,9,2020-2021,14MMS0611J,BGC,Escolarizada,988,1492,,2480,19,20,,39,0,0,,0
10 2020-2021 14MMS0612I BGC Escolarizada,10,2020-2021,14MMS0612I,BGC,Escolarizada,1704,2728,,4432,27,42,,69,0,3,,3
11 2020-2021 14MMS0613H BGC Escolarizada,11,2020-2021,14MMS0613H,BGC,Escolarizada,2307,2921,,5228,50,39,,89,6,9,,15
12 2020-2021 14MMS0614G 3101600003 Escolarizada,12,2020-2021,14MMS0614G,3101600003,Escolarizada,251,667,,918,7,11,,18,0,0,,0
13 2020-2021 14MMS0614G BGC Escolarizada,13,2020-2021,14MMS0614G,BGC,Escolarizada,1742,2739,,4481,34,47,,81,0,0,,0
14 2020-2021 14MMS0615F BGC Escolarizada,14,2020-2021,14MMS0615F,BGC,Escolarizada,889,1454,,2343,9,28,,37,0,0,,0
15 2020-2021 14MMS0616E 2071100002 Escolarizada,15,2020-2021,14MMS0616E,2071100002,Escolarizada,254,7,,261,3,0,,3,0,0,,0
16 2020-2021 14MMS0616E 2071400001 Escolarizada,16,2020-2021,14MMS0616E,2071400001,Escolarizada,236,337,,573,2,10,,12,0,0,,0
17 2020-2021 14MMS0616E 2092100004 Escolarizada,17,2020-2021,14MMS0616E,2092100004,Escolarizada,240,659,,899,3,5,,8,0,0,,0
18 2020-2021 14MMS0616E 3081100003 Escolarizada,18,2020-2021,14MMS0616E,3081100003,Escolarizada,250,208,,458,4,2,,6,0,0,,0
19 2020-2021 14MMS0616E BGC Escolarizada,19,2020-2021,14MMS0616E,BGC,Escolarizada,407,548,,955,9,12,,21,0,0,,0
