name,row,anio,entidad_universitaria,categoria_academicos,a_0_a_4_anios,a_5_a_9_anios,a_10_a_14_anios,a_15_a_19_anios,a_20_a_24_anios,a_25_a_29_anios,a_30_a_34_anios,a_35_a_39_anios,a_40_a_44_anios,a_45_a_50_anios,a_51_o_mas_anios,edad_21_a_30,edad_31_a_40,edad_41_a_50,edad_51_a_60,edad_61_anios_o_mas
714-2023-1 Antigüedad y edad de Docentes de CUCEA,1,2023,CUCEA,Docentes,8,4,16,22,27,19,33,11,5,3,1,0,9,37,64,39
714-2023-2 Antigüedad y edad de Docentes de CUCEI,2,2023,CUCEI,Docentes,1,7,8,12,18,18,16,13,8,2,1,2,9,23,40,30
714-2023-3 Antigüedad y edad de Docentes de CUCSH,3,2023,CUCSH,Docentes,8,7,16,22,31,26,36,21,9,6,1,2,15,36,73,57
714-2023-4 Antigüedad y edad de Docentes de CUCS,4,2023,CUCS,Docentes,6,30,16,19,19,9,25,16,7,8,2,1,26,25,54,51
714-2023-5 Antigüedad y edad de Docentes de CUAAD,5,2023,CUAAD,Docentes,3,3,7,8,17,13,14,7,2,1,0,0,6,8,31,30
714-2023-6 Antigüedad y edad de Docentes de CUCBA,6,2023,CUCBA,Docentes,7,10,10,5,2,7,14,9,3,2,1,0,15,15,22,18
714-2023-7 Antigüedad y edad de Docentes de CUALTOS,7,2023,CUALTOS,Docentes,4,8,8,11,4,3,9,1,0,0,0,0,9,18,14,7
714-2023-8 Antigüedad y edad de Docentes de CUCIÉNEGA,8,2023,CUCIÉNEGA,Docentes,0,1,4,2,18,15,2,5,0,0,0,0,4,13,18,12
714-2023-9 Antigüedad y edad de Docentes de CUSUR,9,2023,CUSUR,Docentes,1,2,2,2,10,7,5,9,2,1,0,0,3,10,13,15
714-2023-10 Antigüedad y edad de Docentes de CUCOSTA,10,2023,CUCOSTA,Docentes,2,1,7,5,6,5,2,0,1,0,0,0,4,11,8,6
714-2023-11 Antigüedad y edad de Docentes de CUCOSTASUR,11,2023,CUCOSTASUR,Docentes,3,3,2,5,6,6,7,5,0,0,0,0,6,5,16,10
714-2023-12 Antigüedad y edad de Docentes de CUVALLES,12,2023,CUVALLES,Docentes,0,4,12,8,6,3,1,0,0,0,0,0,12,15,5,2
714-2023-13 Antigüedad y edad de Docentes de CUNORTE,13,2023,CUNORTE,Docentes,0,4,5,4,1,2,1,0,0,0,0,0,4,7,6,0
714-2023-14 Antigüedad y edad de Docentes de CULAGOS,14,2023,CULAGOS,Docentes,2,1,0,3,3,2,7,0,1,0,0,0,2,5,10,2
714-2023-15 Antigüedad y edad de Docentes de CUTONALÁ,15,2023,CUTONALÁ,Docentes,11,18,10,10,5,5,3,3,0,0,0,0,25,27,10,3
714-2023-16 Antigüedad y edad de Docentes de CUTLAJOMULCO,16,2023,CUTLAJOMULCO,Docentes,3,0,1,4,0,0,0,0,0,0,0,0,1,6,1,0
714-2023-17 Antigüedad y edad de Docentes de SUV,17,2023,SUV,Docentes,1,3,2,11,8,2,2,1,1,0,0,0,5,13,9,4
714-2023-18 Antigüedad y edad de Docentes de SEMS,18,2023,SEMS,Docentes,8,41,129,172,262,299,249,82,21,13,2,0,111,317,590,260
714-2023-19 Antigüedad y edad de Docentes de AG,19,2023,AG,Docentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
