name,row,anio,entidad_universitaria,tipo_patrimonio,total
611 Patrimonio cultural en el SICI-50 - 2023 - CUVALLES - Esculturas,50,2023,CUVALLES,Esculturas,0
611 Patrimonio cultural en el SICI-51 - 2023 - CUNORTE - Esculturas,51,2023,CUNORTE,Esculturas,0
611 Patrimonio cultural en el SICI-52 - 2023 - CULAGOS - Esculturas,52,2023,CULAGOS,Esculturas,2
611 Patrimonio cultural en el SICI-53 - 2023 - CUTONALÁ - Esculturas,53,2023,CUTONALÁ,Esculturas,1
611 Patrimonio cultural en el SICI-54 - 2023 - CUTLAJOMULCO - Esculturas,54,2023,CUTLAJOMULCO,Esculturas,0
611 Patrimonio cultural en el SICI-55 - 2023 - SUV - Esculturas,55,2023,SUV,Esculturas,0
611 Patrimonio cultural en el SICI-56 - 2023 - SEMS - Esculturas,56,2023,SEMS,Esculturas,6
611 Patrimonio cultural en el SICI-57 - 2023 - AG - Esculturas,57,2023,AG,Esculturas,72
611 Patrimonio cultural en el SICI-58 - 2023 - CUCEA - Grabados,58,2023,CUCEA,Grabados,38
611 Patrimonio cultural en el SICI-59 - 2023 - CUCEI - Grabados,59,2023,CUCEI,Grabados,0
611 Patrimonio cultural en el SICI-60 - 2023 - CUCSH - Grabados,60,2023,CUCSH,Grabados,19
611 Patrimonio cultural en el SICI-61 - 2023 - CUCS - Grabados,61,2023,CUCS,Grabados,1
611 Patrimonio cultural en el SICI-62 - 2023 - CUAAD - Grabados,62,2023,CUAAD,Grabados,577
611 Patrimonio cultural en el SICI-63 - 2023 - CUCBA - Grabados,63,2023,CUCBA,Grabados,0
611 Patrimonio cultural en el SICI-64 - 2023 - CUALTOS - Grabados,64,2023,CUALTOS,Grabados,0
611 Patrimonio cultural en el SICI-65 - 2023 - CUCIÉNEGA - Grabados,65,2023,CUCIÉNEGA,Grabados,0
611 Patrimonio cultural en el SICI-66 - 2023 - CUSUR - Grabados,66,2023,CUSUR,Grabados,1
611 Patrimonio cultural en el SICI-67 - 2023 - CUCOSTA - Grabados,67,2023,CUCOSTA,Grabados,26
611 Patrimonio cultural en el SICI-68 - 2023 - CUCOSTASUR - Grabados,68,2023,CUCOSTASUR,Grabados,0
611 Patrimonio cultural en el SICI-69 - 2023 - CUVALLES - Grabados,69,2023,CUVALLES,Grabados,0
611 Patrimonio cultural en el SICI-70 - 2023 - CUNORTE - Grabados,70,2023,CUNORTE,Grabados,0
611 Patrimonio cultural en el SICI-71 - 2023 - CULAGOS - Grabados,71,2023,CULAGOS,Grabados,0
611 Patrimonio cultural en el SICI-72 - 2023 - CUTONALÁ - Grabados,72,2023,CUTONALÁ,Grabados,0
611 Patrimonio cultural en el SICI-73 - 2023 - CUTLAJOMULCO - Grabados,73,2023,CUTLAJOMULCO,Grabados,0
611 Patrimonio cultural en el SICI-74 - 2023 - SUV - Grabados,74,2023,SUV,Grabados,0
611 Patrimonio cultural en el SICI-75 - 2023 - SEMS - Grabados,75,2023,SEMS,Grabados,5
611 Patrimonio cultural en el SICI-76 - 2023 - AG - Grabados,76,2023,AG,Grabados,105
611 Patrimonio cultural en el SICI-77 - 2023 - CUCEA - Fotografías,77,2023,CUCEA,Fotografías,5
611 Patrimonio cultural en el SICI-78 - 2023 - CUCEI - Fotografías,78,2023,CUCEI,Fotografías,0
611 Patrimonio cultural en el SICI-79 - 2023 - CUCSH - Fotografías,79,2023,CUCSH,Fotografías,107
611 Patrimonio cultural en el SICI-80 - 2023 - CUCS - Fotografías,80,2023,CUCS,Fotografías,3
611 Patrimonio cultural en el SICI-81 - 2023 - CUAAD - Fotografías,81,2023,CUAAD,Fotografías,68
611 Patrimonio cultural en el SICI-82 - 2023 - CUCBA - Fotografías,82,2023,CUCBA,Fotografías,0
611 Patrimonio cultural en el SICI-83 - 2023 - CUALTOS - Fotografías,83,2023,CUALTOS,Fotografías,0
611 Patrimonio cultural en el SICI-84 - 2023 - CUCIÉNEGA - Fotografías,84,2023,CUCIÉNEGA,Fotografías,0
611 Patrimonio cultural en el SICI-85 - 2023 - CUSUR - Fotografías,85,2023,CUSUR,Fotografías,0
611 Patrimonio cultural en el SICI-86 - 2023 - CUCOSTA - Fotografías,86,2023,CUCOSTA,Fotografías,1
611 Patrimonio cultural en el SICI-87 - 2023 - CUCOSTASUR - Fotografías,87,2023,CUCOSTASUR,Fotografías,0
611 Patrimonio cultural en el SICI-88 - 2023 - CUVALLES - Fotografías,88,2023,CUVALLES,Fotografías,0
611 Patrimonio cultural en el SICI-89 - 2023 - CUNORTE - Fotografías,89,2023,CUNORTE,Fotografías,5
611 Patrimonio cultural en el SICI-90 - 2023 - CULAGOS - Fotografías,90,2023,CULAGOS,Fotografías,0
611 Patrimonio cultural en el SICI-91 - 2023 - CUTONALÁ - Fotografías,91,2023,CUTONALÁ,Fotografías,0
611 Patrimonio cultural en el SICI-92 - 2023 - CUTLAJOMULCO - Fotografías,92,2023,CUTLAJOMULCO,Fotografías,0
611 Patrimonio cultural en el SICI-93 - 2023 - SUV - Fotografías,93,2023,SUV,Fotografías,0
611 Patrimonio cultural en el SICI-94 - 2023 - SEMS - Fotografías,94,2023,SEMS,Fotografías,0
611 Patrimonio cultural en el SICI-95 - 2023 - AG - Fotografías,95,2023,AG,Fotografías,52
611 Patrimonio cultural en el SICI-96 - 2023 - CUCEA - Obras diversas,96,2023,CUCEA,Obras diversas,4
611 Patrimonio cultural en el SICI-97 - 2023 - CUCEI - Obras diversas,97,2023,CUCEI,Obras diversas,0
611 Patrimonio cultural en el SICI-98 - 2023 - CUCSH - Obras diversas,98,2023,CUCSH,Obras diversas,4
611 Patrimonio cultural en el SICI-99 - 2023 - CUCS - Obras diversas,99,2023,CUCS,Obras diversas,4
611 Patrimonio cultural en el SICI-100 - 2023 - CUAAD - Obras diversas,100,2023,CUAAD,Obras diversas,7
611 Patrimonio cultural en el SICI-101 - 2023 - CUCBA - Obras diversas,101,2023,CUCBA,Obras diversas,0
611 Patrimonio cultural en el SICI-102 - 2023 - CUALTOS - Obras diversas,102,2023,CUALTOS,Obras diversas,0
611 Patrimonio cultural en el SICI-103 - 2023 - CUCIÉNEGA - Obras diversas,103,2023,CUCIÉNEGA,Obras diversas,0
611 Patrimonio cultural en el SICI-104 - 2023 - CUSUR - Obras diversas,104,2023,CUSUR,Obras diversas,0
611 Patrimonio cultural en el SICI-105 - 2023 - CUCOSTA - Obras diversas,105,2023,CUCOSTA,Obras diversas,1
611 Patrimonio cultural en el SICI-106 - 2023 - CUCOSTASUR - Obras diversas,106,2023,CUCOSTASUR,Obras diversas,1
611 Patrimonio cultural en el SICI-107 - 2023 - CUVALLES - Obras diversas,107,2023,CUVALLES,Obras diversas,0
611 Patrimonio cultural en el SICI-108 - 2023 - CUNORTE - Obras diversas,108,2023,CUNORTE,Obras diversas,12
611 Patrimonio cultural en el SICI-109 - 2023 - CULAGOS - Obras diversas,109,2023,CULAGOS,Obras diversas,0
611 Patrimonio cultural en el SICI-110 - 2023 - CUTONALÁ - Obras diversas,110,2023,CUTONALÁ,Obras diversas,0
611 Patrimonio cultural en el SICI-111 - 2023 - CUTLAJOMULCO - Obras diversas,111,2023,CUTLAJOMULCO,Obras diversas,0
611 Patrimonio cultural en el SICI-112 - 2023 - SUV - Obras diversas,112,2023,SUV,Obras diversas,0
611 Patrimonio cultural en el SICI-113 - 2023 - SEMS - Obras diversas,113,2023,SEMS,Obras diversas,8
611 Patrimonio cultural en el SICI-114 - 2023 - AG - Obras diversas,114,2023,AG,Obras diversas,96
