name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-850 - 2020 - CULAGOS,850,2020,CULAGOS,Ingeniería Industrial,1
422 PE que requieren PP-851 - 2020 - CULAGOS,851,2020,CULAGOS,Ingeniería Mecatrónica,1
422 PE que requieren PP-852 - 2020 - CULAGOS,852,2020,CULAGOS,Ingeniería Mecánica Eléctrica,1
422 PE que requieren PP-853 - 2020 - CULAGOS,853,2020,CULAGOS,Ingeniería en Videojuegos,1
422 PE que requieren PP-854 - 2020 - CULAGOS,854,2020,CULAGOS,Licenciatura en Administración,1
422 PE que requieren PP-855 - 2020 - CULAGOS,855,2020,CULAGOS,Licenciatura en Periodismo,1
422 PE que requieren PP-856 - 2020 - CULAGOS,856,2020,CULAGOS,Licenciatura en Humanidades,1
422 PE que requieren PP-857 - 2020 - CULAGOS,857,2020,CULAGOS,Licenciatura en Psicología,1
422 PE que requieren PP-858 - 2020 - CULAGOS,858,2020,CULAGOS,Licenciatura en Tecnologías de la Información,1
422 PE que requieren PP-859 - 2020 - CUNORTE,859,2020,CUNORTE,Licenciatura en Turismo,1
422 PE que requieren PP-860 - 2020 - CUNORTE,860,2020,CUNORTE,Licenciatura en Agronegocios,1
422 PE que requieren PP-861 - 2020 - CUNORTE,861,2020,CUNORTE,Ingeniería Mecánica Eléctrica,1
422 PE que requieren PP-862 - 2020 - CUNORTE,862,2020,CUNORTE,Ingeniería en Electrónica y Computación,1
422 PE que requieren PP-863 - 2020 - CUNORTE,863,2020,CUNORTE,Ingeniería en Telemática,1
422 PE que requieren PP-864 - 2020 - CUNORTE,864,2020,CUNORTE,Licenciatura en Enfermería,1
422 PE que requieren PP-865 - 2020 - CUNORTE,865,2020,CUNORTE,Licenciatura en Nutrición,1
422 PE que requieren PP-866 - 2020 - CUNORTE,866,2020,CUNORTE,Licenciatura en Psicología,1
422 PE que requieren PP-867 - 2020 - CUNORTE,867,2020,CUNORTE,Abogado,1
422 PE que requieren PP-868 - 2020 - CUNORTE,868,2020,CUNORTE,Licenciatura en Antropología,1
422 PE que requieren PP-869 - 2020 - CUNORTE,869,2020,CUNORTE,Licenciatura en Administración,1
422 PE que requieren PP-870 - 2020 - CUNORTE,870,2020,CUNORTE,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-871 - 2020 - CUSUR,871,2020,CUSUR,Abogado,1
422 PE que requieren PP-872 - 2020 - CUSUR,872,2020,CUSUR,Ingeniería en Sistemas Biológicos,1
422 PE que requieren PP-873 - 2020 - CUSUR,873,2020,CUSUR,Ingeniería en Telemática,1
422 PE que requieren PP-874 - 2020 - CUSUR,874,2020,CUSUR,Licenciatura en Agrobiotecnología,1
422 PE que requieren PP-875 - 2020 - CUSUR,875,2020,CUSUR,Licenciatura en Agronegocios,1
422 PE que requieren PP-876 - 2020 - CUSUR,876,2020,CUSUR,Licenciatura en Cultura Física y Deportes,1
422 PE que requieren PP-877 - 2020 - CUSUR,877,2020,CUSUR,Licenciatura en Desarrollo Turístico Sustentable,1
422 PE que requieren PP-878 - 2020 - CUSUR,878,2020,CUSUR,Licenciatura en Enfermería,1
422 PE que requieren PP-879 - 2020 - CUSUR,879,2020,CUSUR,Licenciatura en Letras Hispánicas,1
422 PE que requieren PP-880 - 2020 - CUSUR,880,2020,CUSUR,Licenciatura en Medicina Veterinaria y Zootecnia,1
422 PE que requieren PP-881 - 2020 - CUSUR,881,2020,CUSUR,Licenciatura en Negocios Internacionales,1
422 PE que requieren PP-882 - 2020 - CUSUR,882,2020,CUSUR,Licenciatura en Nutrición,1
422 PE que requieren PP-883 - 2020 - CUSUR,883,2020,CUSUR,Licenciatura en Periodismo,1
422 PE que requieren PP-884 - 2020 - CUSUR,884,2020,CUSUR,Licenciatura en Psicología,1
422 PE que requieren PP-885 - 2020 - CUSUR,885,2020,CUSUR,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencia",1
422 PE que requieren PP-886 - 2020 - CUSUR,886,2020,CUSUR,Licenciatura en Trabajo Social,1
422 PE que requieren PP-887 - 2020 - CUSUR,887,2020,CUSUR,Médico Cirujano y Partero,1
422 PE que requieren PP-888 - 2020 - CUTONALÁ,888,2020,CUTONALÁ,Abogado,1
422 PE que requieren PP-889 - 2020 - CUTONALÁ,889,2020,CUTONALÁ,Ingeniería en Ciencias Computacionales,1
422 PE que requieren PP-890 - 2020 - CUTONALÁ,890,2020,CUTONALÁ,Ingeniería en Energía,1
422 PE que requieren PP-891 - 2020 - CUTONALÁ,891,2020,CUTONALÁ,Ingeniería en Nanotecnología,1
422 PE que requieren PP-892 - 2020 - CUTONALÁ,892,2020,CUTONALÁ,Licenciatura en Administración de Negocios,1
422 PE que requieren PP-893 - 2020 - CUTONALÁ,893,2020,CUTONALÁ,Licenciatura en Arquitectura,1
422 PE que requieren PP-894 - 2020 - CUTONALÁ,894,2020,CUTONALÁ,Licenciatura en Ciencias Forenses,1
