name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -71 - 2023-2024 - 5031400003,71,2023-2024,5031400003,1
211 PE únicos con matrícula -72 - 2023-2024 - 5031500008,72,2023-2024,5031500008,1
211 PE únicos con matrícula -73 - 2023-2024 - 5031500010,73,2023-2024,5031500010,1
211 PE únicos con matrícula -74 - 2023-2024 - 5032100001,74,2023-2024,5032100001,1
211 PE únicos con matrícula -75 - 2023-2024 - 5032100027,75,2023-2024,5032100027,1
211 PE únicos con matrícula -76 - 2023-2024 - 5032100038,76,2023-2024,5032100038,1
211 PE únicos con matrícula -77 - 2023-2024 - 5032100065,77,2023-2024,5032100065,1
211 PE únicos con matrícula -78 - 2023-2024 - 5032200012,78,2023-2024,5032200012,1
211 PE únicos con matrícula -79 - 2023-2024 - 5033100003,79,2023-2024,5033100003,1
211 PE únicos con matrícula -80 - 2023-2024 - 5033200006,80,2023-2024,5033200006,1
211 PE únicos con matrícula -81 - 2023-2024 - 5033200024,81,2023-2024,5033200024,1
211 PE únicos con matrícula -82 - 2023-2024 - 5041100007,82,2023-2024,5041100007,1
211 PE únicos con matrícula -83 - 2023-2024 - 5041100009,83,2023-2024,5041100009,1
211 PE únicos con matrícula -84 - 2023-2024 - 5041100021,84,2023-2024,5041100021,1
211 PE únicos con matrícula -85 - 2023-2024 - 5041100056,85,2023-2024,5041100056,1
211 PE únicos con matrícula -86 - 2023-2024 - 5041100127,86,2023-2024,5041100127,1
211 PE únicos con matrícula -87 - 2023-2024 - 5041200028,87,2023-2024,5041200028,1
211 PE únicos con matrícula -88 - 2023-2024 - 5041200075,88,2023-2024,5041200075,1
211 PE únicos con matrícula -89 - 2023-2024 - 5041300007,89,2023-2024,5041300007,1
211 PE únicos con matrícula -90 - 2023-2024 - 5041400032,90,2023-2024,5041400032,1
211 PE únicos con matrícula -91 - 2023-2024 - 5042000002,91,2023-2024,5042000002,1
211 PE únicos con matrícula -92 - 2023-2024 - 5042100012,92,2023-2024,5042100012,1
211 PE únicos con matrícula -93 - 2023-2024 - 5042100065,93,2023-2024,5042100065,1
211 PE únicos con matrícula -94 - 2023-2024 - 5042100092,94,2023-2024,5042100092,1
211 PE únicos con matrícula -95 - 2023-2024 - 5042100117,95,2023-2024,5042100117,1
211 PE únicos con matrícula -96 - 2023-2024 - 5042200024,96,2023-2024,5042200024,1
211 PE únicos con matrícula -97 - 2023-2024 - 5042300027,97,2023-2024,5042300027,1
211 PE únicos con matrícula -98 - 2023-2024 - 5042400005,98,2023-2024,5042400005,1
211 PE únicos con matrícula -99 - 2023-2024 - 5051100003,99,2023-2024,5051100003,1
211 PE únicos con matrícula -100 - 2023-2024 - 5051100006,100,2023-2024,5051100006,1
211 PE únicos con matrícula -101 - 2023-2024 - 5051100015,101,2023-2024,5051100015,1
211 PE únicos con matrícula -102 - 2023-2024 - 5051200024,102,2023-2024,5051200024,1
211 PE únicos con matrícula -103 - 2023-2024 - 5051300005,103,2023-2024,5051300005,1
211 PE únicos con matrícula -104 - 2023-2024 - 5051300020,104,2023-2024,5051300020,1
211 PE únicos con matrícula -105 - 2023-2024 - 5052100005,105,2023-2024,5052100005,1
211 PE únicos con matrícula -106 - 2023-2024 - 5052200002,106,2023-2024,5052200002,1
211 PE únicos con matrícula -107 - 2023-2024 - 5052200007,107,2023-2024,5052200007,1
211 PE únicos con matrícula -108 - 2023-2024 - 5052200017,108,2023-2024,5052200017,1
211 PE únicos con matrícula -109 - 2023-2024 - 5052200021,109,2023-2024,5052200021,1
211 PE únicos con matrícula -110 - 2023-2024 - 5052300015,110,2023-2024,5052300015,1
211 PE únicos con matrícula -111 - 2023-2024 - 5053100004,111,2023-2024,5053100004,1
211 PE únicos con matrícula -112 - 2023-2024 - 5061000002,112,2023-2024,5061000002,1
211 PE únicos con matrícula -113 - 2023-2024 - 5061000015,113,2023-2024,5061000015,1
211 PE únicos con matrícula -114 - 2023-2024 - 5061100001,114,2023-2024,5061100001,1
211 PE únicos con matrícula -115 - 2023-2024 - 5062100009,115,2023-2024,5062100009,1
211 PE únicos con matrícula -116 - 2023-2024 - 5062100033,116,2023-2024,5062100033,1
211 PE únicos con matrícula -117 - 2023-2024 - 5062100034,117,2023-2024,5062100034,1
211 PE únicos con matrícula -118 - 2023-2024 - 5062200055,118,2023-2024,5062200055,1
211 PE únicos con matrícula -119 - 2023-2024 - 5062200073,119,2023-2024,5062200073,1
211 PE únicos con matrícula -120 - 2023-2024 - 5062200082,120,2023-2024,5062200082,1
211 PE únicos con matrícula -121 - 2023-2024 - 5062200105,121,2023-2024,5062200105,1
211 PE únicos con matrícula -122 - 2023-2024 - 5071000020,122,2023-2024,5071000020,1
211 PE únicos con matrícula -123 - 2023-2024 - 5071000047,123,2023-2024,5071000047,1
211 PE únicos con matrícula -124 - 2023-2024 - 5071100005,124,2023-2024,5071100005,1
211 PE únicos con matrícula -125 - 2023-2024 - 5071100019,125,2023-2024,5071100019,1
211 PE únicos con matrícula -126 - 2023-2024 - 5071200009,126,2023-2024,5071200009,1
211 PE únicos con matrícula -127 - 2023-2024 - 5071200034,127,2023-2024,5071200034,1
211 PE únicos con matrícula -128 - 2023-2024 - 5071300009,128,2023-2024,5071300009,1
211 PE únicos con matrícula -129 - 2023-2024 - 5071300014,129,2023-2024,5071300014,1
211 PE únicos con matrícula -130 - 2023-2024 - 5071300082,130,2023-2024,5071300082,1
211 PE únicos con matrícula -131 - 2023-2024 - 5071300091,131,2023-2024,5071300091,1
211 PE únicos con matrícula -132 - 2023-2024 - 5071300147,132,2023-2024,5071300147,1
211 PE únicos con matrícula -133 - 2023-2024 - 5071400008,133,2023-2024,5071400008,1
211 PE únicos con matrícula -134 - 2023-2024 - 5071400015,134,2023-2024,5071400015,1
211 PE únicos con matrícula -135 - 2023-2024 - 5071700019,135,2023-2024,5071700019,1
211 PE únicos con matrícula -136 - 2023-2024 - 5072100002,136,2023-2024,5072100002,1
211 PE únicos con matrícula -137 - 2023-2024 - 5072100018,137,2023-2024,5072100018,1
211 PE únicos con matrícula -138 - 2023-2024 - 5072100033,138,2023-2024,5072100033,1
211 PE únicos con matrícula -139 - 2023-2024 - 5072100049,139,2023-2024,5072100049,1
211 PE únicos con matrícula -140 - 2023-2024 - 5072400001,140,2023-2024,5072400001,1
211 PE únicos con matrícula -141 - 2023-2024 - 5073100009,141,2023-2024,5073100009,1
211 PE únicos con matrícula -142 - 2023-2024 - 5073100024,142,2023-2024,5073100024,1
211 PE únicos con matrícula -143 - 2023-2024 - 5073200005,143,2023-2024,5073200005,1
211 PE únicos con matrícula -144 - 2023-2024 - 5073200010,144,2023-2024,5073200010,1
211 PE únicos con matrícula -145 - 2023-2024 - 5073200035,145,2023-2024,5073200035,1
211 PE únicos con matrícula -146 - 2023-2024 - 5081100010,146,2023-2024,5081100010,1
211 PE únicos con matrícula -147 - 2023-2024 - 5081100050,147,2023-2024,5081100050,1
