name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2018-2019 14MMS0607X BGC,1,2018-2019,14MMS0607X,BGC,Escolarizada,143,222,,365,,,,0,,,,0,,,,,,,,,,,,
2 2018-2019 14MMS0607X BGC,2,2018-2019,14MMS0607X,BGC,Escolarizada,163,217,,380,,,,0,,,,0,,,,,,,,,,,,
3 2018-2019 14MMS0607X BGAI,3,2018-2019,14MMS0607X,BGAI,Escolarizada,29,32,,61,,,,0,,,,1,,,,,,,,,,,,
4 2018-2019 14MMS0608W BGC,4,2018-2019,14MMS0608W,BGC,Escolarizada,239,287,,526,,,,0,,,,0,,,,,,,,,,,,
5 2018-2019 14MMS0608W BGC,5,2018-2019,14MMS0608W,BGC,Escolarizada,239,280,,519,,,,0,,,,0,,,,,,,,,,,,
6 2018-2019 14MMS0608W BGAI,6,2018-2019,14MMS0608W,BGAI,Escolarizada,29,34,,63,,,,0,,,,0,,,,,,,,,,,,
7 2018-2019 14MMS0609V BGC,7,2018-2019,14MMS0609V,BGC,Escolarizada,132,190,,322,,,,0,,,,0,,,,,,,,,,,,
8 2018-2019 14MMS0609V BGC,8,2018-2019,14MMS0609V,BGC,Escolarizada,135,191,,326,,,,0,,,,0,,,,,,,,,,,,
9 2018-2019 14MMS0609V BGAI,9,2018-2019,14MMS0609V,BGAI,Escolarizada,64,43,,107,,,,0,,,,0,,,,,,,,,,,,
10 2018-2019 14MMS0610K BGC,10,2018-2019,14MMS0610K,BGC,Escolarizada,142,191,,333,,,,0,,,,0,,,,,,,,,,,,
