name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,tiempo_completo,medio_tiempo,total
312 Investigadores-61 - 2018 - CUCEI,61,2018,CUCEI,Asistente,B,0,0,0
312 Investigadores-62 - 2019 - CUCEI,62,2019,CUCEI,Asistente,B,0,0,0
312 Investigadores-63 - 2020 - CUCEI,63,2020,CUCEI,Asistente,B,0,0,0
312 Investigadores-64 - 2021 - CUCEI,64,2021,CUCEI,Asistente,B,2,0,2
312 Investigadores-65 - 2022 - CUCEI,65,2022,CUCEI,Asistente,B,2,0,2
312 Investigadores-66 - 2023 - CUCEI,66,2023,CUCEI,Asistente,B,2,0,2
312 Investigadores-67 - 2018 - CUCEI,67,2018,CUCEI,Asistente,C,3,0,3
312 Investigadores-68 - 2019 - CUCEI,68,2019,CUCEI,Asistente,C,3,0,3
312 Investigadores-69 - 2020 - CUCEI,69,2020,CUCEI,Asistente,C,3,0,3
312 Investigadores-70 - 2021 - CUCEI,70,2021,CUCEI,Asistente,C,2,0,2
312 Investigadores-71 - 2022 - CUCEI,71,2022,CUCEI,Asistente,C,2,0,2
312 Investigadores-72 - 2023 - CUCEI,72,2023,CUCEI,Asistente,C,2,0,2
312 Investigadores-73 - 2018 - CUCEI,73,2018,CUCEI,Asociado,A,8,0,8
312 Investigadores-74 - 2019 - CUCEI,74,2019,CUCEI,Asociado,A,8,0,8
312 Investigadores-75 - 2020 - CUCEI,75,2020,CUCEI,Asociado,A,7,0,7
312 Investigadores-76 - 2021 - CUCEI,76,2021,CUCEI,Asociado,A,26,0,26
312 Investigadores-77 - 2022 - CUCEI,77,2022,CUCEI,Asociado,A,24,0,24
312 Investigadores-78 - 2023 - CUCEI,78,2023,CUCEI,Asociado,A,37,0,37
312 Investigadores-79 - 2018 - CUCEI,79,2018,CUCEI,Asociado,B,21,0,21
312 Investigadores-80 - 2019 - CUCEI,80,2019,CUCEI,Asociado,B,27,0,27
312 Investigadores-81 - 2020 - CUCEI,81,2020,CUCEI,Asociado,B,14,0,14
312 Investigadores-82 - 2021 - CUCEI,82,2021,CUCEI,Asociado,B,41,0,41
312 Investigadores-83 - 2022 - CUCEI,83,2022,CUCEI,Asociado,B,43,0,43
312 Investigadores-84 - 2023 - CUCEI,84,2023,CUCEI,Asociado,B,42,0,42
312 Investigadores-85 - 2018 - CUCEI,85,2018,CUCEI,Asociado,C,29,0,29
312 Investigadores-86 - 2019 - CUCEI,86,2019,CUCEI,Asociado,C,28,0,28
312 Investigadores-87 - 2020 - CUCEI,87,2020,CUCEI,Asociado,C,21,0,21
312 Investigadores-88 - 2021 - CUCEI,88,2021,CUCEI,Asociado,C,44,1,45
312 Investigadores-89 - 2022 - CUCEI,89,2022,CUCEI,Asociado,C,43,1,44
312 Investigadores-90 - 2023 - CUCEI,90,2023,CUCEI,Asociado,C,42,1,43
312 Investigadores-91 - 2018 - CUCEI,91,2018,CUCEI,Titular,A,83,0,83
312 Investigadores-92 - 2019 - CUCEI,92,2019,CUCEI,Titular,A,98,0,98
312 Investigadores-93 - 2020 - CUCEI,93,2020,CUCEI,Titular,A,46,0,46
312 Investigadores-94 - 2021 - CUCEI,94,2021,CUCEI,Titular,A,137,0,137
312 Investigadores-95 - 2022 - CUCEI,95,2022,CUCEI,Titular,A,136,0,136
312 Investigadores-96 - 2023 - CUCEI,96,2023,CUCEI,Titular,A,135,0,135
312 Investigadores-97 - 2018 - CUCEI,97,2018,CUCEI,Titular,B,42,0,42
312 Investigadores-98 - 2019 - CUCEI,98,2019,CUCEI,Titular,B,39,0,39
312 Investigadores-99 - 2020 - CUCEI,99,2020,CUCEI,Titular,B,38,0,38
312 Investigadores-100 - 2021 - CUCEI,100,2021,CUCEI,Titular,B,52,0,52
312 Investigadores-101 - 2022 - CUCEI,101,2022,CUCEI,Titular,B,48,0,48
312 Investigadores-102 - 2023 - CUCEI,102,2023,CUCEI,Titular,B,46,0,46
