name,row,anio,entidad_universitaria,total
922 Residuos sólidos -1 - 2024 - CUCEA,1,2024,CUCEA,130000
922 Residuos sólidos -2 - 2024 - CUCEI,2,2024,CUCEI,921519
922 Residuos sólidos -3 - 2024 - CUCSH,3,2024,CUCSH,147012
922 Residuos sólidos -4 - 2024 - CUCS,4,2024,CUCS,691640
922 Residuos sólidos -5 - 2024 - CUAAD,5,2024,CUAAD,111238
922 Residuos sólidos -6 - 2024 - CUCBA,6,2024,CUCBA,185139
922 Residuos sólidos -7 - 2024 - CUALTOS,7,2024,CUALTOS,32405
922 Residuos sólidos -8 - 2024 - CUCIÉNEGA,8,2024,CUCIÉNEGA,23480
922 Residuos sólidos -9 - 2024 - CUSUR,9,2024,CUSUR,51473
922 Residuos sólidos -10 - 2024 - CUCOSTA,10,2024,CUCOSTA,547255
922 Residuos sólidos -11 - 2024 - CUCOSTASUR,11,2024,CUCOSTASUR,43413
922 Residuos sólidos -12 - 2024 - CUVALLES,12,2024,CUVALLES,61219
922 Residuos sólidos -13 - 2024 - CUNORTE,13,2024,CUNORTE,18582
922 Residuos sólidos -14 - 2024 - CULAGOS,14,2024,CULAGOS,42716
922 Residuos sólidos -15 - 2024 - CUTONALÁ,15,2024,CUTONALÁ,195152
922 Residuos sólidos -16 - 2024 - CUTLAJOMULCO,16,2024,CUTLAJOMULCO,34493
922 Residuos sólidos -17 - 2024 - CUGUADALAJARA,17,2024,CUGUADALAJARA,0
922 Residuos sólidos -18 - 2024 - CUCHAPALA,18,2024,CUCHAPALA,1020
922 Residuos sólidos -19 - 2024 - CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,0
922 Residuos sólidos -20 - 2024 - SEMS,20,2024,SEMS,669283
922 Residuos sólidos -21 - 2024 - AG,21,2024,AG,65533
