name,row,ciclo,clasificacion_plantel,tipo_plantel,nivel_pc_sinems,total,hombres,mujeres,personas_nb
121 Calidad PC-SINEMS -36 - 2020-2021 - Regional - Escuelas - Nivel I,36,2020-2021,Regional,Escuelas,Nivel I,21228,9467,11761,
121 Calidad PC-SINEMS -37 - 2020-2021 - Regional - Escuelas - Nivel II,37,2020-2021,Regional,Escuelas,Nivel II,26792,11799,14993,
121 Calidad PC-SINEMS -38 - 2020-2021 - Regional - Escuelas - Nivel III,38,2020-2021,Regional,Escuelas,Nivel III,3196,1450,1746,
121 Calidad PC-SINEMS -39 - 2020-2021 - Regional - Módulos - Nivel I,39,2020-2021,Regional,Módulos,Nivel I,6942,3217,3725,
121 Calidad PC-SINEMS -40 - 2020-2021 - Regional - Módulos - Nivel II,40,2020-2021,Regional,Módulos,Nivel II,13071,6217,6854,
121 Calidad PC-SINEMS -41 - 2020-2021 - Regional - Módulos - Nivel III,41,2020-2021,Regional,Módulos,Nivel III,1236,562,674,
121 Calidad PC-SINEMS -42 - 2020-2021 - Regional - Extensiones - Nivel I,42,2020-2021,Regional,Extensiones,Nivel I,227,98,129,
121 Calidad PC-SINEMS -43 - 2020-2021 - Regional - Extensiones - Nivel II,43,2020-2021,Regional,Extensiones,Nivel II,246,116,130,
121 Calidad PC-SINEMS -44 - 2020-2021 - Regional - Extensiones - Nivel III,44,2020-2021,Regional,Extensiones,Nivel III,125,50,75,
121 Calidad PC-SINEMS -45 - 2020-2021 - Regional - Virtual - Nivel I,45,2020-2021,Regional,Virtual,Nivel I,217,75,142,
121 Calidad PC-SINEMS -46 - 2021-2022 - Metropolitano - Escuelas - Nivel I,46,2021-2022,Metropolitano,Escuelas,Nivel I,48562,20740,27822,
121 Calidad PC-SINEMS -47 - 2021-2022 - Metropolitano - Escuelas - Nivel II,47,2021-2022,Metropolitano,Escuelas,Nivel II,17409,8651,8758,
121 Calidad PC-SINEMS -48 - 2021-2022 - Metropolitano - Escuelas - Nivel III,48,2021-2022,Metropolitano,Escuelas,Nivel III,18559,8580,9979,
121 Calidad PC-SINEMS -49 - 2021-2022 - Metropolitano - Módulos - Nivel I,49,2021-2022,Metropolitano,Módulos,Nivel I,587,271,316,
121 Calidad PC-SINEMS -50 - 2021-2022 - Metropolitano - Módulos - Nivel II,50,2021-2022,Metropolitano,Módulos,Nivel II,0,0,0,
121 Calidad PC-SINEMS -51 - 2021-2022 - Regional - Escuelas - Nivel I,51,2021-2022,Regional,Escuelas,Nivel I,22521,10256,12265,
121 Calidad PC-SINEMS -52 - 2021-2022 - Regional - Escuelas - Nivel II,52,2021-2022,Regional,Escuelas,Nivel II,27438,12099,15339,
121 Calidad PC-SINEMS -53 - 2021-2022 - Regional - Escuelas - Nivel III,53,2021-2022,Regional,Escuelas,Nivel III,3164,1427,1737,
121 Calidad PC-SINEMS -54 - 2021-2022 - Regional - Módulos - Nivel I,54,2021-2022,Regional,Módulos,Nivel I,7063,3239,3824,
121 Calidad PC-SINEMS -55 - 2021-2022 - Regional - Módulos - Nivel II,55,2021-2022,Regional,Módulos,Nivel II,13414,6351,7063,
121 Calidad PC-SINEMS -56 - 2021-2022 - Regional - Módulos - Nivel III,56,2021-2022,Regional,Módulos,Nivel III,1166,543,623,
121 Calidad PC-SINEMS -57 - 2021-2022 - Regional - Extensiones - Nivel I,57,2021-2022,Regional,Extensiones,Nivel I,252,106,146,
121 Calidad PC-SINEMS -58 - 2021-2022 - Regional - Extensiones - Nivel II,58,2021-2022,Regional,Extensiones,Nivel II,241,110,131,
121 Calidad PC-SINEMS -59 - 2021-2022 - Regional - Extensiones - Nivel III,59,2021-2022,Regional,Extensiones,Nivel III,139,59,80,
121 Calidad PC-SINEMS -60 - 2021-2022 - Regional - Virtual - Nivel I,60,2021-2022,Regional,Virtual,Nivel I,316,117,199,
121 Calidad PC-SINEMS -61 - 2022-2023 - Metropolitano - Escuelas - Nivel I,61,2022-2023,Metropolitano,Escuelas,Nivel I,50171,22293,27878,
121 Calidad PC-SINEMS -62 - 2022-2023 - Metropolitano - Escuelas - Nivel II,62,2022-2023,Metropolitano,Escuelas,Nivel II,17125,8654,8471,
121 Calidad PC-SINEMS -63 - 2022-2023 - Metropolitano - Escuelas - Nivel III,63,2022-2023,Metropolitano,Escuelas,Nivel III,19417,9338,10079,
121 Calidad PC-SINEMS -64 - 2022-2023 - Metropolitano - Módulos - Nivel I,64,2022-2023,Metropolitano,Módulos,Nivel I,627,297,330,
121 Calidad PC-SINEMS -65 - 2022-2023 - Metropolitano - Módulos - Nivel II,65,2022-2023,Metropolitano,Módulos,Nivel II,0,0,0,
121 Calidad PC-SINEMS -66 - 2022-2023 - Regional - Escuelas - Nivel I,66,2022-2023,Regional,Escuelas,Nivel I,22229,10066,12163,
121 Calidad PC-SINEMS -67 - 2022-2023 - Regional - Escuelas - Nivel II,67,2022-2023,Regional,Escuelas,Nivel II,28834,12865,15969,
121 Calidad PC-SINEMS -68 - 2022-2023 - Regional - Escuelas - Nivel III,68,2022-2023,Regional,Escuelas,Nivel III,3150,1452,1698,
121 Calidad PC-SINEMS -69 - 2022-2023 - Regional - Módulos - Nivel I,69,2022-2023,Regional,Módulos,Nivel I,6808,3068,3740,
121 Calidad PC-SINEMS -70 - 2022-2023 - Regional - Módulos - Nivel II,70,2022-2023,Regional,Módulos,Nivel II,13585,6315,7270,
121 Calidad PC-SINEMS -71 - 2022-2023 - Regional - Módulos - Nivel III,71,2022-2023,Regional,Módulos,Nivel III,1325,620,705,
121 Calidad PC-SINEMS -72 - 2022-2023 - Regional - Virtual - Nivel I,72,2022-2023,Regional,Virtual,Nivel I,,,,
121 Calidad PC-SINEMS -73 - 2023-2024 - Metropolitano - Escuelas - Nivel I,73,2023-2024,Metropolitano,Escuelas,Nivel I,50500,23158,27342,
121 Calidad PC-SINEMS -74 - 2023-2024 - Metropolitano - Escuelas - Nivel II,74,2023-2024,Metropolitano,Escuelas,Nivel II,16963,8628,8335,
121 Calidad PC-SINEMS -75 - 2023-2024 - Metropolitano - Escuelas - Nivel III,75,2023-2024,Metropolitano,Escuelas,Nivel III,19984,9878,10106,
121 Calidad PC-SINEMS -76 - 2023-2024 - Metropolitano - Módulos - Nivel I,76,2023-2024,Metropolitano,Módulos,Nivel I,514,223,291,
121 Calidad PC-SINEMS -77 - 2023-2024 - Metropolitano - Módulos - Nivel II,77,2023-2024,Metropolitano,Módulos,Nivel II,0,0,0,
121 Calidad PC-SINEMS -78 - 2023-2024 - Regional - Escuelas - Nivel I,78,2023-2024,Regional,Escuelas,Nivel I,22853,10514,12339,
121 Calidad PC-SINEMS -79 - 2023-2024 - Regional - Escuelas - Nivel II,79,2023-2024,Regional,Escuelas,Nivel II,28864,12988,15876,
121 Calidad PC-SINEMS -80 - 2023-2024 - Regional - Escuelas - Nivel III,80,2023-2024,Regional,Escuelas,Nivel III,3232,1442,1790,
121 Calidad PC-SINEMS -81 - 2023-2024 - Regional - Módulos - Nivel I,81,2023-2024,Regional,Módulos,Nivel I,7329,3364,3965,
121 Calidad PC-SINEMS -82 - 2023-2024 - Regional - Módulos - Nivel II,82,2023-2024,Regional,Módulos,Nivel II,13999,6416,7583,
121 Calidad PC-SINEMS -83 - 2023-2024 - Regional - Módulos - Nivel III,83,2023-2024,Regional,Módulos,Nivel III,531,249,282,
121 Calidad PC-SINEMS -84 - 2023-2024 - Regional - Virtual - Nivel I,84,2023-2024,Regional,Virtual,Nivel I,,,,
