name,row,anio,base_de_datos,suscripcion,tipo
2024 1 ABI/INFORM Collection - ProQuest,1,2024,ABI/INFORM Collection - ProQuest,UDG,RTC
2024 2 Academic V deo OnLine (AVON) - ProQuest,2,2024,Academic V deo OnLine (AVON) - ProQuest,UDG,RTC
2024 3 3D4 Medical Complete Anatomy - Elsevier,3,2024,3D4 Medical Complete Anatomy - Elsevier,UDG,RTC
2024 4 Americas Journal Package (Springer Journals Americas) - Springer,4,2024,Americas Journal Package (Springer Journals Americas) - Springer,UDG,RTC
2024 5 APS Journals (10 revistas) - American Physical Society,5,2024,APS Journals (10 revistas) - American Physical Society,UDG,RTC
2024 6 Art & Architecture Source - EBSCO,6,2024,Art & Architecture Source - EBSCO,UDG,RTC
2024 7 ASCE - American Society of Civil Engineers,7,2024,ASCE - American Society of Civil Engineers,UDG,RTC
2024 8 Access Engineering - McGraw-Hill,8,2024,Access Engineering - McGraw-Hill,UDG,RTC
2024 9 Bibliocolabora,9,2024,Bibliocolabora,UDG,RTC
2024 10 Biological Sciences - JSTOR ,10,2024,Biological Sciences - JSTOR ,UDG,RTC
2024 11 BioOne Complete - BioOne,11,2024,BioOne Complete - BioOne,UDG,RTC
2024 12 Building Types Online - De Gruyter,12,2024,Building Types Online - De Gruyter,UDG,RTC
2024 13 Cambridge Journals Collection - Cambridge University Press,13,2024,Cambridge Journals Collection - Cambridge University Press,UDG,RTC
2024 14 CheckPoint - Thomson Reuters,14,2024,CheckPoint - Thomson Reuters,UDG,RTC
2024 15 CSIC-CINDOC - (Bibliocolabora),15,2024,CSIC-CINDOC - (Bibliocolabora),UDG,RTC
2024 16 Digitalia Film Library,16,2024,Digitalia Film Library,UDG,RTC
2024 17 Embase - Elsevier,17,2024,Embase - Elsevier,UDG,RTC
2024 18 EMIS Pro Global - ISI Emerging Markets Group,18,2024,EMIS Pro Global - ISI Emerging Markets Group,UDG,RTC
2024 19 Food Science Source - EBSCO,19,2024,Food Science Source - EBSCO,UDG,RTC
2024 20 Gale Academic One File - Gale,20,2024,Gale Academic One File - Gale,UDG,RTC
2024 21 Gale Business Insights Global - Gale,21,2024,Gale Business Insights Global - Gale,UDG,RTC
2024 22 Gale in Context: Enviromental Studies - Gale,22,2024,Gale in Context: Enviromental Studies - Gale,UDG,RTC
2024 23 Gale in Context: Science - Gale,23,2024,Gale in Context: Science - Gale,UDG,RTC
2024 24 Gale Interactive: Chemistry - Gale,24,2024,Gale Interactive: Chemistry - Gale,UDG,RTC
2024 25 Gale Interactive: Human Anatomy - Gale,25,2024,Gale Interactive: Human Anatomy - Gale,UDG,RTC
2024 26 Gale One File Informe Acad mico - Gale,26,2024,Gale One File Informe Acad mico - Gale,UDG,RTC
2024 27 Gale One File News - Gale,27,2024,Gale One File News - Gale,UDG,RTC
2024 28 Gale Pprimary Sources Archives Unbound - Gale,28,2024,Gale Pprimary Sources Archives Unbound - Gale,UDG,RTC
2024 29 Global Plants - JSTOR,29,2024,Global Plants - JSTOR,UDG,RTC
2024 30 Hemeroteca Proceso,30,2024,Hemeroteca Proceso,UDG,RTC
2024 31 IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,31,2024,IEEE/IET Electronic Library (IEL) - Institute of Electrical and Electronics Engineers IEEE,UDG,RTC
2024 32 InCites Benchmarking & Analytics - Clarivate Analytics,32,2024,InCites Benchmarking & Analytics - Clarivate Analytics,UDG,RTC
2024 33 Ingenta Connect,33,2024,Ingenta Connect,UDG,RTC
2024 34 Journals IOP - Institute of Physics,34,2024,Journals IOP - Institute of Physics,UDG,RTC
2024 35 J-Gate Full Collection,35,2024,J-Gate Full Collection,UDG,RTC
"2024 36 Library, Information Science & Technology Abstracts EBSCO",36,2024,"Library, Information Science & Technology Abstracts EBSCO",UDG,RTC
2024 37 Life Sciences - JSTOR,37,2024,Life Sciences - JSTOR,UDG,RTC
2024 38 MIT Press Journals Collection,38,2024,MIT Press Journals Collection,UDG,RTC
2024 39 Nature Nanotechnology - Springer,39,2024,Nature Nanotechnology - Springer,UDG,RTC
2024 40 nKoda,40,2024,nKoda,UDG,RTC
2024 41 NNN Consult - Elsevier,41,2024,NNN Consult - Elsevier,UDG,RTC
2024 42 Patents Global - ProQuest,42,2024,Patents Global - ProQuest,UDG,RTC
2024 43 Plant Cell - Oxford Academic,43,2024,Plant Cell - Oxford Academic,UDG,RTC
2024 44 Pressreader,44,2024,Pressreader,UDG,RTC
2024 45 Professional Development Collection - EBSCO,45,2024,Professional Development Collection - EBSCO,UDG,RTC
2024 46 ProQuest Central - ProQuest,46,2024,ProQuest Central - ProQuest,UDG,RTC
2024 47 ProQuest Dissertations and Theses Global - ProQuest,47,2024,ProQuest Dissertations and Theses Global - ProQuest,UDG,RTC
2024 48 Revista Scientific American,48,2024,Revista Scientific American,UDG,RTC
