name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023-50 PA DTC Asistente C de CUVALLES,50,2023,CUVALLES,DTC,Asistente,C,1,0,,1
712-2023-51 PA DTC Asistente C de CUNORTE,51,2023,CUNORTE,DTC,Asistente,C,0,0,,0
712-2023-52 PA DTC Asistente C de CULAGOS,52,2023,CULAGOS,DTC,Asistente,C,0,0,,0
712-2023-53 PA DTC Asistente C de CUTONALÁ,53,2023,CUTONALÁ,DTC,Asistente,C,2,0,,2
712-2023-54 PA DTC Asistente C de CUTLAJOMULCO,54,2023,CUTLAJOMULCO,DTC,Asistente,C,0,0,,0
712-2023-55 PA DTC Asistente C de SUV,55,2023,SUV,DTC,Asistente,C,0,0,,0
712-2023-56 PA DTC Asistente C de SEMS,56,2023,SEMS,DTC,Asistente,C,41,44,,85
712-2023-57 PA DTC Asistente C de AG,57,2023,AG,DTC,Asistente,C,0,0,,0
712-2023-58 PA DTC Asociado A de CUCEA,58,2023,CUCEA,DTC,Asociado,A,14,13,,27
712-2023-59 PA DTC Asociado A de CUCEI,59,2023,CUCEI,DTC,Asociado,A,14,7,,21
712-2023-60 PA DTC Asociado A de CUCSH,60,2023,CUCSH,DTC,Asociado,A,13,14,,27
712-2023-61 PA DTC Asociado A de CUCS,61,2023,CUCS,DTC,Asociado,A,16,12,,28
712-2023-62 PA DTC Asociado A de CUAAD,62,2023,CUAAD,DTC,Asociado,A,11,4,,15
712-2023-63 PA DTC Asociado A de CUCBA,63,2023,CUCBA,DTC,Asociado,A,8,5,,13
712-2023-64 PA DTC Asociado A de CUALTOS,64,2023,CUALTOS,DTC,Asociado,A,4,4,,8
712-2023-65 PA DTC Asociado A de CUCIÉNEGA,65,2023,CUCIÉNEGA,DTC,Asociado,A,7,5,,12
712-2023-66 PA DTC Asociado A de CUSUR,66,2023,CUSUR,DTC,Asociado,A,5,1,,6
712-2023-67 PA DTC Asociado A de CUCOSTA,67,2023,CUCOSTA,DTC,Asociado,A,5,0,,5
712-2023-68 PA DTC Asociado A de CUCOSTASUR,68,2023,CUCOSTASUR,DTC,Asociado,A,6,2,,8
712-2023-69 PA DTC Asociado A de CUVALLES,69,2023,CUVALLES,DTC,Asociado,A,2,6,,8
712-2023-70 PA DTC Asociado A de CUNORTE,70,2023,CUNORTE,DTC,Asociado,A,4,0,,4
712-2023-71 PA DTC Asociado A de CULAGOS,71,2023,CULAGOS,DTC,Asociado,A,3,1,,4
712-2023-72 PA DTC Asociado A de CUTONALÁ,72,2023,CUTONALÁ,DTC,Asociado,A,9,8,,17
712-2023-73 PA DTC Asociado A de CUTLAJOMULCO,73,2023,CUTLAJOMULCO,DTC,Asociado,A,0,2,,2
712-2023-74 PA DTC Asociado A de SUV,74,2023,SUV,DTC,Asociado,A,2,1,,3
712-2023-75 PA DTC Asociado A de SEMS,75,2023,SEMS,DTC,Asociado,A,133,136,,269
712-2023-76 PA DTC Asociado A de AG,76,2023,AG,DTC,Asociado,A,0,0,,0
712-2023-77 PA DTC Asociado B de CUCEA,77,2023,CUCEA,DTC,Asociado,B,16,14,,30
712-2023-78 PA DTC Asociado B de CUCEI,78,2023,CUCEI,DTC,Asociado,B,11,9,,20
712-2023-79 PA DTC Asociado B de CUCSH,79,2023,CUCSH,DTC,Asociado,B,12,16,,28
712-2023-80 PA DTC Asociado B de CUCS,80,2023,CUCS,DTC,Asociado,B,18,13,,31
712-2023-81 PA DTC Asociado B de CUAAD,81,2023,CUAAD,DTC,Asociado,B,5,4,,9
712-2023-82 PA DTC Asociado B de CUCBA,82,2023,CUCBA,DTC,Asociado,B,10,5,,15
712-2023-83 PA DTC Asociado B de CUALTOS,83,2023,CUALTOS,DTC,Asociado,B,9,8,,17
712-2023-84 PA DTC Asociado B de CUCIÉNEGA,84,2023,CUCIÉNEGA,DTC,Asociado,B,3,4,,7
712-2023-85 PA DTC Asociado B de CUSUR,85,2023,CUSUR,DTC,Asociado,B,7,5,,12
712-2023-86 PA DTC Asociado B de CUCOSTA,86,2023,CUCOSTA,DTC,Asociado,B,5,2,,7
712-2023-87 PA DTC Asociado B de CUCOSTASUR,87,2023,CUCOSTASUR,DTC,Asociado,B,1,2,,3
712-2023-88 PA DTC Asociado B de CUVALLES,88,2023,CUVALLES,DTC,Asociado,B,4,6,,10
712-2023-89 PA DTC Asociado B de CUNORTE,89,2023,CUNORTE,DTC,Asociado,B,3,4,,7
712-2023-90 PA DTC Asociado B de CULAGOS,90,2023,CULAGOS,DTC,Asociado,B,3,1,,4
712-2023-91 PA DTC Asociado B de CUTONALÁ,91,2023,CUTONALÁ,DTC,Asociado,B,6,9,,15
712-2023-92 PA DTC Asociado B de CUTLAJOMULCO,92,2023,CUTLAJOMULCO,DTC,Asociado,B,2,0,,2
712-2023-93 PA DTC Asociado B de SUV,93,2023,SUV,DTC,Asociado,B,5,2,,7
712-2023-94 PA DTC Asociado B de SEMS,94,2023,SEMS,DTC,Asociado,B,148,137,,285
712-2023-95 PA DTC Asociado B de AG,95,2023,AG,DTC,Asociado,B,0,0,,0
712-2023-96 PA DTC Asociado C de CUCEA,96,2023,CUCEA,DTC,Asociado,C,12,7,,19
712-2023-97 PA DTC Asociado C de CUCEI,97,2023,CUCEI,DTC,Asociado,C,8,4,,12
712-2023-98 PA DTC Asociado C de CUCSH,98,2023,CUCSH,DTC,Asociado,C,13,9,,22
712-2023-99 PA DTC Asociado C de CUCS,99,2023,CUCS,DTC,Asociado,C,10,9,,19
712-2023-100 PA DTC Asociado C de CUAAD,100,2023,CUAAD,DTC,Asociado,C,1,2,,3
712-2023-101 PA DTC Asociado C de CUCBA,101,2023,CUCBA,DTC,Asociado,C,11,2,,13
712-2023-102 PA DTC Asociado C de CUALTOS,102,2023,CUALTOS,DTC,Asociado,C,2,3,,5
712-2023-103 PA DTC Asociado C de CUCIÉNEGA,103,2023,CUCIÉNEGA,DTC,Asociado,C,3,1,,4
712-2023-104 PA DTC Asociado C de CUSUR,104,2023,CUSUR,DTC,Asociado,C,3,0,,3
712-2023-105 PA DTC Asociado C de CUCOSTA,105,2023,CUCOSTA,DTC,Asociado,C,2,2,,4
712-2023-106 PA DTC Asociado C de CUCOSTASUR,106,2023,CUCOSTASUR,DTC,Asociado,C,2,0,,2
712-2023-107 PA DTC Asociado C de CUVALLES,107,2023,CUVALLES,DTC,Asociado,C,2,2,,4
712-2023-108 PA DTC Asociado C de CUNORTE,108,2023,CUNORTE,DTC,Asociado,C,2,0,,2
712-2023-109 PA DTC Asociado C de CULAGOS,109,2023,CULAGOS,DTC,Asociado,C,1,2,,3
712-2023-110 PA DTC Asociado C de CUTONALÁ,110,2023,CUTONALÁ,DTC,Asociado,C,1,3,,4
712-2023-111 PA DTC Asociado C de CUTLAJOMULCO,111,2023,CUTLAJOMULCO,DTC,Asociado,C,1,2,,3
712-2023-112 PA DTC Asociado C de SUV,112,2023,SUV,DTC,Asociado,C,3,5,,8
712-2023-113 PA DTC Asociado C de SEMS,113,2023,SEMS,DTC,Asociado,C,88,58,,146
712-2023-114 PA DTC Asociado C de AG,114,2023,AG,DTC,Asociado,C,0,0,,0
712-2023-115 PA DTC Titular A de CUCEA,115,2023,CUCEA,DTC,Titular,A,16,3,,19
712-2023-116 PA DTC Titular A de CUCEI,116,2023,CUCEI,DTC,Titular,A,13,4,,17
712-2023-117 PA DTC Titular A de CUCSH,117,2023,CUCSH,DTC,Titular,A,26,15,,41
712-2023-118 PA DTC Titular A de CUCS,118,2023,CUCS,DTC,Titular,A,14,13,,27
712-2023-119 PA DTC Titular A de CUAAD,119,2023,CUAAD,DTC,Titular,A,13,9,,22
712-2023-120 PA DTC Titular A de CUCBA,120,2023,CUCBA,DTC,Titular,A,4,3,,7
712-2023-121 PA DTC Titular A de CUALTOS,121,2023,CUALTOS,DTC,Titular,A,7,2,,9
712-2023-122 PA DTC Titular A de CUCIÉNEGA,122,2023,CUCIÉNEGA,DTC,Titular,A,4,1,,5
712-2023-123 PA DTC Titular A de CUSUR,123,2023,CUSUR,DTC,Titular,A,11,0,,11
712-2023-124 PA DTC Titular A de CUCOSTA,124,2023,CUCOSTA,DTC,Titular,A,2,0,,2
712-2023-125 PA DTC Titular A de CUCOSTASUR,125,2023,CUCOSTASUR,DTC,Titular,A,4,1,,5
712-2023-126 PA DTC Titular A de CUVALLES,126,2023,CUVALLES,DTC,Titular,A,3,3,,6
712-2023-127 PA DTC Titular A de CUNORTE,127,2023,CUNORTE,DTC,Titular,A,2,1,,3
712-2023-128 PA DTC Titular A de CULAGOS,128,2023,CULAGOS,DTC,Titular,A,2,1,,3
712-2023-129 PA DTC Titular A de CUTONALÁ,129,2023,CUTONALÁ,DTC,Titular,A,11,9,,20
712-2023-130 PA DTC Titular A de CUTLAJOMULCO,130,2023,CUTLAJOMULCO,DTC,Titular,A,1,0,,1
712-2023-131 PA DTC Titular A de SUV,131,2023,SUV,DTC,Titular,A,2,4,,6
712-2023-132 PA DTC Titular A de SEMS,132,2023,SEMS,DTC,Titular,A,57,42,,99
712-2023-133 PA DTC Titular A de AG,133,2023,AG,DTC,Titular,A,0,0,,0
712-2023-134 PA DTC Titular B de CUCEA,134,2023,CUCEA,DTC,Titular,B,15,2,,17
712-2023-135 PA DTC Titular B de CUCEI,135,2023,CUCEI,DTC,Titular,B,7,4,,11
712-2023-136 PA DTC Titular B de CUCSH,136,2023,CUCSH,DTC,Titular,B,11,5,,16
712-2023-137 PA DTC Titular B de CUCS,137,2023,CUCS,DTC,Titular,B,6,4,,10
712-2023-138 PA DTC Titular B de CUAAD,138,2023,CUAAD,DTC,Titular,B,2,0,,2
