row,name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1,2022-202314USU0130U7011000002,2022-2023,2022 14USU0130U CUCBA,7011000002,Escolarizada,3,21,0,24,0,0,0,0,0,0,0,0
2,2022-202314USU0120N7041100026,2022-2023,2022 14USU0120N CUCEA,7041100026,Escolarizada,7,12,0,19,0,0,0,0,0,0,0,0
3,2022-202314USU0120N7041200034,2022-2023,2022 14USU0120N CUCEA,7041200034,Escolarizada,29,47,0,76,1,0,0,1,0,0,0,0
4,2022-202314USU0120N7041200042,2022-2023,2022 14USU0120N CUCEA,7041200042,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-202314USU0120N7041300021,2022-2023,2022 14USU0120N CUCEA,7041300021,Escolarizada,45,49,0,94,0,0,0,0,0,0,0,0
6,2022-202314USU0120N7041300024,2022-2023,2022 14USU0120N CUCEA,7041300024,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-202314USU0120N7041400008,2022-2023,2022 14USU0120N CUCEA,7041400008,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-202314USU0120N7041400009,2022-2023,2022 14USU0120N CUCEA,7041400009,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-202314USU0120N7041400028,2022-2023,2022 14USU0120N CUCEA,7041400028,Escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
10,2022-202314USU0110G8052000007,2022-2023,2022 14USU0110G CUCEI,8052000007,Escolarizada,1,6,0,7,0,0,0,0,0,0,0,0
