name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
41 2019-2020 14MMS0629I BGC Escolarizada,41,2019-2020,14MMS0629I,BGC,Escolarizada,672,935,,1607,11,16,,27,0,0,,0
42 2019-2020 14MMS0630Y BGC Escolarizada,42,2019-2020,14MMS0630Y,BGC,Escolarizada,932,1125,,2057,17,14,,31,0,0,,0
43 2019-2020 14MMS0631X BGC Escolarizada,43,2019-2020,14MMS0631X,BGC,Escolarizada,1388,1623,,3011,13,10,,23,3,2,,5
44 2019-2020 14MMS0632W 3042100026 Escolarizada,44,2019-2020,14MMS0632W,3042100026,Escolarizada,52,64,,116,1,0,,1,0,0,,0
45 2019-2020 14MMS0632W BGAI Escolarizada,45,2019-2020,14MMS0632W,BGAI,Escolarizada,10,13,,23,0,0,,0,0,0,,0
46 2019-2020 14MMS0632W BGC Escolarizada,46,2019-2020,14MMS0632W,BGC,Escolarizada,1199,1388,,2587,23,12,,35,0,0,,0
47 2019-2020 14MMS0633V BGC Escolarizada,47,2019-2020,14MMS0633V,BGC,Escolarizada,178,265,,443,7,7,,14,0,1,,1
48 2019-2020 14MMS0634U BGC Escolarizada,48,2019-2020,14MMS0634U,BGC,Escolarizada,752,1095,,1847,19,24,,43,0,1,,1
49 2019-2020 14MMS0635T BGC Escolarizada,49,2019-2020,14MMS0635T,BGC,Escolarizada,623,803,,1426,15,18,,33,0,0,,0
50 2019-2020 14MMS0636S BGC Escolarizada,50,2019-2020,14MMS0636S,BGC,Escolarizada,1044,1286,,2330,10,7,,17,0,1,,1
51 2019-2020 14MMS0637R BGAI Escolarizada,51,2019-2020,14MMS0637R,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
52 2019-2020 14MMS0637R BGC Escolarizada,52,2019-2020,14MMS0637R,BGC,Escolarizada,329,414,,743,5,6,,11,1,0,,1
53 2019-2020 14MMS0638Q BGC Escolarizada,53,2019-2020,14MMS0638Q,BGC,Escolarizada,327,474,,801,2,0,,2,0,0,,0
54 2019-2020 14MMS0639P BGC Escolarizada,54,2019-2020,14MMS0639P,BGC,Escolarizada,223,272,,495,3,4,,7,0,0,,0
55 2019-2020 14MMS0640E BGC Escolarizada,55,2019-2020,14MMS0640E,BGC,Escolarizada,373,490,,863,6,9,,15,0,0,,0
56 2019-2020 14MMS0641D BGC Escolarizada,56,2019-2020,14MMS0641D,BGC,Escolarizada,178,203,,381,3,1,,4,0,0,,0
57 2019-2020 14MMS0642C BGC Escolarizada,57,2019-2020,14MMS0642C,BGC,Escolarizada,267,362,,629,4,4,,8,0,0,,0
58 2019-2020 14MMS0643B BGAI Escolarizada,58,2019-2020,14MMS0643B,BGAI,Escolarizada,36,18,,54,0,0,,0,0,0,,0
59 2019-2020 14MMS0643B BGC Escolarizada,59,2019-2020,14MMS0643B,BGC,Escolarizada,449,542,,991,2,6,,8,0,0,,0
60 2019-2020 14MMS0644A BGC Escolarizada,60,2019-2020,14MMS0644A,BGC,Escolarizada,351,423,,774,0,1,,1,0,0,,0
61 2019-2020 14MMS0645Z 3021700001 Escolarizada,61,2019-2020,14MMS0645Z,3021700001,Escolarizada,102,127,,229,1,1,,2,0,0,,0
62 2019-2020 14MMS0645Z 3042100001 Escolarizada,62,2019-2020,14MMS0645Z,3042100001,Escolarizada,181,251,,432,2,3,,5,0,0,,0
63 2019-2020 14MMS0645Z BGAI Escolarizada,63,2019-2020,14MMS0645Z,BGAI,Escolarizada,72,79,,151,2,1,,3,1,0,,1
64 2019-2020 14MMS0645Z BGC Escolarizada,64,2019-2020,14MMS0645Z,BGC,Escolarizada,1146,1738,,2884,16,24,,40,0,0,,0
