name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -1 - 2021-2022 - 2021300033,1,2021-2022,2021300033,1
211 PE únicos con matrícula -2 - 2021-2022 - 2051200001,2,2021-2022,2051200001,1
211 PE únicos con matrícula -3 - 2021-2022 - 2062100003,3,2021-2022,2062100003,1
211 PE únicos con matrícula -4 - 2021-2022 - 2062200007,4,2021-2022,2062200007,1
211 PE únicos con matrícula -5 - 2021-2022 - 2062200013,5,2021-2022,2062200013,1
211 PE únicos con matrícula -6 - 2021-2022 - 2071100002,6,2021-2022,2071100002,1
211 PE únicos con matrícula -7 - 2021-2022 - 2071200002,7,2021-2022,2071200002,1
211 PE únicos con matrícula -8 - 2021-2022 - 2071200011,8,2021-2022,2071200011,1
211 PE únicos con matrícula -9 - 2021-2022 - 2071400001,9,2021-2022,2071400001,1
211 PE únicos con matrícula -10 - 2021-2022 - 2071400003,10,2021-2022,2071400003,1
211 PE únicos con matrícula -11 - 2021-2022 - 2072000001,11,2021-2022,2072000001,1
211 PE únicos con matrícula -12 - 2021-2022 - 2072100002,12,2021-2022,2072100002,1
211 PE únicos con matrícula -13 - 2021-2022 - 2072300001,13,2021-2022,2072300001,1
211 PE únicos con matrícula -14 - 2021-2022 - 2072400003,14,2021-2022,2072400003,1
211 PE únicos con matrícula -15 - 2021-2022 - 2092100004,15,2021-2022,2092100004,1
211 PE únicos con matrícula -16 - 2021-2022 - 3021600008,16,2021-2022,3021600008,1
211 PE únicos con matrícula -17 - 2021-2022 - 3021700001,17,2021-2022,3021700001,1
211 PE únicos con matrícula -18 - 2021-2022 - 3041100005,18,2021-2022,3041100005,1
211 PE únicos con matrícula -19 - 2021-2022 - 3042000001,19,2021-2022,3042000001,1
211 PE únicos con matrícula -20 - 2021-2022 - 3042100001,20,2021-2022,3042100001,1
211 PE únicos con matrícula -21 - 2021-2022 - 3042100026,21,2021-2022,3042100026,1
211 PE únicos con matrícula -22 - 2021-2022 - 3061300004,22,2021-2022,3061300004,1
211 PE únicos con matrícula -23 - 2021-2022 - 3071700002,23,2021-2022,3071700002,1
211 PE únicos con matrícula -24 - 2021-2022 - 3073200001,24,2021-2022,3073200001,1
211 PE únicos con matrícula -25 - 2021-2022 - 3081100003,25,2021-2022,3081100003,1
211 PE únicos con matrícula -26 - 2021-2022 - 3081100019,26,2021-2022,3081100019,1
211 PE únicos con matrícula -27 - 2021-2022 - 3093100005,27,2021-2022,3093100005,1
211 PE únicos con matrícula -28 - 2021-2022 - 3095300007,28,2021-2022,3095300007,1
211 PE únicos con matrícula -29 - 2021-2022 - 3101600003,29,2021-2022,3101600003,1
211 PE únicos con matrícula -30 - 2021-2022 - 4071500002,30,2021-2022,4071500002,1
211 PE únicos con matrícula -31 - 2021-2022 - 4093100005,31,2021-2022,4093100005,1
211 PE únicos con matrícula -32 - 2021-2022 - 4094100005,32,2021-2022,4094100005,1
211 PE únicos con matrícula -33 - 2021-2022 - 4094100010,33,2021-2022,4094100010,1
211 PE únicos con matrícula -34 - 2021-2022 - 4095300010,34,2021-2022,4095300010,1
211 PE únicos con matrícula -35 - 2021-2022 - 4103100001,35,2021-2022,4103100001,1
211 PE únicos con matrícula -36 - 2021-2022 - 5011200004,36,2021-2022,5011200004,1
211 PE únicos con matrícula -37 - 2021-2022 - 5011500002,37,2021-2022,5011500002,1
211 PE únicos con matrícula -38 - 2021-2022 - 5012603011,38,2021-2022,5012603011,1
211 PE únicos con matrícula -39 - 2021-2022 - 5012603027,39,2021-2022,5012603027,1
211 PE únicos con matrícula -40 - 2021-2022 - 5021000002,40,2021-2022,5021000002,1
211 PE únicos con matrícula -41 - 2021-2022 - 5021000007,41,2021-2022,5021000007,1
211 PE únicos con matrícula -42 - 2021-2022 - 5021000010,42,2021-2022,5021000010,1
211 PE únicos con matrícula -43 - 2021-2022 - 5021000110,43,2021-2022,5021000110,1
211 PE únicos con matrícula -44 - 2021-2022 - 5021000114,44,2021-2022,5021000114,1
211 PE únicos con matrícula -45 - 2021-2022 - 5021200054,45,2021-2022,5021200054,1
211 PE únicos con matrícula -46 - 2021-2022 - 5021200055,46,2021-2022,5021200055,1
211 PE únicos con matrícula -47 - 2021-2022 - 5021300063,47,2021-2022,5021300063,1
211 PE únicos con matrícula -48 - 2021-2022 - 5021400012,48,2021-2022,5021400012,1
211 PE únicos con matrícula -49 - 2021-2022 - 5021500002,49,2021-2022,5021500002,1
211 PE únicos con matrícula -50 - 2021-2022 - 5021500044,50,2021-2022,5021500044,1
211 PE únicos con matrícula -51 - 2021-2022 - 5021500119,51,2021-2022,5021500119,1
211 PE únicos con matrícula -52 - 2021-2022 - 5021600017,52,2021-2022,5021600017,1
211 PE únicos con matrícula -53 - 2021-2022 - 5021600024,53,2021-2022,5021600024,1
211 PE únicos con matrícula -54 - 2021-2022 - 5021600062,54,2021-2022,5021600062,1
211 PE únicos con matrícula -55 - 2021-2022 - 5021700002,55,2021-2022,5021700002,1
211 PE únicos con matrícula -56 - 2021-2022 - 5022000001,56,2021-2022,5022000001,1
211 PE únicos con matrícula -57 - 2021-2022 - 5022200040,57,2021-2022,5022200040,1
211 PE únicos con matrícula -58 - 2021-2022 - 5022300022,58,2021-2022,5022300022,1
211 PE únicos con matrícula -59 - 2021-2022 - 5022500001,59,2021-2022,5022500001,1
211 PE únicos con matrícula -60 - 2021-2022 - 5022500008,60,2021-2022,5022500008,1
211 PE únicos con matrícula -61 - 2021-2022 - 5022600002,61,2021-2022,5022600002,1
211 PE únicos con matrícula -62 - 2021-2022 - 5031100007,62,2021-2022,5031100007,1
211 PE únicos con matrícula -63 - 2021-2022 - 5031200004,63,2021-2022,5031200004,1
211 PE únicos con matrícula -64 - 2021-2022 - 5031200031,64,2021-2022,5031200031,1
211 PE únicos con matrícula -65 - 2021-2022 - 5031300010,65,2021-2022,5031300010,1
211 PE únicos con matrícula -66 - 2021-2022 - 5031300014,66,2021-2022,5031300014,1
211 PE únicos con matrícula -67 - 2021-2022 - 5031400003,67,2021-2022,5031400003,1
211 PE únicos con matrícula -68 - 2021-2022 - 5031500008,68,2021-2022,5031500008,1
211 PE únicos con matrícula -69 - 2021-2022 - 5031500010,69,2021-2022,5031500010,1
211 PE únicos con matrícula -70 - 2021-2022 - 5032100001,70,2021-2022,5032100001,1
211 PE únicos con matrícula -71 - 2021-2022 - 5032100027,71,2021-2022,5032100027,1
211 PE únicos con matrícula -72 - 2021-2022 - 5032100038,72,2021-2022,5032100038,1
211 PE únicos con matrícula -73 - 2021-2022 - 5032100065,73,2021-2022,5032100065,1
211 PE únicos con matrícula -74 - 2021-2022 - 5032200012,74,2021-2022,5032200012,1
211 PE únicos con matrícula -75 - 2021-2022 - 5033100003,75,2021-2022,5033100003,1
211 PE únicos con matrícula -76 - 2021-2022 - 5033200006,76,2021-2022,5033200006,1
211 PE únicos con matrícula -77 - 2021-2022 - 5033200024,77,2021-2022,5033200024,1
211 PE únicos con matrícula -78 - 2021-2022 - 5041100007,78,2021-2022,5041100007,1
211 PE únicos con matrícula -79 - 2021-2022 - 5041100009,79,2021-2022,5041100009,1
211 PE únicos con matrícula -80 - 2021-2022 - 5041100021,80,2021-2022,5041100021,1
211 PE únicos con matrícula -81 - 2021-2022 - 5041100056,81,2021-2022,5041100056,1
211 PE únicos con matrícula -82 - 2021-2022 - 5041100127,82,2021-2022,5041100127,1
211 PE únicos con matrícula -83 - 2021-2022 - 5041200028,83,2021-2022,5041200028,1
211 PE únicos con matrícula -84 - 2021-2022 - 5041200075,84,2021-2022,5041200075,1
211 PE únicos con matrícula -85 - 2021-2022 - 5041300007,85,2021-2022,5041300007,1
211 PE únicos con matrícula -86 - 2021-2022 - 5041400032,86,2021-2022,5041400032,1
211 PE únicos con matrícula -87 - 2021-2022 - 5042000002,87,2021-2022,5042000002,1
211 PE únicos con matrícula -88 - 2021-2022 - 5042100012,88,2021-2022,5042100012,1
211 PE únicos con matrícula -89 - 2021-2022 - 5042100065,89,2021-2022,5042100065,1
211 PE únicos con matrícula -90 - 2021-2022 - 5042100092,90,2021-2022,5042100092,1
211 PE únicos con matrícula -91 - 2021-2022 - 5042100117,91,2021-2022,5042100117,1
211 PE únicos con matrícula -92 - 2021-2022 - 5042200024,92,2021-2022,5042200024,1
211 PE únicos con matrícula -93 - 2021-2022 - 5042300027,93,2021-2022,5042300027,1
211 PE únicos con matrícula -94 - 2021-2022 - 5042400005,94,2021-2022,5042400005,1
211 PE únicos con matrícula -95 - 2021-2022 - 5051100003,95,2021-2022,5051100003,1
211 PE únicos con matrícula -96 - 2021-2022 - 5051100006,96,2021-2022,5051100006,1
211 PE únicos con matrícula -97 - 2021-2022 - 5051100015,97,2021-2022,5051100015,1
211 PE únicos con matrícula -98 - 2021-2022 - 5051200024,98,2021-2022,5051200024,1
211 PE únicos con matrícula -99 - 2021-2022 - 5051300005,99,2021-2022,5051300005,1
211 PE únicos con matrícula -100 - 2021-2022 - 5051300020,100,2021-2022,5051300020,1
211 PE únicos con matrícula -101 - 2021-2022 - 5052100005,101,2021-2022,5052100005,1
211 PE únicos con matrícula -102 - 2021-2022 - 5052200002,102,2021-2022,5052200002,1
211 PE únicos con matrícula -103 - 2021-2022 - 5052200007,103,2021-2022,5052200007,1
211 PE únicos con matrícula -104 - 2021-2022 - 5052200017,104,2021-2022,5052200017,1
211 PE únicos con matrícula -105 - 2021-2022 - 5052200021,105,2021-2022,5052200021,1
211 PE únicos con matrícula -106 - 2021-2022 - 5052300015,106,2021-2022,5052300015,1
211 PE únicos con matrícula -107 - 2021-2022 - 5053100004,107,2021-2022,5053100004,1
211 PE únicos con matrícula -108 - 2021-2022 - 5061000002,108,2021-2022,5061000002,1
211 PE únicos con matrícula -109 - 2021-2022 - 5061000015,109,2021-2022,5061000015,1
211 PE únicos con matrícula -110 - 2021-2022 - 5061100001,110,2021-2022,5061100001,1
211 PE únicos con matrícula -111 - 2021-2022 - 5062100009,111,2021-2022,5062100009,1
211 PE únicos con matrícula -112 - 2021-2022 - 5062100033,112,2021-2022,5062100033,1
211 PE únicos con matrícula -113 - 2021-2022 - 5062100034,113,2021-2022,5062100034,1
211 PE únicos con matrícula -114 - 2021-2022 - 5062200055,114,2021-2022,5062200055,1
211 PE únicos con matrícula -115 - 2021-2022 - 5062200073,115,2021-2022,5062200073,1
211 PE únicos con matrícula -116 - 2021-2022 - 5062200082,116,2021-2022,5062200082,1
211 PE únicos con matrícula -117 - 2021-2022 - 5062200105,117,2021-2022,5062200105,1
211 PE únicos con matrícula -118 - 2021-2022 - 5071000020,118,2021-2022,5071000020,1
211 PE únicos con matrícula -119 - 2021-2022 - 5071000047,119,2021-2022,5071000047,1
211 PE únicos con matrícula -120 - 2021-2022 - 5071100005,120,2021-2022,5071100005,1
211 PE únicos con matrícula -121 - 2021-2022 - 5071100019,121,2021-2022,5071100019,1
211 PE únicos con matrícula -122 - 2021-2022 - 5071200009,122,2021-2022,5071200009,1
211 PE únicos con matrícula -123 - 2021-2022 - 5071200034,123,2021-2022,5071200034,1
211 PE únicos con matrícula -124 - 2021-2022 - 5071300009,124,2021-2022,5071300009,1
211 PE únicos con matrícula -125 - 2021-2022 - 5071300014,125,2021-2022,5071300014,1
211 PE únicos con matrícula -126 - 2021-2022 - 5071300082,126,2021-2022,5071300082,1
211 PE únicos con matrícula -127 - 2021-2022 - 5071300091,127,2021-2022,5071300091,1
211 PE únicos con matrícula -128 - 2021-2022 - 5071400008,128,2021-2022,5071400008,1
211 PE únicos con matrícula -129 - 2021-2022 - 5071400015,129,2021-2022,5071400015,1
211 PE únicos con matrícula -130 - 2021-2022 - 5071700019,130,2021-2022,5071700019,1
211 PE únicos con matrícula -131 - 2021-2022 - 5072100002,131,2021-2022,5072100002,1
211 PE únicos con matrícula -132 - 2021-2022 - 5072100018,132,2021-2022,5072100018,1
211 PE únicos con matrícula -133 - 2021-2022 - 5072100033,133,2021-2022,5072100033,1
211 PE únicos con matrícula -134 - 2021-2022 - 5072100049,134,2021-2022,5072100049,1
211 PE únicos con matrícula -135 - 2021-2022 - 5072400001,135,2021-2022,5072400001,1
211 PE únicos con matrícula -136 - 2021-2022 - 5073100009,136,2021-2022,5073100009,1
211 PE únicos con matrícula -137 - 2021-2022 - 5073100024,137,2021-2022,5073100024,1
211 PE únicos con matrícula -138 - 2021-2022 - 5073200005,138,2021-2022,5073200005,1
211 PE únicos con matrícula -139 - 2021-2022 - 5073200010,139,2021-2022,5073200010,1
211 PE únicos con matrícula -140 - 2021-2022 - 5073200035,140,2021-2022,5073200035,1
211 PE únicos con matrícula -141 - 2021-2022 - 5081100010,141,2021-2022,5081100010,1
211 PE únicos con matrícula -142 - 2021-2022 - 5081100050,142,2021-2022,5081100050,1
211 PE únicos con matrícula -143 - 2021-2022 - 5081300016,143,2021-2022,5081300016,1
211 PE únicos con matrícula -144 - 2021-2022 - 5082100001,144,2021-2022,5082100001,1
211 PE únicos con matrícula -145 - 2021-2022 - 5091100011,145,2021-2022,5091100011,1
211 PE únicos con matrícula -146 - 2021-2022 - 5092100006,146,2021-2022,5092100006,1
211 PE únicos con matrícula -147 - 2021-2022 - 5093100002,147,2021-2022,5093100002,1
211 PE únicos con matrícula -148 - 2021-2022 - 5094100009,148,2021-2022,5094100009,1
