row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
200,2022-2023 14USU0200Z 5094200006,2022-2023,14USU0200Z,5094200006,Escolarizada,39,217,,256,2,3,,5,0,1,,1,
201,2022-2023 14USU0200Z 5101600013,2022-2023,14USU0200Z,5101600013,Escolarizada,43,98,,141,2,5,,7,0,0,,0,
202,2022-2023 14USU0210F 4062100001,2022-2023,14USU0210F,4062100001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
203,2022-2023 14USU0210F 4103100001,2022-2023,14USU0210F,4103100001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
204,2022-2023 14USU0210F 5022300022,2022-2023,14USU0210F,5022300022,Escolarizada,29,79,,108,2,5,,7,1,0,,1,
205,2022-2023 14USU0210F 5031100007,2022-2023,14USU0210F,5031100007,Escolarizada,125,436,,561,7,19,,26,0,0,,0,
206,2022-2023 14USU0210F 5031500010,2022-2023,14USU0210F,5031500010,Escolarizada,16,227,,243,3,11,,14,1,3,,4,
207,2022-2023 14USU0210F 5032100038,2022-2023,14USU0210F,5032100038,Escolarizada,27,51,,78,2,1,,3,0,0,,0,
208,2022-2023 14USU0210F 5033100003,2022-2023,14USU0210F,5033100003,Escolarizada,249,420,,669,14,8,,22,0,1,,1,
209,2022-2023 14USU0210F 5041100021,2022-2023,14USU0210F,5041100021,Escolarizada,221,195,,416,5,8,,13,0,0,,0,
210,2022-2023 14USU0210F 5041100056,2022-2023,14USU0210F,5041100056,Escolarizada,204,352,,556,6,10,,16,0,0,,0,
211,2022-2023 14USU0210F 5042200024,2022-2023,14USU0210F,5042200024,Escolarizada,59,132,,191,4,5,,9,1,2,,3,
212,2022-2023 14USU0210F 5051100015,2022-2023,14USU0210F,5051100015,Escolarizada,40,95,,135,4,6,,10,0,0,,0,
213,2022-2023 14USU0210F 5062100034,2022-2023,14USU0210F,5062100034,Escolarizada,212,37,,249,4,2,,6,1,0,,1,
214,2022-2023 14USU0210F 5072400001,2022-2023,14USU0210F,5072400001,Escolarizada,50,43,,93,3,1,,4,0,0,,0,
215,2022-2023 14USU0210F 5081100010,2022-2023,14USU0210F,5081100010,Escolarizada,183,112,,295,5,2,,7,0,2,,2,
216,2022-2023 14USU0210F 5082100001,2022-2023,14USU0210F,5082100001,Escolarizada,286,385,,671,9,9,,18,1,2,,3,
217,2022-2023 14USU0210F 5091100011,2022-2023,14USU0210F,5091100011,Escolarizada,310,487,,797,6,10,,16,0,1,,1,
218,2022-2023 14USU0210F 5092100006,2022-2023,14USU0210F,5092100006,Escolarizada,178,821,,999,3,15,,18,0,1,,1,
219,2022-2023 14USU0210F 5093100002,2022-2023,14USU0210F,5093100002,Escolarizada,23,54,,77,0,2,,2,0,0,,0,
220,2022-2023 14USU0210F 5094200006,2022-2023,14USU0210F,5094200006,Escolarizada,83,344,,427,2,10,,12,0,2,,2,
221,2022-2023 14USU0210F 5101100015,2022-2023,14USU0210F,5101100015,Escolarizada,60,39,,99,1,0,,1,0,1,,1,
222,2022-2023 14USU0210F 5103100017,2022-2023,14USU0210F,5103100017,Escolarizada,124,79,,203,1,3,,4,0,0,,0,
223,2022-2023 14USU0220M 5031100007,2022-2023,14USU0220M,5031100007,Escolarizada,58,294,,352,1,14,,15,0,0,,0,
224,2022-2023 14USU0220M 5033100003,2022-2023,14USU0220M,5033100003,Escolarizada,123,230,,353,9,14,,23,0,0,,0,
225,2022-2023 14USU0220M 5041100056,2022-2023,14USU0220M,5041100056,Escolarizada,103,208,,311,4,9,,13,0,1,,1,
226,2022-2023 14USU0220M 5041400032,2022-2023,14USU0220M,5041400032,Escolarizada,110,204,,314,2,4,,6,0,0,,0,
227,2022-2023 14USU0220M 5042000002,2022-2023,14USU0220M,5042000002,Escolarizada,124,166,,290,9,8,,17,0,0,,0,
228,2022-2023 14USU0220M 5061000002,2022-2023,14USU0220M,5061000002,Escolarizada,131,28,,159,8,2,,10,0,0,,0,
229,2022-2023 14USU0220M 5062200055,2022-2023,14USU0220M,5062200055,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
230,2022-2023 14USU0220M 5072100002,2022-2023,14USU0220M,5072100002,Escolarizada,105,89,,194,4,6,,10,0,0,,0,
231,2022-2023 14USU0220M 5081100050,2022-2023,14USU0220M,5081100050,Escolarizada,115,50,,165,2,1,,3,1,0,,1,
232,2022-2023 14USU0220M 5082100001,2022-2023,14USU0220M,5082100001,Escolarizada,133,160,,293,5,4,,9,1,0,,1,
233,2022-2023 14USU0220M 5091100011,2022-2023,14USU0220M,5091100011,Escolarizada,189,288,,477,4,7,,11,0,0,,0,
234,2022-2023 14USU0220M 5092100006,2022-2023,14USU0220M,5092100006,Escolarizada,66,315,,381,2,10,,12,0,0,,0,
235,2022-2023 14USU0220M 5093100002,2022-2023,14USU0220M,5093100002,Escolarizada,124,346,,470,2,8,,10,0,0,,0,
236,2022-2023 14USU0220M 5094200006,2022-2023,14USU0220M,5094200006,Escolarizada,46,309,,355,1,10,,11,0,0,,0,
237,2022-2023 14USU0221L 5022000001,2022-2023,14USU0221L,5022000001,Escolarizada,27,57,,84,1,2,,3,0,0,,0,
238,2022-2023 14USU0221L 5031100007,2022-2023,14USU0221L,5031100007,Escolarizada,78,246,,324,7,9,,16,0,0,,0,
239,2022-2023 14USU0221L 5033100003,2022-2023,14USU0221L,5033100003,Escolarizada,101,212,,313,5,10,,15,0,0,,0,
240,2022-2023 14USU0221L 5041400032,2022-2023,14USU0221L,5041400032,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
241,2022-2023 14USU0221L 5042000002,2022-2023,14USU0221L,5042000002,Escolarizada,40,115,,155,2,5,,7,0,0,,0,
242,2022-2023 14USU0221L 5042400005,2022-2023,14USU0221L,5042400005,Escolarizada,105,142,,247,2,6,,8,0,0,,0,
243,2022-2023 14USU0221L 5062200073,2022-2023,14USU0221L,5062200073,Escolarizada,124,19,,143,7,2,,9,0,0,,0,
244,2022-2023 14USU0221L 5071300009,2022-2023,14USU0221L,5071300009,Escolarizada,90,14,,104,4,2,,6,0,0,,0,
245,2022-2023 14USU0221L 5071300014,2022-2023,14USU0221L,5071300014,Escolarizada,283,50,,333,3,4,,7,0,0,,0,
246,2022-2023 14USU0221L 5071400008,2022-2023,14USU0221L,5071400008,Escolarizada,112,224,,336,2,5,,7,0,1,,1,
247,2022-2023 14USU0221L 5071700019,2022-2023,14USU0221L,5071700019,Escolarizada,119,91,,210,2,3,,5,0,0,,0,
248,2022-2023 14USU0222K 5022200040,2022-2023,14USU0222K,5022200040,Escolarizada,30,111,,141,1,2,,3,0,0,,0,
249,2022-2023 14USU0222K 5031100007,2022-2023,14USU0222K,5031100007,Escolarizada,29,133,,162,3,3,,6,0,0,,0,
250,2022-2023 14USU0222K 5032100038,2022-2023,14USU0222K,5032100038,Escolarizada,5,9,,14,0,0,,0,0,0,,0,
251,2022-2023 14USU0222K 5033100003,2022-2023,14USU0222K,5033100003,Escolarizada,110,153,,263,3,5,,8,0,0,,0,
252,2022-2023 14USU0222K 5042000002,2022-2023,14USU0222K,5042000002,Escolarizada,47,70,,117,0,4,,4,0,0,,0,
253,2022-2023 14USU0222K 5062200082,2022-2023,14USU0222K,5062200082,Escolarizada,29,19,,48,3,2,,5,0,0,,0,
254,2022-2023 14USU0222K 5071000047,2022-2023,14USU0222K,5071000047,Escolarizada,112,12,,124,4,2,,6,0,0,,0,
255,2022-2023 14USU0222K 5071700019,2022-2023,14USU0222K,5071700019,Escolarizada,1,0,,1,0,0,,0,0,0,,0,
256,2022-2023 14USU0230T 4093100005,2022-2023,14USU0230T,4093100005,Escolarizada,84,183,,267,5,7,,12,0,1,,1,
257,2022-2023 14USU0230T 4094100005,2022-2023,14USU0230T,4094100005,Escolarizada,59,182,,241,2,5,,7,0,0,,0,
258,2022-2023 14USU0230T 4094100010,2022-2023,14USU0230T,4094100010,Escolarizada,45,117,,162,0,2,,2,0,0,,0,
259,2022-2023 14USU0230T 4095300010,2022-2023,14USU0230T,4095300010,Escolarizada,168,286,,454,4,5,,9,0,1,,1,
260,2022-2023 14USU0230T 4103100001,2022-2023,14USU0230T,4103100001,Escolarizada,102,184,,286,2,2,,4,0,0,,0,
261,2022-2023 14USU0230T 5031100007,2022-2023,14USU0230T,5031100007,Escolarizada,541,1461,,2002,12,33,,45,0,0,,0,
262,2022-2023 14USU0230T 5033200024,2022-2023,14USU0230T,5033200024,Escolarizada,61,167,,228,3,9,,12,0,0,,0,
263,2022-2023 14USU0230T 5091100011,2022-2023,14USU0230T,5091100011,Escolarizada,1694,2747,,4441,26,30,,56,1,1,,2,
264,2022-2023 14USU0230T 5092100006,2022-2023,14USU0230T,5092100006,Escolarizada,585,2194,,2779,12,42,,54,1,6,,7,
265,2022-2023 14USU0230T 5093100002,2022-2023,14USU0230T,5093100002,Escolarizada,459,1250,,1709,8,11,,19,0,0,,0,
266,2022-2023 14USU0230T 5094100009,2022-2023,14USU0230T,5094100009,Escolarizada,44,81,,125,1,4,,5,0,0,,0,
267,2022-2023 14USU0230T 5094200006,2022-2023,14USU0230T,5094200006,Escolarizada,224,874,,1098,8,20,,28,0,1,,1,
268,2022-2023 14USU0230T 5094300009,2022-2023,14USU0230T,5094300009,Escolarizada,34,167,,201,1,2,,3,0,0,,0,
269,2022-2023 14USU0230T 5101100015,2022-2023,14USU0230T,5101100015,Escolarizada,931,575,,1506,13,8,,21,1,1,,2,
270,2022-2023 14USU0003Y 5031500008,2022-2023,14USU0003Y,5031500008,Escolarizada,2,28,,30,0,0,,0,0,0,,0,
271,2022-2023 14USU0190I 4021500005,2022-2023,14USU0190I,4021500005,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
272,2022-2023 14USU0222K 5041400032,2022-2023,14USU0222K,5041400032,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
273,2022-2023 14USU0222K 4101600010,2022-2023,14USU0222K,4101600010,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
274,2022-2023 14USU0011G 5094100009,2022-2023,14USU0011G,5094100009,Escolarizada,68,154,,222,2,1,,3,0,0,,0,
275,2022-2023 14USU0002Z 7011400011,2022-2023,14USU0002Z,7011400011,Escolarizada,12,13,,25,0,0,,0,0,0,,0,
276,2022-2023 14USU0002Z 7031000052,2022-2023,14USU0002Z,7031000052,Escolarizada,10,5,,15,1,0,,1,1,1,,2,
277,2022-2023 14USU0002Z 7031200009,2022-2023,14USU0002Z,7031200009,Escolarizada,5,2,,7,0,0,,0,0,0,,0,
278,2022-2023 14USU0002Z 7033100026,2022-2023,14USU0002Z,7033100026,Escolarizada,57,27,,84,2,1,,3,1,0,,1,
279,2022-2023 14USU0002Z 7042100033,2022-2023,14USU0002Z,7042100033,Escolarizada,34,31,,65,1,0,,1,1,0,,1,
280,2022-2023 14USU0002Z 7095600030,2022-2023,14USU0002Z,7095600030,Escolarizada,14,21,,35,0,0,,0,0,1,,1,
281,2022-2023 14USU0003Y 7011400011,2022-2023,14USU0003Y,7011400011,Escolarizada,17,31,,48,0,0,,0,1,0,,1,
282,2022-2023 14USU0003Y 7031200071,2022-2023,14USU0003Y,7031200071,Escolarizada,1,4,,5,0,0,,0,0,0,,0,
283,2022-2023 14USU0003Y 7042100033,2022-2023,14USU0003Y,7042100033,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
284,2022-2023 14USU0003Y 7052100021,2022-2023,14USU0003Y,7052100021,Escolarizada,5,0,,5,0,0,,0,0,0,,0,
285,2022-2023 14USU0003Y 7061300005,2022-2023,14USU0003Y,7061300005,Escolarizada,16,5,,21,0,0,,0,0,1,,1,
286,2022-2023 14USU0003Y 7071300003,2022-2023,14USU0003Y,7071300003,Escolarizada,14,6,,20,0,0,,0,0,0,,0,
287,2022-2023 14USU0003Y 8052100019,2022-2023,14USU0003Y,8052100019,Escolarizada,9,3,,12,0,0,,0,0,0,,0,
288,2022-2023 14USU0004X 7011400029,2022-2023,14USU0004X,7011400029,No Escolarizada,11,21,,32,0,1,,1,0,0,,0,
289,2022-2023 14USU0004X 7012400001,2022-2023,14USU0004X,7012400001,No Escolarizada,7,14,,21,0,0,,0,0,1,,1,
290,2022-2023 14USU0004X 7021000014,2022-2023,14USU0004X,7021000014,No Escolarizada,6,11,,17,0,0,,0,0,0,,0,
291,2022-2023 14USU0004X 7031300041,2022-2023,14USU0004X,7031300041,No Escolarizada,13,13,,26,0,0,,0,0,0,,0,
292,2022-2023 14USU0004X 7032100037,2022-2023,14USU0004X,7032100037,No Escolarizada,8,12,,20,0,0,,0,0,0,,0,
293,2022-2023 14USU0004X 7041100029,2022-2023,14USU0004X,7041100029,No Escolarizada,44,34,,78,0,0,,0,0,0,,0,
294,2022-2023 14USU0004X 7042100177,2022-2023,14USU0004X,7042100177,No Escolarizada,0,0,,0,0,0,,0,0,0,,0,
295,2022-2023 14USU0004X 7042100311,2022-2023,14USU0004X,7042100311,No Escolarizada,36,24,,60,0,0,,0,1,0,,1,
296,2022-2023 14USU0004X 7042300030,2022-2023,14USU0004X,7042300030,No Escolarizada,0,0,,0,0,0,,0,0,0,,0,
297,2022-2023 14USU0004X 7042300040,2022-2023,14USU0004X,7042300040,No Escolarizada,19,14,,33,0,0,,0,0,0,,0,
298,2022-2023 14USU0004X 8011400005,2022-2023,14USU0004X,8011400005,No Escolarizada,5,8,,13,0,0,,0,0,0,,0,
299,2022-2023 14USU0004X 8021000011,2022-2023,14USU0004X,8021000011,No Escolarizada,3,5,,8,0,0,,0,0,0,,0,
300,2022-2023 14USU0005W 7012602009,2022-2023,14USU0005W,7012602009,Escolarizada,6,12,,18,0,0,,0,0,0,,0,
301,2022-2023 14USU0005W 7031000012,2022-2023,14USU0005W,7031000012,Escolarizada,2,5,,7,0,1,,1,0,0,,0,
302,2022-2023 14USU0008T 6091323001,2022-2023,14USU0008T,6091323001,Escolarizada,2,3,,5,0,0,,0,0,0,,0,
303,2022-2023 14USU0008T 6091326001,2022-2023,14USU0008T,6091326001,Escolarizada,6,2,,8,0,0,,0,0,0,,0,
304,2022-2023 14USU0008T 7022600002,2022-2023,14USU0008T,7022600002,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
305,2022-2023 14USU0008T 7031200016,2022-2023,14USU0008T,7031200016,Escolarizada,2,1,,3,0,0,,0,0,0,,0,
306,2022-2023 14USU0008T 7042300011,2022-2023,14USU0008T,7042300011,Escolarizada,9,11,,20,0,0,,0,0,0,,0,
307,2022-2023 14USU0008T 7052300035,2022-2023,14USU0008T,7052300035,Escolarizada,2,0,,2,0,0,,0,0,0,,0,
308,2022-2023 14USU0008T 7071000033,2022-2023,14USU0008T,7071000033,Escolarizada,6,0,,6,0,0,,0,0,0,,0,
309,2022-2023 14USU0008T 7071200021,2022-2023,14USU0008T,7071200021,Escolarizada,26,10,,36,0,0,,0,0,0,,0,
310,2022-2023 14USU0008T 7102100006,2022-2023,14USU0008T,7102100006,Escolarizada,9,4,,13,0,0,,0,0,0,,0,
311,2022-2023 14USU0008T 8033100003,2022-2023,14USU0008T,8033100003,Escolarizada,19,18,,37,0,0,,0,0,0,,0,
312,2022-2023 14USU0008T 8052300021,2022-2023,14USU0008T,8052300021,Escolarizada,3,4,,7,0,0,,0,0,0,,0,
313,2022-2023 14USU0008T 8071200008,2022-2023,14USU0008T,8071200008,Escolarizada,14,9,,23,0,0,,0,0,0,,0,
314,2022-2023 14USU0008T 8091345016,2022-2023,14USU0008T,8091345016,Escolarizada,16,15,,31,0,0,,0,0,0,,0,
315,2022-2023 14USU0010H 7011200033,2022-2023,14USU0010H,7011200033,Escolarizada,3,13,,16,0,0,,0,0,0,,0,
316,2022-2023 14USU0010H 7012603017,2022-2023,14USU0010H,7012603017,Escolarizada,6,8,,14,0,0,,0,0,0,,0,
317,2022-2023 14USU0010H 7022200011,2022-2023,14USU0010H,7022200011,Escolarizada,2,6,,8,0,0,,0,0,0,,0,
318,2022-2023 14USU0010H 7022200019,2022-2023,14USU0010H,7022200019,Escolarizada,3,5,,8,0,0,,0,0,0,,0,
319,2022-2023 14USU0010H 7022300005,2022-2023,14USU0010H,7022300005,Escolarizada,6,6,,12,1,0,,1,0,0,,0,
320,2022-2023 14USU0010H 7022300034,2022-2023,14USU0010H,7022300034,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
321,2022-2023 14USU0010H 7022300037,2022-2023,14USU0010H,7022300037,Escolarizada,2,5,,7,0,0,,0,0,0,,0,
322,2022-2023 14USU0010H 7022400002,2022-2023,14USU0010H,7022400002,Escolarizada,2,11,,13,0,1,,1,1,0,,1,
323,2022-2023 14USU0010H 7022500015,2022-2023,14USU0010H,7022500015,Escolarizada,7,9,,16,0,1,,1,0,0,,0,
324,2022-2023 14USU0010H 7022600008,2022-2023,14USU0010H,7022600008,Escolarizada,11,5,,16,0,0,,0,0,0,,0,
325,2022-2023 14USU0010H 7031000001,2022-2023,14USU0010H,7031000001,Escolarizada,22,26,,48,1,0,,1,0,0,,0,
326,2022-2023 14USU0010H 7031200043,2022-2023,14USU0010H,7031200043,Escolarizada,1,18,,19,0,1,,1,0,1,,1,
327,2022-2023 14USU0010H 7031200087,2022-2023,14USU0010H,7031200087,Escolarizada,3,9,,12,0,0,,0,0,0,,0,
328,2022-2023 14USU0010H 7031300005,2022-2023,14USU0010H,7031300005,Escolarizada,11,4,,15,0,0,,0,0,0,,0,
329,2022-2023 14USU0010H 7031300078,2022-2023,14USU0010H,7031300078,Escolarizada,1,1,,2,0,0,,0,0,0,,0,
330,2022-2023 14USU0010H 7032100004,2022-2023,14USU0010H,7032100004,Escolarizada,6,9,,15,0,0,,0,1,0,,1,
331,2022-2023 14USU0010H 7032100049,2022-2023,14USU0010H,7032100049,Escolarizada,3,3,,6,1,0,,1,0,0,,0,
332,2022-2023 14USU0010H 7073100005,2022-2023,14USU0010H,7073100005,Escolarizada,7,5,,12,0,0,,0,0,0,,0,
333,2022-2023 14USU0010H 8011000006,2022-2023,14USU0010H,8011000006,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
334,2022-2023 14USU0010H 8011500003,2022-2023,14USU0010H,8011500003,Escolarizada,10,18,,28,0,0,,0,1,0,,1,
335,2022-2023 14USU0010H 8022000001,2022-2023,14USU0010H,8022000001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
336,2022-2023 14USU0010H 8022500004,2022-2023,14USU0010H,8022500004,Escolarizada,9,13,,22,0,0,,0,0,0,,0,
337,2022-2023 14USU0010H 8031000001,2022-2023,14USU0010H,8031000001,Escolarizada,17,25,,42,0,0,,0,0,0,,0,
338,2022-2023 14USU0010H 8031300003,2022-2023,14USU0010H,8031300003,Escolarizada,26,16,,42,0,0,,0,0,0,,0,
339,2022-2023 14USU0010H 8052300012,2022-2023,14USU0010H,8052300012,Escolarizada,10,5,,15,0,0,,0,0,0,,0,
340,2022-2023 14USU0100Z 7022300015,2022-2023,14USU0100Z,7022300015,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
341,2022-2023 14USU0100Z 7022600002,2022-2023,14USU0100Z,7022600002,Escolarizada,2,3,,5,0,0,,0,0,0,,0,
342,2022-2023 14USU0100Z 7033100026,2022-2023,14USU0100Z,7033100026,Escolarizada,39,29,,68,0,0,,0,0,0,,0,
343,2022-2023 14USU0100Z 8033100009,2022-2023,14USU0100Z,8033100009,Escolarizada,21,12,,33,0,0,,0,0,0,,0,
344,2022-2023 14USU0110G 7012604029,2022-2023,14USU0110G,7012604029,Escolarizada,8,5,,13,0,0,,0,0,0,,0,
345,2022-2023 14USU0110G 7052100009,2022-2023,14USU0110G,7052100009,Escolarizada,8,3,,11,0,0,,0,0,0,,0,
346,2022-2023 14USU0110G 7052200003,2022-2023,14USU0110G,7052200003,Escolarizada,15,10,,25,0,0,,0,0,0,,0,
347,2022-2023 14USU0110G 7052200006,2022-2023,14USU0110G,7052200006,Escolarizada,10,9,,19,0,0,,0,0,0,,0,
348,2022-2023 14USU0110G 7052200018,2022-2023,14USU0110G,7052200018,Escolarizada,7,5,,12,0,0,,0,0,0,,0,
349,2022-2023 14USU0110G 7052300025,2022-2023,14USU0110G,7052300025,Escolarizada,13,5,,18,0,0,,0,0,0,,0,
350,2022-2023 14USU0110G 7053100007,2022-2023,14USU0110G,7053100007,Escolarizada,7,4,,11,0,0,,0,0,0,,0,
351,2022-2023 14USU0110G 7062000007,2022-2023,14USU0110G,7062000007,Escolarizada,14,14,,28,0,0,,0,0,0,,0,
352,2022-2023 14USU0110G 7062200074,2022-2023,14USU0110G,7062200074,Escolarizada,16,10,,26,1,1,,2,0,0,,0,
353,2022-2023 14USU0110G 7071200009,2022-2023,14USU0110G,7071200009,Escolarizada,9,1,,10,0,0,,0,0,0,,0,
354,2022-2023 14USU0110G 7071300026,2022-2023,14USU0110G,7071300026,Escolarizada,23,2,,25,0,0,,0,0,0,,0,
355,2022-2023 14USU0110G 7071400012,2022-2023,14USU0110G,7071400012,Escolarizada,2,8,,10,0,0,,0,0,0,,0,
356,2022-2023 14USU0110G 7071500006,2022-2023,14USU0110G,7071500006,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
357,2022-2023 14USU0110G 7071600020,2022-2023,14USU0110G,7071600020,Escolarizada,5,3,,8,0,0,,0,0,0,,0,
358,2022-2023 14USU0110G 7101500016,2022-2023,14USU0110G,7101500016,Escolarizada,7,17,,24,1,0,,1,0,0,,0,
359,2022-2023 14USU0110G 8052000007,2022-2023,14USU0110G,8052000007,Escolarizada,1,6,,7,0,0,,0,0,0,,0,
360,2022-2023 14USU0110G 8052100009,2022-2023,14USU0110G,8052100009,Escolarizada,14,2,,16,0,0,,0,0,0,,0,
361,2022-2023 14USU0110G 8052200001,2022-2023,14USU0110G,8052200001,Escolarizada,8,7,,15,0,0,,0,0,0,,0,
362,2022-2023 14USU0110G 8052200009,2022-2023,14USU0110G,8052200009,Escolarizada,7,10,,17,0,0,,0,0,0,,0,
363,2022-2023 14USU0110G 8052200018,2022-2023,14USU0110G,8052200018,Escolarizada,12,1,,13,0,0,,0,0,0,,0,
364,2022-2023 14USU0110G 8052200023,2022-2023,14USU0110G,8052200023,Escolarizada,1,3,,4,0,0,,0,0,0,,0,
365,2022-2023 14USU0110G 8053100005,2022-2023,14USU0110G,8053100005,Escolarizada,1,1,,2,0,0,,0,0,0,,0,
366,2022-2023 14USU0110G 8062200001,2022-2023,14USU0110G,8062200001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
367,2022-2023 14USU0110G 8071300016,2022-2023,14USU0110G,8071300016,Escolarizada,20,6,,26,1,0,,1,0,0,,0,
368,2022-2023 14USU0110G 8071400003,2022-2023,14USU0110G,8071400003,Escolarizada,18,23,,41,0,0,,0,0,0,,0,
369,2022-2023 14USU0120N 7011000042,2022-2023,14USU0120N,7011000042,Escolarizada,6,18,,24,0,1,,1,0,0,,0,
370,2022-2023 14USU0120N 7011200077,2022-2023,14USU0120N,7011200077,Escolarizada,6,11,,17,0,0,,0,0,0,,0,
371,2022-2023 14USU0120N 7011400011,2022-2023,14USU0120N,7011400011,Escolarizada,13,18,,31,0,0,,0,0,2,,2,
372,2022-2023 14USU0120N 7012500034,2022-2023,14USU0120N,7012500034,Escolarizada,3,11,,14,0,0,,0,0,0,,0,
373,2022-2023 14USU0120N 7031300023,2022-2023,14USU0120N,7031300023,Escolarizada,9,10,,19,0,0,,0,0,0,,0,
374,2022-2023 14USU0120N 7031400008,2022-2023,14USU0120N,7031400008,Escolarizada,14,6,,20,0,0,,0,0,0,,0,
375,2022-2023 14USU0120N 7031400038,2022-2023,14USU0120N,7031400038,Escolarizada,9,7,,16,0,0,,0,0,0,,0,
376,2022-2023 14USU0120N 7031500062,2022-2023,14USU0120N,7031500062,Escolarizada,7,17,,24,0,0,,0,0,0,,0,
377,2022-2023 14USU0120N 7041100024,2022-2023,14USU0120N,7041100024,Escolarizada,3,3,,6,0,0,,0,1,0,,1,
378,2022-2023 14USU0120N 7041100026,2022-2023,14USU0120N,7041100026,Escolarizada,7,12,,19,0,0,,0,0,0,,0,
379,2022-2023 14USU0120N 7041200034,2022-2023,14USU0120N,7041200034,Escolarizada,29,47,,76,1,0,,1,0,0,,0,
380,2022-2023 14USU0120N 7041200042,2022-2023,14USU0120N,7041200042,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
381,2022-2023 14USU0120N 7041300021,2022-2023,14USU0120N,7041300021,Escolarizada,45,49,,94,0,0,,0,0,0,,0,
382,2022-2023 14USU0120N 7041300024,2022-2023,14USU0120N,7041300024,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
383,2022-2023 14USU0120N 7041400008,2022-2023,14USU0120N,7041400008,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
384,2022-2023 14USU0120N 7041400009,2022-2023,14USU0120N,7041400009,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
385,2022-2023 14USU0120N 7041400028,2022-2023,14USU0120N,7041400028,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
386,2022-2023 14USU0120N 7041400048,2022-2023,14USU0120N,7041400048,Escolarizada,40,24,,64,0,0,,0,0,1,,1,
387,2022-2023 14USU0120N 7042000002,2022-2023,14USU0120N,7042000002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
388,2022-2023 14USU0120N 7042100033,2022-2023,14USU0120N,7042100033,Escolarizada,90,73,,163,1,0,,1,0,0,,0,
389,2022-2023 14USU0120N 7042100129,2022-2023,14USU0120N,7042100129,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
390,2022-2023 14USU0120N 7042300031,2022-2023,14USU0120N,7042300031,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
391,2022-2023 14USU0120N 7061000012,2022-2023,14USU0120N,7061000012,Escolarizada,28,7,,35,0,0,,0,0,0,,0,
392,2022-2023 14USU0120N 7062200049,2022-2023,14USU0120N,7062200049,Escolarizada,22,8,,30,0,0,,0,0,0,,0,
393,2022-2023 14USU0120N 7103100010,2022-2023,14USU0120N,7103100010,Escolarizada,16,19,,35,1,0,,1,0,0,,0,
394,2022-2023 14USU0120N 8031300020,2022-2023,14USU0120N,8031300020,Escolarizada,14,8,,22,0,0,,0,0,0,,0,
395,2022-2023 14USU0120N 8031400004,2022-2023,14USU0120N,8031400004,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
396,2022-2023 14USU0120N 8031400014,2022-2023,14USU0120N,8031400014,Escolarizada,8,9,,17,0,0,,0,0,0,,0,
397,2022-2023 14USU0120N 8041400003,2022-2023,14USU0120N,8041400003,Escolarizada,20,5,,25,1,0,,1,0,0,,0,
398,2022-2023 14USU0120N 8042000005,2022-2023,14USU0120N,8042000005,Escolarizada,12,14,,26,1,0,,1,0,0,,0,
399,2022-2023 14USU0120N 8042100051,2022-2023,14USU0120N,8042100051,Escolarizada,4,3,,7,0,0,,0,1,0,,1,
400,2022-2023 14USU0120N 8042500005,2022-2023,14USU0120N,8042500005,Escolarizada,20,29,,49,0,0,,0,0,0,,0,
401,2022-2023 14USU0120N 8062200005,2022-2023,14USU0120N,8062200005,Escolarizada,13,8,,21,1,0,,1,0,1,,1,
402,2022-2023 14USU0130U 6081100005,2022-2023,14USU0130U,6081100005,Escolarizada,2,2,,4,0,0,,0,0,0,,0,
403,2022-2023 14USU0130U 7011000002,2022-2023,14USU0130U,7011000002,Escolarizada,3,21,,24,0,0,,0,0,0,,0,
404,2022-2023 14USU0130U 7031100005,2022-2023,14USU0130U,7031100005,Escolarizada,25,22,,47,0,0,,0,0,0,,0,
405,2022-2023 14USU0130U 7051300013,2022-2023,14USU0130U,7051300013,Escolarizada,15,17,,32,0,0,,0,0,0,,0,
