row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
45,2022-2023 14USU0005W 5021200055,2022-2023,14USU0005W,5021200055,Escolarizada,82,106,,188,2,1,,3,1,0,,1,
46,2022-2023 14USU0005W 5021400012,2022-2023,14USU0005W,5021400012,Escolarizada,60,39,,99,2,0,,2,0,0,,0,
47,2022-2023 14USU0005W 5021700002,2022-2023,14USU0005W,5021700002,Escolarizada,178,361,,539,7,8,,15,0,0,,0,
48,2022-2023 14USU0006V 5021300063,2022-2023,14USU0006V,5021300063,Escolarizada,145,78,,223,4,1,,5,0,0,,0,
49,2022-2023 14USU0007U 5051100006,2022-2023,14USU0007U,5051100006,Escolarizada,130,178,,308,7,4,,11,0,0,,0,
50,2022-2023 14USU0008T 5021000010,2022-2023,14USU0008T,5021000010,Escolarizada,52,135,,187,1,3,,4,0,0,,0,
51,2022-2023 14USU0008T 5021600062,2022-2023,14USU0008T,5021600062,Escolarizada,60,136,,196,3,6,,9,0,0,,0,
52,2022-2023 14USU0008T 5022500001,2022-2023,14USU0008T,5022500001,Escolarizada,69,113,,182,4,4,,8,0,0,,0,
53,2022-2023 14USU0008T 5031500008,2022-2023,14USU0008T,5031500008,Escolarizada,34,227,,261,0,3,,3,0,0,,0,
54,2022-2023 14USU0008T 5033100003,2022-2023,14USU0008T,5033100003,Escolarizada,603,957,,1560,8,19,,27,0,1,,1,
55,2022-2023 14USU0008T 5033200024,2022-2023,14USU0008T,5033200024,Escolarizada,77,193,,270,1,7,,8,0,0,,0,
56,2022-2023 14USU0008T 5041400032,2022-2023,14USU0008T,5041400032,Escolarizada,347,518,,865,6,13,,19,0,0,,0,
57,2022-2023 14USU0008T 5042100012,2022-2023,14USU0008T,5042100012,Escolarizada,408,450,,858,9,10,,19,1,0,,1,
58,2022-2023 14USU0008T 5052200002,2022-2023,14USU0008T,5052200002,Escolarizada,370,200,,570,9,4,,13,0,1,,1,
59,2022-2023 14USU0008T 5061100001,2022-2023,14USU0008T,5061100001,Escolarizada,461,88,,549,18,3,,21,0,0,,0,
60,2022-2023 14USU0008T 5071200009,2022-2023,14USU0008T,5071200009,Escolarizada,402,109,,511,16,3,,19,0,0,,0,
61,2022-2023 14USU0008T 5073100009,2022-2023,14USU0008T,5073100009,Escolarizada,193,179,,372,5,1,,6,0,0,,0,
62,2022-2023 14USU0008T 5091100011,2022-2023,14USU0008T,5091100011,Escolarizada,513,850,,1363,9,10,,19,0,1,,1,
63,2022-2023 14USU0008T 5094200006,2022-2023,14USU0008T,5094200006,Escolarizada,90,442,,532,1,7,,8,0,0,,0,
64,2022-2023 14USU0008T 5095600005,2022-2023,14USU0008T,5095600005,Escolarizada,53,155,,208,0,3,,3,0,0,,0,
65,2022-2023 14USU0009S 5033100003,2022-2023,14USU0009S,5033100003,Escolarizada,10,25,,35,0,0,,0,0,0,,0,
66,2022-2023 14USU0009S 5042000002,2022-2023,14USU0009S,5042000002,Escolarizada,34,39,,73,0,1,,1,0,0,,0,
67,2022-2023 14USU0009S 5101600013,2022-2023,14USU0009S,5101600013,Escolarizada,12,20,,32,0,0,,0,0,0,,0,
68,2022-2023 14USU0010H 5021500119,2022-2023,14USU0010H,5021500119,Escolarizada,45,112,,157,2,4,,6,1,0,,1,
69,2022-2023 14USU0010H 5031200031,2022-2023,14USU0010H,5031200031,Escolarizada,186,318,,504,0,7,,7,0,0,,0,
70,2022-2023 14USU0010H 5031300010,2022-2023,14USU0010H,5031300010,Escolarizada,317,267,,584,8,3,,11,0,2,,2,
71,2022-2023 14USU0010H 5031300014,2022-2023,14USU0010H,5031300014,Escolarizada,192,516,,708,3,11,,14,1,0,,1,
72,2022-2023 14USU0010H 5031500010,2022-2023,14USU0010H,5031500010,Escolarizada,81,1340,,1421,7,32,,39,1,6,,7,
73,2022-2023 14USU0010H 5032100027,2022-2023,14USU0010H,5032100027,Escolarizada,47,82,,129,0,2,,2,0,0,,0,
74,2022-2023 14USU0010H 5033200006,2022-2023,14USU0010H,5033200006,Escolarizada,193,451,,644,3,11,,14,0,0,,0,
75,2022-2023 14USU0011G 5031300044,2022-2023,14USU0011G,5031300044,Escolarizada,24,16,,40,0,0,,0,1,1,,2,
76,2022-2023 14USU0011G 5041100056,2022-2023,14USU0011G,5041100056,Escolarizada,90,109,,199,2,1,,3,0,0,,0,
77,2022-2023 14USU0011G 5042000002,2022-2023,14USU0011G,5042000002,Escolarizada,86,113,,199,0,0,,0,0,0,,0,
78,2022-2023 14USU0011G 5042100092,2022-2023,14USU0011G,5042100092,Escolarizada,18,42,,60,0,1,,1,0,0,,0,
79,2022-2023 14USU0011G 5051200024,2022-2023,14USU0011G,5051200024,Escolarizada,22,35,,57,1,0,,1,0,0,,0,
80,2022-2023 14USU0011G 5071000020,2022-2023,14USU0011G,5071000020,Escolarizada,40,26,,66,3,1,,4,0,0,,0,
81,2022-2023 14USU0011G 5071100005,2022-2023,14USU0011G,5071100005,Escolarizada,34,26,,60,2,0,,2,0,0,,0,
82,2022-2023 14USU0011G 5071300014,2022-2023,14USU0011G,5071300014,Escolarizada,42,6,,48,2,0,,2,0,0,,0,
83,2022-2023 14USU0011G 5071300014,2022-2023,14USU0011G,5071300014,Escolarizada,98,5,,103,2,0,,2,0,0,,0,
84,2022-2023 14USU0011G 5073200005,2022-2023,14USU0011G,5073200005,Escolarizada,37,6,,43,0,0,,0,1,0,,1,
85,2022-2023 14USU0011G 5073200005,2022-2023,14USU0011G,5073200005,Escolarizada,83,15,,98,0,0,,0,1,0,,1,
86,2022-2023 14USU0011G 5091100011,2022-2023,14USU0011G,5091100011,Escolarizada,76,131,,207,0,2,,2,0,0,,0,
87,2022-2023 14USU0011G 5092100006,2022-2023,14USU0011G,5092100006,Escolarizada,34,163,,197,1,1,,2,0,0,,0,
88,2022-2023 14USU0011G 5094100009,2022-2023,14USU0011G,5094100009,Escolarizada,38,103,,141,2,1,,3,0,0,,0,
89,2022-2023 14USU0011G 5094200006,2022-2023,14USU0011G,5094200006,Escolarizada,38,162,,200,1,4,,5,0,0,,0,
90,2022-2023 14USU0100Z 5012603011,2022-2023,14USU0100Z,5012603011,Escolarizada,36,105,,141,1,1,,2,0,0,,0,
91,2022-2023 14USU0100Z 5012603027,2022-2023,14USU0100Z,5012603027,Escolarizada,43,113,,156,1,2,,3,0,0,,0,
92,2022-2023 14USU0100Z 5022300022,2022-2023,14USU0100Z,5022300022,Escolarizada,143,458,,601,9,7,,16,0,0,,0,
93,2022-2023 14USU0100Z 5022500008,2022-2023,14USU0100Z,5022500008,Escolarizada,364,268,,632,12,9,,21,1,1,,2,
94,2022-2023 14USU0100Z 5022600002,2022-2023,14USU0100Z,5022600002,Escolarizada,287,147,,434,7,9,,16,0,0,,0,
95,2022-2023 14USU0100Z 5031200004,2022-2023,14USU0100Z,5031200004,Escolarizada,84,171,,255,4,5,,9,1,0,,1,
96,2022-2023 14USU0100Z 5033100003,2022-2023,14USU0100Z,5033100003,Escolarizada,2733,3146,,5879,38,52,,90,5,4,,9,
97,2022-2023 14USU0100Z 5052300015,2022-2023,14USU0100Z,5052300015,Escolarizada,155,142,,297,2,5,,7,0,0,,0,
98,2022-2023 14USU0110G 5052100005,2022-2023,14USU0110G,5052100005,Escolarizada,418,146,,564,14,2,,16,0,0,,0,
99,2022-2023 14USU0110G 5052200007,2022-2023,14USU0110G,5052200007,Escolarizada,432,387,,819,17,10,,27,1,1,,2,
100,2022-2023 14USU0110G 5052200017,2022-2023,14USU0110G,5052200017,Escolarizada,132,87,,219,5,3,,8,0,0,,0,
101,2022-2023 14USU0110G 5053100004,2022-2023,14USU0110G,5053100004,Escolarizada,236,95,,331,11,6,,17,0,1,,1,
102,2022-2023 14USU0110G 5061000002,2022-2023,14USU0110G,5061000002,Escolarizada,1848,274,,2122,65,6,,71,4,2,,6,
103,2022-2023 14USU0110G 5062100009,2022-2023,14USU0110G,5062100009,Escolarizada,1184,188,,1372,26,3,,29,4,0,,4,
104,2022-2023 14USU0110G 5062200055,2022-2023,14USU0110G,5062200055,Escolarizada,1486,259,,1745,48,10,,58,4,1,,5,
105,2022-2023 14USU0110G 5071000020,2022-2023,14USU0110G,5071000020,Escolarizada,482,316,,798,14,7,,21,2,0,,2,
106,2022-2023 14USU0110G 5071200034,2022-2023,14USU0110G,5071200034,Escolarizada,168,57,,225,8,1,,9,0,0,,0,
107,2022-2023 14USU0110G 5071300009,2022-2023,14USU0110G,5071300009,Escolarizada,1651,99,,1750,30,2,,32,1,0,,1,
108,2022-2023 14USU0110G 5071300082,2022-2023,14USU0110G,5071300082,Escolarizada,386,74,,460,11,2,,13,0,1,,1,
109,2022-2023 14USU0110G 5071400015,2022-2023,14USU0110G,5071400015,Escolarizada,820,672,,1492,25,22,,47,2,0,,2,
110,2022-2023 14USU0110G 5071700019,2022-2023,14USU0110G,5071700019,Escolarizada,1446,573,,2019,31,11,,42,4,1,,5,
111,2022-2023 14USU0110G 5072100033,2022-2023,14USU0110G,5072100033,Escolarizada,188,395,,583,3,12,,15,0,0,,0,
112,2022-2023 14USU0110G 5073200005,2022-2023,14USU0110G,5073200005,Escolarizada,1037,233,,1270,18,2,,20,1,2,,3,
113,2022-2023 14USU0110G 5073200035,2022-2023,14USU0110G,5073200035,Escolarizada,236,79,,315,7,4,,11,2,0,,2,
114,2022-2023 14USU0110G 5095400006,2022-2023,14USU0110G,5095400006,Escolarizada,631,1131,,1762,18,26,,44,0,1,,1,
115,2022-2023 14USU0110G 5102100004,2022-2023,14USU0110G,5102100004,Escolarizada,203,125,,328,6,1,,7,0,1,,1,
116,2022-2023 14USU0120N 5031400003,2022-2023,14USU0120N,5031400003,Escolarizada,491,214,,705,13,0,,13,0,0,,0,
117,2022-2023 14USU0120N 5032100065,2022-2023,14USU0120N,5032100065,Escolarizada,181,495,,676,3,8,,11,2,0,,2,
118,2022-2023 14USU0120N 5041100009,2022-2023,14USU0120N,5041100009,Escolarizada,314,296,,610,8,7,,15,1,0,,1,
119,2022-2023 14USU0120N 5041100056,2022-2023,14USU0120N,5041100056,Escolarizada,1596,2259,,3855,18,42,,60,0,2,,2,
120,2022-2023 14USU0120N 5041100127,2022-2023,14USU0120N,5041100127,Escolarizada,323,637,,960,8,15,,23,0,1,,1,
121,2022-2023 14USU0120N 5041200028,2022-2023,14USU0120N,5041200028,Escolarizada,1035,1353,,2388,21,25,,46,0,2,,2,
122,2022-2023 14USU0120N 5041300007,2022-2023,14USU0120N,5041300007,Escolarizada,1120,898,,2018,17,22,,39,0,1,,1,
123,2022-2023 14USU0120N 5041400032,2022-2023,14USU0120N,5041400032,Escolarizada,1708,1816,,3524,30,29,,59,1,4,,5,
124,2022-2023 14USU0120N 5042000002,2022-2023,14USU0120N,5042000002,Escolarizada,1376,1528,,2904,20,27,,47,1,2,,3,
125,2022-2023 14USU0120N 5042100117,2022-2023,14USU0120N,5042100117,Escolarizada,213,992,,1205,5,13,,18,0,1,,1,
126,2022-2023 14USU0120N 5042300027,2022-2023,14USU0120N,5042300027,Escolarizada,290,238,,528,5,6,,11,1,2,,3,
127,2022-2023 14USU0120N 5051300020,2022-2023,14USU0120N,5051300020,Escolarizada,122,196,,318,2,4,,6,1,0,,1,
128,2022-2023 14USU0120N 5062200082,2022-2023,14USU0120N,5062200082,Escolarizada,523,150,,673,16,6,,22,3,1,,4,
129,2022-2023 14USU0120N 5101600013,2022-2023,14USU0120N,5101600013,Escolarizada,275,975,,1250,6,26,,32,0,0,,0,
130,2022-2023 14USU0130U 5041100021,2022-2023,14USU0130U,5041100021,Escolarizada,123,107,,230,4,4,,8,0,1,,1,
131,2022-2023 14USU0130U 5051100003,2022-2023,14USU0130U,5051100003,Escolarizada,817,1148,,1965,25,31,,56,0,0,,0,
132,2022-2023 14USU0130U 5072100018,2022-2023,14USU0130U,5072100018,Escolarizada,71,153,,224,3,2,,5,0,0,,0,
133,2022-2023 14USU0130U 5081300016,2022-2023,14USU0130U,5081300016,Escolarizada,1325,585,,1910,21,16,,37,2,4,,6,
134,2022-2023 14USU0130U 5082100001,2022-2023,14USU0130U,5082100001,Escolarizada,793,1836,,2629,15,44,,59,1,3,,4,
135,2022-2023 14USU0140A 5021000110,2022-2023,14USU0140A,5021000110,Escolarizada,71,106,,177,3,3,,6,0,0,,0,
136,2022-2023 14USU0140A 5021500044,2022-2023,14USU0140A,5021500044,Escolarizada,463,876,,1339,9,33,,42,1,0,,1,
137,2022-2023 14USU0140A 5021600017,2022-2023,14USU0140A,5021600017,Escolarizada,52,534,,586,0,18,,18,0,0,,0,
138,2022-2023 14USU0140A 5021600024,2022-2023,14USU0140A,5021600024,Escolarizada,74,285,,359,0,7,,7,0,1,,1,
139,2022-2023 14USU0140A 5071100019,2022-2023,14USU0140A,5071100019,Escolarizada,284,350,,634,4,7,,11,0,0,,0,
140,2022-2023 14USU0140A 5073100009,2022-2023,14USU0140A,5073100009,Escolarizada,1213,985,,2198,18,17,,35,2,2,,4,
141,2022-2023 14USU0140A 5073100024,2022-2023,14USU0140A,5073100024,Escolarizada,179,165,,344,2,6,,8,0,0,,0,
142,2022-2023 14USU0150H 5031100007,2022-2023,14USU0150H,5031100007,Escolarizada,26,138,,164,1,7,,8,0,0,,0,
143,2022-2023 14USU0150H 5033100003,2022-2023,14USU0150H,5033100003,Escolarizada,79,100,,179,3,3,,6,0,0,,0,
144,2022-2023 14USU0150H 5041400032,2022-2023,14USU0150H,5041400032,Escolarizada,77,73,,150,3,3,,6,0,0,,0,
145,2022-2023 14USU0150H 5042000002,2022-2023,14USU0150H,5042000002,Escolarizada,55,67,,122,1,2,,3,0,0,,0,
146,2022-2023 14USU0150H 5042100117,2022-2023,14USU0150H,5042100117,Escolarizada,16,66,,82,0,6,,6,0,0,,0,
147,2022-2023 14USU0160O 5031100007,2022-2023,14USU0160O,5031100007,Escolarizada,132,392,,524,5,19,,24,0,1,,1,
148,2022-2023 14USU0160O 5032100038,2022-2023,14USU0160O,5032100038,Escolarizada,36,49,,85,0,1,,1,0,0,,0,
149,2022-2023 14USU0160O 5033100003,2022-2023,14USU0160O,5033100003,Escolarizada,289,399,,688,5,10,,15,0,0,,0,
150,2022-2023 14USU0160O 5041100056,2022-2023,14USU0160O,5041100056,Escolarizada,166,253,,419,6,6,,12,2,1,,3,
