name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2024B Bachillerato General SEMS,1,2024,B,Bachillerato General,SEMS,76602,35977,40625,,38568,16719,21849,,38034,19258,18776,,50.34855487
13 Admisión - 2 2024B Bachillerato Tecnológico SEMS,2,2024,B,Bachillerato Tecnológico,SEMS,6079,3166,2913,,3170,1544,1626,,2909,1622,1287,,52.14673466
13 Admisión - 3 2024B Bachillerato Tecnológico CUAAD,3,2024,B,Bachillerato Tecnológico,CUAAD,441,296,145,,137,85,52,,304,211,93,,31.06575964
13 Admisión - 4 2024B Bachillerato Tecnológico CUCS,4,2024,B,Bachillerato Tecnológico,CUCS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 5 2024B Bachillerato Tecnológico CUSUR,5,2024,B,Bachillerato Tecnológico,CUSUR,102,24,78,,35,5,30,,67,19,48,,34.31372549
13 Admisión - 6 2024B Técnico Superior Universitario CUCEA,6,2024,B,Técnico Superior Universitario,CUCEA,70,48,22,,21,15,6,,49,33,16,,30
13 Admisión - 7 2024B Técnico Superior Universitario CUCEI,7,2024,B,Técnico Superior Universitario,CUCEI,53,36,17,,38,24,14,,15,12,3,,71.69811321
13 Admisión - 8 2024B Técnico Superior Universitario CUCS,8,2024,B,Técnico Superior Universitario,CUCS,656,269,387,,273,104,169,,383,165,218,,41.61585366
13 Admisión - 9 2024B Técnico Superior Universitario CUCOSTASUR,9,2024,B,Técnico Superior Universitario,CUCOSTASUR,103,93,10,,55,52,3,,48,41,7,,53.39805825
13 Admisión - 10 2024B Licenciatura CUCEA,10,2024,B,Licenciatura,CUCEA,8197,3741,4456,,3227,1455,1772,,4970,2286,2684,,39.36806149
13 Admisión - 11 2024B Licenciatura CUCEI,11,2024,B,Licenciatura,CUCEI,8603,5989,2614,,2481,1741,740,,6122,4248,1874,,28.83877717
13 Admisión - 12 2024B Licenciatura CUCSH,12,2024,B,Licenciatura,CUCSH,3811,1504,2307,,1364,513,851,,2447,991,1456,,35.79113094
13 Admisión - 13 2024B Licenciatura CUCS,13,2024,B,Licenciatura,CUCS,14561,4266,10295,,1621,549,1072,,12940,3717,9223,,11.13247717
13 Admisión - 14 2024B Licenciatura CUAAD,14,2024,B,Licenciatura,CUAAD,6278,2276,4002,,868,330,538,,5410,1946,3464,,13.82605925
13 Admisión - 15 2024B Licenciatura CUCBA,15,2024,B,Licenciatura,CUCBA,3031,1357,1674,,832,388,444,,2199,969,1230,,27.44968657
13 Admisión - 16 2024B Licenciatura CUALTOS,16,2024,B,Licenciatura,CUALTOS,2719,916,1803,,678,248,430,,2041,668,1373,,24.9356381
13 Admisión - 17 2024B Licenciatura CUCIÉNEGA,17,2024,B,Licenciatura,CUCIÉNEGA,2232,939,1293,,890,391,499,,1342,548,794,,39.87455197
13 Admisión - 18 2024B Licenciatura CUSUR,18,2024,B,Licenciatura,CUSUR,3758,1341,2417,,1017,369,648,,2741,972,1769,,27.06226716
13 Admisión - 19 2024B Licenciatura CUCOSTA,19,2024,B,Licenciatura,CUCOSTA,3083,1312,1771,,1115,514,601,,1968,798,1170,,36.16607201
13 Admisión - 20 2024B Licenciatura CUCOSTASUR,20,2024,B,Licenciatura,CUCOSTASUR,1128,525,603,,674,307,367,,454,218,236,,59.75177305
13 Admisión - 21 2024B Licenciatura CUVALLES,21,2024,B,Licenciatura,CUVALLES,2573,971,1602,,1028,431,597,,1545,540,1005,,39.95336183
13 Admisión - 22 2024B Licenciatura CUNORTE,22,2024,B,Licenciatura,CUNORTE,808,303,505,,523,189,334,,285,114,171,,64.72772277
13 Admisión - 23 2024B Licenciatura CULAGOS,23,2024,B,Licenciatura,CULAGOS,729,335,394,,445,211,234,,284,124,160,,61.04252401
13 Admisión - 24 2024B Licenciatura CUTONALÁ,24,2024,B,Licenciatura,CUTONALÁ,4188,1675,2513,,1128,490,638,,3060,1185,1875,,26.93409742
13 Admisión - 25 2024B Licenciatura CUTLAJOMULCO,25,2024,B,Licenciatura,CUTLAJOMULCO,2453,1030,1423,,699,288,411,,1754,742,1012,,28.49571953
13 Admisión - 26 2024B Licenciatura CUGUADALAJARA,26,2024,B,Licenciatura,CUGUADALAJARA,2761,1438,1323,,923,472,451,,1838,966,872,,33.4299167
