name,row,anio,entidad_universitaria,tipo_patrimonio,total
611 Patrimonio cultural en el SICI-1 - 2024 - CUCEA - Pinturas,1,2024,CUCEA,Pinturas,91
611 Patrimonio cultural en el SICI-2 - 2024 - CUCEI - Pinturas,2,2024,CUCEI,Pinturas,0
611 Patrimonio cultural en el SICI-3 - 2024 - CUCSH - Pinturas,3,2024,CUCSH,Pinturas,92
611 Patrimonio cultural en el SICI-4 - 2024 - CUCS - Pinturas,4,2024,CUCS,Pinturas,28
611 Patrimonio cultural en el SICI-5 - 2024 - CUAAD - Pinturas,5,2024,CUAAD,Pinturas,566
611 Patrimonio cultural en el SICI-6 - 2024 - CUCBA - Pinturas,6,2024,CUCBA,Pinturas,0
611 Patrimonio cultural en el SICI-7 - 2024 - CUALTOS - Pinturas,7,2024,CUALTOS,Pinturas,0
611 Patrimonio cultural en el SICI-8 - 2024 - CUCIÉNEGA - Pinturas,8,2024,CUCIÉNEGA,Pinturas,0
611 Patrimonio cultural en el SICI-9 - 2024 - CUSUR - Pinturas,9,2024,CUSUR,Pinturas,62
611 Patrimonio cultural en el SICI-10 - 2024 - CUCOSTA - Pinturas,10,2024,CUCOSTA,Pinturas,603
611 Patrimonio cultural en el SICI-11 - 2024 - CUCOSTASUR - Pinturas,11,2024,CUCOSTASUR,Pinturas,101
611 Patrimonio cultural en el SICI-12 - 2024 - CUVALLES - Pinturas,12,2024,CUVALLES,Pinturas,0
611 Patrimonio cultural en el SICI-13 - 2024 - CUNORTE - Pinturas,13,2024,CUNORTE,Pinturas,10
611 Patrimonio cultural en el SICI-14 - 2024 - CULAGOS - Pinturas,14,2024,CULAGOS,Pinturas,4
611 Patrimonio cultural en el SICI-15 - 2024 - CUTONALÁ - Pinturas,15,2024,CUTONALÁ,Pinturas,0
611 Patrimonio cultural en el SICI-16 - 2024 - CUTLAJOMULCO - Pinturas,16,2024,CUTLAJOMULCO,Pinturas,0
611 Patrimonio cultural en el SICI-17 - 2024 - CUGUADALAJARA - Pinturas,17,2024,CUGUADALAJARA,Pinturas,0
611 Patrimonio cultural en el SICI-18 - 2024 - CUCHAPALA - Pinturas,18,2024,CUCHAPALA,Pinturas,0
611 Patrimonio cultural en el SICI-19 - 2024 - CUTLAQUEPAQUE - Pinturas,19,2024,CUTLAQUEPAQUE,Pinturas,0
611 Patrimonio cultural en el SICI-20 - 2024 - SEMS - Pinturas,20,2024,SEMS,Pinturas,41
611 Patrimonio cultural en el SICI-21 - 2024 - AG - Pinturas,21,2024,AG,Pinturas,620
611 Patrimonio cultural en el SICI-22 - 2024 - CUCEA - Murales,22,2024,CUCEA,Murales,2
611 Patrimonio cultural en el SICI-23 - 2024 - CUCEI - Murales,23,2024,CUCEI,Murales,8
611 Patrimonio cultural en el SICI-24 - 2024 - CUCSH - Murales,24,2024,CUCSH,Murales,1
611 Patrimonio cultural en el SICI-25 - 2024 - CUCS - Murales,25,2024,CUCS,Murales,14
611 Patrimonio cultural en el SICI-26 - 2024 - CUAAD - Murales,26,2024,CUAAD,Murales,0
611 Patrimonio cultural en el SICI-27 - 2024 - CUCBA - Murales,27,2024,CUCBA,Murales,14
611 Patrimonio cultural en el SICI-28 - 2024 - CUALTOS - Murales,28,2024,CUALTOS,Murales,0
611 Patrimonio cultural en el SICI-29 - 2024 - CUCIÉNEGA - Murales,29,2024,CUCIÉNEGA,Murales,2
611 Patrimonio cultural en el SICI-30 - 2024 - CUSUR - Murales,30,2024,CUSUR,Murales,8
611 Patrimonio cultural en el SICI-31 - 2024 - CUCOSTA - Murales,31,2024,CUCOSTA,Murales,4
