name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales his-1 - 2018 - AG - No identificado,1,2018,AG,No identificado,9254,14026,,23280,2957
421 Prácticas profesionales his-2 - 2019 - AG - No identificado,2,2019,AG,No identificado,9189,16106,,25295,3263
421 Prácticas profesionales his-3 - 2020 - AG - No identificado,3,2020,AG,No identificado,7724,12441,,20165,2971
421 Prácticas profesionales his-4 - 2021 - AG - No identificado,4,2021,AG,No identificado,9198,15243,,24441,3241
421 Prácticas profesionales his-5 - 2022 - AG - No identificado,5,2022,AG,No identificado,8997,15758,,24755,5047
421 Prácticas profesionales his-6 - 2023 - AG - No identificado,6,2023,AG,No identificado,10956,18938,,29894,5588
421 Prácticas profesionales his-7 - 2024 - AG - No identificado,7,2024,AG,No identificado,11120,19045,,30165,5523
