name,row,anio,entidad_universitaria,anexo_1,anexo_2,anexo_3,anexo_4,anexo_5,anexo_6,anexo_7,anexo_8,anexo_9,anexo_10,anexo_11,anexo_12,anexo_13,anexo_14,anexo_15,anexo_16,anexo_17,anexo_18,anexo_19
Anexo 2025 - 56 - CUNORTE,56,2025,CUNORTE,4064,89,268,,15,,6,,,36344,114328,44,46749.25,183749324,590,571,1,33,
Anexo  - 57 - ,57,,,,,,,,,,,,,,,,,,,,,
Anexo  - 58 - ,58,,,,,,,,,,,,,,,,,,,,,
Anexo  - 59 - ,59,,,,,,,,,,,,,,,,,,,,,
Anexo  - 60 - ,60,,,,,,,,,,,,,,,,,,,,,
Anexo  - 61 - ,61,,,,,,,,,,,,,,,,,,,,,
Anexo  - 62 - ,62,,,,,,,,,,,,,,,,,,,,,
Anexo  - 63 - ,63,,,,,,,,,,,,,,,,,,,,,
Anexo  - 64 - ,64,,,,,,,,,,,,,,,,,,,,,
Anexo  - 65 - ,65,,,,,,,,,,,,,,,,,,,,,
Anexo  - 66 - ,66,,,,,,,,,,,,,,,,,,,,,
Anexo  - 67 - ,67,,,,,,,,,,,,,,,,,,,,,
Anexo  - 68 - ,68,,,,,,,,,,,,,,,,,,,,,
Anexo  - 69 - ,69,,,,,,,,,,,,,,,,,,,,,
Anexo  - 70 - ,70,,,,,,,,,,,,,,,,,,,,,
Anexo  - 71 - ,71,,,,,,,,,,,,,,,,,,,,,
Anexo  - 72 - ,72,,,,,,,,,,,,,,,,,,,,,
Anexo  - 73 - ,73,,,,,,,,,,,,,,,,,,,,,
Anexo  - 74 - ,74,,,,,,,,,,,,,,,,,,,,,
Anexo  - 75 - ,75,,,,,,,,,,,,,,,,,,,,,
