ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2023-2024,14MMS0608W,BGAI,Escolarizada,135,88,,223,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,1,0,,1,1,2,,3
2023-2024,14MMS0608W,BGC,Escolarizada,1074,1039,,2113,1,0,,1,0,1,,1,0,0,,0,0,0,,0,1,1,,2,8,16,,24,0,0,,0,2,0,,2,12,18,,30,2,6,,8
2023-2024,14MMS0608W,BGC,Escolarizada,1000,1112,,2112,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,17,16,,33,0,1,,1,0,0,,0,18,17,,35,1,1,,2
2023-2024,14MMS0609V,BGAI,Escolarizada,60,58,,118,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,1,,2,0,0,,0
2023-2024,14MMS0609V,BGC,Escolarizada,560,695,,1255,1,0,,1,1,1,,2,0,0,,0,0,0,,0,0,0,,0,7,2,,9,2,0,,2,1,0,,1,12,3,,15,3,1,,4
2023-2024,14MMS0609V,BGC,Escolarizada,546,709,,1255,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,6,13,,19,0,0,,0,0,0,,0,8,13,,21,0,0,,0
2023-2024,14MMS0610K,BGAI,Escolarizada,76,60,,136,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2023-2024,14MMS0610K,BGC,Escolarizada,511,630,,1141,2,0,,2,0,1,,1,0,0,,0,0,0,,0,0,0,,0,6,7,,13,0,0,,0,0,0,,0,8,8,,16,0,1,,1
2023-2024,14MMS0610K,BGC,Escolarizada,535,604,,1139,2,0,,2,1,1,,2,0,0,,0,0,0,,0,1,1,,2,3,8,,11,0,0,,0,0,0,,0,7,10,,17,1,2,,3
2023-2024,14MMS0611J,BGAI,Escolarizada,23,26,,49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0611J,BGC,Escolarizada,510,823,,1333,2,0,,2,0,0,,0,0,0,,0,0,1,,1,0,0,,0,6,12,,18,0,0,,0,0,0,,0,8,13,,21,0,1,,1
2023-2024,14MMS0611J,BGC,Escolarizada,519,813,,1332,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,2,7,,9,2,0,,2,0,0,,0,4,8,,12,0,4,,4
2023-2024,14MMS0612I,BGAI,Escolarizada,11,9,,20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2023-2024,14MMS0612I,BGC,Escolarizada,1214,1508,,2722,0,2,,2,2,0,,2,0,0,,0,0,0,,0,1,2,,3,16,19,,35,0,2,,2,1,0,,1,20,25,,45,2,7,,9
2023-2024,14MMS0612I,BGC,Escolarizada,1235,1485,,2720,1,2,,3,1,1,,2,0,0,,0,0,0,,0,0,2,,2,12,12,,24,0,1,,1,0,0,,0,14,18,,32,5,3,,8
2023-2024,14MMS0613H,BGC,Escolarizada,1308,1448,,2756,0,2,,2,1,1,,2,0,0,,0,2,0,,2,4,6,,10,15,14,,29,1,0,,1,0,0,,0,23,23,,46,10,11,,21
2023-2024,14MMS0613H,BGC,Escolarizada,1282,1472,,2754,1,4,,5,3,3,,6,1,0,,1,2,1,,3,8,3,,11,18,17,,35,0,0,,0,0,0,,0,33,28,,61,6,9,,15
2023-2024,14MMS0761Q,BGC,Escolarizada,72,76,,148,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
2023-2024,14MMS0761Q,BGC,Escolarizada,62,86,,148,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,1,0,,1,0,0,,0
2023-2024,14MMS0647Y,BGAI,Escolarizada,74,77,,151,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,1,0,,1
