name,row,anio,entidad_universitaria,titulos_existentes,titulos_ad_compra,titulos_ad_donacion,volumenes_existentes,volumenes_ad_compra,volumenes_ad_donacion,sus_rev_impresas
66 2018 Títulos y volúmenes CUCOSTASUR,66,2018,CUCOSTASUR,31416,985,566,64748,1535,673,79
67 2023 Títulos y volúmenes CUVALLES,67,2023,CUVALLES,32776,1791,1469,75837,3172,1626,3
68 2022 Títulos y volúmenes CUVALLES,68,2022,CUVALLES,32658,790,228,78290,1651,319,9
69 2021 Títulos y volúmenes CUVALLES,69,2021,CUVALLES,31251,1446,449,75184,2456,568,6
70 2020 Títulos y volúmenes CUVALLES,70,2020,CUVALLES,30310,1219,0,71805,2640,0,4
71 2019 Títulos y volúmenes CUVALLES,71,2019,CUVALLES,29209,1640,23,69417,3532,25,8
72 2018 Títulos y volúmenes CUVALLES,72,2018,CUVALLES,27028,909,154,65272,1335,183,18
73 2023 Títulos y volúmenes CUNORTE,73,2023,CUNORTE,37735,1088,75,111001,4254,200,24
74 2022 Títulos y volúmenes CUNORTE,74,2022,CUNORTE,36572,850,146,106547,3900,245,52
75 2021 Títulos y volúmenes CUNORTE,75,2021,CUNORTE,32912,4066,229,97755,3715,275,52
76 2020 Títulos y volúmenes CUNORTE,76,2020,CUNORTE,30733,1013,1163,86668,4063,1713,36
77 2019 Títulos y volúmenes CUNORTE,77,2019,CUNORTE,28487,1152,137,82323,4608,244,43
78 2018 Títulos y volúmenes CUNORTE,78,2018,CUNORTE,28598,1225,150,86331,4727,2304,50
79 2023 Títulos y volúmenes CULAGOS,79,2023,CULAGOS,41323,1569,74,97194,3180,80,0
80 2022 Títulos y volúmenes CULAGOS,80,2022,CULAGOS,39728,1475,1440,93982,3132,1440,0
81 2021 Títulos y volúmenes CULAGOS,81,2021,CULAGOS,41937,979,1530,98639,1853,2121,0
82 2020 Títulos y volúmenes CULAGOS,82,2020,CULAGOS,40168,894,206,92565,2233,206,0
83 2019 Títulos y volúmenes CULAGOS,83,2019,CULAGOS,39103,1670,79,85077,2930,119,36
84 2018 Títulos y volúmenes CULAGOS,84,2018,CULAGOS,33304,2090,75,75636,3926,59,42
85 2023 Títulos y volúmenes CUTONALÁ,85,2023,CUTONALÁ,26802,1484,1525,63584,3166,1647,0
86 2022 Títulos y volúmenes CUTONALÁ,86,2022,CUTONALÁ,22607,1187,969,55464,3308,969,0
87 2021 Títulos y volúmenes CUTONALÁ,87,2021,CUTONALÁ,21420,1384,631,52156,3426,841,0
88 2020 Títulos y volúmenes CUTONALÁ,88,2020,CUTONALÁ,23794,1725,73,52621,4277,73,5
89 2019 Títulos y volúmenes CUTONALÁ,89,2019,CUTONALÁ,22069,1584,294,48344,3980,399,5
90 2018 Títulos y volúmenes CUTONALÁ,90,2018,CUTONALÁ,20078,1458,157,43801,4071,246,9
91 2023 Títulos y volúmenes CUTLAJOMULCO,91,2023,CUTLAJOMULCO,9455,1074,3854,15127,3007,3984,0
92 2022 Títulos y volúmenes CUTLAJOMULCO,92,2022,CUTLAJOMULCO,4528,625,6770,7537,1940,7010,0
93 2023 Títulos y volúmenes SUV,93,2023,SUV,10299,187,0,14580,204,0,0
94 2022 Títulos y volúmenes SUV,94,2022,SUV,10139,125,10,14400,507,10,1
95 2021 Títulos y volúmenes SUV,95,2021,SUV,9460,156,0,14233,323,0,1
96 2020 Títulos y volúmenes SUV,96,2020,SUV,8777,156,0,13328,323,0,1
97 2019 Títulos y volúmenes SUV,97,2019,SUV,8621,505,211,13005,690,211,6
98 2018 Títulos y volúmenes SUV,98,2018,SUV,8353,282,117,14438,388,544,8
99 2023 Títulos y volúmenes SEMS,99,2023,SEMS,547927,10381,710,1020200,23216,982,380
100 2022 Títulos y volúmenes SEMS,100,2022,SEMS,539202,7903,1866,997834,18336,2712,486
101 2021 Títulos y volúmenes SEMS,101,2021,SEMS,537782,19242,967,1009747,45503,1603,653
102 2020 Títulos y volúmenes SEMS,102,2020,SEMS,517789,4379,1296,945154,10062,2537,626
103 2019 Títulos y volúmenes SEMS,103,2019,SEMS,512736,12401,1987,932050,23634,4462,626
104 2018 Títulos y volúmenes SEMS,104,2018,SEMS,502404,30655,2748,907546,63890,5199,406
105 2023 Títulos y volúmenes BIOP,105,2023,BIOP,48557,591,19,58638,1076,19,1
106 2022 Títulos y volúmenes BIOP,106,2022,BIOP,48658,1517,14,58453,1523,14,10
107 2021 Títulos y volúmenes BIOP,107,2021,BIOP,41225,1466,41,58952,1574,50,9
108 2020 Títulos y volúmenes BIOP,108,2020,BIOP,56417,1681,0,70163,1681,0,5
109 2019 Títulos y volúmenes BIOP,109,2019,BIOP,57661,1832,37,78150,1832,37,3
110 2018 Títulos y volúmenes BIOP,110,2018,BIOP,54938,952,58,76560,1246,58,1
111 2023 Títulos y volúmenes BPEJ,111,2023,BPEJ,1349483,3778,11301,2371499,7046,11406,0
112 2022 Títulos y volúmenes BPEJ,112,2022,BPEJ,1339304,4188,6877,2361651,7836,7033,51
113 2021 Títulos y volúmenes BPEJ,113,2021,BPEJ,1155880,3426,19676,2074941,6362,19676,65
114 2020 Títulos y volúmenes BPEJ,114,2020,BPEJ,1321290,29282,25109,2287614,5383,25109,85
115 2019 Títulos y volúmenes BPEJ,115,2019,BPEJ,1264899,23544,19738,2257122,28484,24358,110
116 2018 Títulos y volúmenes BPEJ,116,2018,BPEJ,1241259,3612,29212,2207885,9450,36753,155
117 2023 Títulos y volúmenes CDCB,117,2023,CDCB,10313,1900,59,15473,1906,80,0
118 2022 Títulos y volúmenes CDCB,118,2022,CDCB,8358,1323,232,13491,1335,253,0
119 2021 Títulos y volúmenes CDCB,119,2021,CDCB,7173,1045,96,11889,1225,246,0
120 2020 Títulos y volúmenes CDCB,120,2020,CDCB,6184,1024,0,9761,1953,0,0
121 2019 Títulos y volúmenes CDCB,121,2019,CDCB,5160,1706,36,7808,2051,39,0
122 2018 Títulos y volúmenes CDCB,122,2018,CDCB,3454,1091,88,5757,1796,108,0
