name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2018B 276 14USU0100Z 5031200004,276,2018-2019,2018,B,14USU0100Z,5031200004,,,,87,,,,35,,,,52,40.23,35,147.2133
2018B 277 14USU0100Z 5012603011,277,2018-2019,2018,B,14USU0100Z,5012603011,,,,42,,,,40,,,,2,95.24,40,118.6567
2018B 278 14USU0100Z 5012603027,278,2018-2019,2018,B,14USU0100Z,5012603027,,,,68,,,,40,,,,28,58.82,40,150.5
2018B 279 14USU0100Z 5012603027,279,2018-2019,2018,B,14USU0100Z,5012603027,,,,21,,,,21,,,,0,100.00,21,66.5
2018B 280 14USU0100Z 5031300010,280,2018-2019,2018,B,14USU0100Z,5031300010,,,,149,,,,80,,,,69,53.69,80,136.1233
2018B 281 14USU0100Z 5022600002,281,2018-2019,2018,B,14USU0100Z,5022600002,,,,78,,,,60,,,,18,76.92,60,127.9167
2018B 282 14USU0100Z 5052300015,282,2018-2019,2018,B,14USU0100Z,5052300015,,,,43,,,,43,,,,0,100.00,50,93.8167
2018B 283 14USU0100Z 5022500008,283,2018-2019,2018,B,14USU0100Z,5022500008,,,,118,,,,76,,,,42,64.41,76,132.0833
2018B 284 14USU0100Z 5022300022,284,2018-2019,2018,B,14USU0100Z,5022300022,,,,213,,,,57,,,,156,26.76,57,162.1
2018B 285 14USU0100Z 5031300014,285,2018-2019,2018,B,14USU0100Z,5031300014,,,,376,,,,80,,,,296,21.28,80,164.5833
2018B 286 14USU0100Z 5031200031,286,2018-2019,2018,B,14USU0100Z,5031200031,,,,105,,,,80,,,,25,76.19,80,121.5833
2018B 287 14USU0100Z 5031500010,287,2018-2019,2018,B,14USU0100Z,5031500010,,,,507,,,,153,,,,354,30.18,153,135.33
2018B 288 14USU0100Z 5031500010,288,2018-2019,2018,B,14USU0100Z,5031500010,,,,43,,,,43,,,,0,100.00,44,70
2018B 289 14USU0010H 5033200006,289,2018-2019,2018,B,14USU0010H,5033200006,,,,889,,,,90,,,,799,10.12,90,153.6033
2018B 290 14USU0010H 5021500119,290,2018-2019,2018,B,14USU0010H,5021500119,,,,97,,,,40,,,,57,41.24,40,151.33
2018B 291 14USU0220M 5033100003,291,2018-2019,2018,B,14USU0220M,5033100003,,,,133,,,,44,,,,89,33.08,44,140.3333
2018B 292 14USU0220M 5072100002,292,2018-2019,2018,B,14USU0220M,5072100002,,,,105,,,,44,,,,61,41.90,44,146.5833
2018B 293 14USU0220M 5061000002,293,2018-2019,2018,B,14USU0220M,5061000002,,,,118,,,,44,,,,74,37.29,44,146.8733
2018B 294 14USU0220M 5081100050,294,2018-2019,2018,B,14USU0220M,5081100050,,,,112,,,,44,,,,68,39.29,44,130.5
2018B 295 14USU0220M 5042000002,295,2018-2019,2018,B,14USU0220M,5042000002,,,,110,,,,44,,,,66,40.00,44,141.8333
2018B 296 14USU0220M 5093100002,296,2018-2019,2018,B,14USU0220M,5093100002,,,,295,,,,44,,,,251,14.92,44,161.6067
2018B 297 14USU0220M 5041400032,297,2018-2019,2018,B,14USU0220M,5041400032,,,,186,,,,44,,,,142,23.66,44,156.6667
2018B 298 14USU0220M 5092100006,298,2018-2019,2018,B,14USU0220M,5092100006,,,,144,,,,44,,,,100,30.56,44,140.75
2018B 299 14USU0220M 5082100001,299,2018-2019,2018,B,14USU0220M,5082100001,,,,321,,,,44,,,,277,13.71,44,152.3233
2018B 300 14USU0220M 5041100056,300,2018-2019,2018,B,14USU0220M,5041100056,,,,190,,,,44,,,,146,23.16,44,154.3333
2018B 301 14USU0220M 5094200006,301,2018-2019,2018,B,14USU0220M,5094200006,,,,125,,,,44,,,,81,35.20,44,142.17
2018B 302 14USU0220M 5031100007,302,2018-2019,2018,B,14USU0220M,5031100007,,,,142,,,,45,,,,97,31.69,45,146.75
2018B 303 14USU0220M 5091100011,303,2018-2019,2018,B,14USU0220M,5091100011,,,,640,,,,44,,,,596,6.88,44,176.35
2018B 304 14USU0170V 5033100003,304,2018-2019,2018,B,14USU0170V,5033100003,,,,18,,,,18,,,,0,100.00,35,96
2018B 305 14USU0170V 5042000002,305,2018-2019,2018,B,14USU0170V,5042000002,,,,28,,,,28,,,,0,100.00,35,95.9633
2018B 306 14USU0170V 5081100010,306,2018-2019,2018,B,14USU0170V,5081100010,,,,50,,,,36,,,,14,72.00,36,112.4167
2018B 307 14USU0170V 5041100021,307,2018-2019,2018,B,14USU0170V,5041100021,,,,24,,,,24,,,,0,100.00,35,87.8333
2018B 308 14USU0170V 5092100006,308,2018-2019,2018,B,14USU0170V,5092100006,,,,20,,,,20,,,,0,100.00,35,77.87
2018B 309 14USU0160O 5033100003,309,2018-2019,2018,B,14USU0160O,5033100003,,,,104,,,,80,,,,24,76.92,80,114.92
2018B 310 14USU0160O 5061000002,310,2018-2019,2018,B,14USU0160O,5061000002,,,,47,,,,40,,,,7,85.11,40,113
2018B 311 14USU0160O 5071700019,311,2018-2019,2018,B,14USU0160O,5071700019,,,,155,,,,40,,,,115,25.81,40,144.8233
2018B 312 14USU0160O 5062200055,312,2018-2019,2018,B,14USU0160O,5062200055,,,,27,,,,27,,,,0,100.00,40,100.8333
2018B 313 14USU0160O 5071400015,313,2018-2019,2018,B,14USU0160O,5071400015,,,,108,,,,40,,,,68,37.04,40,151.8333
2018B 314 14USU0160O 5042000002,314,2018-2019,2018,B,14USU0160O,5042000002,,,,76,,,,40,,,,36,52.63,40,123.5967
2018B 315 14USU0160O 5041400032,315,2018-2019,2018,B,14USU0160O,5041400032,,,,79,,,,40,,,,39,50.63,40,130.0267
2018B 316 14USU0160O 5041200028,316,2018-2019,2018,B,14USU0160O,5041200028,,,,48,,,,40,,,,8,83.33,40,105.4767
2018B 317 14USU0160O 5041100056,317,2018-2019,2018,B,14USU0160O,5041100056,,,,123,,,,80,,,,43,65.04,80,124
2018B 318 14USU0160O 5032100038,318,2018-2019,2018,B,14USU0160O,5032100038,,,,21,,,,21,,,,0,100.00,40,112.8333
2018B 319 14USU0160O 5031100007,319,2018-2019,2018,B,14USU0160O,5031100007,,,,107,,,,80,,,,27,74.77,80,114.5667
2018B 320 14USU0160O 5095400006,320,2018-2019,2018,B,14USU0160O,5095400006,,,,218,,,,60,,,,158,27.52,60,147.9167
2018B 321 14USU0160O 5042100117,321,2018-2019,2018,B,14USU0160O,5042100117,,,,68,,,,40,,,,28,58.82,40,114.75
2018B 322 14USU0150H 5033100003,322,2018-2019,2018,B,14USU0150H,5033100003,,,,31,,,,31,,,,0,100.00,35,92.1
