name,row,anio,estatus_transparencia,total
a31 Solicitudes de información -43 - 2019 - Negativas - Por tratarse de información reservada,43,2019,Negativas - Por tratarse de información reservada,12
a31 Solicitudes de información -44 - 2019 - Negativas - Por tratarse de información confidencial,44,2019,Negativas - Por tratarse de información confidencial,30
a31 Solicitudes de información -45 - 2019 - Negativas - Por inexistencia,45,2019,Negativas - Por inexistencia,307
a31 Solicitudes de información -46 - 2019 - Negativas - Rechazada por no cumplir con los requisitos de ley,46,2019,Negativas - Rechazada por no cumplir con los requisitos de ley,103
"a31 Solicitudes de información -47 - 2019 - Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",47,2019,"Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",45
a31 Solicitudes de información -48 - 2019 - Negativas - Ajena al ejercicio de acceso a la información,48,2019,Negativas - Ajena al ejercicio de acceso a la información,
a31 Solicitudes de información -49 - 2018 - Afirmativas,49,2018,Afirmativas,691
a31 Solicitudes de información -50 - 2018 - Afirmativas parciales,50,2018,Afirmativas parciales,412
a31 Solicitudes de información -51 - 2018 - Afirmativas parciales - Por tratarse de información reservada,51,2018,Afirmativas parciales - Por tratarse de información reservada,7
a31 Solicitudes de información -52 - 2018 - Afirmativas parciales - Por tratarse de información confidencial,52,2018,Afirmativas parciales - Por tratarse de información confidencial,216
a31 Solicitudes de información -53 - 2018 - Afirmativas parciales - Por inexistencia,53,2018,Afirmativas parciales - Por inexistencia,189
a31 Solicitudes de información -54 - 2018 - Negativas,54,2018,Negativas,714
a31 Solicitudes de información -55 - 2018 - Negativas - Por tratarse de información reservada,55,2018,Negativas - Por tratarse de información reservada,5
a31 Solicitudes de información -56 - 2018 - Negativas - Por tratarse de información confidencial,56,2018,Negativas - Por tratarse de información confidencial,16
a31 Solicitudes de información -57 - 2018 - Negativas - Por inexistencia,57,2018,Negativas - Por inexistencia,235
a31 Solicitudes de información -58 - 2018 - Negativas - Rechazada por no cumplir con los requisitos de ley,58,2018,Negativas - Rechazada por no cumplir con los requisitos de ley,405
"a31 Solicitudes de información -59 - 2018 - Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",59,2018,"Negativas - Remitidas al Instituto de Transparencia, Información Pública y Protección de Datos Personales del Estado de Jalisco o Sujeto Obligado competente",53
a31 Solicitudes de información -60 - 2018 - Negativas - Ajena al ejercicio de acceso a la información,60,2018,Negativas - Ajena al ejercicio de acceso a la información,
