name,row,anio,entidad_universitaria,pa_categoria,pa_nivel,total,tiempo_completo,medio_tiempo
312 Investigadores-61 - 2024 - CUALTOS,61,2024,CUALTOS,Titular,A,17,17,0
312 Investigadores-62 - 2024 - CUALTOS,62,2024,CUALTOS,Titular,B,14,14,0
312 Investigadores-63 - 2024 - CUALTOS,63,2024,CUALTOS,Titular,C,11,11,0
312 Investigadores-64 - 2024 - CUCI NEGA,64,2024,CUCI NEGA,Asistente,A,0,0,0
312 Investigadores-65 - 2024 - CUCI NEGA,65,2024,CUCI NEGA,Asistente,B,0,0,0
312 Investigadores-66 - 2024 - CUCI NEGA,66,2024,CUCI NEGA,Asistente,C,1,1,0
312 Investigadores-67 - 2024 - CUCI NEGA,67,2024,CUCI NEGA,Asociado,A,9,9,0
312 Investigadores-68 - 2024 - CUCI NEGA,68,2024,CUCI NEGA,Asociado,B,24,24,0
312 Investigadores-69 - 2024 - CUCI NEGA,69,2024,CUCI NEGA,Asociado,C,13,13,0
312 Investigadores-70 - 2024 - CUCI NEGA,70,2024,CUCI NEGA,Titular,A,20,20,0
312 Investigadores-71 - 2024 - CUCI NEGA,71,2024,CUCI NEGA,Titular,B,22,22,0
312 Investigadores-72 - 2024 - CUCI NEGA,72,2024,CUCI NEGA,Titular,C,39,39,0
312 Investigadores-73 - 2024 - CUSUR,73,2024,CUSUR,Asistente,A,0,0,0
312 Investigadores-74 - 2024 - CUSUR,74,2024,CUSUR,Asistente,B,0,0,0
312 Investigadores-75 - 2024 - CUSUR,75,2024,CUSUR,Asistente,C,0,0,0
312 Investigadores-76 - 2024 - CUSUR,76,2024,CUSUR,Asociado,A,6,6,0
312 Investigadores-77 - 2024 - CUSUR,77,2024,CUSUR,Asociado,B,13,13,0
312 Investigadores-78 - 2024 - CUSUR,78,2024,CUSUR,Asociado,C,6,6,0
312 Investigadores-79 - 2024 - CUSUR,79,2024,CUSUR,Titular,A,24,24,0
312 Investigadores-80 - 2024 - CUSUR,80,2024,CUSUR,Titular,B,21,21,0
312 Investigadores-81 - 2024 - CUSUR,81,2024,CUSUR,Titular,C,21,21,0
312 Investigadores-82 - 2024 - CUCOSTA,82,2024,CUCOSTA,Asistente,A,0,0,0
312 Investigadores-83 - 2024 - CUCOSTA,83,2024,CUCOSTA,Asistente,B,0,0,0
312 Investigadores-84 - 2024 - CUCOSTA,84,2024,CUCOSTA,Asistente,C,1,1,0
312 Investigadores-85 - 2024 - CUCOSTA,85,2024,CUCOSTA,Asociado,A,7,7,0
312 Investigadores-86 - 2024 - CUCOSTA,86,2024,CUCOSTA,Asociado,B,11,11,0
312 Investigadores-87 - 2024 - CUCOSTA,87,2024,CUCOSTA,Asociado,C,12,12,0
312 Investigadores-88 - 2024 - CUCOSTA,88,2024,CUCOSTA,Titular,A,27,27,0
312 Investigadores-89 - 2024 - CUCOSTA,89,2024,CUCOSTA,Titular,B,17,17,0
312 Investigadores-90 - 2024 - CUCOSTA,90,2024,CUCOSTA,Titular,C,31,31,0
312 Investigadores-91 - 2024 - CUCOSTASUR,91,2024,CUCOSTASUR,Asistente,A,0,0,0
312 Investigadores-92 - 2024 - CUCOSTASUR,92,2024,CUCOSTASUR,Asistente,B,0,0,0
312 Investigadores-93 - 2024 - CUCOSTASUR,93,2024,CUCOSTASUR,Asistente,C,0,0,0
312 Investigadores-94 - 2024 - CUCOSTASUR,94,2024,CUCOSTASUR,Asociado,A,14,14,0
312 Investigadores-95 - 2024 - CUCOSTASUR,95,2024,CUCOSTASUR,Asociado,B,14,14,0
312 Investigadores-96 - 2024 - CUCOSTASUR,96,2024,CUCOSTASUR,Asociado,C,7,7,0
312 Investigadores-97 - 2024 - CUCOSTASUR,97,2024,CUCOSTASUR,Titular,A,31,31,0
312 Investigadores-98 - 2024 - CUCOSTASUR,98,2024,CUCOSTASUR,Titular,B,20,20,0
312 Investigadores-99 - 2024 - CUCOSTASUR,99,2024,CUCOSTASUR,Titular,C,43,43,0
312 Investigadores-100 - 2024 - CUVALLES,100,2024,CUVALLES,Asistente,A,0,0,0
312 Investigadores-101 - 2024 - CUVALLES,101,2024,CUVALLES,Asistente,B,0,0,0
312 Investigadores-102 - 2024 - CUVALLES,102,2024,CUVALLES,Asistente,C,0,0,0
312 Investigadores-103 - 2024 - CUVALLES,103,2024,CUVALLES,Asociado,A,5,5,0
312 Investigadores-104 - 2024 - CUVALLES,104,2024,CUVALLES,Asociado,B,10,10,0
312 Investigadores-105 - 2024 - CUVALLES,105,2024,CUVALLES,Asociado,C,27,27,0
312 Investigadores-106 - 2024 - CUVALLES,106,2024,CUVALLES,Titular,A,21,21,0
312 Investigadores-107 - 2024 - CUVALLES,107,2024,CUVALLES,Titular,B,25,25,0
312 Investigadores-108 - 2024 - CUVALLES,108,2024,CUVALLES,Titular,C,14,14,0
312 Investigadores-109 - 2024 - CUNORTE,109,2024,CUNORTE,Asistente,A,0,0,0
312 Investigadores-110 - 2024 - CUNORTE,110,2024,CUNORTE,Asistente,B,0,0,0
312 Investigadores-111 - 2024 - CUNORTE,111,2024,CUNORTE,Asistente,C,0,0,0
312 Investigadores-112 - 2024 - CUNORTE,112,2024,CUNORTE,Asociado,A,3,3,0
312 Investigadores-113 - 2024 - CUNORTE,113,2024,CUNORTE,Asociado,B,6,6,0
312 Investigadores-114 - 2024 - CUNORTE,114,2024,CUNORTE,Asociado,C,9,9,0
312 Investigadores-115 - 2024 - CUNORTE,115,2024,CUNORTE,Titular,A,18,18,0
312 Investigadores-116 - 2024 - CUNORTE,116,2024,CUNORTE,Titular,B,14,14,0
312 Investigadores-117 - 2024 - CUNORTE,117,2024,CUNORTE,Titular,C,7,7,0
312 Investigadores-118 - 2024 - CULAGOS,118,2024,CULAGOS,Asistente,A,0,0,0
312 Investigadores-119 - 2024 - CULAGOS,119,2024,CULAGOS,Asistente,B,0,0,0
312 Investigadores-120 - 2024 - CULAGOS,120,2024,CULAGOS,Asistente,C,0,0,0
312 Investigadores-121 - 2024 - CULAGOS,121,2024,CULAGOS,Asociado,A,7,7,0
312 Investigadores-122 - 2024 - CULAGOS,122,2024,CULAGOS,Asociado,B,9,9,0
312 Investigadores-123 - 2024 - CULAGOS,123,2024,CULAGOS,Asociado,C,6,6,0
312 Investigadores-124 - 2024 - CULAGOS,124,2024,CULAGOS,Titular,A,15,15,0
312 Investigadores-125 - 2024 - CULAGOS,125,2024,CULAGOS,Titular,B,15,15,0
312 Investigadores-126 - 2024 - CULAGOS,126,2024,CULAGOS,Titular,C,23,23,0
312 Investigadores-127 - 2024 - CUTONAL ,127,2024,CUTONAL ,Asistente,A,0,0,0
312 Investigadores-128 - 2024 - CUTONAL ,128,2024,CUTONAL ,Asistente,B,0,0,0
312 Investigadores-129 - 2024 - CUTONAL ,129,2024,CUTONAL ,Asistente,C,0,0,0
312 Investigadores-130 - 2024 - CUTONAL ,130,2024,CUTONAL ,Asociado,A,7,7,0
312 Investigadores-131 - 2024 - CUTONAL ,131,2024,CUTONAL ,Asociado,B,20,20,0
312 Investigadores-132 - 2024 - CUTONAL ,132,2024,CUTONAL ,Asociado,C,24,24,0
312 Investigadores-133 - 2024 - CUTONAL ,133,2024,CUTONAL ,Titular,A,36,36,0
312 Investigadores-134 - 2024 - CUTONAL ,134,2024,CUTONAL ,Titular,B,19,19,0
312 Investigadores-135 - 2024 - CUTONAL ,135,2024,CUTONAL ,Titular,C,10,10,0
312 Investigadores-136 - 2024 - CUTLAJOMULCO,136,2024,CUTLAJOMULCO,Asistente,A,0,0,0
312 Investigadores-137 - 2024 - CUTLAJOMULCO,137,2024,CUTLAJOMULCO,Asistente,B,0,0,0
312 Investigadores-138 - 2024 - CUTLAJOMULCO,138,2024,CUTLAJOMULCO,Asistente,C,0,0,0
312 Investigadores-139 - 2024 - CUTLAJOMULCO,139,2024,CUTLAJOMULCO,Asociado,A,3,3,0
312 Investigadores-140 - 2024 - CUTLAJOMULCO,140,2024,CUTLAJOMULCO,Asociado,B,2,2,0
312 Investigadores-141 - 2024 - CUTLAJOMULCO,141,2024,CUTLAJOMULCO,Asociado,C,2,2,0
312 Investigadores-142 - 2024 - CUTLAJOMULCO,142,2024,CUTLAJOMULCO,Titular,A,2,2,0
312 Investigadores-143 - 2024 - CUTLAJOMULCO,143,2024,CUTLAJOMULCO,Titular,B,6,6,0
312 Investigadores-144 - 2024 - CUTLAJOMULCO,144,2024,CUTLAJOMULCO,Titular,C,3,3,0
312 Investigadores-145 - 2024 - CUGUADALAJARA,145,2024,CUGUADALAJARA,Asistente,A,0,0,0
312 Investigadores-146 - 2024 - CUGUADALAJARA,146,2024,CUGUADALAJARA,Asistente,B,0,0,0
312 Investigadores-147 - 2024 - CUGUADALAJARA,147,2024,CUGUADALAJARA,Asistente,C,1,1,0
312 Investigadores-148 - 2024 - CUGUADALAJARA,148,2024,CUGUADALAJARA,Asociado,A,4,4,0
312 Investigadores-149 - 2024 - CUGUADALAJARA,149,2024,CUGUADALAJARA,Asociado,B,13,13,0
312 Investigadores-150 - 2024 - CUGUADALAJARA,150,2024,CUGUADALAJARA,Asociado,C,9,9,0
312 Investigadores-151 - 2024 - CUGUADALAJARA,151,2024,CUGUADALAJARA,Titular,A,15,15,0
312 Investigadores-152 - 2024 - CUGUADALAJARA,152,2024,CUGUADALAJARA,Titular,B,16,16,0
312 Investigadores-153 - 2024 - CUGUADALAJARA,153,2024,CUGUADALAJARA,Titular,C,14,14,0
312 Investigadores-154 - 2024 - CUCHAPALA,154,2024,CUCHAPALA,Asistente,A,0,0,0
312 Investigadores-155 - 2024 - CUCHAPALA,155,2024,CUCHAPALA,Asistente,B,0,0,0
312 Investigadores-156 - 2024 - CUCHAPALA,156,2024,CUCHAPALA,Asistente,C,0,0,0
312 Investigadores-157 - 2024 - CUCHAPALA,157,2024,CUCHAPALA,Asociado,A,0,0,0
312 Investigadores-158 - 2024 - CUCHAPALA,158,2024,CUCHAPALA,Asociado,B,0,0,0
312 Investigadores-159 - 2024 - CUCHAPALA,159,2024,CUCHAPALA,Asociado,C,0,0,0
312 Investigadores-160 - 2024 - CUCHAPALA,160,2024,CUCHAPALA,Titular,A,0,0,0
312 Investigadores-161 - 2024 - CUCHAPALA,161,2024,CUCHAPALA,Titular,B,0,0,0
312 Investigadores-162 - 2024 - CUCHAPALA,162,2024,CUCHAPALA,Titular,C,0,0,0
312 Investigadores-163 - 2024 - CUTLAQUEPAQUE,163,2024,CUTLAQUEPAQUE,Asistente,A,0,0,0
312 Investigadores-164 - 2024 - CUTLAQUEPAQUE,164,2024,CUTLAQUEPAQUE,Asistente,B,0,0,0
312 Investigadores-165 - 2024 - CUTLAQUEPAQUE,165,2024,CUTLAQUEPAQUE,Asistente,C,0,0,0
312 Investigadores-166 - 2024 - CUTLAQUEPAQUE,166,2024,CUTLAQUEPAQUE,Asociado,A,0,0,0
312 Investigadores-167 - 2024 - CUTLAQUEPAQUE,167,2024,CUTLAQUEPAQUE,Asociado,B,0,0,0
312 Investigadores-168 - 2024 - CUTLAQUEPAQUE,168,2024,CUTLAQUEPAQUE,Asociado,C,0,0,0
312 Investigadores-169 - 2024 - CUTLAQUEPAQUE,169,2024,CUTLAQUEPAQUE,Titular,A,0,0,0
312 Investigadores-170 - 2024 - CUTLAQUEPAQUE,170,2024,CUTLAQUEPAQUE,Titular,B,0,0,0
312 Investigadores-171 - 2024 - CUTLAQUEPAQUE,171,2024,CUTLAQUEPAQUE,Titular,C,0,0,0
312 Investigadores-172 - 2024 - SEMS,172,2024,SEMS,Asistente,A,0,0,0
312 Investigadores-173 - 2024 - SEMS,173,2024,SEMS,Asistente,B,0,0,0
312 Investigadores-174 - 2024 - SEMS,174,2024,SEMS,Asistente,C,0,0,0
312 Investigadores-175 - 2024 - SEMS,175,2024,SEMS,Asociado,A,0,0,0
