orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
164,SEMS,,14MMS0632W,Escuela Preparatoria Regional de Tepatitlán,EPR de Tepatitlán,Escuela,Regional,Región Altos Sur,Tepatitlán de Morelos,
165,SEMS,14MMS0632W,14MMS0713G,Módulo Acatic,Módulo Acatic,Módulo,Regional,Región Altos Sur,Acatic,
166,SEMS,14MMS0632W,14MMS0763O,Módulo de Cañadas de Obregón,Módulo Cañadas de Obregón,Módulo,Regional,Región Altos Sur,Cañadas de Obregón,
167,SEMS,14MMS0632W,14MMS0715E,Módulo Valle de Guadalupe,Módulo Valle de Guadalupe,Módulo,Regional,Región Altos Sur,Valle de Guadalupe,
168,SEMS,14MMS0632W,14MMS0716D,Módulo Yahualica,Módulo Yahualica,Módulo,Regional,Región Altos Sur,Yahualica de González Gallo,
169,SEMS,,14MMS0660S,Escuela Preparatoria Regional de Tequila,EPR de Tequila,Escuela,Regional,Región Valles,Tequila,
170,SEMS,14MMS0660S,14MMS0719A,Módulo Hostotipaquillo,Módulo Hostotipaquillo,Módulo,Regional,Región Valles,Hostotipaquillo,
171,SEMS,14MMS0660S,14MMS0720Q,Módulo Magdalena,Módulo Magdalena,Módulo,Regional,Región Valles,Magdalena,
172,SEMS,14MMS0660S,14MMS0742B,Módulo La Venta de Mochitiltic,Módulo La Venta de Mochitiltic,Módulo,Regional,Región Valles,Hostotipaquillo,
173,SEMS,14MMS0660S,14MMS0743A,Módulo San Andrés,Módulo San Andrés,Módulo,Regional,Región Valles,Magdalena,
174,SEMS,,14MMS0657E,Escuela Preparatoria Regional de Tlajomulco de Zúñiga,EPR de Tlajomulco de Zúñiga,Escuela,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
175,SEMS,14MMS0657E,14MMS0721P,Módulo Cajititlán,Módulo Cajititlán,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
176,SEMS,14MMS0657E,14MMS0744Z,Módulo San Agustín,Módulo San Agustín,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
177,SEMS,14MMS0657E,14MMS0817B,Módulo El Zapote,Módulo El Zapote,Módulo,Metropolitano,Región Centro,Tlajomulco de Zúñiga,
178,SEMS,,14MMS0773V,Escuela Preparatoria Regional de Toluquilla,EPR de Toluquilla,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
