name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-51 - 2018 - CUCIÉNEGA - Privado,51,2018,CUCIÉNEGA,Privado,233,391,,624,
421 Prácticas profesionales-52 - 2018 - CUCIÉNEGA - Civil,52,2018,CUCIÉNEGA,Civil,,,,,
421 Prácticas profesionales-53 - 2018 - CUSUR - Público,53,2018,CUSUR,Público,172,905,,1077,8
421 Prácticas profesionales-54 - 2018 - CUSUR - Federal,54,2018,CUSUR,Federal,0,0,,0,4
421 Prácticas profesionales-55 - 2018 - CUSUR - Estatal,55,2018,CUSUR,Estatal,0,0,,0,0
421 Prácticas profesionales-56 - 2018 - CUSUR - Municipal,56,2018,CUSUR,Municipal,172,905,,1077,4
421 Prácticas profesionales-57 - 2018 - CUSUR - Privado,57,2018,CUSUR,Privado,157,158,,315,57
421 Prácticas profesionales-58 - 2018 - CUSUR - Civil,58,2018,CUSUR,Civil,0,0,,0,11
421 Prácticas profesionales-59 - 2018 - CUCOSTA - No identificado,59,2018,CUCOSTA,No identificado,266,479,,745,
421 Prácticas profesionales-60 - 2018 - CUCOSTA - Público,60,2018,CUCOSTA,Público,,,,,10
421 Prácticas profesionales-61 - 2018 - CUCOSTA - Federal,61,2018,CUCOSTA,Federal,,,,,
421 Prácticas profesionales-62 - 2018 - CUCOSTA - Estatal,62,2018,CUCOSTA,Estatal,,,,,
421 Prácticas profesionales-63 - 2018 - CUCOSTA - Municipal,63,2018,CUCOSTA,Municipal,,,,,
421 Prácticas profesionales-64 - 2018 - CUCOSTA - Privado,64,2018,CUCOSTA,Privado,153,264,,417,165
421 Prácticas profesionales-65 - 2018 - CUCOSTA - Civil,65,2018,CUCOSTA,Civil,,,,,13
421 Prácticas profesionales-66 - 2018 - CUCOSTASUR - Público,66,2018,CUCOSTASUR,Público,,,,,28
421 Prácticas profesionales-67 - 2018 - CUCOSTASUR - Federal,67,2018,CUCOSTASUR,Federal,,,,,9
421 Prácticas profesionales-68 - 2018 - CUCOSTASUR - Estatal,68,2018,CUCOSTASUR,Estatal,,,,,16
421 Prácticas profesionales-69 - 2018 - CUCOSTASUR - Municipal,69,2018,CUCOSTASUR,Municipal,,,,,3
421 Prácticas profesionales-70 - 2018 - CUCOSTASUR - Privado,70,2018,CUCOSTASUR,Privado,185,109,,294,83
421 Prácticas profesionales-71 - 2018 - CUCOSTASUR - Civil,71,2018,CUCOSTASUR,Civil,,,,,6
421 Prácticas profesionales-72 - 2018 - CUVALLES - Público,72,2018,CUVALLES,Público,69,61,,130,98
421 Prácticas profesionales-73 - 2018 - CUVALLES - Federal,73,2018,CUVALLES,Federal,,,,,0
421 Prácticas profesionales-74 - 2018 - CUVALLES - Estatal,74,2018,CUVALLES,Estatal,,,,,0
421 Prácticas profesionales-75 - 2018 - CUVALLES - Municipal,75,2018,CUVALLES,Municipal,,,,,98
421 Prácticas profesionales-76 - 2018 - CUVALLES - Privado,76,2018,CUVALLES,Privado,54,54,,108,68
421 Prácticas profesionales-77 - 2018 - CUVALLES - Civil,77,2018,CUVALLES,Civil,,,,,0
421 Prácticas profesionales-78 - 2018 - CUNORTE - Público,78,2018,CUNORTE,Público,462,872,,1334,42
421 Prácticas profesionales-79 - 2018 - CUNORTE - Federal,79,2018,CUNORTE,Federal,54,34,,88,5
421 Prácticas profesionales-80 - 2018 - CUNORTE - Estatal,80,2018,CUNORTE,Estatal,356,784,,1140,9
421 Prácticas profesionales-81 - 2018 - CUNORTE - Municipal,81,2018,CUNORTE,Municipal,52,54,,106,28
421 Prácticas profesionales-82 - 2018 - CUNORTE - Privado,82,2018,CUNORTE,Privado,67,39,,106,62
421 Prácticas profesionales-83 - 2018 - CUNORTE - Civil,83,2018,CUNORTE,Civil,3,15,,18,7
421 Prácticas profesionales-84 - 2018 - CULAGOS - Público,84,2018,CULAGOS,Público,90,162,,252,10
421 Prácticas profesionales-85 - 2018 - CULAGOS - Federal,85,2018,CULAGOS,Federal,6,7,,13,0
421 Prácticas profesionales-86 - 2018 - CULAGOS - Estatal,86,2018,CULAGOS,Estatal,57,108,,165,1
421 Prácticas profesionales-87 - 2018 - CULAGOS - Municipal,87,2018,CULAGOS,Municipal,27,47,,74,9
421 Prácticas profesionales-88 - 2018 - CULAGOS - Privado,88,2018,CULAGOS,Privado,122,111,,233,65
421 Prácticas profesionales-89 - 2018 - CULAGOS - Civil,89,2018,CULAGOS,Civil,0,0,,0,7
421 Prácticas profesionales-90 - 2018 - CUTONALÁ - Público,90,2018,CUTONALÁ,Público,259,720,,979,8
421 Prácticas profesionales-91 - 2018 - CUTONALÁ - Federal,91,2018,CUTONALÁ,Federal,,,,,0
421 Prácticas profesionales-92 - 2018 - CUTONALÁ - Estatal,92,2018,CUTONALÁ,Estatal,,,,,2
421 Prácticas profesionales-93 - 2018 - CUTONALÁ - Municipal,93,2018,CUTONALÁ,Municipal,,,,,6
421 Prácticas profesionales-94 - 2018 - CUTONALÁ - Privado,94,2018,CUTONALÁ,Privado,46,34,,80,61
421 Prácticas profesionales-95 - 2018 - CUTONALÁ - Civil,95,2018,CUTONALÁ,Civil,,,,,29
421 Prácticas profesionales-96 - 2018 - CUTLAJOMULCO - Público,96,2018,CUTLAJOMULCO,Público,,,,,
421 Prácticas profesionales-97 - 2018 - CUTLAJOMULCO - Federal,97,2018,CUTLAJOMULCO,Federal,,,,,
421 Prácticas profesionales-98 - 2018 - CUTLAJOMULCO - Estatal,98,2018,CUTLAJOMULCO,Estatal,,,,,
421 Prácticas profesionales-99 - 2018 - CUTLAJOMULCO - Municipal,99,2018,CUTLAJOMULCO,Municipal,,,,,
421 Prácticas profesionales-100 - 2018 - CUTLAJOMULCO - Privado,100,2018,CUTLAJOMULCO,Privado,,,,,
421 Prácticas profesionales-101 - 2018 - CUTLAJOMULCO - Civil,101,2018,CUTLAJOMULCO,Civil,,,,,
421 Prácticas profesionales-102 - 2018 - SUV - Público,102,2018,SUV,Público,0,0,,0,1
421 Prácticas profesionales-103 - 2018 - SUV - Federal,103,2018,SUV,Federal,0,0,,0,0
421 Prácticas profesionales-104 - 2018 - SUV - Estatal,104,2018,SUV,Estatal,0,0,,0,1
421 Prácticas profesionales-105 - 2018 - SUV - Municipal,105,2018,SUV,Municipal,0,0,,0,0
421 Prácticas profesionales-106 - 2018 - SUV - Privado,106,2018,SUV,Privado,0,0,,0,0
421 Prácticas profesionales-107 - 2018 - SUV - Civil,107,2018,SUV,Civil,0,0,,0,0
421 Prácticas profesionales-108 - 2018 - SEMS - Público,108,2018,SEMS,Público,653,376,,1029,131
421 Prácticas profesionales-109 - 2018 - SEMS - Federal,109,2018,SEMS,Federal,597,353,,950,11
421 Prácticas profesionales-110 - 2018 - SEMS - Estatal,110,2018,SEMS,Estatal,30,12,,42,99
421 Prácticas profesionales-111 - 2018 - SEMS - Municipal,111,2018,SEMS,Municipal,26,11,,37,21
421 Prácticas profesionales-112 - 2018 - SEMS - Privado,112,2018,SEMS,Privado,1112,640,,1752,213
421 Prácticas profesionales-113 - 2018 - SEMS - Civil,113,2018,SEMS,Civil,0,0,,0,9
421 Prácticas profesionales-114 - 2019 - CUCEA - Público,114,2019,CUCEA,Público,145,263,,408,21
421 Prácticas profesionales-115 - 2019 - CUCEA - Federal,115,2019,CUCEA,Federal,0,0,,0,0
421 Prácticas profesionales-116 - 2019 - CUCEA - Estatal,116,2019,CUCEA,Estatal,0,0,,0,0
421 Prácticas profesionales-117 - 2019 - CUCEA - Municipal,117,2019,CUCEA,Municipal,145,263,,408,21
421 Prácticas profesionales-118 - 2019 - CUCEA - Privado,118,2019,CUCEA,Privado,1145,1542,,2687,592
421 Prácticas profesionales-119 - 2019 - CUCEA - Civil,119,2019,CUCEA,Civil,0,0,,0,5
421 Prácticas profesionales-120 - 2019 - CUCEI - Público,120,2019,CUCEI,Público,80,70,,150,0
421 Prácticas profesionales-121 - 2019 - CUCEI - Federal,121,2019,CUCEI,Federal,0,0,,0,0
421 Prácticas profesionales-122 - 2019 - CUCEI - Estatal,122,2019,CUCEI,Estatal,80,70,,150,0
421 Prácticas profesionales-123 - 2019 - CUCEI - Municipal,123,2019,CUCEI,Municipal,0,0,,0,0
421 Prácticas profesionales-124 - 2019 - CUCEI - Privado,124,2019,CUCEI,Privado,469,334,,803,160
421 Prácticas profesionales-125 - 2019 - CUCEI - Civil,125,2019,CUCEI,Civil,0,0,,0,8
421 Prácticas profesionales-126 - 2019 - CUCSH - Público,126,2019,CUCSH,Público,644,384,,1028,72
421 Prácticas profesionales-127 - 2019 - CUCSH - Federal,127,2019,CUCSH,Federal,24,19,,43,21
421 Prácticas profesionales-128 - 2019 - CUCSH - Estatal,128,2019,CUCSH,Estatal,372,231,,603,27
421 Prácticas profesionales-129 - 2019 - CUCSH - Municipal,129,2019,CUCSH,Municipal,248,134,,382,24
421 Prácticas profesionales-130 - 2019 - CUCSH - Privado,130,2019,CUCSH,Privado,74,28,,102,68
421 Prácticas profesionales-131 - 2019 - CUCSH - Civil,131,2019,CUCSH,Civil,114,47,,161,17
421 Prácticas profesionales-132 - 2019 - CUCS - No identificado,132,2019,CUCS,No identificado,1906,6070,,7976,
421 Prácticas profesionales-133 - 2019 - CUCS - Público,133,2019,CUCS,Público,,,,,22
421 Prácticas profesionales-134 - 2019 - CUCS - Federal,134,2019,CUCS,Federal,,,,,2
421 Prácticas profesionales-135 - 2019 - CUCS - Estatal,135,2019,CUCS,Estatal,,,,,11
421 Prácticas profesionales-136 - 2019 - CUCS - Municipal,136,2019,CUCS,Municipal,,,,,9
421 Prácticas profesionales-137 - 2019 - CUCS - Privado,137,2019,CUCS,Privado,,,,,77
421 Prácticas profesionales-138 - 2019 - CUCS - Civil,138,2019,CUCS,Civil,,,,,5
421 Prácticas profesionales-139 - 2019 - CUAAD - Público,139,2019,CUAAD,Público,,,,,6
421 Prácticas profesionales-140 - 2019 - CUAAD - Federal,140,2019,CUAAD,Federal,,,,,0
421 Prácticas profesionales-141 - 2019 - CUAAD - Estatal,141,2019,CUAAD,Estatal,,,,,5
421 Prácticas profesionales-142 - 2019 - CUAAD - Municipal,142,2019,CUAAD,Municipal,,,,,1
421 Prácticas profesionales-143 - 2019 - CUAAD - Privado,143,2019,CUAAD,Privado,,,,,105
421 Prácticas profesionales-144 - 2019 - CUAAD - Civil,144,2019,CUAAD,Civil,,,,,8
421 Prácticas profesionales-145 - 2019 - CUCBA - Público,145,2019,CUCBA,Público,46,92,,138,22
421 Prácticas profesionales-146 - 2019 - CUCBA - Federal,146,2019,CUCBA,Federal,6,26,,32,6
421 Prácticas profesionales-147 - 2019 - CUCBA - Estatal,147,2019,CUCBA,Estatal,36,57,,93,11
421 Prácticas profesionales-148 - 2019 - CUCBA - Municipal,148,2019,CUCBA,Municipal,4,9,,13,5
421 Prácticas profesionales-149 - 2019 - CUCBA - Privado,149,2019,CUCBA,Privado,239,211,,450,71
421 Prácticas profesionales-150 - 2019 - CUCBA - Civil,150,2019,CUCBA,Civil,12,28,,40,8
421 Prácticas profesionales-151 - 2019 - CUALTOS - No identificado,151,2019,CUALTOS,No identificado,8,34,,42,44
421 Prácticas profesionales-152 - 2019 - CUALTOS - Público,152,2019,CUALTOS,Público,,,,,
421 Prácticas profesionales-153 - 2019 - CUALTOS - Federal,153,2019,CUALTOS,Federal,,,,,
421 Prácticas profesionales-154 - 2019 - CUALTOS - Estatal,154,2019,CUALTOS,Estatal,,,,,
421 Prácticas profesionales-155 - 2019 - CUALTOS - Municipal,155,2019,CUALTOS,Municipal,,,,,303
421 Prácticas profesionales-156 - 2019 - CUALTOS - Privado,156,2019,CUALTOS,Privado,56,157,,213,35
421 Prácticas profesionales-157 - 2019 - CUALTOS - Civil,157,2019,CUALTOS,Civil,,,,,
421 Prácticas profesionales-158 - 2019 - CUCIÉNEGA - No identificado,158,2019,CUCIÉNEGA,No identificado,,,,,180
421 Prácticas profesionales-159 - 2019 - CUCIÉNEGA - Público,159,2019,CUCIÉNEGA,Público,246,234,,480,
421 Prácticas profesionales-160 - 2019 - CUCIÉNEGA - Federal,160,2019,CUCIÉNEGA,Federal,,,,,
421 Prácticas profesionales-161 - 2019 - CUCIÉNEGA - Estatal,161,2019,CUCIÉNEGA,Estatal,,,,,
421 Prácticas profesionales-162 - 2019 - CUCIÉNEGA - Municipal,162,2019,CUCIÉNEGA,Municipal,,,,,
421 Prácticas profesionales-163 - 2019 - CUCIÉNEGA - Privado,163,2019,CUCIÉNEGA,Privado,215,393,,608,
421 Prácticas profesionales-164 - 2019 - CUCIÉNEGA - Civil,164,2019,CUCIÉNEGA,Civil,,,,,
421 Prácticas profesionales-165 - 2019 - CUSUR - Público,165,2019,CUSUR,Público,264,966,,1230,5
421 Prácticas profesionales-166 - 2019 - CUSUR - Federal,166,2019,CUSUR,Federal,0,0,,0,2
421 Prácticas profesionales-167 - 2019 - CUSUR - Estatal,167,2019,CUSUR,Estatal,0,0,,0,1
421 Prácticas profesionales-168 - 2019 - CUSUR - Municipal,168,2019,CUSUR,Municipal,264,966,,1230,2
421 Prácticas profesionales-169 - 2019 - CUSUR - Privado,169,2019,CUSUR,Privado,178,208,,386,52
421 Prácticas profesionales-170 - 2019 - CUSUR - Civil,170,2019,CUSUR,Civil,0,0,,0,6
421 Prácticas profesionales-171 - 2019 - CUCOSTA - No identificado,171,2019,CUCOSTA,No identificado,245,530,,775,
421 Prácticas profesionales-172 - 2019 - CUCOSTA - Público,172,2019,CUCOSTA,Público,,,,,13
421 Prácticas profesionales-173 - 2019 - CUCOSTA - Federal,173,2019,CUCOSTA,Federal,,,,,
421 Prácticas profesionales-174 - 2019 - CUCOSTA - Estatal,174,2019,CUCOSTA,Estatal,,,,,
421 Prácticas profesionales-175 - 2019 - CUCOSTA - Municipal,175,2019,CUCOSTA,Municipal,,,,,
421 Prácticas profesionales-176 - 2019 - CUCOSTA - Privado,176,2019,CUCOSTA,Privado,146,282,,428,217
421 Prácticas profesionales-177 - 2019 - CUCOSTA - Civil,177,2019,CUCOSTA,Civil,,,,,17
421 Prácticas profesionales-178 - 2019 - CUCOSTASUR - Público,178,2019,CUCOSTASUR,Público,,,,,26
421 Prácticas profesionales-179 - 2019 - CUCOSTASUR - Federal,179,2019,CUCOSTASUR,Federal,,,,,6
421 Prácticas profesionales-180 - 2019 - CUCOSTASUR - Estatal,180,2019,CUCOSTASUR,Estatal,,,,,8
421 Prácticas profesionales-181 - 2019 - CUCOSTASUR - Municipal,181,2019,CUCOSTASUR,Municipal,,,,,12
421 Prácticas profesionales-182 - 2019 - CUCOSTASUR - Privado,182,2019,CUCOSTASUR,Privado,150,113,,263,106
421 Prácticas profesionales-183 - 2019 - CUCOSTASUR - Civil,183,2019,CUCOSTASUR,Civil,,,,,5
421 Prácticas profesionales-184 - 2019 - CUVALLES - Público,184,2019,CUVALLES,Público,82,79,,161,0
