row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
83,5041100021,Licenciatura en Agronegocios,Licenciatura,041000
84,5041100056,Licenciatura en Negocios Internacionales,Licenciatura,041000
85,5041100127,Licenciatura en Gestión de Negocios Gastronómicos,Licenciatura,041000
86,5041200028,Licenciatura en Mercadotecnia,Licenciatura,041000
87,5041200075,Licenciatura en Mercadotecnia Digital,Licenciatura,041000
88,5041300007,Licenciatura en Administración Financiera y Sistemas,Licenciatura,041000
89,5041400032,Licenciatura en Contaduría Pública,Licenciatura,041000
90,5042000002,Licenciatura en Administración,Licenciatura,042000
91,5042100012,Licenciatura en Administración de Negocios,Licenciatura,042000
92,5042100065,Licenciatura en Administración de las Organizaciones,Licenciatura,042000
93,5042100117,Licenciatura en Recursos Humanos,Licenciatura,042000
94,5042200024,Licenciatura en Desarrollo Turístico Sustentable,Licenciatura,042000
95,5042300027,Licenciatura en Administración Gubernamental y Políticas Públicas,Licenciatura,042000
96,5042400005,Ingeniería en Administración Industrial,Licenciatura,042000
97,5051100003,Licenciatura en Biología,Licenciatura,051000
98,5051100006,Licenciatura en Biología Marina,Licenciatura,051000
99,5051100015,Ingeniería en Sistemas Biológicos,Licenciatura,051000
100,5051200024,Ingeniería en Biotecnología,Licenciatura,051000
101,5051300005,Ingeniería en Recursos Naturales y Agropecuarios,Licenciatura,051000
102,5051300020,Licenciatura en Gestión y Economía Ambiental,Licenciatura,051000
103,5052100005,Licenciatura en Física,Licenciatura,052000
104,5052200002,Ingeniería en Nanotecnología,Licenciatura,052000
105,5052200007,Licenciatura en Química,Licenciatura,052000
106,5052200017,Licenciatura en Ciencia de Materiales,Licenciatura,052000
107,5052200021,Ingeniería en Diseño Molecular de Materiales,Licenciatura,052000
108,5052300015,Licenciatura en Geografía,Licenciatura,052000
109,5053100004,Licenciatura en Matemáticas,Licenciatura,053000
110,5061000002,Ingeniería en Computación,Licenciatura,061000
111,5061000015,Licenciatura en Desarrollo de Sistemas Web,Licenciatura,061000
112,5061100001,Ingeniería en Ciencias Computacionales,Licenciatura,061000
113,5062100009,Ingeniería en Comunicaciones y Electrónica,Licenciatura,062000
114,5062100033,Ingeniería en Teleinformática,Licenciatura,062000
115,5062100034,Ingeniería en Telemática,Licenciatura,062000
116,5062200055,Ingeniería Informática,Licenciatura,062000
117,5062200073,Ingeniería en Electrónica y Computación,Licenciatura,062000
118,5062200082,Licenciatura en Tecnologías de la Información,Licenciatura,062000
119,5062200105,Licenciatura en Tecnologías e Información,Licenciatura,062000
120,5071000020,Ingeniería Biomédica,Licenciatura,071000
121,5071000047,Ingeniería en Videojuegos,Licenciatura,071000
122,5071100019,Licenciatura en Diseño Industrial,Licenciatura,071000
123,5071200009,Ingeniería en Energía,Licenciatura,071000
124,5071200034,Ingeniería Fotónica,Licenciatura,071000
125,5071300009,Ingeniería Mecánica Eléctrica,Licenciatura,071000
