row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
390,8073100010,"Doctorado en Ciudad, Territorio y Sustentabilidad",Doctorado,073000
391,8091100003,Doctorado en Ciencias de la Salud Ocupacional,Doctorado,091000
392,8091345016,Doctorado en Investigación Multidisciplinaria en Salud,Doctorado,091000
393,8094200006,Doctorado en Ciencia del Comportamiento,Doctorado,094000
394,8095000003,Doctorado en Microbiología Médica,Doctorado,095000
395,8095200001,Doctorado en Biociencias,Doctorado,095000
396,8095200003,Doctorado en Ciencias Biomédicas,Doctorado,095000
397,8095600001,Doctorado en Ciencias de la Salud Pública,Doctorado,095000
398,8102100001,"Doctorado en Movilidad Urbana, Transporte y Territorio",Doctorado,102000
399,8031100011,Doctorado Interinstitucional,Doctorado,031000
