name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2018-2019 14MMS0607X BGAI Escolarizada,1,2018-2019,14MMS0607X,BGAI,Escolarizada,97,105,,202,0,0,,0,0,0,,0
2 2018-2019 14MMS0607X BGC Escolarizada,2,2018-2019,14MMS0607X,BGC,Escolarizada,1043,1432,,2475,15,16,,31,0,0,,0
3 2018-2019 14MMS0608W BGAI Escolarizada,3,2018-2019,14MMS0608W,BGAI,Escolarizada,66,78,,144,0,0,,0,0,0,,0
4 2018-2019 14MMS0608W BGC Escolarizada,4,2018-2019,14MMS0608W,BGC,Escolarizada,1593,1902,,3495,15,20,,35,0,0,,0
5 2018-2019 14MMS0609V BGAI Escolarizada,5,2018-2019,14MMS0609V,BGAI,Escolarizada,231,150,,381,0,0,,0,0,0,,0
6 2018-2019 14MMS0609V BGC Escolarizada,6,2018-2019,14MMS0609V,BGC,Escolarizada,847,1180,,2027,12,10,,22,0,0,,0
7 2018-2019 14MMS0610K BGAI Escolarizada,7,2018-2019,14MMS0610K,BGAI,Escolarizada,136,152,,288,0,0,,0,0,0,,0
8 2018-2019 14MMS0610K BGC Escolarizada,8,2018-2019,14MMS0610K,BGC,Escolarizada,969,1303,,2272,6,10,,16,0,0,,0
9 2018-2019 14MMS0611J BGC Escolarizada,9,2018-2019,14MMS0611J,BGC,Escolarizada,1003,1454,,2457,10,13,,23,0,0,,0
10 2018-2019 14MMS0612I BGC Escolarizada,10,2018-2019,14MMS0612I,BGC,Escolarizada,1687,2513,,4200,10,18,,28,0,0,,0
11 2018-2019 14MMS0613H BGC Escolarizada,11,2018-2019,14MMS0613H,BGC,Escolarizada,2120,2667,,4787,34,35,,69,1,0,,1
12 2018-2019 14MMS0614G 3101600003 Escolarizada,12,2018-2019,14MMS0614G,3101600003,Escolarizada,207,603,,810,5,4,,9,0,0,,0
13 2018-2019 14MMS0614G BGC Escolarizada,13,2018-2019,14MMS0614G,BGC,Escolarizada,1822,2633,,4455,22,28,,50,0,0,,0
14 2018-2019 14MMS0615F BGC Escolarizada,14,2018-2019,14MMS0615F,BGC,Escolarizada,808,1199,,2007,7,5,,12,0,0,,0
15 2018-2019 14MMS0616E 2071100002 Escolarizada,15,2018-2019,14MMS0616E,2071100002,Escolarizada,225,4,,229,1,0,,1,0,0,,0
16 2018-2019 14MMS0616E 2071400001 Escolarizada,16,2018-2019,14MMS0616E,2071400001,Escolarizada,211,258,,469,2,5,,7,0,0,,0
17 2018-2019 14MMS0616E 2092100004 Escolarizada,17,2018-2019,14MMS0616E,2092100004,Escolarizada,255,658,,913,1,4,,5,0,0,,0
18 2018-2019 14MMS0616E 3081100003 Escolarizada,18,2018-2019,14MMS0616E,3081100003,Escolarizada,239,175,,414,4,2,,6,0,0,,0
19 2018-2019 14MMS0616E BGC Escolarizada,19,2018-2019,14MMS0616E,BGC,Escolarizada,480,587,,1067,8,14,,22,0,0,,0
20 2018-2019 14MMS0617D BGC Escolarizada,20,2018-2019,14MMS0617D,BGC,Escolarizada,472,637,,1109,2,1,,3,0,0,,0
21 2018-2019 14MMS0618C BGAI Escolarizada,21,2018-2019,14MMS0618C,BGAI,Escolarizada,79,65,,144,0,0,,0,0,0,,0
22 2018-2019 14MMS0618C BGC Escolarizada,22,2018-2019,14MMS0618C,BGC,Escolarizada,732,908,,1640,8,7,,15,0,0,,0
23 2018-2019 14MMS0619B BGAI Escolarizada,23,2018-2019,14MMS0619B,BGAI,Escolarizada,81,82,,163,0,1,,1,0,0,,0
24 2018-2019 14MMS0619B BGC Escolarizada,24,2018-2019,14MMS0619B,BGC,Escolarizada,522,777,,1299,11,14,,25,0,0,,0
25 2018-2019 14MMS0620R BGAI Escolarizada,25,2018-2019,14MMS0620R,BGAI,Escolarizada,25,27,,52,0,0,,0,0,0,,0
26 2018-2019 14MMS0620R BGC Escolarizada,26,2018-2019,14MMS0620R,BGC,Escolarizada,222,254,,476,0,1,,1,0,0,,0
27 2018-2019 14MMS0621Q BGAI Escolarizada,27,2018-2019,14MMS0621Q,BGAI,Escolarizada,12,14,,26,0,0,,0,0,0,,0
28 2018-2019 14MMS0621Q BGC Escolarizada,28,2018-2019,14MMS0621Q,BGC,Escolarizada,749,936,,1685,12,14,,26,0,0,,0
29 2018-2019 14MMS0622P BGC Escolarizada,29,2018-2019,14MMS0622P,BGC,Escolarizada,238,298,,536,1,2,,3,0,0,,0
30 2018-2019 14MMS0623O BGC Escolarizada,30,2018-2019,14MMS0623O,BGC,Escolarizada,1396,1701,,3097,13,20,,33,0,0,,0
31 2018-2019 14MMS0624N BGC Escolarizada,31,2018-2019,14MMS0624N,BGC,Escolarizada,282,333,,615,4,1,,5,0,0,,0
32 2018-2019 14MMS0625M BGAI Escolarizada,32,2018-2019,14MMS0625M,BGAI,Escolarizada,46,41,,87,0,0,,0,0,0,,0
33 2018-2019 14MMS0625M BGC Escolarizada,33,2018-2019,14MMS0625M,BGC,Escolarizada,298,372,,670,5,4,,9,0,0,,0
34 2018-2019 14MMS0626L BGC Escolarizada,34,2018-2019,14MMS0626L,BGC,Escolarizada,816,1148,,1964,15,15,,30,0,0,,0
35 2018-2019 14MMS0627K BGAI Escolarizada,35,2018-2019,14MMS0627K,BGAI,Escolarizada,51,45,,96,0,0,,0,0,0,,0
36 2018-2019 14MMS0627K BGC Escolarizada,36,2018-2019,14MMS0627K,BGC,Escolarizada,266,330,,596,0,1,,1,0,0,,0
37 2018-2019 14MMS0628J BGAI Escolarizada,37,2018-2019,14MMS0628J,BGAI,Escolarizada,18,13,,31,0,0,,0,0,0,,0
38 2018-2019 14MMS0628J BGC Escolarizada,38,2018-2019,14MMS0628J,BGC,Escolarizada,800,1037,,1837,11,12,,23,0,0,,0
39 2018-2019 14MMS0629I BGAI Escolarizada,39,2018-2019,14MMS0629I,BGAI,Escolarizada,17,20,,37,0,0,,0,0,0,,0
40 2018-2019 14MMS0629I BGC Escolarizada,40,2018-2019,14MMS0629I,BGC,Escolarizada,744,921,,1665,9,12,,21,0,0,,0
41 2018-2019 14MMS0630Y BGC Escolarizada,41,2018-2019,14MMS0630Y,BGC,Escolarizada,981,1131,,2112,11,11,,22,0,0,,0
42 2018-2019 14MMS0631X BGC Escolarizada,42,2018-2019,14MMS0631X,BGC,Escolarizada,1327,1612,,2939,14,9,,23,0,0,,0
43 2018-2019 14MMS0632W 3042100026 Escolarizada,43,2018-2019,14MMS0632W,3042100026,Escolarizada,36,36,,72,0,0,,0,0,0,,0
44 2018-2019 14MMS0632W BGAI Escolarizada,44,2018-2019,14MMS0632W,BGAI,Escolarizada,43,37,,80,2,0,,2,0,0,,0
45 2018-2019 14MMS0632W BGC Escolarizada,45,2018-2019,14MMS0632W,BGC,Escolarizada,1180,1401,,2581,17,8,,25,0,0,,0
46 2018-2019 14MMS0633V BGAI Escolarizada,46,2018-2019,14MMS0633V,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
47 2018-2019 14MMS0633V BGC Escolarizada,47,2018-2019,14MMS0633V,BGC,Escolarizada,155,271,,426,6,3,,9,0,0,,0
48 2018-2019 14MMS0634U BGC Escolarizada,48,2018-2019,14MMS0634U,BGC,Escolarizada,743,1083,,1826,14,17,,31,0,0,,0
49 2018-2019 14MMS0635T BGC Escolarizada,49,2018-2019,14MMS0635T,BGC,Escolarizada,630,802,,1432,11,16,,27,0,0,,0
50 2018-2019 14MMS0636S BGC Escolarizada,50,2018-2019,14MMS0636S,BGC,Escolarizada,957,1213,,2170,7,2,,9,0,0,,0
51 2018-2019 14MMS0637R BGAI Escolarizada,51,2018-2019,14MMS0637R,BGAI,Escolarizada,10,19,,29,0,0,,0,0,0,,0
52 2018-2019 14MMS0637R BGC Escolarizada,52,2018-2019,14MMS0637R,BGC,Escolarizada,351,412,,763,2,2,,4,0,0,,0
53 2018-2019 14MMS0638Q BGAI Escolarizada,53,2018-2019,14MMS0638Q,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
54 2018-2019 14MMS0638Q BGC Escolarizada,54,2018-2019,14MMS0638Q,BGC,Escolarizada,353,491,,844,2,0,,2,0,0,,0
55 2018-2019 14MMS0639P BGC Escolarizada,55,2018-2019,14MMS0639P,BGC,Escolarizada,229,253,,482,3,3,,6,0,0,,0
56 2018-2019 14MMS0640E BGC Escolarizada,56,2018-2019,14MMS0640E,BGC,Escolarizada,361,483,,844,4,6,,10,0,0,,0
57 2018-2019 14MMS0641D BGC Escolarizada,57,2018-2019,14MMS0641D,BGC,Escolarizada,151,177,,328,3,1,,4,0,0,,0
