name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
92 2022-2023 14MMS0666M BGC,92,2022-2023,14MMS0666M,BGC,Escolarizada,39,78,,117,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,2,1,,3,0,0,,0,0,0,,0,3,1,,4,0,0,,0
93 2022-2023 14MMS0666M BGC,93,2022-2023,14MMS0666M,BGC,Escolarizada,44,69,,113,0,1,,1,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,2,,3,0,0,,0
94 2022-2023 14MMS0667L BGC,94,2022-2023,14MMS0667L,BGC,Escolarizada,52,87,,139,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
95 2022-2023 14MMS0667L BGC,95,2022-2023,14MMS0667L,BGC,Escolarizada,62,75,,137,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
96 2022-2023 14MMS0728I BGC,96,2022-2023,14MMS0728I,BGC,Escolarizada,49,58,,107,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
97 2022-2023 14MMS0750K BGC,97,2022-2023,14MMS0750K,BGC,Escolarizada,142,197,,339,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,6,13,,19,0,0,,0,1,0,,1,8,14,,22,0,0,,0
98 2022-2023 14MMS0618C BGAI,98,2022-2023,14MMS0618C,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
99 2022-2023 14MMS0618C BGC,99,2022-2023,14MMS0618C,BGC,Escolarizada,338,417,,755,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,4,,7,0,1,,1,0,0,,0,4,5,,9,0,0,,0
100 2022-2023 14MMS0618C BGC,100,2022-2023,14MMS0618C,BGC,Escolarizada,333,418,,751,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,3,,3,0,0,,0,4,5,,9,0,0,,0
101 2022-2023 14MMS0747X BGC,101,2022-2023,14MMS0747X,BGC,Escolarizada,162,224,,386,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,3,,4,0,0,,0,0,0,,0,1,3,,4,0,1,,1
102 2022-2023 14MMS0668K BGC,102,2022-2023,14MMS0668K,BGC,Escolarizada,143,176,,319,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,2,,3,0,1,,1
103 2022-2023 14MMS0668K BGC,103,2022-2023,14MMS0668K,BGC,Escolarizada,149,168,,317,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,1,,3,0,0,,0
104 2022-2023 14MMS0621Q BGC,104,2022-2023,14MMS0621Q,BGC,Escolarizada,456,523,,979,2,0,,2,1,1,,2,0,0,,0,0,2,,2,0,0,,0,6,8,,14,2,3,,5,0,0,,0,11,14,,25,0,0,,0
105 2022-2023 14MMS0621Q BGC,105,2022-2023,14MMS0621Q,BGC,Escolarizada,450,528,,978,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,11,11,,22,1,1,,2,0,0,,0,13,12,,25,0,0,,0
106 2022-2023 14MMS0635T BGC,106,2022-2023,14MMS0635T,BGC,Escolarizada,287,390,,677,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,10,,13,0,0,,0,0,0,,0,5,10,,15,0,0,,0
107 2022-2023 14MMS0635T BGC,107,2022-2023,14MMS0635T,BGC,Escolarizada,328,347,,675,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,1,,1,3,8,,11,0,0,,0,1,0,,1,5,10,,15,0,0,,0
108 2022-2023 14MMS0732V BGC,108,2022-2023,14MMS0732V,BGC,Escolarizada,111,89,,200,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
109 2022-2023 14MMS0622P BGC,109,2022-2023,14MMS0622P,BGC,Escolarizada,128,140,,268,0,2,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,2,4,,6,0,0,,0
110 2022-2023 14MMS0622P BGC,110,2022-2023,14MMS0622P,BGC,Escolarizada,125,141,,266,0,1,,1,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0
111 2022-2023 14MMS0733U BGC,111,2022-2023,14MMS0733U,BGC,Escolarizada,70,57,,127,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
112 2022-2023 14MMS0674V BGC,112,2022-2023,14MMS0674V,BGC,Escolarizada,79,86,,165,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
113 2022-2023 14MMS0734T BGC,113,2022-2023,14MMS0734T,BGC,Escolarizada,34,37,,71,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,2,2,,4
114 2022-2023 14MMS0675U BGC,114,2022-2023,14MMS0675U,BGC,Escolarizada,61,67,,128,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,3,,3,0,0,,0,0,0,,0,0,4,,4,0,0,,0
115 2022-2023 14MMS0676T BGC,115,2022-2023,14MMS0676T,BGC,Escolarizada,59,62,,121,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
116 2022-2023 14MMS0676T BGC,116,2022-2023,14MMS0676T,BGC,Escolarizada,51,68,,119,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
117 2022-2023 14MMS0735S BGC,117,2022-2023,14MMS0735S,BGC,Escolarizada,39,37,,76,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
118 2022-2023 14MMS0736R BGC,118,2022-2023,14MMS0736R,BGC,Escolarizada,49,44,,93,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
119 2022-2023 14MMS0737Q BGC,119,2022-2023,14MMS0737Q,BGC,Escolarizada,45,46,,91,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,1,,1
120 2022-2023 14MMS0677S BGC,120,2022-2023,14MMS0677S,BGC,Escolarizada,58,52,,110,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
121 2022-2023 14MMS0677S BGC,121,2022-2023,14MMS0677S,BGC,Escolarizada,40,67,,107,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
122 2022-2023 14MMS0758C BGC,122,2022-2023,14MMS0758C,BGC,Escolarizada,95,84,,179,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
123 2022-2023 14MMS0626L BGC,123,2022-2023,14MMS0626L,BGC,Escolarizada,405,589,,994,0,0,,0,2,1,,3,0,0,,0,0,1,,1,0,0,,0,9,22,,31,0,0,,0,0,0,,0,11,24,,35,1,1,,2
124 2022-2023 14MMS0626L BGC,124,2022-2023,14MMS0626L,BGC,Escolarizada,393,599,,992,0,2,,2,0,0,,0,0,0,,0,0,0,,0,1,1,,2,9,8,,17,0,0,,0,0,0,,0,10,11,,21,0,0,,0
125 2022-2023 14MMS0680F BGC,125,2022-2023,14MMS0680F,BGC,Escolarizada,107,105,,212,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,1,,1,0,0,,0
126 2022-2023 14MMS0681E BGC,126,2022-2023,14MMS0681E,BGC,Escolarizada,88,120,,208,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
127 2022-2023 14MMS0651K BGC,127,2022-2023,14MMS0651K,BGC,Escolarizada,255,322,,577,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,5,6,,11,0,1,,1,1,0,,1,7,7,,14,0,1,,1
128 2022-2023 14MMS0651K BGC,128,2022-2023,14MMS0651K,BGC,Escolarizada,250,325,,575,0,1,,1,0,1,,1,0,0,,0,0,1,,1,0,0,,0,2,6,,8,0,2,,2,0,0,,0,2,11,,13,1,1,,2
129 2022-2023 14MMS0798D BGC,129,2022-2023,14MMS0798D,BGC,Escolarizada,154,181,,335,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
130 2022-2023 14MMS0798D BGC,130,2022-2023,14MMS0798D,BGC,Escolarizada,159,173,,332,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,2,,6,0,0,,0,0,0,,0,4,2,,6,0,0,,0
131 2022-2023 14MMS0698E BGC,131,2022-2023,14MMS0698E,BGC,Escolarizada,101,93,,194,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
132 2022-2023 14MMS0698E BGC,132,2022-2023,14MMS0698E,BGC,Escolarizada,104,87,,191,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,1,0,,1,2,0,,2,0,0,,0
133 2022-2023 14MMS0624N BGC,133,2022-2023,14MMS0624N,BGC,Escolarizada,189,243,,432,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,3,3,,6,0,0,,0
134 2022-2023 14MMS0624N BGC,134,2022-2023,14MMS0624N,BGC,Escolarizada,196,233,,429,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,2,,3,0,3,,3
135 2022-2023 14MMS0683C BGC,135,2022-2023,14MMS0683C,BGC,Escolarizada,87,104,,191,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,2,3,,5,0,0,,0
136 2022-2023 14MMS0683C BGC,136,2022-2023,14MMS0683C,BGC,Escolarizada,86,103,,189,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,1,,1,1,1,,2,0,0,,0,0,0,,0,1,3,,4,0,3,,3
137 2022-2023 14MMS0682D BGC,137,2022-2023,14MMS0682D,BGC,Escolarizada,68,86,,154,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
138 2022-2023 14MMS0682D BGC,138,2022-2023,14MMS0682D,BGC,Escolarizada,72,81,,153,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
139 2022-2023 14MMS0738P BGC,139,2022-2023,14MMS0738P,BGC,Escolarizada,42,51,,93,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,5,5,,10
140 2022-2023 14MMS0625M BGAI,140,2022-2023,14MMS0625M,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
141 2022-2023 14MMS0625M BGC,141,2022-2023,14MMS0625M,BGC,Escolarizada,132,166,,298,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,8,11,,19
142 2022-2023 14MMS0625M BGC,142,2022-2023,14MMS0625M,BGC,Escolarizada,141,155,,296,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,4,4,,8,5,5,,10
143 2022-2023 14MMS0684B BGC,143,2022-2023,14MMS0684B,BGC,Escolarizada,59,73,,132,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
144 2022-2023 14MMS0687Z BGC,144,2022-2023,14MMS0687Z,BGC,Escolarizada,54,49,,103,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,2,0,,2
145 2022-2023 14MMS0688Y BGC,145,2022-2023,14MMS0688Y,BGC,Escolarizada,73,91,,164,0,1,,1,0,2,,2,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,4,,4,8,4,,12
146 2022-2023 14MMS0652J BGC,146,2022-2023,14MMS0652J,BGC,Escolarizada,156,185,,341,1,0,,1,1,0,,1,0,0,,0,0,0,,0,1,0,,1,1,6,,7,1,0,,1,0,0,,0,5,6,,11,0,0,,0
147 2022-2023 14MMS0652J BGC,147,2022-2023,14MMS0652J,BGC,Escolarizada,170,168,,338,0,2,,2,1,0,,1,0,0,,0,0,1,,1,0,0,,0,4,0,,4,1,2,,3,0,0,,0,6,5,,11,0,0,,0
148 2022-2023 14MMS0726K BGC,148,2022-2023,14MMS0726K,BGC,Escolarizada,41,57,,98,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
149 2022-2023 14MMS0642C BGC,149,2022-2023,14MMS0642C,BGC,Escolarizada,140,157,,297,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,4,,6,0,0,,0,0,0,,0,3,4,,7,0,0,,0
150 2022-2023 14MMS0642C BGC,150,2022-2023,14MMS0642C,BGC,Escolarizada,128,166,,294,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,4,6,,10,0,0,,0,0,0,,0,5,6,,11,0,0,,0
151 2022-2023 14MMS0661R BGC,151,2022-2023,14MMS0661R,BGC,Escolarizada,90,81,,171,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,1,,1,0,0,,0,0,0,,0,1,2,,3,0,0,,0
152 2022-2023 14MMS0641D BGC,152,2022-2023,14MMS0641D,BGC,Escolarizada,139,176,,315,0,1,,1,1,0,,1,0,0,,0,0,1,,1,0,0,,0,1,2,,3,0,0,,0,0,0,,0,2,4,,6,0,0,,0
153 2022-2023 14MMS0641D BGC,153,2022-2023,14MMS0641D,BGC,Escolarizada,158,154,,312,1,1,,2,0,2,,2,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,3,5,,8,0,1,,1
154 2022-2023 14MMS0760R BGC,154,2022-2023,14MMS0760R,BGC,Escolarizada,41,40,,81,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
155 2022-2023 14MMS0637R BGC,155,2022-2023,14MMS0637R,BGC,Escolarizada,213,240,,453,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,2,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
156 2022-2023 14MMS0637R BGC,156,2022-2023,14MMS0637R,BGC,Escolarizada,214,237,,451,1,0,,1,1,0,,1,0,0,,0,0,0,,0,0,1,,1,2,0,,2,0,0,,0,0,0,,0,4,1,,5,0,0,,0
157 2022-2023 14MMS0671Y BGC,157,2022-2023,14MMS0671Y,BGC,Escolarizada,41,35,,76,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
158 2022-2023 14MMS0671Y BGC,158,2022-2023,14MMS0671Y,BGC,Escolarizada,29,45,,74,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
159 2022-2023 14MMS0673W BGC,159,2022-2023,14MMS0673W,BGC,Escolarizada,71,70,,141,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
160 2022-2023 14MMS0673W BGC,160,2022-2023,14MMS0673W,BGC,Escolarizada,78,61,,139,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
161 2022-2023 14MMS0731W BGC,161,2022-2023,14MMS0731W,BGC,Escolarizada,96,79,,175,0,0,,0,3,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,4,0,,4,2,0,,2
162 2022-2023 14MMS0685A BGC,162,2022-2023,14MMS0685A,BGC,Escolarizada,81,89,,170,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,3,4,,7
163 2022-2023 14MMS0685A BGC,163,2022-2023,14MMS0685A,BGC,Escolarizada,72,96,,168,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,1,,1,0,1,,1,0,0,,0,2,2,,4,1,6,,7
164 2022-2023 14MMS0686Z BGC,164,2022-2023,14MMS0686Z,BGC,Escolarizada,52,54,,106,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,24,19,,43
165 2022-2023 14MMS0686Z BGC,165,2022-2023,14MMS0686Z,BGC,Escolarizada,48,55,,103,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,10,8,,18
166 2022-2023 14MMS0693J BGC,166,2022-2023,14MMS0693J,BGC,Escolarizada,184,200,,384,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
167 2022-2023 14MMS0693J BGC,167,2022-2023,14MMS0693J,BGC,Escolarizada,172,210,,382,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
168 2022-2023 14MMS0678R BGC,168,2022-2023,14MMS0678R,BGC,Escolarizada,110,109,,219,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
169 2022-2023 14MMS0653I BGC,169,2022-2023,14MMS0653I,BGC,Escolarizada,287,331,,618,1,0,,1,1,2,,3,0,0,,0,0,0,,0,1,0,,1,1,1,,2,1,0,,1,0,0,,0,5,3,,8,0,0,,0
170 2022-2023 14MMS0653I BGC,170,2022-2023,14MMS0653I,BGC,Escolarizada,280,336,,616,0,1,,1,1,0,,1,0,0,,0,0,0,,0,0,1,,1,2,2,,4,1,1,,2,0,0,,0,4,5,,9,0,0,,0
171 2022-2023 14MMS0691L BGC,171,2022-2023,14MMS0691L,BGC,Escolarizada,83,100,,183,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
172 2022-2023 14MMS0692K BGC,172,2022-2023,14MMS0692K,BGC,Escolarizada,126,142,,268,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,2,3,,5,1,0,,1,0,0,,0,4,4,,8,0,0,,0
173 2022-2023 14MMS0818A BGAI,173,2022-2023,14MMS0818A,BGAI,Escolarizada,49,32,,81,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,2,,4,0,0,,0
174 2022-2023 14MMS0818A BGC,174,2022-2023,14MMS0818A,BGC,Escolarizada,784,1164,,1948,0,1,,1,3,2,,5,0,0,,0,1,0,,1,1,1,,2,12,17,,29,0,1,,1,0,0,,0,17,22,,39,0,1,,1
175 2022-2023 14MMS0818A BGC,175,2022-2023,14MMS0818A,BGC,Escolarizada,780,1167,,1947,2,5,,7,0,0,,0,0,1,,1,1,0,,1,0,0,,0,7,21,,28,0,1,,1,1,0,,1,11,28,,39,0,0,,0
176 2022-2023 14MMS0879O BGC,176,2022-2023,14MMS0879O,BGC,Escolarizada,47,49,,96,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0
177 2022-2023 14MMS0879O BGC,177,2022-2023,14MMS0879O,BGC,Escolarizada,38,55,,93,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
178 2022-2023 14MMS0764N BGC,178,2022-2023,14MMS0764N,BGC,Escolarizada,58,84,,142,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,1,,2,0,0,,0
179 2022-2023 14MMS0628J BGC,179,2022-2023,14MMS0628J,BGC,Escolarizada,451,574,,1025,2,0,,2,2,1,,3,0,0,,0,1,0,,1,1,0,,1,11,16,,27,3,2,,5,0,0,,0,20,19,,39,0,2,,2
180 2022-2023 14MMS0628J BGC,180,2022-2023,14MMS0628J,BGC,Escolarizada,472,549,,1021,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,8,6,,14,0,1,,1,0,0,,0,8,8,,16,0,0,,0
181 2022-2023 14MMS0697F BGC,181,2022-2023,14MMS0697F,BGC,Escolarizada,35,62,,97,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,1,1,,2,0,0,,0
182 2022-2023 14MMS0697F BGC,182,2022-2023,14MMS0697F,BGC,Escolarizada,35,58,,93,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
183 2022-2023 14MMS0694I BGC,183,2022-2023,14MMS0694I,BGC,Escolarizada,24,54,,78,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0
184 2022-2023 14MMS0694I BGC,184,2022-2023,14MMS0694I,BGC,Escolarizada,37,39,,76,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,2,2,,4,0,0,,0,0,0,,0,2,3,,5,0,0,,0
185 2022-2023 14MMS0695H BGC,185,2022-2023,14MMS0695H,BGC,Escolarizada,92,115,,207,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,2,,2,0,0,,0
186 2022-2023 14MMS0695H BGC,186,2022-2023,14MMS0695H,BGC,Escolarizada,89,115,,204,0,0,,0,1,0,,1,0,0,,0,0,1,,1,0,0,,0,2,0,,2,0,0,,0,0,0,,0,3,1,,4,0,0,,0
187 2022-2023 14MMS0696G BGC,187,2022-2023,14MMS0696G,BGC,Escolarizada,99,135,,234,0,1,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,1,,1,0,0,,0,0,0,,0,1,2,,3,0,0,,0
188 2022-2023 14MMS0696G BGC,188,2022-2023,14MMS0696G,BGC,Escolarizada,102,131,,233,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
189 2022-2023 14MMS0739O BGC,189,2022-2023,14MMS0739O,BGC,Escolarizada,45,60,,105,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,2,,2,0,0,,0
190 2022-2023 14MMS0739O BGC,190,2022-2023,14MMS0739O,BGC,Escolarizada,53,51,,104,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
191 2022-2023 14MMS0644A BGC,191,2022-2023,14MMS0644A,BGC,Escolarizada,190,213,,403,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,3,1,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
192 2022-2023 14MMS0644A BGC,192,2022-2023,14MMS0644A,BGC,Escolarizada,194,207,,401,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,,7,0,0,,0,0,0,,0,2,6,,8,0,0,,0
193 2022-2023 14MMS0718B BGC,193,2022-2023,14MMS0718B,BGC,Escolarizada,131,133,,264,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
194 2022-2023 14MMS0718B BGC,194,2022-2023,14MMS0718B,BGC,Escolarizada,126,135,,261,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,1,,2,0,0,,0
195 2022-2023 14MMS0717C BGC,195,2022-2023,14MMS0717C,BGC,Escolarizada,117,108,,225,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
196 2022-2023 14MMS0717C BGC,196,2022-2023,14MMS0717C,BGC,Escolarizada,128,94,,222,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
197 2022-2023 14MMS0741C BGC,197,2022-2023,14MMS0741C,BGC,Escolarizada,61,70,,131,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
198 2022-2023 14MMS0714F BGC,198,2022-2023,14MMS0714F,BGC,Escolarizada,113,129,,242,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,2,3,,5,0,0,,0,0,1,,1,3,4,,7,0,0,,0
199 2022-2023 14MMS0714F BGC,199,2022-2023,14MMS0714F,BGC,Escolarizada,124,116,,240,0,0,,0,1,0,,1,0,0,,0,0,1,,1,0,0,,0,4,0,,4,1,0,,1,0,0,,0,6,1,,7,0,0,,0
200 2022-2023 14MMS0706X BGC,200,2022-2023,14MMS0706X,BGC,Escolarizada,225,290,,515,1,0,,1,1,1,,2,0,0,,0,0,0,,0,0,0,,0,4,6,,10,0,0,,0,1,0,,1,7,7,,14,0,0,,0
