name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
22 2022-2023 14MMS0647Y BGC,22,2022-2023,14MMS0647Y,BGC,Escolarizada,730,876,,1606,1,2,,3,1,0,,1,0,0,,0,0,0,,0,2,0,,2,13,11,,24,0,0,,0,0,0,,0,17,13,,30,3,0,,3
23 2022-2023 14MMS0647Y BGC,23,2022-2023,14MMS0647Y,BGC,Escolarizada,707,897,,1604,2,0,,2,1,0,,1,0,0,,0,2,1,,3,0,0,,0,10,10,,20,1,0,,1,0,0,,0,16,11,,27,0,0,,0
24 2022-2023 14MMS0762P BGC,24,2022-2023,14MMS0762P,BGC,Escolarizada,53,60,,113,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
25 2022-2023 14MMS0762P BGC,25,2022-2023,14MMS0762P,BGC,Escolarizada,41,69,,110,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
26 2022-2023 14MMS0648X BGC,26,2022-2023,14MMS0648X,BGC,Escolarizada,797,1015,,1812,3,0,,3,1,0,,1,0,0,,0,0,0,,0,0,0,,0,11,18,,29,1,0,,1,0,0,,0,16,18,,34,2,2,,4
27 2022-2023 14MMS0648X BGC,27,2022-2023,14MMS0648X,BGC,Escolarizada,796,1014,,1810,0,3,,3,2,1,,3,0,0,,0,0,0,,0,0,0,,0,7,10,,17,0,0,,0,0,0,,0,9,14,,23,0,3,,3
28 2022-2023 14MMS0649W BGAI,28,2022-2023,14MMS0649W,BGAI,Escolarizada,110,62,,172,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,1,1,,2,0,0,,0
29 2022-2023 14MMS0649W BGC,29,2022-2023,14MMS0649W,BGC,Escolarizada,984,1279,,2263,2,2,,4,0,1,,1,0,0,,0,0,0,,0,1,1,,2,7,23,,30,0,0,,0,3,0,,3,13,27,,40,3,1,,4
30 2022-2023 14MMS0649W BGC,30,2022-2023,14MMS0649W,BGC,Escolarizada,956,1305,,2261,2,1,,3,0,0,,0,0,0,,0,0,0,,0,1,0,,1,18,17,,35,0,1,,1,0,0,,0,21,19,,40,1,4,,5
31 2022-2023 14MMS0650L BGAI,31,2022-2023,14MMS0650L,BGAI,Escolarizada,61,30,,91,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
