name,row,ciclo,cve_programa,total
211 PE únicos con matrícula -71 - 2020-2021 - 5032100027,71,2020-2021,5032100027,1
211 PE únicos con matrícula -72 - 2020-2021 - 5032100038,72,2020-2021,5032100038,1
211 PE únicos con matrícula -73 - 2020-2021 - 5032100065,73,2020-2021,5032100065,1
211 PE únicos con matrícula -74 - 2020-2021 - 5032200012,74,2020-2021,5032200012,1
211 PE únicos con matrícula -75 - 2020-2021 - 5033100003,75,2020-2021,5033100003,1
211 PE únicos con matrícula -76 - 2020-2021 - 5033200006,76,2020-2021,5033200006,1
211 PE únicos con matrícula -77 - 2020-2021 - 5033200024,77,2020-2021,5033200024,1
211 PE únicos con matrícula -78 - 2020-2021 - 5041100007,78,2020-2021,5041100007,1
211 PE únicos con matrícula -79 - 2020-2021 - 5041100009,79,2020-2021,5041100009,1
211 PE únicos con matrícula -80 - 2020-2021 - 5041100021,80,2020-2021,5041100021,1
211 PE únicos con matrícula -81 - 2020-2021 - 5041100056,81,2020-2021,5041100056,1
211 PE únicos con matrícula -82 - 2020-2021 - 5041100127,82,2020-2021,5041100127,1
211 PE únicos con matrícula -83 - 2020-2021 - 5041200028,83,2020-2021,5041200028,1
211 PE únicos con matrícula -84 - 2020-2021 - 5041200075,84,2020-2021,5041200075,1
211 PE únicos con matrícula -85 - 2020-2021 - 5041300007,85,2020-2021,5041300007,1
211 PE únicos con matrícula -86 - 2020-2021 - 5041400032,86,2020-2021,5041400032,1
211 PE únicos con matrícula -87 - 2020-2021 - 5042000002,87,2020-2021,5042000002,1
211 PE únicos con matrícula -88 - 2020-2021 - 5042100012,88,2020-2021,5042100012,1
211 PE únicos con matrícula -89 - 2020-2021 - 5042100065,89,2020-2021,5042100065,1
211 PE únicos con matrícula -90 - 2020-2021 - 5042100092,90,2020-2021,5042100092,1
211 PE únicos con matrícula -91 - 2020-2021 - 5042100117,91,2020-2021,5042100117,1
211 PE únicos con matrícula -92 - 2020-2021 - 5042200024,92,2020-2021,5042200024,1
211 PE únicos con matrícula -93 - 2020-2021 - 5042300027,93,2020-2021,5042300027,1
211 PE únicos con matrícula -94 - 2020-2021 - 5042400005,94,2020-2021,5042400005,1
211 PE únicos con matrícula -95 - 2020-2021 - 5051100003,95,2020-2021,5051100003,1
211 PE únicos con matrícula -96 - 2020-2021 - 5051100006,96,2020-2021,5051100006,1
211 PE únicos con matrícula -97 - 2020-2021 - 5051100015,97,2020-2021,5051100015,1
211 PE únicos con matrícula -98 - 2020-2021 - 5051200024,98,2020-2021,5051200024,1
211 PE únicos con matrícula -99 - 2020-2021 - 5051300005,99,2020-2021,5051300005,1
211 PE únicos con matrícula -100 - 2020-2021 - 5051300020,100,2020-2021,5051300020,1
211 PE únicos con matrícula -101 - 2020-2021 - 5052100005,101,2020-2021,5052100005,1
211 PE únicos con matrícula -102 - 2020-2021 - 5052200002,102,2020-2021,5052200002,1
211 PE únicos con matrícula -103 - 2020-2021 - 5052200007,103,2020-2021,5052200007,1
211 PE únicos con matrícula -104 - 2020-2021 - 5052200017,104,2020-2021,5052200017,1
211 PE únicos con matrícula -105 - 2020-2021 - 5052200021,105,2020-2021,5052200021,1
211 PE únicos con matrícula -106 - 2020-2021 - 5052300015,106,2020-2021,5052300015,1
211 PE únicos con matrícula -107 - 2020-2021 - 5053100004,107,2020-2021,5053100004,1
211 PE únicos con matrícula -108 - 2020-2021 - 5061000002,108,2020-2021,5061000002,1
211 PE únicos con matrícula -109 - 2020-2021 - 5061000015,109,2020-2021,5061000015,1
211 PE únicos con matrícula -110 - 2020-2021 - 5061100001,110,2020-2021,5061100001,1
211 PE únicos con matrícula -111 - 2020-2021 - 5062100009,111,2020-2021,5062100009,1
211 PE únicos con matrícula -112 - 2020-2021 - 5062100033,112,2020-2021,5062100033,1
211 PE únicos con matrícula -113 - 2020-2021 - 5062100034,113,2020-2021,5062100034,1
211 PE únicos con matrícula -114 - 2020-2021 - 5062200055,114,2020-2021,5062200055,1
211 PE únicos con matrícula -115 - 2020-2021 - 5062200073,115,2020-2021,5062200073,1
211 PE únicos con matrícula -116 - 2020-2021 - 5062200082,116,2020-2021,5062200082,1
211 PE únicos con matrícula -117 - 2020-2021 - 5062200105,117,2020-2021,5062200105,1
211 PE únicos con matrícula -118 - 2020-2021 - 5071000020,118,2020-2021,5071000020,1
211 PE únicos con matrícula -119 - 2020-2021 - 5071000047,119,2020-2021,5071000047,1
211 PE únicos con matrícula -120 - 2020-2021 - 5071100005,120,2020-2021,5071100005,1
211 PE únicos con matrícula -121 - 2020-2021 - 5071100019,121,2020-2021,5071100019,1
211 PE únicos con matrícula -122 - 2020-2021 - 5071200009,122,2020-2021,5071200009,1
211 PE únicos con matrícula -123 - 2020-2021 - 5071200034,123,2020-2021,5071200034,1
211 PE únicos con matrícula -124 - 2020-2021 - 5071300009,124,2020-2021,5071300009,1
211 PE únicos con matrícula -125 - 2020-2021 - 5071300014,125,2020-2021,5071300014,1
211 PE únicos con matrícula -126 - 2020-2021 - 5071300082,126,2020-2021,5071300082,1
211 PE únicos con matrícula -127 - 2020-2021 - 5071300091,127,2020-2021,5071300091,1
211 PE únicos con matrícula -128 - 2020-2021 - 5071400008,128,2020-2021,5071400008,1
211 PE únicos con matrícula -129 - 2020-2021 - 5071400015,129,2020-2021,5071400015,1
211 PE únicos con matrícula -130 - 2020-2021 - 5071700019,130,2020-2021,5071700019,1
211 PE únicos con matrícula -131 - 2020-2021 - 5072100002,131,2020-2021,5072100002,1
211 PE únicos con matrícula -132 - 2020-2021 - 5072100018,132,2020-2021,5072100018,1
211 PE únicos con matrícula -133 - 2020-2021 - 5072100033,133,2020-2021,5072100033,1
211 PE únicos con matrícula -134 - 2020-2021 - 5072100049,134,2020-2021,5072100049,1
211 PE únicos con matrícula -135 - 2020-2021 - 5072400001,135,2020-2021,5072400001,1
211 PE únicos con matrícula -136 - 2020-2021 - 5073100009,136,2020-2021,5073100009,1
211 PE únicos con matrícula -137 - 2020-2021 - 5073100024,137,2020-2021,5073100024,1
211 PE únicos con matrícula -138 - 2020-2021 - 5073200005,138,2020-2021,5073200005,1
