name,row,anio,calendario,nivel_educativo,entidad_universitaria,aspirantes_t,aspirantes_h,aspirantes_m,aspirantes_nb,admitidos_t,admitidos_h,admitidos_m,admitidos_nb,no_admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,por_admision
13 Admisión - 1 2020A Bachillerato General SEMS,1,2020,A,Bachillerato General,SEMS,30844,15430,15414,,19741,9571,10170,,11103,5859,5244,,64.00272338
13 Admisión - 2 2020A Bachillerato General SUV,2,2020,A,Bachillerato General,SUV,194,81,113,,78,25,53,,116,56,60,,40.20618557
13 Admisión - 3 2020A Bachillerato Tecnológico SEMS,3,2020,A,Bachillerato Tecnológico,SEMS,2859,1608,1251,,1972,1097,875,,887,511,376,,68.97516614
13 Admisión - 4 2020A Bachillerato Tecnológico CUAAD,4,2020,A,Bachillerato Tecnológico,CUAAD,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 5 2020A Bachillerato Tecnológico CUCS,5,2020,A,Bachillerato Tecnológico,CUCS,346,103,243,,172,53,119,,174,50,124,,49.71098266
13 Admisión - 6 2020A Bachillerato Tecnológico CUSUR,6,2020,A,Bachillerato Tecnológico,CUSUR,53,12,41,,36,9,27,,17,3,14,,67.9245283
13 Admisión - 7 2020A Técnico Superior Universitario CUCS,7,2020,A,Técnico Superior Universitario,CUCS,1025,392,633,,304,98,206,,721,294,427,,29.65853659
13 Admisión - 8 2020A Técnico Superior Universitario CUCOSTASUR,8,2020,A,Técnico Superior Universitario,CUCOSTASUR,59,57,2,,40,40,0,,19,17,2,,67.79661017
13 Admisión - 9 2020A Licenciatura CUCEA,9,2020,A,Licenciatura,CUCEA,7833,3839,3994,,2774,1388,1386,,5059,2451,2608,,35.41427295
13 Admisión - 10 2020A Licenciatura CUCEI,10,2020,A,Licenciatura,CUCEI,7251,5163,2088,,2215,1610,605,,5036,3553,1483,,30.54751069
13 Admisión - 11 2020A Licenciatura CUCSH,11,2020,A,Licenciatura,CUCSH,4569,1845,2724,,1502,607,895,,3067,1238,1829,,32.87371416
13 Admisión - 12 2020A Licenciatura CUCS,12,2020,A,Licenciatura,CUCS,10223,3184,7039,,1530,489,1041,,8693,2695,5998,,14.96625257
13 Admisión - 13 2020A Licenciatura CUAAD,13,2020,A,Licenciatura,CUAAD,5138,2512,2626,,874,380,494,,4264,2132,2132,,17.01050993
13 Admisión - 14 2020A Licenciatura CUCBA,14,2020,A,Licenciatura,CUCBA,2222,1006,1216,,842,404,438,,1380,602,778,,37.89378938
13 Admisión - 15 2020A Licenciatura CUALTOS,15,2020,A,Licenciatura,CUALTOS,1431,445,986,,418,134,284,,1013,311,702,,29.21034242
13 Admisión - 16 2020A Licenciatura CUCIÉNEGA,16,2020,A,Licenciatura,CUCIÉNEGA,1371,699,672,,806,412,394,,565,287,278,,58.78920496
13 Admisión - 17 2020A Licenciatura CUSUR,17,2020,A,Licenciatura,CUSUR,2435,1096,1339,,868,359,509,,1567,737,830,,35.64681725
13 Admisión - 18 2020A Licenciatura CUCOSTA,18,2020,A,Licenciatura,CUCOSTA,1819,844,975,,924,448,476,,895,396,499,,50.79714129
13 Admisión - 19 2020A Licenciatura CUCOSTASUR,19,2020,A,Licenciatura,CUCOSTASUR,808,418,390,,549,288,261,,259,130,129,,67.94554455
13 Admisión - 20 2020A Licenciatura CUVALLES,20,2020,A,Licenciatura,CUVALLES,1188,511,677,,540,261,279,,648,250,398,,45.45454545
13 Admisión - 21 2020A Licenciatura CUNORTE,21,2020,A,Licenciatura,CUNORTE,598,372,226,,279,117,162,,319,255,64,,46.65551839
13 Admisión - 22 2020A Licenciatura CULAGOS,22,2020,A,Licenciatura,CULAGOS,626,264,362,,356,158,198,,270,106,164,,56.86900958
13 Admisión - 23 2020A Licenciatura CUTONALÁ,23,2020,A,Licenciatura,CUTONALÁ,3556,1592,1964,,1088,526,562,,2468,1066,1402,,30.59617548
13 Admisión - 24 2020A Licenciatura SUV,24,2020,A,Licenciatura,SUV,1719,860,859,,720,348,372,,999,512,487,,41.88481675
13 Admisión - 25 2020A Especialidad CUCBA,25,2020,A,Especialidad,CUCBA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 26 2020A Especialidad CUCS,26,2020,A,Especialidad,CUCS,1457,738,719,,1203,611,592,,254,127,127,,82.56691833
13 Admisión - 27 2020A Especialidad CUALTOS,27,2020,A,Especialidad,CUALTOS,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 28 2020A Especialidad CUCOSTA,28,2020,A,Especialidad,CUCOSTA,0,0,0,,0,0,0,,0,0,0,,0
13 Admisión - 29 2020A Especialidad CUTONALÁ,29,2020,A,Especialidad,CUTONALÁ,0,0,0,,0,0,0,,0,0,0,,0
