name,row,anio,entidad_universitaria,energia,potencia_kwh,paneles_solares,consumo_energia,emisiones_gei
921 Producción de energía de páneles solares -1 - 2018 - CUCEA,1,2018,CUCEA,,,,2617572,1379
921 Producción de energía de páneles solares -2 - 2018 - CUCEI,2,2018,CUCEI,,,,3883408,2047
921 Producción de energía de páneles solares -3 - 2018 - CUCSH,3,2018,CUCSH,,,,976267,514
921 Producción de energía de páneles solares -4 - 2018 - CUCS,4,2018,CUCS,,,,2797773,1474
921 Producción de energía de páneles solares -5 - 2018 - CUAAD,5,2018,CUAAD,,,,1114954,588
921 Producción de energía de páneles solares -6 - 2018 - CUCBA,6,2018,CUCBA,,,,2249114,1185
921 Producción de energía de páneles solares -7 - 2018 - CUALTOS,7,2018,CUALTOS,,,,624872,329
921 Producción de energía de páneles solares -8 - 2018 - CUCIÉNEGA,8,2018,CUCIÉNEGA,,,,1216153,641
921 Producción de energía de páneles solares -9 - 2018 - CUSUR,9,2018,CUSUR,,,,1628400,858
921 Producción de energía de páneles solares -10 - 2018 - CUCOSTA,10,2018,CUCOSTA,,,,2313400,1219
921 Producción de energía de páneles solares -11 - 2018 - CUCOSTASUR,11,2018,CUCOSTASUR,,,,1422796,750
921 Producción de energía de páneles solares -12 - 2018 - CUVALLES,12,2018,CUVALLES,,,,1383883,729
921 Producción de energía de páneles solares -13 - 2018 - CUNORTE,13,2018,CUNORTE,,,,779777,411
921 Producción de energía de páneles solares -14 - 2018 - CULAGOS,14,2018,CULAGOS,,,,519590,274
921 Producción de energía de páneles solares -15 - 2018 - CUTONALÁ,15,2018,CUTONALÁ,,,,835543,440
921 Producción de energía de páneles solares -16 - 2018 - CUTLAJOMULCO,16,2018,CUTLAJOMULCO,,,,,
921 Producción de energía de páneles solares -17 - 2018 - SUV,17,2018,SUV,,,,145021,
921 Producción de energía de páneles solares -18 - 2018 - SEMS,18,2018,SEMS,,,,17150047,9038
921 Producción de energía de páneles solares -19 - 2018 - AG,19,2018,AG,,,,9569234,5043
921 Producción de energía de páneles solares -20 - 2019 - CUCEA,20,2019,CUCEA,,,,2617500,1322
921 Producción de energía de páneles solares -21 - 2019 - CUCEI,21,2019,CUCEI,,,,3637266,1837
921 Producción de energía de páneles solares -22 - 2019 - CUCSH,22,2019,CUCSH,,,,1004170,507
921 Producción de energía de páneles solares -23 - 2019 - CUCS,23,2019,CUCS,,,,2945050,1487
921 Producción de energía de páneles solares -24 - 2019 - CUAAD,24,2019,CUAAD,,,,1164947,588
921 Producción de energía de páneles solares -25 - 2019 - CUCBA,25,2019,CUCBA,,,,2209113,1116
921 Producción de energía de páneles solares -26 - 2019 - CUALTOS,26,2019,CUALTOS,,,,652109,329
921 Producción de energía de páneles solares -27 - 2019 - CUCIÉNEGA,27,2019,CUCIÉNEGA,,,,1104784,558
921 Producción de energía de páneles solares -28 - 2019 - CUSUR,28,2019,CUSUR,,,,1518714,767
921 Producción de energía de páneles solares -29 - 2019 - CUCOSTA,29,2019,CUCOSTA,,,,2290677,1157
921 Producción de energía de páneles solares -30 - 2019 - CUCOSTASUR,30,2019,CUCOSTASUR,,,,1473313,744
921 Producción de energía de páneles solares -31 - 2019 - CUVALLES,31,2019,CUVALLES,,,,1204653,608
921 Producción de energía de páneles solares -32 - 2019 - CUNORTE,32,2019,CUNORTE,,,,767335,388
921 Producción de energía de páneles solares -33 - 2019 - CULAGOS,33,2019,CULAGOS,,,,388349,196
921 Producción de energía de páneles solares -34 - 2019 - CUTONALÁ,34,2019,CUTONALÁ,618670,499,1560,620229,313
921 Producción de energía de páneles solares -35 - 2019 - CUTLAJOMULCO,35,2019,CUTLAJOMULCO,,,,,
921 Producción de energía de páneles solares -36 - 2019 - SUV,36,2019,SUV,,,,143216,72
921 Producción de energía de páneles solares -37 - 2019 - SEMS,37,2019,SEMS,,,,18175576,9179
921 Producción de energía de páneles solares -38 - 2019 - AG,38,2019,AG,,,,10568968,5337
921 Producción de energía de páneles solares -39 - 2020 - CUCEA,39,2020,CUCEA,921,7.4,18,1524816,753
921 Producción de energía de páneles solares -40 - 2020 - CUCEI,40,2020,CUCEI,,,,2370406,1171
921 Producción de energía de páneles solares -41 - 2020 - CUCSH,41,2020,CUCSH,,,,1387620,685
921 Producción de energía de páneles solares -42 - 2020 - CUCS,42,2020,CUCS,,,,2068522,1022
921 Producción de energía de páneles solares -43 - 2020 - CUAAD,43,2020,CUAAD,,,,834844,412
921 Producción de energía de páneles solares -44 - 2020 - CUCBA,44,2020,CUCBA,,,,1921354,949
921 Producción de energía de páneles solares -45 - 2020 - CUALTOS,45,2020,CUALTOS,,,,449296,222
921 Producción de energía de páneles solares -46 - 2020 - CUCIÉNEGA,46,2020,CUCIÉNEGA,,,,834453,412
921 Producción de energía de páneles solares -47 - 2020 - CUSUR,47,2020,CUSUR,,,,1102737,545
921 Producción de energía de páneles solares -48 - 2020 - CUCOSTA,48,2020,CUCOSTA,,,,1735165,857
921 Producción de energía de páneles solares -49 - 2020 - CUCOSTASUR,49,2020,CUCOSTASUR,,,,966019,477
921 Producción de energía de páneles solares -50 - 2020 - CUVALLES,50,2020,CUVALLES,,,,1164499,575
921 Producción de energía de páneles solares -51 - 2020 - CUNORTE,51,2020,CUNORTE,,,,455987,225
921 Producción de energía de páneles solares -52 - 2020 - CULAGOS,52,2020,CULAGOS,,,,275492,136
921 Producción de energía de páneles solares -53 - 2020 - CUTONALÁ,53,2020,CUTONALÁ,618670,499,1560,441260,218
921 Producción de energía de páneles solares -54 - 2020 - CUTLAJOMULCO,54,2020,CUTLAJOMULCO,,,,,
921 Producción de energía de páneles solares -55 - 2020 - SUV,55,2020,SUV,3965,23,70,101886,50
921 Producción de energía de páneles solares -56 - 2020 - SEMS,56,2020,SEMS,,,,11946494,5902
921 Producción de energía de páneles solares -57 - 2020 - AG,57,2020,AG,6305,79,255,7395212,3653
921 Producción de energía de páneles solares -58 - 2021 - CUCEA,58,2021,CUCEA,91084,79.7,234,1613892,683
921 Producción de energía de páneles solares -59 - 2021 - CUCEI,59,2021,CUCEI,,,,2586311,1094
921 Producción de energía de páneles solares -60 - 2021 - CUCSH,60,2021,CUCSH,,,,1441728,610
921 Producción de energía de páneles solares -61 - 2021 - CUCS,61,2021,CUCS,,,,2238904,947
921 Producción de energía de páneles solares -62 - 2021 - CUAAD,62,2021,CUAAD,,,,852894,361
921 Producción de energía de páneles solares -63 - 2021 - CUCBA,63,2021,CUCBA,,,,1874831,793
921 Producción de energía de páneles solares -64 - 2021 - CUALTOS,64,2021,CUALTOS,,,,480440,203
921 Producción de energía de páneles solares -65 - 2021 - CUCIÉNEGA,65,2021,CUCIÉNEGA,,,,838485,355
921 Producción de energía de páneles solares -66 - 2021 - CUSUR,66,2021,CUSUR,,,,1111162,470
921 Producción de energía de páneles solares -67 - 2021 - CUCOSTA,67,2021,CUCOSTA,,,,1652215,699
921 Producción de energía de páneles solares -68 - 2021 - CUCOSTASUR,68,2021,CUCOSTASUR,,,,1056272,447
921 Producción de energía de páneles solares -69 - 2021 - CUVALLES,69,2021,CUVALLES,214051,101.5,383,630169,267
921 Producción de energía de páneles solares -70 - 2021 - CUNORTE,70,2021,CUNORTE,182683,139.4,429,454409,192
921 Producción de energía de páneles solares -71 - 2021 - CULAGOS,71,2021,CULAGOS,31506,42.8,140,367867,156
921 Producción de energía de páneles solares -72 - 2021 - CUTONALÁ,72,2021,CUTONALÁ,666314,499,1560,277578,117
