name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
25 2022-2023 14MMS0648X BGAI,25,2022-2023,14MMS0648X,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
26 2022-2023 14MMS0648X BGC,26,2022-2023,14MMS0648X,BGC,Escolarizada,160,316,,476,,,,9,,,,0,,,,,,,,,,,,,11,17,,28,0,0,,0,0,0,,0,14,18,,32,3,3,,6
27 2022-2023 14MMS0648X BGC,27,2022-2023,14MMS0648X,BGC,Escolarizada,174,301,,475,,,,5,,,,3,,,,,,,,,,,,,9,15,,24,0,0,,0,0,0,,0,10,19,,29,2,3,,5
28 2022-2023 14MMS0649W BGAI,28,2022-2023,14MMS0649W,BGAI,Escolarizada,42,35,,77,,,,1,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
29 2022-2023 14MMS0649W BGC,29,2022-2023,14MMS0649W,BGC,Escolarizada,230,387,,617,,,,9,,,,2,,,,,,,,,,,,,3,16,,19,0,0,,0,3,0,,3,10,18,,28,7,4,,11
30 2022-2023 14MMS0649W BGC,30,2022-2023,14MMS0649W,BGC,Escolarizada,245,371,,616,,,,11,,,,4,,,,,,,,,,,,,10,15,,25,0,0,,0,0,0,,0,13,17,,30,1,2,,3
31 2022-2023 14MMS0650L BGAI,31,2022-2023,14MMS0650L,BGAI,Escolarizada,42,24,,66,,,,2,,,,1,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
32 2022-2023 14MMS0650L BGC,32,2022-2023,14MMS0650L,BGC,Escolarizada,186,296,,482,,,,6,,,,0,,,,,,,,,,,,,8,5,,13,1,3,,4,0,0,,0,12,10,,22,3,1,,4
33 2022-2023 14MMS0650L BGC,33,2022-2023,14MMS0650L,BGC,Escolarizada,189,293,,482,,,,9,,,,0,,,,,,,,,,,,,6,10,,16,0,0,,0,0,0,,0,7,12,,19,0,1,,1
34 2022-2023 14MMS0646Z BGC,34,2022-2023,14MMS0646Z,BGC,Escolarizada,242,281,,523,,,,9,,,,1,,,,,,,,,,,,,15,16,,31,0,1,,1,0,0,,0,20,22,,42,9,5,,14
35 2022-2023 14MMS0646Z BGC,35,2022-2023,14MMS0646Z,BGC,Escolarizada,247,276,,523,,,,13,,,,0,,,,,,,,,,,,,17,21,,38,0,2,,2,1,1,,2,22,27,,49,3,5,,8
36 2022-2023 14MMS0640E BGC,36,2022-2023,14MMS0640E,BGC,Escolarizada,50,66,,116,,,,3,,,,0,,,,,,,,,,,,,0,3,,3,0,1,,1,0,0,,0,4,5,,9,3,0,,3
37 2022-2023 14MMS0640E BGC,37,2022-2023,14MMS0640E,BGC,Escolarizada,37,79,,116,,,,7,,,,0,,,,,,,,,,,,,4,6,,10,0,1,,1,0,0,,0,4,7,,11,2,0,,2
38 2022-2023 14MMS0615F BGAI,38,2022-2023,14MMS0615F,BGAI,Escolarizada,54,39,,93,,,,1,,,,0,,,,,,,,,,,,,2,2,,4,0,0,,0,0,0,,0,3,2,,5,0,0,,0
39 2022-2023 14MMS0615F BGC,39,2022-2023,14MMS0615F,BGC,Escolarizada,139,247,,386,,,,9,,,,1,,,,,,,,,,,,,9,10,,19,0,2,,2,0,0,,0,10,13,,23,1,0,,1
40 2022-2023 14MMS0615F BGC,40,2022-2023,14MMS0615F,BGC,Escolarizada,114,271,,385,,,,8,,,,1,,,,,,,,,,,,,3,13,,16,0,0,,0,0,0,,0,5,14,,19,0,2,,2
41 2022-2023 14MMS0630Y BGAI,41,2022-2023,14MMS0630Y,BGAI,Escolarizada,15,9,,24,,,,1,,,,0,,,,,,,,,,,,,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0
42 2022-2023 14MMS0630Y BGC,42,2022-2023,14MMS0630Y,BGC,Escolarizada,119,177,,296,,,,7,,,,0,,,,,,,,,,,,,3,4,,7,0,1,,1,1,0,,1,6,8,,14,1,2,,3
43 2022-2023 14MMS0630Y BGC,43,2022-2023,14MMS0630Y,BGC,Escolarizada,122,173,,295,,,,5,,,,1,,,,,,,,,,,,,4,0,,4,1,1,,2,1,0,,1,7,1,,8,0,2,,2
44 2022-2023 14MMS0631X BGC,44,2022-2023,14MMS0631X,BGC,Escolarizada,223,300,,523,,,,4,,,,2,,,,,,,,,,,,,10,10,,20,1,0,,1,0,0,,0,13,11,,24,7,10,,17
45 2022-2023 14MMS0631X BGC,45,2022-2023,14MMS0631X,BGC,Escolarizada,196,326,,522,,,,5,,,,0,,,,,,,,,,,,,12,7,,19,0,0,,0,0,0,,0,13,9,,22,2,7,,9
46 2022-2023 14MMS0636S BGC,46,2022-2023,14MMS0636S,BGC,Escolarizada,203,259,,462,,,,2,,,,2,,,,,,,,,,,,,7,11,,18,0,1,,1,0,0,,0,12,16,,28,0,4,,4
47 2022-2023 14MMS0636S BGC,47,2022-2023,14MMS0636S,BGC,Escolarizada,207,255,,462,,,,10,,,,0,,,,,,,,,,,,,7,8,,15,0,0,,0,0,0,,0,10,12,,22,4,4,,8
48 2022-2023 14MMS0752I BGAI,48,2022-2023,14MMS0752I,BGAI,Escolarizada,26,30,,56,,,,1,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,2,0,,2,0,0,,0
49 2022-2023 14MMS0752I BGC,49,2022-2023,14MMS0752I,BGC,Escolarizada,79,169,,248,,,,6,,,,1,,,,,,,,,,,,,2,8,,10,1,0,,1,0,0,,0,4,9,,13,0,2,,2
50 2022-2023 14MMS0752I BGC,50,2022-2023,14MMS0752I,BGC,Escolarizada,73,174,,247,,,,8,,,,0,,,,,,,,,,,,,4,7,,11,1,0,,1,0,0,,0,5,8,,13,4,1,,5
51 2022-2023 14MMS0753H BGAI,51,2022-2023,14MMS0753H,BGAI,Escolarizada,23,18,,41,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
52 2022-2023 14MMS0753H BGC,52,2022-2023,14MMS0753H,BGC,Escolarizada,142,210,,352,,,,10,,,,1,,,,,,,,,,,,,10,9,,19,0,0,,0,0,0,,0,11,12,,23,2,5,,7
53 2022-2023 14MMS0753H BGC,53,2022-2023,14MMS0753H,BGC,Escolarizada,132,219,,351,,,,7,,,,0,,,,,,,,,,,,,5,8,,13,1,0,,1,0,0,,0,9,9,,18,1,4,,5
54 2022-2023 14MMS0757D BGAI,54,2022-2023,14MMS0757D,BGAI,Escolarizada,7,5,,12,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
