name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -158 - 2021-2022 - CULAGOS - Posgrado,158,2021-2022,CULAGOS,Posgrado,"63,33","63,64","62,50",,"36,67","36,36","37,50",
123 Porcentaje en PEC -159 - 2021-2022 - CUTONALÁ - Posgrado,159,2021-2022,CUTONALÁ,Posgrado,"53,42","55,10","50,79",,"46,58","44,90","49,21",
123 Porcentaje en PEC -160 - 2021-2022 - SUV - Posgrado,160,2021-2022,SUV,Posgrado,"29,97","27,27","33,33",,"70,03","72,73","66,67",
123 Porcentaje en PEC -161 - 2022-2023 - CUCEA - Posgrado,161,2022-2023,CUCEA,Posgrado,"81,62","76,26","87,26",,"18,38","23,74","12,74",
123 Porcentaje en PEC -162 - 2022-2023 - CUCEI - Posgrado,162,2022-2023,CUCEI,Posgrado,"98,43","99,12","97,42",,"1,57","0,88","2,58",
123 Porcentaje en PEC -163 - 2022-2023 - CUCSH - Posgrado,163,2022-2023,CUCSH,Posgrado,"95,14","96,96","93,56",,"4,86","3,04","6,44",
123 Porcentaje en PEC -164 - 2022-2023 - CUCS - Posgrado,164,2022-2023,CUCS,Posgrado,"64,87","69,83","60,36",,"35,13","30,17","39,64",
123 Porcentaje en PEC -165 - 2022-2023 - CUAAD - Posgrado,165,2022-2023,CUAAD,Posgrado,"81,99","86,13","77,78",,"18,01","13,87","22,22",
123 Porcentaje en PEC -166 - 2022-2023 - CUCBA - Posgrado,166,2022-2023,CUCBA,Posgrado,"94,17","91,09","97,14",,"5,83","8,91","2,86",
123 Porcentaje en PEC -167 - 2022-2023 - CUALTOS - Posgrado,167,2022-2023,CUALTOS,Posgrado,"62,03","52,63","70,73",,"37,97","47,37","29,27",
123 Porcentaje en PEC -168 - 2022-2023 - CUCIÉNEGA - Posgrado,168,2022-2023,CUCIÉNEGA,Posgrado,"12,86","11,63","14,81",,"87,14","88,37","85,19",
123 Porcentaje en PEC -169 - 2022-2023 - CUSUR - Posgrado,169,2022-2023,CUSUR,Posgrado,"68,60","56,00","77,46",,"31,40","44,00","22,54",
123 Porcentaje en PEC -170 - 2022-2023 - CUCOSTA - Posgrado,170,2022-2023,CUCOSTA,Posgrado,"57,55","59,62","55,56",,"42,45","40,38","44,44",
123 Porcentaje en PEC -171 - 2022-2023 - CUCOSTASUR - Posgrado,171,2022-2023,CUCOSTASUR,Posgrado,"47,33","47,50","47,14",,"52,67","52,50","52,86",
123 Porcentaje en PEC -172 - 2022-2023 - CUVALLES - Posgrado,172,2022-2023,CUVALLES,Posgrado,"81,98","77,42","87,76",,"18,02","22,58","12,24",
123 Porcentaje en PEC -173 - 2022-2023 - CUNORTE - Posgrado,173,2022-2023,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
123 Porcentaje en PEC -174 - 2022-2023 - CULAGOS - Posgrado,174,2022-2023,CULAGOS,Posgrado,"58,82","50,00","100,00",,"41,18","50,00","0,00",
123 Porcentaje en PEC -175 - 2022-2023 - CUTONALÁ - Posgrado,175,2022-2023,CUTONALÁ,Posgrado,"37,63","36,21","39,74",,"62,37","63,79","60,26",
123 Porcentaje en PEC -176 - 2022-2023 - SUV - Posgrado,176,2022-2023,SUV,Posgrado,"32,47","30,92","33,97",,"67,53","69,08","66,03",
123 Porcentaje en PEC -177 - 2023-2024 - CUCEA - Posgrado,177,2023-2024,CUCEA,Posgrado,"79,88","76,58","83,42",,"20,12","23,42","16,58",
123 Porcentaje en PEC -178 - 2023-2024 - CUCEI - Posgrado,178,2023-2024,CUCEI,Posgrado,"89,59","87,30","93,44",,"10,41","12,70","6,56",
123 Porcentaje en PEC -179 - 2023-2024 - CUCSH - Posgrado,179,2023-2024,CUCSH,Posgrado,"93,09","96,89","90,04",,"6,91","3,11","9,96",
123 Porcentaje en PEC -180 - 2023-2024 - CUCS - Posgrado,180,2023-2024,CUCS,Posgrado,"66,00","69,13","63,16",,"34,00","30,87","36,84",
123 Porcentaje en PEC -181 - 2023-2024 - CUAAD - Posgrado,181,2023-2024,CUAAD,Posgrado,"86,07","88,71","83,33",,"13,93","11,29","16,67",
123 Porcentaje en PEC -182 - 2023-2024 - CUCBA - Posgrado,182,2023-2024,CUCBA,Posgrado,"95,70","94,38","96,91",,"4,30","5,62","3,09",
123 Porcentaje en PEC -183 - 2023-2024 - CUALTOS - Posgrado,183,2023-2024,CUALTOS,Posgrado,"46,22","52,08","42,25",,"53,78","47,92","57,75",
123 Porcentaje en PEC -184 - 2023-2024 - CUCIÉNEGA - Posgrado,184,2023-2024,CUCIÉNEGA,Posgrado,"12,86","12,82","12,90",,"87,14","87,18","87,10",
123 Porcentaje en PEC -185 - 2023-2024 - CUSUR - Posgrado,185,2023-2024,CUSUR,Posgrado,"45,33","35,79","52,94",,"54,67","64,21","47,06",
123 Porcentaje en PEC -186 - 2023-2024 - CUCOSTA - Posgrado,186,2023-2024,CUCOSTA,Posgrado,"45,74","47,11","44,53",,"54,26","52,89","55,47",
123 Porcentaje en PEC -187 - 2023-2024 - CUCOSTASUR - Posgrado,187,2023-2024,CUCOSTASUR,Posgrado,"36,87","38,14","35,37",,"63,13","61,86","64,63",
123 Porcentaje en PEC -188 - 2023-2024 - CUVALLES - Posgrado,188,2023-2024,CUVALLES,Posgrado,"71,32","70,73","72,22",,"28,68","29,27","27,78",
123 Porcentaje en PEC -189 - 2023-2024 - CUNORTE - Posgrado,189,2023-2024,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
123 Porcentaje en PEC -190 - 2023-2024 - CULAGOS - Posgrado,190,2023-2024,CULAGOS,Posgrado,"60,00","52,17","85,71",,"40,00","47,83","14,29",
123 Porcentaje en PEC -191 - 2023-2024 - CUTONALÁ - Posgrado,191,2023-2024,CUTONALÁ,Posgrado,"42,59","38,89","47,78",,"57,41","61,11","52,22",
123 Porcentaje en PEC -192 - 2023-2024 - SUV - Posgrado,192,2023-2024,SUV,Posgrado,"42,27","40,98","43,40",,"57,73","59,02","56,60",
