name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -32 - 2019-2020 - SUV - Pregrado,32,2019-2020,SUV,Pregrado,"98,73","98,18","99,18",,"1,27","1,82","0,82",
123 Porcentaje en PEC -33 - 2020-2021 - CUCEA - Pregrado,33,2020-2021,CUCEA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -34 - 2020-2021 - CUCEI - Pregrado,34,2020-2021,CUCEI,Pregrado,"98,29","97,92","99,22",,"1,71","2,08","0,78",
123 Porcentaje en PEC -35 - 2020-2021 - CUCSH - Pregrado,35,2020-2021,CUCSH,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -36 - 2020-2021 - CUCS - Pregrado,36,2020-2021,CUCS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -37 - 2020-2021 - CUAAD - Pregrado,37,2020-2021,CUAAD,Pregrado,"79,62","81,91","77,85",,"20,38","18,09","22,15",
123 Porcentaje en PEC -38 - 2020-2021 - CUCBA - Pregrado,38,2020-2021,CUCBA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -39 - 2020-2021 - CUALTOS - Pregrado,39,2020-2021,CUALTOS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -40 - 2020-2021 - CUCIÉNEGA - Pregrado,40,2020-2021,CUCIÉNEGA,Pregrado,"93,64","90,51","96,30",,"6,36","9,49","3,70",
123 Porcentaje en PEC -41 - 2020-2021 - CUSUR - Pregrado,41,2020-2021,CUSUR,Pregrado,"95,93","93,09","97,59",,"4,07","6,91","2,41",
123 Porcentaje en PEC -42 - 2020-2021 - CUCOSTA - Pregrado,42,2020-2021,CUCOSTA,Pregrado,"86,53","84,39","88,47",,"13,47","15,61","11,53",
123 Porcentaje en PEC -43 - 2020-2021 - CUCOSTASUR - Pregrado,43,2020-2021,CUCOSTASUR,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -44 - 2020-2021 - CUVALLES - Pregrado,44,2020-2021,CUVALLES,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -45 - 2020-2021 - CUNORTE - Pregrado,45,2020-2021,CUNORTE,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -46 - 2020-2021 - CULAGOS - Pregrado,46,2020-2021,CULAGOS,Pregrado,"51,81","38,39","64,58",,"48,19","61,61","35,42",
