name,row,anio,entidad_universitaria,categoria_admon,hombres,mujeres,personas_nb,total
721-2024-51 PAdmon de CUSUR-Mandos medios y superiores,51,2024,CUSUR,Mandos medios y superiores,28,48,,76
721-2024-52 PAdmon de CUCOSTA-Mandos medios y superiores,52,2024,CUCOSTA,Mandos medios y superiores,35,56,,91
721-2024-53 PAdmon de CUCOSTASUR-Mandos medios y superiores,53,2024,CUCOSTASUR,Mandos medios y superiores,39,44,,83
721-2024-54 PAdmon de CUVALLES-Mandos medios y superiores,54,2024,CUVALLES,Mandos medios y superiores,43,33,,76
721-2024-55 PAdmon de CUNORTE-Mandos medios y superiores,55,2024,CUNORTE,Mandos medios y superiores,46,43,,89
721-2024-56 PAdmon de CULAGOS-Mandos medios y superiores,56,2024,CULAGOS,Mandos medios y superiores,28,32,,60
721-2024-57 PAdmon de CUTONALÁ-Mandos medios y superiores,57,2024,CUTONALÁ,Mandos medios y superiores,41,47,,88
721-2024-58 PAdmon de CUTLAJOMULCO-Mandos medios y superiores,58,2024,CUTLAJOMULCO,Mandos medios y superiores,29,27,,56
721-2024-59 PAdmon de CUGUADALAJARA-Mandos medios y superiores,59,2024,CUGUADALAJARA,Mandos medios y superiores,18,19,,37
721-2024-60 PAdmon de CUCHAPALA-Mandos medios y superiores,60,2024,CUCHAPALA,Mandos medios y superiores,1,4,,5
721-2024-61 PAdmon de CUTLAQUEPAQUE-Mandos medios y superiores,61,2024,CUTLAQUEPAQUE,Mandos medios y superiores,1,1,,2
721-2024-62 PAdmon de SEMS-Mandos medios y superiores,62,2024,SEMS,Mandos medios y superiores,338,352,,690
721-2024-63 PAdmon de AG-Mandos medios y superiores,63,2024,AG,Mandos medios y superiores,214,210,,424
