name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 202 14MMS0830W 3081100019,202,2024-2025,2024,B,14MMS0830W,3081100019,,,,28,,,,28,,,,0,100,,71
13 Admisión 2024A 203 14MMS0751J 3081100019,203,2024-2025,2024,B,14MMS0751J,3081100019,,,,31,,,,31,,,,0,100,,74
13 Admisión 2024A 204 14MMS0751J 3021600008,204,2024-2025,2024,B,14MMS0751J,3021600008,,,,39,,,,39,,,,0,100,,69
13 Admisión 2024A 205 14MMS0659C 3042100026,205,2024-2025,2024,B,14MMS0659C,3042100026,,,,64,,,,64,,,,0,100,,117.528
13 Admisión 2024A 206 14MMS0659C BGC,206,2024-2025,2024,B,14MMS0659C,BGC,,,,268,,,,180,,,,88,67.1641791,,143.86
13 Admisión 2024A 207 14MMS0755F BGC,207,2024-2025,2024,B,14MMS0755F,BGC,,,,33,,,,33,,,,0,100,,123.964
13 Admisión 2024A 208 14MMS0745Z BGC,208,2024-2025,2024,B,14MMS0745Z,BGC,,,,38,,,,38,,,,0,100,,116.209
13 Admisión 2024A 209 14MMS0746Y BGC,209,2024-2025,2024,B,14MMS0746Y,BGC,,,,113,,,,45,,,,68,39.82300885,,148.297
13 Admisión 2024A 210 14MMS0724M BGC,210,2024-2025,2024,B,14MMS0724M,BGC,,,,99,,,,99,,,,0,100,,116.691
13 Admisión 2024A 211 14MMS0638Q BGC,211,2024-2025,2024,B,14MMS0638Q,BGC,,,,279,,,,260,,,,19,93.18996416,,127.331
13 Admisión 2024A 212 14MMS0658D BGC,212,2024-2025,2024,B,14MMS0658D,BGC,,,,495,,,,360,,,,135,72.72727273,,143.257
13 Admisión 2024A 213 14MMS0725L BGC,213,2024-2025,2024,B,14MMS0725L,BGC,,,,46,,,,46,,,,0,100,,118.209
13 Admisión 2024A 214 14MMS0912F BGC,214,2024-2025,2024,B,14MMS0912F,BGC,,,,795,,,,700,,,,95,88.05031447,,134.926
13 Admisión 2024A 215 14MMS0607X BGAI,215,2024-2025,2024,B,14MMS0607X,BGAI,,,,87,,,,84,,,,3,96.55172414,,
13 Admisión 2024A 216 14USU0140A 5073100009,216,2024-2025,2024,B,14USU0140A,5073100009,,,,1061,,,,220,,,,841,20.73515551,220,160.4333
13 Admisión 2024A 217 14USU0140A 5021000110,217,2024-2025,2024,B,14USU0140A,5021000110,,,,368,,,,40,,,,328,10.86956522,40,176.2933
13 Admisión 2024A 218 14USU0140A 5021600017,218,2024-2025,2024,B,14USU0140A,5021600017,,,,268,,,,60,,,,208,22.3880597,60,153.5667
13 Admisión 2024A 219 14USU0140A 5021600024,219,2024-2025,2024,B,14USU0140A,5021600024,,,,42,,,,40,,,,2,95.23809524,40,116.6233
13 Admisión 2024A 220 14USU0140A 5071100019,220,2024-2025,2024,B,14USU0140A,5071100019,,,,454,,,,80,,,,374,17.62114537,80,159.03
13 Admisión 2024A 221 14USU0140A 5021500044,221,2024-2025,2024,B,14USU0140A,5021500044,,,,437,,,,180,,,,257,41.18993135,180,139.1867
13 Admisión 2024A 222 14USU0140A 5073100024,222,2024-2025,2024,B,14USU0140A,5073100024,,,,38,,,,38,,,,0,100,38,103.71
13 Admisión 2024A 223 14USU0006V 5021300063,223,2024-2025,2024,B,14USU0006V,5021300063,,,,2,,,,2,,,,0,100,5,112.87
13 Admisión 2024A 224 14USU0006V 5021300063,224,2024-2025,2024,B,14USU0006V,5021300063,,,,7,,,,7,,,,0,100,15,116.8333
