name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
461 2020-2021 14MMS0641D BGC,461,2020-2021,14MMS0641D,BGC,Escolarizada,42,47,,89,,,,0,,,,0
462 2020-2021 14MMS0642C BGC,462,2020-2021,14MMS0642C,BGC,Escolarizada,78,108,,186,,,,1,,,,0
463 2020-2021 14MMS0643B BGAI,463,2020-2021,14MMS0643B,BGAI,Escolarizada,20,8,,28,,,,0,,,,0
464 2020-2021 14MMS0643B BGC,464,2020-2021,14MMS0643B,BGC,Escolarizada,120,148,,268,,,,0,,,,0
465 2020-2021 14MMS0644A BGC,465,2020-2021,14MMS0644A,BGC,Escolarizada,98,131,,229,,,,0,,,,0
466 2020-2021 14MMS0645Z BGAI,466,2020-2021,14MMS0645Z,BGAI,Escolarizada,21,35,,56,,,,0,,,,1
467 2020-2021 14MMS0627K BGAI,467,2020-2021,14MMS0627K,BGAI,Escolarizada,12,17,,29,,,,0,,,,0
468 2020-2021 14MMS0627K BGC,468,2020-2021,14MMS0627K,BGC,Escolarizada,78,77,,155,,,,0,,,,0
469 2020-2021 14MMS0628J BGC,469,2020-2021,14MMS0628J,BGC,Escolarizada,214,334,,548,,,,2,,,,0
470 2020-2021 14MMS0629I BGAI,470,2020-2021,14MMS0629I,BGAI,Escolarizada,1,0,,1,,,,0,,,,0
471 2020-2021 14MMS0629I BGC,471,2020-2021,14MMS0629I,BGC,Escolarizada,204,277,,481,,,,0,,,,0
472 2020-2021 14MMS0630Y BGC,472,2020-2021,14MMS0630Y,BGC,Escolarizada,270,356,,626,,,,0,,,,0
473 2020-2021 14MMS0631X BGC,473,2020-2021,14MMS0631X,BGC,Escolarizada,419,482,,901,,,,1,,,,2
474 2020-2021 14MMS0632W BGAI,474,2020-2021,14MMS0632W,BGAI,Escolarizada,12,18,,30,,,,1,,,,0
475 2020-2021 14MMS0632W BGC,475,2020-2021,14MMS0632W,BGC,Escolarizada,377,435,,812,,,,1,,,,0
476 2020-2021 14MMS0633V BGC,476,2020-2021,14MMS0633V,BGC,Escolarizada,51,90,,141,,,,0,,,,0
477 2020-2021 14MMS0634U BGC,477,2020-2021,14MMS0634U,BGC,Escolarizada,227,341,,568,,,,1,,,,1
478 2020-2021 14MMS0635T BGC,478,2020-2021,14MMS0635T,BGC,Escolarizada,196,283,,479,,,,0,,,,0
479 2020-2021 14MMS0636S BGC,479,2020-2021,14MMS0636S,BGC,Escolarizada,240,353,,593,,,,0,,,,1
480 2020-2021 14MMS0619B BGC,480,2020-2021,14MMS0619B,BGC,Escolarizada,175,233,,408,,,,1,,,,0
481 2020-2021 14MMS0620R BGAI,481,2020-2021,14MMS0620R,BGAI,Escolarizada,11,12,,23,,,,0,,,,0
482 2020-2021 14MMS0620R BGC,482,2020-2021,14MMS0620R,BGC,Escolarizada,57,59,,116,,,,0,,,,0
483 2020-2021 14MMS0621Q BGC,483,2020-2021,14MMS0621Q,BGC,Escolarizada,229,311,,540,,,,0,,,,1
484 2020-2021 14MMS0623O BGC,484,2020-2021,14MMS0623O,BGC,Escolarizada,431,526,,957,,,,0,,,,1
485 2020-2021 14MMS0624N BGC,485,2020-2021,14MMS0624N,BGC,Escolarizada,87,104,,191,,,,0,,,,0
486 2020-2021 14MMS0625M BGAI,486,2020-2021,14MMS0625M,BGAI,Escolarizada,24,13,,37,,,,0,,,,0
487 2020-2021 14MMS0625M BGC,487,2020-2021,14MMS0625M,BGC,Escolarizada,78,105,,183,,,,0,,,,5
488 2020-2021 14MMS0626L BGC,488,2020-2021,14MMS0626L,BGC,Escolarizada,230,331,,561,,,,0,,,,1
489 2020-2021 14MMS0670Z BGC,489,2020-2021,14MMS0670Z,BGC,Escolarizada,31,33,,64,,,,0,,,,0
490 2020-2021 14MMS0671Y BGC,490,2020-2021,14MMS0671Y,BGC,Escolarizada,26,39,,65,,,,0,,,,0
491 2020-2021 14MMS0672X BGC,491,2020-2021,14MMS0672X,BGC,Escolarizada,6,13,,19,,,,0,,,,0
492 2020-2021 14MMS0673W BGC,492,2020-2021,14MMS0673W,BGC,Escolarizada,28,30,,58,,,,0,,,,0
493 2020-2021 14MMS0674V BGC,493,2020-2021,14MMS0674V,BGC,Escolarizada,25,26,,51,,,,0,,,,1
