name,row,anio,continente,region,pais,convenio_estatus,total,convenio_general,convenio_especifico,
511 Convenios-54 - 2022 - Ucrania - Vigentes,54,2022,Europa,Europa,Ucrania,Vigentes,1,1,0,
511 Convenios-55 - 2022 - Australia - Vigentes,55,2022,Oceanía,Oceanía,Australia,Vigentes,5,2,3,
511 Convenios-56 - 2022 - El Salvador - Firmados en el año,56,2022,América,Centroamérica y el Caribe,El Salvador,Firmados en el año,1,1,0,
511 Convenios-57 - 2022 - Canadá - Firmados en el año,57,2022,América,Norteamérica,Canadá,Firmados en el año,2,1,1,
511 Convenios-58 - 2022 - Estados Unidos de América - Firmados en el año,58,2022,América,Norteamérica,Estados Unidos de América,Firmados en el año,4,3,1,
511 Convenios-59 - 2022 - México - Firmados en el año,59,2022,América,Norteamérica,México,Firmados en el año,22,21,1,
511 Convenios-60 - 2022 - Argentina - Firmados en el año,60,2022,América,Sudamérica,Argentina,Firmados en el año,7,3,4,
511 Convenios-61 - 2022 - Bolivia - Firmados en el año,61,2022,América,Sudamérica,Bolivia,Firmados en el año,3,1,2,
511 Convenios-62 - 2022 - Chile - Firmados en el año,62,2022,América,Sudamérica,Chile,Firmados en el año,1,1,,
511 Convenios-63 - 2022 - Colombia - Firmados en el año,63,2022,América,Sudamérica,Colombia,Firmados en el año,2,0,2,
511 Convenios-64 - 2022 - Ecuador - Firmados en el año,64,2022,América,Sudamérica,Ecuador,Firmados en el año,4,3,1,
511 Convenios-65 - 2022 - Uruguay - Firmados en el año,65,2022,América,Sudamérica,Uruguay,Firmados en el año,2,1,1,
511 Convenios-66 - 2022 - China - Firmados en el año,66,2022,Asia,Asia,China,Firmados en el año,1,1,,
511 Convenios-67 - 2022 - Corea del Sur - Firmados en el año,67,2022,Asia,Asia,Corea del Sur,Firmados en el año,2,1,1,
511 Convenios-68 - 2022 - India - Firmados en el año,68,2022,Asia,Asia,India,Firmados en el año,2,2,,
511 Convenios-69 - 2022 - Japón - Firmados en el año,69,2022,Asia,Asia,Japón,Firmados en el año,3,2,1,
511 Convenios-70 - 2022 - Alemania - Firmados en el año,70,2022,Europa,Europa,Alemania,Firmados en el año,7,4,3,
511 Convenios-71 - 2022 - España - Firmados en el año,71,2022,Europa,Europa,España,Firmados en el año,3,2,1,
511 Convenios-72 - 2022 - Países Bajos - Firmados en el año,72,2022,Europa,Europa,Países Bajos,Firmados en el año,1,0,1,
511 Convenios-73 - 2022 - Polonia - Firmados en el año,73,2022,Europa,Europa,Polonia,Firmados en el año,1,1,0,
511 Convenios-74 - 2022 - Reino Unido - Firmados en el año,74,2022,Europa,Europa,Reino Unido,Firmados en el año,1,1,0,
511 Convenios-75 - 2022 - Suiza - Firmados en el año,75,2022,Europa,Europa,Suiza,Firmados en el año,2,1,1,
