name,row,anio,entidad_universitaria,energia,potencia_kwh,paneles_solares,consumo_energia,emisiones_gei
921 Energía -66 - 2021 - CUSUR,66,2021,CUSUR,,,,1111162,470
921 Energía -67 - 2021 - CUCOSTA,67,2021,CUCOSTA,,,,1652215,699
921 Energía -68 - 2021 - CUCOSTASUR,68,2021,CUCOSTASUR,,,,1056272,447
921 Energía -69 - 2021 - CUVALLES,69,2021,CUVALLES,214051,101.5,383,630169,267
921 Energía -70 - 2021 - CUNORTE,70,2021,CUNORTE,182683,139.4,429,454409,192
921 Energía -71 - 2021 - CULAGOS,71,2021,CULAGOS,31506,42.8,140,367867,156
921 Energía -72 - 2021 - CUTONALÁ,72,2021,CUTONALÁ,666314,499,1560,277578,117
921 Energía -73 - 2021 - CUTLAJOMULCO,73,2021,CUTLAJOMULCO,,,,105932,45
921 Energía -74 - 2021 - SUV,74,2021,SUV,25887,23.1,70,118734,50
921 Energía -75 - 2021 - SEMS,75,2021,SEMS,128286,233,582,7923465,3352
921 Energía -76 - 2021 - AG,76,2021,AG,84719,79.3,255,12643712,5348
921 Energía -77 - 2022 - CUCEA,77,2022,CUCEA,243509,168.6,438,2090975,884
921 Energía -78 - 2022 - CUCEI,78,2022,CUCEI,,,,3627401,1534
921 Energía -79 - 2022 - CUCSH,79,2022,CUCSH,361343,287.2,527,1861770,788
921 Energía -80 - 2022 - CUCS,80,2022,CUCS,,,,2805563,1187
921 Energía -81 - 2022 - CUAAD,81,2022,CUAAD,,,,1213676,513
921 Energía -82 - 2022 - CUCBA,82,2022,CUCBA,,,,1849700,782
921 Energía -83 - 2022 - CUALTOS,83,2022,CUALTOS,,,,640285,271
921 Energía -84 - 2022 - CUCIÉNEGA,84,2022,CUCIÉNEGA,,,,1024425,433
921 Energía -85 - 2022 - CUSUR,85,2022,CUSUR,26590,28.4,111,1246783,527
921 Energía -86 - 2022 - CUCOSTA,86,2022,CUCOSTA,,,,2309137,977
921 Energía -87 - 2022 - CUCOSTASUR,87,2022,CUCOSTASUR,187119,319.7,592,1110244,470
921 Energía -88 - 2022 - CUVALLES,88,2022,CUVALLES,790084,490.9,1563,485976,73
921 Energía -89 - 2022 - CUNORTE,89,2022,CUNORTE,274056,139.4,429,506364,214
921 Energía -90 - 2022 - CULAGOS,90,2022,CULAGOS,72270,46,150,453438,192
921 Energía -91 - 2022 - CUTONALÁ,91,2022,CUTONALÁ,732290,499,1560,501369,206
921 Energía -92 - 2022 - CUTLAJOMULCO,92,2022,CUTLAJOMULCO,,,,173416,212
921 Energía -93 - 2022 - SUV,93,2022,SUV,26531,23.1,70,277050,117
921 Energía -94 - 2022 - SEMS,94,2022,SEMS,364229,305,747,11576617,4897
921 Energía -95 - 2022 - AG,95,2022,AG,94967,79.3,255,14164983,5992
921 Energía -96 - 2023 - CUCEA,96,2023,CUCEA,245881,214.4,525,2319815,1009
921 Energía -97 - 2023 - CUCEI,97,2023,CUCEI,113517,94.2,228,3861092,1680
921 Energía -98 - 2023 - CUCSH,98,2023,CUCSH,493721,336.7,617,2112356,919
921 Energía -99 - 2023 - CUCS,99,2023,CUCS,,86.9,158,3158313,1374
921 Energía -100 - 2023 - CUAAD,100,2023,CUAAD,177122,130.8,240,1142525,497
921 Energía -101 - 2023 - CUCBA,101,2023,CUCBA,123108,147.2,270,1992633,867
921 Energía -102 - 2023 - CUALTOS,102,2023,CUALTOS,,102.3,186,737241,321
921 Energía -103 - 2023 - CUCIÉNEGA,103,2023,CUCIÉNEGA,228998,170.2,330,995074,433
921 Energía -104 - 2023 - CUSUR,104,2023,CUSUR,26124,151.6,329,1209767,526
921 Energía -105 - 2023 - CUCOSTA,105,2023,CUCOSTA,370113,257,463,2251927,980
921 Energía -106 - 2023 - CUCOSTASUR,106,2023,CUCOSTASUR,503277,347.2,642,1025250,446
921 Energía -107 - 2023 - CUVALLES,107,2023,CUVALLES,715505,581.3,1879,554520,241
921 Energía -108 - 2023 - CUNORTE,108,2023,CUNORTE,236620,139.4,429,548794,239
921 Energía -109 - 2023 - CULAGOS,109,2023,CULAGOS,76267,46,150,509468,222
921 Energía -110 - 2023 - CUTONALÁ,110,2023,CUTONALÁ,633363,499.2,1560,851176,370
921 Energía -111 - 2023 - CUTLAJOMULCO,111,2023,CUTLAJOMULCO,85532,60.5,111,109721,48
921 Energía -112 - 2023 - SUV,112,2023,SUV,49063,69.7,151,237587,103
921 Energía -113 - 2023 - SEMS,113,2023,SEMS,758979,1026,2078,13461279,5856
921 Energía -114 - 2023 - AG,114,2023,AG,86938,76.6,249,14263304,6205
