name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-67 - 2024 - CUVALLES,67,2024,CUVALLES,Candidato,16,15,,31
311 Investigadores-68 - 2024 - CUVALLES,68,2024,CUVALLES,Nivel I,51,25,,76
311 Investigadores-69 - 2024 - CUVALLES,69,2024,CUVALLES,Nivel II,4,0,,4
311 Investigadores-70 - 2024 - CUVALLES,70,2024,CUVALLES,Nivel III,0,0,,0
311 Investigadores-71 - 2024 - CUVALLES,71,2024,CUVALLES,Emérito,0,0,,0
311 Investigadores-72 - 2024 - CUVALLES,72,2024,CUVALLES,SNCA,0,0,,0
311 Investigadores-73 - 2024 - CUNORTE,73,2024,CUNORTE,Candidato,7,4,,11
311 Investigadores-74 - 2024 - CUNORTE,74,2024,CUNORTE,Nivel I,11,10,,21
311 Investigadores-75 - 2024 - CUNORTE,75,2024,CUNORTE,Nivel II,2,1,,3
311 Investigadores-76 - 2024 - CUNORTE,76,2024,CUNORTE,Nivel III,0,0,,0
311 Investigadores-77 - 2024 - CUNORTE,77,2024,CUNORTE,Emérito,0,0,,0
311 Investigadores-78 - 2024 - CUNORTE,78,2024,CUNORTE,SNCA,0,0,,0
311 Investigadores-79 - 2024 - CULAGOS,79,2024,CULAGOS,Candidato,11,5,,16
311 Investigadores-80 - 2024 - CULAGOS,80,2024,CULAGOS,Nivel I,35,13,,48
311 Investigadores-81 - 2024 - CULAGOS,81,2024,CULAGOS,Nivel II,7,1,,8
311 Investigadores-82 - 2024 - CULAGOS,82,2024,CULAGOS,Nivel III,0,0,,0
311 Investigadores-83 - 2024 - CULAGOS,83,2024,CULAGOS,Emérito,0,0,,0
311 Investigadores-84 - 2024 - CULAGOS,84,2024,CULAGOS,SNCA,0,0,,0
311 Investigadores-85 - 2024 - CUTONALÁ,85,2024,CUTONALÁ,Candidato,13,15,,28
311 Investigadores-86 - 2024 - CUTONALÁ,86,2024,CUTONALÁ,Nivel I,44,29,,73
311 Investigadores-87 - 2024 - CUTONALÁ,87,2024,CUTONALÁ,Nivel II,3,1,,4
311 Investigadores-88 - 2024 - CUTONALÁ,88,2024,CUTONALÁ,Nivel III,0,0,,0
311 Investigadores-89 - 2024 - CUTONALÁ,89,2024,CUTONALÁ,Emérito,0,0,,0
311 Investigadores-90 - 2024 - CUTONALÁ,90,2024,CUTONALÁ,SNCA,0,0,,0
311 Investigadores-91 - 2024 - CUTLAJOMULCO,91,2024,CUTLAJOMULCO,Candidato,9,7,,16
311 Investigadores-92 - 2024 - CUTLAJOMULCO,92,2024,CUTLAJOMULCO,Nivel I,6,1,,7
311 Investigadores-93 - 2024 - CUTLAJOMULCO,93,2024,CUTLAJOMULCO,Nivel II,1,1,,2
311 Investigadores-94 - 2024 - CUTLAJOMULCO,94,2024,CUTLAJOMULCO,Nivel III,0,0,,0
311 Investigadores-95 - 2024 - CUTLAJOMULCO,95,2024,CUTLAJOMULCO,Emérito,0,0,,0
311 Investigadores-96 - 2024 - CUTLAJOMULCO,96,2024,CUTLAJOMULCO,SNCA,0,0,,0
311 Investigadores-97 - 2024 - CUGUADALAJARA,97,2024,CUGUADALAJARA,Candidato,3,13,,16
311 Investigadores-98 - 2024 - CUGUADALAJARA,98,2024,CUGUADALAJARA,Nivel I,7,10,,17
311 Investigadores-99 - 2024 - CUGUADALAJARA,99,2024,CUGUADALAJARA,Nivel II,1,1,,2
311 Investigadores-100 - 2024 - CUGUADALAJARA,100,2024,CUGUADALAJARA,Nivel III,0,0,,0
311 Investigadores-101 - 2024 - CUGUADALAJARA,101,2024,CUGUADALAJARA,Emérito,0,0,,0
311 Investigadores-102 - 2024 - CUGUADALAJARA,102,2024,CUGUADALAJARA,SNCA,0,0,,0
311 Investigadores-103 - 2024 - CUCHAPALA,103,2024,CUCHAPALA,Candidato,0,0,,0
311 Investigadores-104 - 2024 - CUCHAPALA,104,2024,CUCHAPALA,Nivel I,0,0,,0
311 Investigadores-105 - 2024 - CUCHAPALA,105,2024,CUCHAPALA,Nivel II,0,0,,0
311 Investigadores-106 - 2024 - CUCHAPALA,106,2024,CUCHAPALA,Nivel III,0,0,,0
311 Investigadores-107 - 2024 - CUCHAPALA,107,2024,CUCHAPALA,Emérito,0,0,,0
311 Investigadores-108 - 2024 - CUCHAPALA,108,2024,CUCHAPALA,SNCA,0,0,,0
311 Investigadores-109 - 2024 - CUTLAQUEPAQUE,109,2024,CUTLAQUEPAQUE,Candidato,0,0,,0
311 Investigadores-110 - 2024 - CUTLAQUEPAQUE,110,2024,CUTLAQUEPAQUE,Nivel I,0,0,,0
311 Investigadores-111 - 2024 - CUTLAQUEPAQUE,111,2024,CUTLAQUEPAQUE,Nivel II,0,0,,0
311 Investigadores-112 - 2024 - CUTLAQUEPAQUE,112,2024,CUTLAQUEPAQUE,Nivel III,0,0,,0
311 Investigadores-113 - 2024 - CUTLAQUEPAQUE,113,2024,CUTLAQUEPAQUE,Emérito,0,0,,0
311 Investigadores-114 - 2024 - CUTLAQUEPAQUE,114,2024,CUTLAQUEPAQUE,SNCA,0,0,,0
311 Investigadores-115 - 2024 - SEMS,115,2024,SEMS,Candidato,5,5,,10
311 Investigadores-116 - 2024 - SEMS,116,2024,SEMS,Nivel I,0,1,,1
311 Investigadores-117 - 2024 - SEMS,117,2024,SEMS,Nivel II,0,0,,0
311 Investigadores-118 - 2024 - SEMS,118,2024,SEMS,Nivel III,0,0,,0
311 Investigadores-119 - 2024 - SEMS,119,2024,SEMS,Emérito,0,0,,0
311 Investigadores-120 - 2024 - SEMS,120,2024,SEMS,SNCA,0,0,,0
311 Investigadores-121 - 2024 - AG,121,2024,AG,Candidato,1,0,,1
311 Investigadores-122 - 2024 - AG,122,2024,AG,Nivel I,1,0,,1
311 Investigadores-123 - 2024 - AG,123,2024,AG,Nivel II,0,0,,0
311 Investigadores-124 - 2024 - AG,124,2024,AG,Nivel III,0,0,,0
311 Investigadores-125 - 2024 - AG,125,2024,AG,Emérito,0,0,,0
311 Investigadores-126 - 2024 - AG,126,2024,AG,SNCA,0,0,,0
