name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
395 2019-2020 14USU0230T 7091345002,395,2019-2020,14USU0230T,7091345002,Escolarizada,1,1,,2,,,,0,,,,0
396 2019-2020 14USU0230T 6091342012,396,2019-2020,14USU0230T,6091342012,Escolarizada,1,1,,2,,,,0,,,,0
397 2019-2020 14USU0230T 6091342013,397,2019-2020,14USU0230T,6091342013,Escolarizada,5,3,,8,,,,0,,,,0
398 2019-2020 14USU0230T 6091343001,398,2019-2020,14USU0230T,6091343001,Escolarizada,2,3,,5,,,,0,,,,0
399 2019-2020 14USU0230T 6091344001,399,2019-2020,14USU0230T,6091344001,Escolarizada,14,2,,16,,,,0,,,,0
400 2019-2020 14USU0230T 6091344002,400,2019-2020,14USU0230T,6091344002,Escolarizada,0,1,,1,,,,0,,,,0
401 2019-2020 14USU0230T 6091345008,401,2019-2020,14USU0230T,6091345008,Escolarizada,1,0,,1,,,,0,,,,0
402 2019-2020 14USU0230T 6091326001,402,2019-2020,14USU0230T,6091326001,Escolarizada,40,85,,125,,,,0,,,,0
403 2019-2020 14USU0230T 6091327002,403,2019-2020,14USU0230T,6091327002,Escolarizada,14,5,,19,,,,0,,,,0
404 2019-2020 14USU0230T 6091329001,404,2019-2020,14USU0230T,6091329001,Escolarizada,2,2,,4,,,,1,,,,0
405 2019-2020 14USU0230T 6091331003,405,2019-2020,14USU0230T,6091331003,Escolarizada,12,5,,17,,,,0,,,,0
406 2019-2020 14USU0230T 6091332001,406,2019-2020,14USU0230T,6091332001,Escolarizada,0,4,,4,,,,0,,,,0
407 2019-2020 14USU0230T 6091334001,407,2019-2020,14USU0230T,6091334001,Escolarizada,3,1,,4,,,,0,,,,0
408 2019-2020 14USU0230T 6091335001,408,2019-2020,14USU0230T,6091335001,Escolarizada,6,7,,13,,,,0,,,,0
409 2019-2020 14USU0230T 6091335003,409,2019-2020,14USU0230T,6091335003,Escolarizada,2,0,,2,,,,0,,,,0
410 2019-2020 14USU0230T 6091336001,410,2019-2020,14USU0230T,6091336001,Escolarizada,4,1,,5,,,,0,,,,0
