row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado
55,5011100022,Licenciatura en Educación Indígena,Licenciatura,011100,010000,011000,011100
56,5011200004,Licenciatura en Desarrollo Educativo,Licenciatura,011200,010000,011000,011200
57,5011500002,Licenciatura en Educación,Licenciatura,011500,010000,011000,011500
58,5012603011,Licenciatura en Didáctica del Francés como Lengua Extranjera,Licenciatura,012603,010000,012000,012600
59,5012603027,Licenciatura en Docencia del Inglés como Lengua Extranjera,Licenciatura,012603,010000,012000,012600
60,5021000002,Licenciatura en Artes,Licenciatura,021000,020000,021000,021000
61,5021000007,Licenciatura en Gestión Cultural,Licenciatura,021000,020000,021000,021000
62,5021000010,Licenciatura en Historia del Arte,Licenciatura,021000,020000,021000,021000
63,5021000110,"Licenciatura en Diseño, Arte y Tecnologías Interactivas",Licenciatura,021000,020000,021000,021000
64,5021000114,Licenciatura en Artes Visuales para la Expresión Fotográfica,Licenciatura,021000,020000,021000,021000
65,5021100004,Licenciatura en Artes Visuales,Licenciatura,021100,020000,021000,021100
66,5021200006,Licenciatura en Artes Escénicas,Licenciatura,021200,020000,021000,021200
67,5021200054,Licenciatura en Artes Escénicas para la Expresión Dancística,Licenciatura,021200,020000,021000,021200
68,5021200055,Licenciatura en Artes Escénicas para la Expresión Teatral,Licenciatura,021200,020000,021000,021200
69,5021300063,Licenciatura en Música,Licenciatura,021300,020000,021000,021300
70,5021400012,Licenciatura en Artes Audiovisuales,Licenciatura,021400,020000,021000,021400
71,5021500002,Ingeniería en Comunicación Multimedia,Licenciatura,021500,020000,021000,021500
72,5021500044,Licenciatura en Diseño para la Comunicación Gráfica,Licenciatura,021500,020000,021000,021500
73,5021500119,Licenciatura en Escritura Creativa,Licenciatura,021500,020000,021000,021500
74,5021600017,Licenciatura en Diseño de Interiores y Ambientación,Licenciatura,021600,020000,021000,021600
75,5021600024,Licenciatura en Diseño de Modas,Licenciatura,021600,020000,021000,021600
76,5021600062,Licenciatura en Diseño de Artesanía,Licenciatura,021600,020000,021000,021600
77,5021700002,Licenciatura en Artes Visuales para la Expresión Plástica,Licenciatura,021700,020000,021000,021700
78,5022000001,Licenciatura en Humanidades,Licenciatura,022000,020000,022000,022000
79,5022200040,Licenciatura en Lenguas y Culturas Extranjeras,Licenciatura,022200,020000,022000,022200
80,5022300022,Licenciatura en Letras Hispánicas,Licenciatura,022300,020000,022000,022300
81,5022500001,Licenciatura en Estudios Liberales,Licenciatura,022500,020000,022000,022500
82,5022500008,Licenciatura en Historia,Licenciatura,022500,020000,022000,022500
83,5022600002,Licenciatura en Filosofía,Licenciatura,022600,020000,022000,022600
84,5031100007,Licenciatura en Psicología,Licenciatura,031100,030000,031000,031100
85,5031200004,Licenciatura en Antropología,Licenciatura,031200,030000,031000,031200
86,5031200031,Licenciatura en Sociología,Licenciatura,031200,030000,031000,031200
87,5031300010,Licenciatura en Estudios Políticos y Gobierno,Licenciatura,031300,030000,031000,031300
88,5031300014,Licenciatura en Relaciones Internacionales,Licenciatura,031300,030000,031000,031300
89,5031300044,Licenciatura en Construcción De La Paz y Seguridad,Licenciatura,031300,030000,031000,031300
90,5031400003,Licenciatura en Economía,Licenciatura,031400,030000,031000,031400
91,5031500008,Licenciatura en Gerontología,Licenciatura,031500,030000,031000,031500
92,5031500010,Licenciatura en Trabajo Social,Licenciatura,031500,030000,031000,031500
93,5032100001,Licenciatura en Periodismo Digital,Licenciatura,032100,030000,032000,032100
94,5032100027,Licenciatura en Comunicación Pública,Licenciatura,032100,030000,032000,032100
95,5032100038,Licenciatura en Periodismo,Licenciatura,032100,030000,032000,032100
96,5032100065,Licenciatura en Relaciones Públicas y Comunicación,Licenciatura,032100,030000,032000,032100
97,5032200003,Licenciatura en Bibliotecología,Licenciatura,032200,030000,032000,032200
98,5032200012,Licenciatura en Bibliotecología y Gestión del Conocimiento,Licenciatura,032200,030000,032000,032200
99,5033100003,Abogado,Licenciatura,033100,030000,033000,033100
100,5033200006,Licenciatura en Criminología,Licenciatura,033200,030000,033000,033200
101,5033200024,Licenciatura en Ciencias Forenses,Licenciatura,033200,030000,033000,033200
102,5041100007,Ingeniería de Procesos y Comercio Internacional,Licenciatura,041100,040000,041000,041100
103,5041100009,Ingeniería en Negocios,Licenciatura,041100,040000,041000,041100
104,5041100021,Licenciatura en Agronegocios,Licenciatura,041100,040000,041000,041100
105,5041100056,Licenciatura en Negocios Internacionales,Licenciatura,041100,040000,041000,041100
106,5041100127,Licenciatura en Gestión de Negocios Gastronómicos,Licenciatura,041100,040000,041000,041100
107,5041200028,Licenciatura en Mercadotecnia,Licenciatura,041200,040000,041000,041200
108,5041200075,Licenciatura en Mercadotecnia Digital,Licenciatura,041200,040000,041000,041200
109,5041300007,Licenciatura en Administración Financiera y Sistemas,Licenciatura,041300,040000,041000,041300
110,5041300066,Licenciatura en Inteligencia Financiera y de Negocios,Licenciatura,041300,040000,041000,041300
111,5041400032,Licenciatura en Contaduría Pública,Licenciatura,041400,040000,041000,041400
112,5042000002,Licenciatura en Administración,Licenciatura,042000,040000,042000,042000
113,5042100012,Licenciatura en Administración de Negocios,Licenciatura,042100,040000,042000,042100
114,5042100065,Licenciatura en Administración de las Organizaciones,Licenciatura,042100,040000,042000,042100
115,5042100092,Licenciatura en Administración y Gestión Empresarial,Licenciatura,042100,040000,042000,042100
116,5042100117,Licenciatura en Recursos Humanos,Licenciatura,042100,040000,042000,042100
117,5042200024,Licenciatura en Desarrollo Turístico Sustentable,Licenciatura,042200,040000,042000,042200
118,5042300027,Licenciatura en Administración Gubernamental y Políticas Públicas,Licenciatura,042300,040000,042000,042300
119,5042400005,Ingeniería en Administración Industrial,Licenciatura,042400,040000,042000,042400
120,5051100003,Licenciatura en Biología,Licenciatura,051100,050000,051000,051100
121,5051100006,Licenciatura en Biología Marina,Licenciatura,051100,050000,051000,051100
122,5051100015,Ingeniería en Sistemas Biológicos,Licenciatura,051100,050000,051000,051100
123,5051200024,Ingeniería en Biotecnología,Licenciatura,051200,050000,051000,051200
124,5051300005,Ingeniería en Recursos Naturales y Agropecuarios,Licenciatura,051300,050000,051000,051300
125,5051300020,Licenciatura en Gestión y Economía Ambiental,Licenciatura,051300,050000,051000,051300
126,5051300048,Licenciatura en Ciencias Ambientales y del Territorio,Licenciatura,051300,050000,051000,051300
127,5052100005,Licenciatura en Física,Licenciatura,052100,050000,052000,052100
128,5052200002,Ingeniería en Nanotecnología,Licenciatura,052200,050000,052000,052200
129,5052200007,Licenciatura en Química,Licenciatura,052200,050000,052000,052200
130,5052200017,Licenciatura en Ciencia de Materiales,Licenciatura,052200,050000,052000,052200
131,5052200021,Ingeniería en Diseño Molecular de Materiales,Licenciatura,052200,050000,052000,052200
132,5052300015,Licenciatura en Geografía,Licenciatura,052300,050000,052000,052300
133,5053100004,Licenciatura en Matemáticas,Licenciatura,053100,050000,053000,053100
134,5061000002,Ingeniería en Computación,Licenciatura,061000,060000,061000,061000
135,5061000015,Licenciatura en Desarrollo de Sistemas Web,Licenciatura,061000,060000,061000,061000
136,5061100001,Ingeniería en Ciencias Computacionales,Licenciatura,061100,060000,061000,061100
137,5061300147,Licenciatura en Ciberseguridad,Licenciatura,061300,060000,061000,061300
138,5061300148,Licenciatura en Creatividad Digital,Licenciatura,061300,060000,061000,061300
139,5062100009,Ingeniería en Comunicaciones y Electrónica,Licenciatura,062100,060000,062000,062100
140,5062100033,Ingeniería en Teleinformática,Licenciatura,062100,060000,062000,062100
141,5062100034,Ingeniería en Telemática,Licenciatura,062100,060000,062000,062100
142,5062200055,Ingeniería Informática,Licenciatura,062200,060000,062000,062200
143,5062200073,Ingeniería en Electrónica y Computación,Licenciatura,062200,060000,062000,062200
144,5062200082,Licenciatura en Tecnologías de la Información,Licenciatura,062200,060000,062000,062200
145,5062200105,Licenciatura en Tecnologías e Información,Licenciatura,062200,060000,062000,062200
146,5071000020,Ingeniería Biomédica,Licenciatura,071000,070000,071000,071000
147,5071000047,Ingeniería en Videojuegos,Licenciatura,071000,070000,071000,071000
148,5071100005,Ingeniería en Diseño Industrial,Licenciatura,071100,070000,071000,071100
149,5071100019,Licenciatura en Diseño Industrial,Licenciatura,071100,070000,071000,071100
150,5071200009,Ingeniería en Energía,Licenciatura,071200,070000,071000,071200
151,5071200034,Ingeniería Fotónica,Licenciatura,071200,070000,071000,071200
152,5071300009,Ingeniería Mecánica Eléctrica,Licenciatura,071300,070000,071000,071300
153,5071300014,Ingeniería Mecatrónica,Licenciatura,071300,070000,071000,071300
154,5071300082,Ingeniería Robótica,Licenciatura,071300,070000,071000,071300
155,5071300091,Ingeniería en Instrumentación Electrónica y Nanosensores,Licenciatura,071300,070000,071000,071300
156,5071300147,Ingeniería Mecatrónica Dual,Licenciatura,071300,070000,071000,071300
157,5071300158,Licenciatura en Inteligencia Artificial y Ciencia de los Datos,Licenciatura,071300,070000,071000,071300
158,5071400008,Ingeniería Bioquímica,Licenciatura,071400,070000,071000,071400
159,5071400015,Ingeniería Química,Licenciatura,071400,070000,071000,071400
160,5071700019,Ingeniería Industrial,Licenciatura,071700,070000,071000,071700
161,5072100002,Ingeniería Agroindustrial,Licenciatura,072100,070000,072000,072100
162,5072100018,Licenciatura en Ciencia de los Alimentos,Licenciatura,072100,070000,072000,072100
163,5072100033,Licenciatura en Ingeniería en Alimentos y Biotecnología,Licenciatura,072100,070000,072000,072100
164,5072100049,Licenciatura en Ciencias y Artes Culinarias,Licenciatura,072100,070000,072000,072100
165,5072400001,Ingeniería en Geofísica,Licenciatura,072400,070000,072000,072400
166,5073100009,Licenciatura en Arquitectura,Licenciatura,073100,070000,073000,073100
167,5073100024,Licenciatura en Urbanística y Medio Ambiente,Licenciatura,073100,070000,073000,073100
168,5073200005,Ingeniería Civil,Licenciatura,073200,070000,073000,073200
169,5073200010,Ingeniería en Obras y Servicios,Licenciatura,073200,070000,073000,073200
170,5073200035,Ingeniería en Topografía Geomática,Licenciatura,073200,070000,073000,073200
171,5081100010,Licenciatura en Agrobiotecnología,Licenciatura,081100,080000,081000,081100
172,5081100050,Ingeniería en Sistemas Pecuarios,Licenciatura,081100,080000,081000,081100
173,5081300016,Ingeniero Agrónomo,Licenciatura,081300,080000,081000,081300
174,5082100001,Licenciatura en Medicina Veterinaria y Zootecnia,Licenciatura,082100,080000,082000,082100
175,5091100010,Médico Cirujano y Partero,Licenciatura,091100,090000,091000,091100
176,5091100011,Médico Cirujano y Partero,Licenciatura,091100,090000,091000,091100
177,5092100006,Licenciatura en Enfermería,Licenciatura,092100,090000,092000,092100
178,5093100002,Licenciatura en Cirujano Dentista,Licenciatura,093100,090000,093000,093100
179,5094100009,Licenciatura en Terapia Física,Licenciatura,094100,090000,094000,094100
180,5094200006,Licenciatura en Nutrición,Licenciatura,094200,090000,094000,094200
181,5094300009,Licenciatura en Podología,Licenciatura,094300,090000,094000,094300
182,5095200007,Licenciatura en Tecnologías Biomédicas,Licenciatura,095200,090000,095000,095200
183,5095400006,Licenciatura en Químico Farmacéutico Biólogo,Licenciatura,095400,090000,095000,095400
184,5095600005,Licenciatura en Salud Pública,Licenciatura,095600,090000,095000,095600
185,5101100015,Licenciatura en Cultura Física y Deportes,Licenciatura,101100,100000,101000,101100
186,5101600013,Licenciatura en Turismo,Licenciatura,101600,100000,101000,101600
187,5102100004,Ingeniería en Logística y Transporte,Licenciatura,102100,100000,102000,102100
188,5103100007,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,103100,100000,103000,103100
189,5104100015,Licenciatura en Seguridad Ciudadana,Licenciatura,104100,100000,104000,104100
190,6041100014,Especialidad en Valuación,Especialidad,041100,040000,041000,041100
191,6051100001,Especialidad en Biología de la Reproducción Humana,Especialidad,051100,050000,051000,051100
192,6081100002,Especialidad en Producción Animal,Especialidad,081100,080000,081000,081100
193,6081100005,Especialidad en Producción Porcina,Especialidad,081100,080000,081000,081100
194,6091301004,Especialidad en Anestesiología,Especialidad,091301,090000,091000,091300
195,6091301005,Especialidad en Anestesiología Pediátrica,Especialidad,091301,090000,091000,091300
196,6091301008,Especialidad en Medicina Paliativa y del Dolor,Especialidad,091301,090000,091000,091300
197,6091302001,Especialidad en Angiología y Cirugía Vascular,Especialidad,091302,090000,091000,091300
198,6091304001,Especialidad en Cardiología,Especialidad,091304,090000,091000,091300
199,6091304018,Especialidad en Hemodinamia y Cardiología Intervencionista,Especialidad,091304,090000,091000,091300
200,6091305002,Especialidad en Cirugía General,Especialidad,091305,090000,091000,091300
201,6091306001,Especialidad en Cirugía Cardiotorácica,Especialidad,091306,090000,091000,091300
202,6091307001,Especialidad en Neurocirugía,Especialidad,091307,090000,091000,091300
203,6091308001,Especialidad en Cirugía Pediátrica,Especialidad,091308,090000,091000,091300
204,6091309002,Especialidad en Cirugía Plástica y Reconstructiva,Especialidad,091309,090000,091000,091300
205,6091310001,Especialidad en Dermatología,Especialidad,091310,090000,091000,091300
206,6091310002,Especialidad en Dermatología Pediátrica,Especialidad,091310,090000,091000,091300
207,6091311001,Especialidad en Endocrinología,Especialidad,091311,090000,091000,091300
208,6091312001,Especialidad en Coloproctología,Especialidad,091312,090000,091000,091300
209,6091313001,Especialidad en Cirugía Bariátrica y Metabólica,Especialidad,091313,090000,091000,091300
210,6091313004,Especialidad en Gastroenterología,Especialidad,091313,090000,091000,091300
211,6091313008,Especialidad en Gastroenterología y Nutrición Pediátrica,Especialidad,091313,090000,091000,091300
212,6091314001,Especialidad en Genética Médica,Especialidad,091314,090000,091000,091300
213,6091315001,Especialidad en Geriatría,Especialidad,091315,090000,091000,091300
214,6091316002,Especialidad en Ginecología y Obstetricia,Especialidad,091316,090000,091000,091300
215,6091316004,Especialidad en Medicina Materno-Fetal,Especialidad,091316,090000,091000,091300
216,6091316007,Especialidad en Ginecología Oncológica,Especialidad,091316,090000,091000,091300
217,6091317001,Especialidad en Hematología,Especialidad,091317,090000,091000,091300
218,6091317003,Especialidad en Hematología Pediátrica,Especialidad,091317,090000,091000,091300
219,6091317009,Especialidad en Hemato-Oncología Pediátrica,Especialidad,091317,090000,091000,091300
220,6091318001,Especialidad en Infectología,Especialidad,091318,090000,091000,091300
221,6091318002,Especialidad en Infectología Pediátrica,Especialidad,091318,090000,091000,091300
222,6091319001,Especialidad en Alergia e Inmunología Clínica,Especialidad,091319,090000,091000,091300
223,6091319004,Especialidad en Alergia e Inmunología Clínica Pediátrica,Especialidad,091319,090000,091000,091300
224,6091321003,Especialidad en Medicina del Enfermo en Estado Crítico,Especialidad,091321,090000,091000,091300
225,6091322003,Especialidad en Medicina de Rehabilitación,Especialidad,091322,090000,091000,091300
226,6091323001,Especialidad en Medicina de Urgencias,Especialidad,091323,090000,091000,091300
227,6091323002,Especialidad en Urgencias Médicas,Especialidad,091323,090000,091000,091300
228,6091323004,Especialidad en Urgencias Pediátricas,Especialidad,091323,090000,091000,091300
229,6091325001,Especialidad en Medicina del Trabajo,Especialidad,091325,090000,091000,091300
230,6091325002,Especialidad en Medicina del Trabajo y Ambiental,Especialidad,091325,090000,091000,091300
231,6091326001,Especialidad en Medicina Familiar,Especialidad,091326,090000,091000,091300
232,6091327002,Especialidad en Medicina Interna,Especialidad,091327,090000,091000,091300
233,6091329001,Especialidad en Anatomía Patológica,Especialidad,091329,090000,091000,091300
234,6091331003,Especialidad en Nefrología,Especialidad,091331,090000,091000,091300
235,6091332001,Especialidad en Neumología,Especialidad,091332,090000,091000,091300
236,6091334001,Especialidad en Neurología,Especialidad,091334,090000,091000,091300
237,6091335001,Especialidad en Oftalmología,Especialidad,091335,090000,091000,091300
238,6091335003,Especialidad en Retina Médica y Quirúrgica,Especialidad,091335,090000,091000,091300
