name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2021B 1 14MMS0607X BGC,1,2021-2022,2021,B,14MMS0607X,BGC,,,,1057,,,,481,,,,576,45.51,,87
2021B 2 14MMS0608W BGC,2,2021-2022,2021,B,14MMS0608W,BGC,,,,1371,,,,711,,,,660,51.86,,84
2021B 3 14MMS0609V BGC,3,2021-2022,2021,B,14MMS0609V,BGC,,,,922,,,,392,,,,530,42.52,,88
2021B 4 14MMS0610K BGC,4,2021-2022,2021,B,14MMS0610K,BGC,,,,764,,,,406,,,,358,53.14,,86
2021B 5 14MMS0611J BGC,5,2021-2022,2021,B,14MMS0611J,BGC,,,,1396,,,,485,,,,911,34.74,,94
2021B 6 14MMS0612I BGC,6,2021-2022,2021,B,14MMS0612I,BGC,,,,1645,,,,899,,,,746,54.65,,83
2021B 7 14MMS0613H BGC,7,2021-2022,2021,B,14MMS0613H,BGC,,,,1939,,,,989,,,,950,51.01,,85
2021B 8 14MMS0647Y BGC,8,2021-2022,2021,B,14MMS0647Y,BGC,,,,1161,,,,596,,,,565,51.34,,82
2021B 9 14MMS0762P BGC,9,2021-2022,2021,B,14MMS0762P,BGC,,,,98,,,,98,,,,0,100.00,,68
2021B 10 14MMS0761Q BGC,10,2021-2022,2021,B,14MMS0761Q,BGC,,,,91,,,,91,,,,0,100.00,,60
2021B 11 14MMS0648X BGC,11,2021-2022,2021,B,14MMS0648X,BGC,,,,1526,,,,746,,,,780,48.89,,87
2021B 12 14MMS0649W BGC,12,2021-2022,2021,B,14MMS0649W,BGC,,,,1764,,,,775,,,,989,43.93,,88
2021B 13 14MMS0650L BGC,13,2021-2022,2021,B,14MMS0650L,BGC,,,,1145,,,,597,,,,548,52.14,,87
2021B 14 14MMS0650L 3095300007,14,2021-2022,2021,B,14MMS0650L,3095300007,,,,186,,,,97,,,,89,52.15,,89
2021B 15 14MMS0650L 3093100005,15,2021-2022,2021,B,14MMS0650L,3093100005,,,,147,,,,88,,,,59,59.86,,81
2021B 16 14MMS0646Z BGC,16,2021-2022,2021,B,14MMS0646Z,BGC,,,,959,,,,959,,,,0,100.00,,63
2021B 17 14MMS0640E BGC,17,2021-2022,2021,B,14MMS0640E,BGC,,,,301,,,,195,,,,106,64.78,,78
2021B 18 14MMS0615F BGC,18,2021-2022,2021,B,14MMS0615F,BGC,,,,1317,,,,495,,,,822,37.59,,90
2021B 19 14MMS0630Y BGC,19,2021-2022,2021,B,14MMS0630Y,BGC,,,,815,,,,395,,,,420,48.47,,85
2021B 20 14MMS0641D BGC,20,2021-2022,2021,B,14MMS0641D,BGC,,,,161,,,,95,,,,66,59.01,,82
2021B 21 14MMS0631X BGC,21,2021-2022,2021,B,14MMS0631X,BGC,,,,1063,,,,713,,,,350,67.07,,82
2021B 22 14MMS0636S BGC,22,2021-2022,2021,B,14MMS0636S,BGC,,,,661,,,,601,,,,60,90.92,,72
2021B 23 14MMS0752I BGC,23,2021-2022,2021,B,14MMS0752I,BGC,,,,784,,,,297,,,,487,37.88,,89
2021B 24 14MMS0752I 3061300004,24,2021-2022,2021,B,14MMS0752I,3061300004,,,,274,,,,150,,,,124,54.74,,83
2021B 25 14MMS0752I 3000000001,25,2021-2022,2021,B,14MMS0752I,3000000001,,,,221,,,,150,,,,71,67.87,,78
2021B 26 14MMS0753H BGC,26,2021-2022,2021,B,14MMS0753H,BGC,,,,919,,,,485,,,,434,52.77,,83
2021B 27 14MMS0757D BGC,27,2021-2022,2021,B,14MMS0757D,BGC,,,,866,,,,495,,,,371,57.16,,83
2021B 28 14MMS0756E BGC,28,2021-2022,2021,B,14MMS0756E,BGC,,,,840,,,,504,,,,336,60.00,,80
2021B 29 14MMS0878P BGC,29,2021-2022,2021,B,14MMS0878P,BGC,,,,57,,,,57,,,,0,100.00,,68
2021B 30 14MMS0844Z BGC,30,2021-2022,2021,B,14MMS0844Z,BGC,,,,685,,,,589,,,,96,85.99,,73
2021B 31 14MMS0776S 3073200001,31,2021-2022,2021,B,14MMS0776S,3073200001,,,,205,,,,146,,,,59,71.22,,79
2021B 32 14MMS0776S 3071700002,32,2021-2022,2021,B,14MMS0776S,3071700002,,,,30,,,,30,,,,0,100.00,,69
2021B 33 14MMS0776S 2071200002,33,2021-2022,2021,B,14MMS0776S,2071200002,,,,93,,,,93,,,,0,100.00,,67
2021B 34 14MMS0776S 2071100002,34,2021-2022,2021,B,14MMS0776S,2071100002,,,,182,,,,182,,,,0,100.00,,65
2021B 35 14MMS0776S 2072400003,35,2021-2022,2021,B,14MMS0776S,2072400003,,,,18,,,,18,,,,0,100.00,,68
2021B 36 14MMS0776S 2072300001,36,2021-2022,2021,B,14MMS0776S,2072300001,,,,24,,,,24,,,,0,100.00,,68
2021B 37 14MMS0776S 2071400003,37,2021-2022,2021,B,14MMS0776S,2071400003,,,,78,,,,78,,,,0,100.00,,64
2021B 38 14MMS0776S 2062200013,38,2021-2022,2021,B,14MMS0776S,2062200013,,,,308,,,,201,,,,107,65.26,,81
2021B 39 14MMS0776S 2072100002,39,2021-2022,2021,B,14MMS0776S,2072100002,,,,169,,,,169,,,,0,100.00,,65
