row,clave_carrera,nombre_carrera_911,nivel_educativo,campo_clasificacion,modalidad
725,8022300013,Doc. en Estudios Literarios y Lingüísticos,Doctorado,Literatura,Escolarizada
726,8031400010,Doc. en Negocios y Estudios Económicos,Doctorado,Economía,Escolarizada
727,8042100049,Doc. en Innovación para el Hábitat Sustentable,Doctorado,Administración de empresas,Escolarizada
728,8042100051,Doc. en Innovación y Sustentabilidad en los Negocios,Doctorado,Administración de empresas,Escolarizada
729,8051100004,Doc. en Ciencias Biológicas,Doctorado,Biología,Escolarizada
730,8051300013,Doc. en Ciencias para el Desarrollo Sustentable,Doctorado,Ecología y ciencias ambientales,Escolarizada
731,8052000002,Doc. en Ciencias,Doctorado,"Planes multidisciplinarios o generales del campo de ciencias físicas, químicas y de la tierra.",Escolarizada
732,8052200023,Doc. en Ciencia de Biomateriales Sustentables,Doctorado,Química,Escolarizada
733,8052300021,Doc. en Geología,Doctorado,Ciencias de la tierra y de la atmósfera,Escolarizada
734,8062200001,Doc. en Ingeniería y Tecnología,Doctorado,Informática,Escolarizada
735,8072300004,Doc. en Ciencia e Ingeniería de Materiales,Doctorado,"Industrias de materiales diversos (cerámica, madera, plástico y vidrio)",Escolarizada
736,8081100028,Doc. en Ciencias Agrícolas y Forestales,Doctorado,Producción y explotación agrícola y ganadera,Escolarizada
737,8091345002,Doc. en Ciencias de la Salud Orientación en Investigación Clínica,Doctorado,Medicina de especialidad,Escolarizada
