name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-809 - 2022 - SEMS,809,2022,SEMS,Bachillerato Tecnológico en Turismo
422 PE que requieren PP-810 - 2022 - SEMS,810,2022,SEMS,Bachillerato Tecnológico Químico en Control de Calidad y Medio Ambiente
422 PE que requieren PP-811 - 2022 - SEMS,811,2022,SEMS,Tecnólogo Profesional en Biotecnología
422 PE que requieren PP-812 - 2022 - SEMS,812,2022,SEMS,Tecnólogo Profesional en Electricidad Industrial
422 PE que requieren PP-813 - 2022 - SEMS,813,2022,SEMS,Tecnólogo Profesional en Energías Alternas
422 PE que requieren PP-814 - 2022 - SEMS,814,2022,SEMS,Tecnólogo Profesional en Informática
422 PE que requieren PP-815 - 2022 - SEMS,815,2022,SEMS,Tecnólogo Profesional en Mecánica Industrial
422 PE que requieren PP-816 - 2022 - SEMS,816,2022,SEMS,Tecnólogo Profesional en Metalurgia y Fundición
422 PE que requieren PP-817 - 2022 - SEMS,817,2022,SEMS,Tecnólogo Profesional en Plásticos
422 PE que requieren PP-818 - 2022 - SEMS,818,2022,SEMS,Tecnólogo Profesional en Procesos de Manufactura Competitiva
422 PE que requieren PP-819 - 2022 - SEMS,819,2022,SEMS,Tecnólogo Profesional en Procesos Químicos Industriales
422 PE que requieren PP-820 - 2022 - SEMS,820,2022,SEMS,Tecnólogo Profesional en Sistemas Informáticos
422 PE que requieren PP-821 - 2022 - SEMS,821,2022,SEMS,Tecnólogo Profesional en Telecomunicaciones
422 PE que requieren PP-822 - 2022 - SEMS,822,2022,SEMS,Tecnólogo Profesional Químico en Análisis y Procesos de Alimentos
422 PE que requieren PP-823 - 2022 - SEMS,823,2022,SEMS,Tecnólogo Profesional Químico Industrial
422 PE que requieren PP-824 - 2021 - CUAAD,824,2021,CUAAD,Licenciatura en Arquitectura
422 PE que requieren PP-825 - 2021 - CUAAD,825,2021,CUAAD,"Licenciatura en Diseño, Arte y Tecnologías Interactivas"
422 PE que requieren PP-826 - 2021 - CUAAD,826,2021,CUAAD,Licenciatura en Diseño de Modas
422 PE que requieren PP-827 - 2021 - CUAAD,827,2021,CUAAD,Licenciatura en Diseño de Interiores y Ambientación
422 PE que requieren PP-828 - 2021 - CUAAD,828,2021,CUAAD,Licenciatura en Diseño Industrial
422 PE que requieren PP-829 - 2021 - CUAAD,829,2021,CUAAD,Licenciatura en Diseño para la Comunicación Gráfica
422 PE que requieren PP-830 - 2021 - CUAAD,830,2021,CUAAD,Licenciatura en Urbanística y Medio Ambiente
422 PE que requieren PP-831 - 2021 - CUCBA,831,2021,CUCBA,Licenciatura en Agronegocios
422 PE que requieren PP-832 - 2021 - CUCBA,832,2021,CUCBA,Licenciatura en Ciencias de los Alimentos
422 PE que requieren PP-833 - 2021 - CUCBA,833,2021,CUCBA,Licenciatura en Medicina Veterinaria
422 PE que requieren PP-834 - 2021 - CUCBA,834,2021,CUCBA,Licenciatura en Biología
422 PE que requieren PP-835 - 2021 - CUCBA,835,2021,CUCBA,Licenciatura en Ingeniero Agrónomo
