name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2020-2021 14MMS0607X BGC,1,2020-2021,14MMS0607X,BGC,Escolarizada,574,726,,1300,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,8,16,,24,0,0,,0,0,0,,0,8,18,,26,0,0,,0
2 2020-2021 14MMS0607X BGC,2,2020-2021,14MMS0607X,BGC,Escolarizada,516,739,,1255,0,2,,2,0,0,,0,0,1,,1,1,0,,1,0,0,,0,9,8,,17,0,0,,0,0,0,,0,10,11,,21,0,0,,0
3 2020-2021 14MMS0607X BGAI,3,2020-2021,14MMS0607X,BGAI,Escolarizada,19,21,,40,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
4 2020-2021 14MMS0608W BGC,4,2020-2021,14MMS0608W,BGC,Escolarizada,831,1031,,1862,2,0,,2,0,0,,0,0,0,,0,0,1,,1,1,0,,1,10,12,,22,0,0,,0,0,0,,0,13,13,,26,0,1,,1
5 2020-2021 14MMS0608W BGC,5,2020-2021,14MMS0608W,BGC,Escolarizada,791,1032,,1823,0,2,,2,0,0,,0,0,0,,0,1,1,,2,1,0,,1,9,8,,17,0,0,,0,0,0,,0,11,11,,22,0,0,,0
6 2020-2021 14MMS0608W BGAI,6,2020-2021,14MMS0608W,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
7 2020-2021 14MMS0609V BGC,7,2020-2021,14MMS0609V,BGC,Escolarizada,430,700,,1130,0,2,,2,0,0,,0,0,0,,0,0,0,,0,1,0,,1,5,3,,8,0,1,,1,1,0,,1,7,6,,13,0,0,,0
8 2020-2021 14MMS0609V BGC,8,2020-2021,14MMS0609V,BGC,Escolarizada,399,651,,1050,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,8,7,,15,0,0,,0,0,0,,0,9,7,,16,0,0,,0
9 2020-2021 14MMS0609V BGAI,9,2020-2021,14MMS0609V,BGAI,Escolarizada,50,51,,101,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
10 2020-2021 14MMS0610K BGC,10,2020-2021,14MMS0610K,BGC,Escolarizada,443,708,,1151,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,1,,1,4,9,,13,0,2,,2,0,0,,0,5,12,,17,0,0,,0
11 2020-2021 14MMS0610K BGC,11,2020-2021,14MMS0610K,BGC,Escolarizada,417,651,,1068,0,1,,1,1,0,,1,0,0,,0,0,0,,0,1,0,,1,6,10,,16,0,0,,0,0,0,,0,8,11,,19,0,0,,0
12 2020-2021 14MMS0610K BGAI,12,2020-2021,14MMS0610K,BGAI,Escolarizada,80,63,,143,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
13 2020-2021 14MMS0611J BGC,13,2020-2021,14MMS0611J,BGC,Escolarizada,493,767,,1260,1,2,,3,0,0,,0,0,0,,0,1,0,,1,0,0,,0,7,10,,17,1,0,,1,0,0,,0,10,12,,22,0,0,,0
14 2020-2021 14MMS0611J BGC,14,2020-2021,14MMS0611J,BGC,Escolarizada,495,725,,1220,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,9,6,,15,0,0,,0,0,0,,0,9,8,,17,0,0,,0
15 2020-2021 14MMS0612I BGC,15,2020-2021,14MMS0612I,BGC,Escolarizada,866,1372,,2238,1,0,,1,0,0,,0,0,0,,0,2,1,,3,0,1,,1,14,18,,32,0,1,,1,0,0,,0,17,21,,38,0,2,,2
16 2020-2021 14MMS0612I BGC,16,2020-2021,14MMS0612I,BGC,Escolarizada,838,1356,,2194,0,3,,3,0,0,,0,0,0,,0,1,1,,2,0,0,,0,9,17,,26,0,0,,0,0,0,,0,10,21,,31,0,1,,1
