name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2021-2022 14MMS0607X BGAI Escolarizada,1,2021-2022,14MMS0607X,BGAI,Escolarizada,15,8,,23,0,1,,1,0,0,,0
2 2021-2022 14MMS0607X BGC Escolarizada,2,2021-2022,14MMS0607X,BGC,Escolarizada,1164,1540,,2704,24,28,,52,1,1,,2
3 2021-2022 14MMS0608W BGAI Escolarizada,3,2021-2022,14MMS0608W,BGAI,Escolarizada,10,20,,30,0,0,,0,0,0,,0
4 2021-2022 14MMS0608W BGC Escolarizada,4,2021-2022,14MMS0608W,BGC,Escolarizada,1779,2207,,3986,31,43,,74,0,1,,1
5 2021-2022 14MMS0609V BGAI Escolarizada,5,2021-2022,14MMS0609V,BGAI,Escolarizada,12,18,,30,0,0,,0,0,0,,0
6 2021-2022 14MMS0609V BGC Escolarizada,6,2021-2022,14MMS0609V,BGC,Escolarizada,906,1419,,2325,17,14,,31,0,0,,0
7 2021-2022 14MMS0610K BGAI Escolarizada,7,2021-2022,14MMS0610K,BGAI,Escolarizada,19,16,,35,0,0,,0,0,0,,0
8 2021-2022 14MMS0610K BGC Escolarizada,8,2021-2022,14MMS0610K,BGC,Escolarizada,970,1369,,2339,19,31,,50,0,0,,0
9 2021-2022 14MMS0611J BGAI Escolarizada,9,2021-2022,14MMS0611J,BGAI,Escolarizada,34,33,,67,1,0,,1,0,0,,0
10 2021-2022 14MMS0611J BGC Escolarizada,10,2021-2022,14MMS0611J,BGC,Escolarizada,1016,1675,,2691,12,27,,39,0,1,,1
11 2021-2022 14MMS0612I BGAI Escolarizada,11,2021-2022,14MMS0612I,BGAI,Escolarizada,35,17,,52,0,2,,2,0,0,,0
12 2021-2022 14MMS0612I BGC Escolarizada,12,2021-2022,14MMS0612I,BGC,Escolarizada,1931,2957,,4888,32,48,,80,1,1,,2
13 2021-2022 14MMS0613H BGAI Escolarizada,13,2021-2022,14MMS0613H,BGAI,Escolarizada,32,12,,44,0,0,,0,0,0,,0
14 2021-2022 14MMS0613H BGC Escolarizada,14,2021-2022,14MMS0613H,BGC,Escolarizada,2357,2946,,5303,55,49,,104,7,12,,19
15 2021-2022 14MMS0614G 3101600003 Escolarizada,15,2021-2022,14MMS0614G,3101600003,Escolarizada,285,691,,976,6,12,,18,0,1,,1
16 2021-2022 14MMS0614G BGC Escolarizada,16,2021-2022,14MMS0614G,BGC,Escolarizada,2071,2927,,4998,44,58,,102,0,1,,1
17 2021-2022 14MMS0615F BGAI Escolarizada,17,2021-2022,14MMS0615F,BGAI,Escolarizada,95,66,,161,2,0,,2,0,0,,0
18 2021-2022 14MMS0615F BGC Escolarizada,18,2021-2022,14MMS0615F,BGC,Escolarizada,959,1671,,2630,13,35,,48,0,0,,0
19 2021-2022 14MMS0616E 2071100002 Escolarizada,19,2021-2022,14MMS0616E,2071100002,Escolarizada,305,13,,318,4,0,,4,0,0,,0
20 2021-2022 14MMS0616E 2071400001 Escolarizada,20,2021-2022,14MMS0616E,2071400001,Escolarizada,246,348,,594,3,10,,13,0,0,,0
21 2021-2022 14MMS0616E 2081100001 Escolarizada,21,2021-2022,14MMS0616E,2081100001,Escolarizada,0,0,,0,0,0,,0,0,0,,0
22 2021-2022 14MMS0616E 2092100004 Escolarizada,22,2021-2022,14MMS0616E,2092100004,Escolarizada,233,634,,867,7,5,,12,0,0,,0
