name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
893 2022-2023 14USU0190I 7042000002,893,2022-2023,14USU0190I,7042000002,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
895 2022-2023 14USU0190I 7042200008,895,2022-2023,14USU0190I,7042200008,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
907 2022-2023 14USU0200Z 7042100015,907,2022-2023,14USU0200Z,7042100015,Escolarizada,0,4,,4,,,,0,,,,0,4,2,,6,,,,0,,,,0
911 2022-2023 14USU0200Z 7062200028,911,2022-2023,14USU0200Z,7062200028,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
919 2022-2023 14USU0210F 7022600002,919,2022-2023,14USU0210F,7022600002,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
927 2022-2023 14USU0210F 7095600015,927,2022-2023,14USU0210F,7095600015,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
930 2022-2023 14USU0210F 8031100026,930,2022-2023,14USU0210F,8031100026,Escolarizada,1,6,,7,,,,0,,,,0,1,4,,5,,,,0,,,,0
934 2022-2023 14USU0220M 6091323001,934,2022-2023,14USU0220M,6091323001,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
942 2022-2023 14USU0220M 7031200038,942,2022-2023,14USU0220M,7031200038,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
945 2022-2023 14USU0220M 7042100033,945,2022-2023,14USU0220M,7042100033,Escolarizada,0,0,,0,,,,0,,,,0,6,1,,7,,,,0,,,,0
948 2022-2023 14USU0220M 7095600015,948,2022-2023,14USU0220M,7095600015,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
956 2022-2023 14USU0230T 6091301004,956,2022-2023,14USU0230T,6091301004,Escolarizada,26,67,,93,,,,0,,,,0,23,58,,81,,,,0,,,,0
