name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-50 - 2024 - CUSUR - Federal,50,2024,CUSUR,Federal,96,318,,414,17
421 Prácticas profesionales-51 - 2024 - CUSUR - Estatal,51,2024,CUSUR,Estatal,70,134,,204,42
421 Prácticas profesionales-52 - 2024 - CUSUR - Municipal,52,2024,CUSUR,Municipal,212,813,,1025,213
421 Prácticas profesionales-53 - 2024 - CUSUR - Privado,53,2024,CUSUR,Privado,227,412,,639,616
421 Prácticas profesionales-54 - 2024 - CUSUR - Civil,54,2024,CUSUR,Civil,24,37,,61,37
421 Prácticas profesionales-55 - 2024 - CUCOSTA - Público,55,2024,CUCOSTA,Público,143,334,,477,23
421 Prácticas profesionales-56 - 2024 - CUCOSTA - Federal,56,2024,CUCOSTA,Federal,42,98,,140,4
421 Prácticas profesionales-57 - 2024 - CUCOSTA - Estatal,57,2024,CUCOSTA,Estatal,74,169,,243,8
421 Prácticas profesionales-58 - 2024 - CUCOSTA - Municipal,58,2024,CUCOSTA,Municipal,27,67,,94,11
421 Prácticas profesionales-59 - 2024 - CUCOSTA - Privado,59,2024,CUCOSTA,Privado,193,250,,443,345
421 Prácticas profesionales-60 - 2024 - CUCOSTA - Civil,60,2024,CUCOSTA,Civil,4,6,,10,10
421 Prácticas profesionales-61 - 2024 - CUCOSTASUR - Público,61,2024,CUCOSTASUR,Público,112,363,,475,62
421 Prácticas profesionales-62 - 2024 - CUCOSTASUR - Federal,62,2024,CUCOSTASUR,Federal,,,,,16
421 Prácticas profesionales-63 - 2024 - CUCOSTASUR - Estatal,63,2024,CUCOSTASUR,Estatal,,,,,18
421 Prácticas profesionales-64 - 2024 - CUCOSTASUR - Municipal,64,2024,CUCOSTASUR,Municipal,,,,,28
421 Prácticas profesionales-65 - 2024 - CUCOSTASUR - Privado,65,2024,CUCOSTASUR,Privado,199,181,,380,348
421 Prácticas profesionales-66 - 2024 - CUCOSTASUR - Civil,66,2024,CUCOSTASUR,Civil,3,24,,27,6
421 Prácticas profesionales-67 - 2024 - CUVALLES - Público,67,2024,CUVALLES,Público,88,123,,211,25
421 Prácticas profesionales-68 - 2024 - CUVALLES - Federal,68,2024,CUVALLES,Federal,0,0,,0,0
